scale,shape,mu
2.3651,3.3644,4.0779
2.1,3.3953,0.42934
2.8214,3.389,1.3944
1.9403,4,0.79627
2.603,3.4582,1.2813
3.0356,3.3933,3.7905
3.5091,3.2221,3.4813
2.2188,3.3445,4.34
2.6164,3.3971,5.7289
4.2865,3.1916,2.8575
1.9374,4,0.73783
1.9361,4,0.68856
4.7292,3.1879,1.3843
4.431,3.1538,2.4822
3.7427,3.3115,2.4175
2.8243,3.4126,0.97719
2.2452,3.3422,0.97036
3.5134,3.1783,1.7178
2.1597,3.3597,0.7255
1.9386,4,0.8861
4.5774,3.1595,3.522
3.7282,3.3238,1.2963
2.1944,3.3434,1.6925
2.3899,3.404,3.8091
3.1804,3.3498,0.61845
2.0366,3.5527,3.0997
3.2296,3.3433,2.5276
2.3247,3.3744,0.19097
2.2359,3.3302,0.31411
2.5772,3.4907,1.5222
2.8698,3.3861,0.64116
2.2843,3.3625,4.8971
2.8358,3.3906,0.39897
1.9379,4,1.4215
4.0343,3.3092,1.651
3.2321,3.3096,1.1468
3.5016,3.3366,2.2923
3.7437,3.2669,1.4843
2.8781,3.3921,1.057
3.6987,3.3052,1.8587
2.1637,3.3171,1.1784
2.344,3.364,0.86059
3.2196,3.3343,1.0717
2.4221,3.4296,0.46096
1.9404,4,0.55392
2.2834,3.35,1.5502
2.6462,3.4482,0.76286
1.9381,4,2.5817
2.4886,3.1224,0.45535
2.8718,3.3869,1.0355
2.2105,3.3372,3.9011
3.2488,3.3782,0.82279
3.6888,3.2673,0.85709
2.9204,3.3572,1.2206
