"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
5,0,5,5,3,3,4,5,5,4,3.9,7.02645770446008,0.773542295539922
2,0,4,8,4,1,4,4,6,5,3.8,8.40124813984689,0
2,3,5,7,5,5,5,4,6,3,4.5,7.45809247845822,1.54190752154178
4,5,6,2,3,4,5,6,2,3,4,6.92179549059973,1.07820450940027
8,2,3,2,3,3,1,3,5,8,3.8,8.58318536356498,0
4,3,4,6,3,11,4,5,3,4,4.7,9.41578154239099,0
3,4,8,6,4,4,5,4,8,6,5.2,8.63233254022198,1.76766745977802
7,5,8,0,7,7,8,3,3,10,5.8,11.7017375972392,0
1,3,4,6,5,2,5,3,6,2,3.7,7.16328296402256,0.23671703597744
4,1,2,4,5,5,2,6,4,3,3.6,6.69213769996673,0.507862300033268
4,5,2,2,5,7,4,6,9,4,4.8,9.01387338311071,0.586126616889291
5,4,4,6,4,3,6,6,5,4,4.7,6.7763258147239,2.6236741852761
7,8,3,6,4,4,3,4,2,5,4.6,8.31883852835801,0.881161471641986
5,5,4,7,6,14,5,14,10,4,7.4,15.0303068235964,0
6,5,6,3,10,3,3,3,5,7,5.1,9.57426021197297,0.625739788027026
7,10,5,5,4,10,3,9,5,6,6.4,11.3065289835755,1.49347101642448
9,5,6,9,13,6,9,5,5,5,7.2,12.4915966924507,1.90840330754927
8,7,4,6,16,7,1,10,2,5,6.6,14.9769461420417,0
9,14,5,5,10,4,10,5,5,6,7.3,13.7046663543944,0.895333645605642
9,8,5,6,5,8,5,9,9,10,7.4,11.2318988620381,3.5681011379619
7,9,4,7,12,9,14,6,6,6,8,13.9878989080756,2.01210109192437
13,10,9,5,7,8,7,11,6,13,8.9,14.4012063323521,3.39879366764788
10,10,3,8,3,8,8,9,7,7,7.3,12.193462305294,2.40653769470599
6,10,5,4,9,6,6,13,6,5,7,12.4661788400226,1.53382115997737
11,7,5,3,12,8,6,5,6,10,7.3,12.9993738447502,1.60062615524984
7,8,7,11,12,5,5,8,6,3,7.2,12.5716556520727,1.82834434792731
6,8,5,4,10,6,5,8,6,7,6.5,9.98784556233023,3.01215443766977
6,8,3,8,8,9,5,5,2,12,6.6,12.4581817429415,0.741818257058481
7,8,6,8,6,10,9,6,8,4,7.2,10.632332540222,3.76766745977802
10,10,4,3,11,1,8,3,2,5,5.7,12.9781450628272,0
8,5,7,10,5,7,11,8,4,9,7.4,11.8503463036288,2.94965369637123
10,8,11,7,6,5,5,9,6,11,7.8,12.4012481398469,3.19875186015311
13,9,2,6,12,2,5,9,11,4,7.3,15.2508277696239,0
8,5,4,5,6,4,3,3,9,5,5.2,9.09816138996607,1.30183861003393
8,10,5,6,5,3,5,7,10,8,6.7,11.2311386844565,2.16886131554354
7,4,7,2,10,6,10,4,8,2,6,11.7700837660009,0.22991623399914
4,6,4,3,5,6,5,5,6,7,5.1,7.44654923948621,2.75345076051378
7,7,7,2,5,14,8,3,7,5,6.5,12.9179816834336,0.0820183165664234
10,6,4,8,7,7,2,2,5,11,6.2,12.1736249928796,0.226375007120422
6,2,8,7,7,6,6,5,7,12,6.6,11.5065289835755,1.69347101642448
8,6,12,4,5,4,2,4,6,5,5.6,11.0033471108194,0.196652889180633
6,7,5,5,10,5,2,6,6,7,5.9,9.86869751933805,1.93130248066195
7,3,11,8,4,7,4,11,3,6,6.4,12.2581817429415,0.541818257058481
14,9,10,8,8,4,6,6,7,3,7.5,13.6461966559274,1.35380334407259
7,7,11,9,15,7,4,10,8,7,8.5,14.3618237586759,2.63817624132406
15,8,14,13,6,12,10,9,5,6,9.8,16.8244727757874,2.77552722421264
10,10,10,8,11,8,2,7,8,9,8.3,13.279925925375,3.32007407462498
5,11,11,19,9,10,8,20,4,9,10.6,20.8554605509022,0.344539449097807
16,12,13,9,8,15,8,9,6,8,10.4,17.0112684948587,3.78873150514131
7,7,6,16,10,7,8,10,8,9,8.8,14.4049755673964,3.19502443260355
9,11,12,13,13,10,13,9,5,12,10.7,15.679925925375,5.72007407462498
15,14,16,15,5,13,8,11,13,6,11.6,19.3413797219875,3.85862027801245
8,11,7,8,15,10,9,8,6,15,9.7,15.8322912158145,3.56770878418551
11,7,19,14,9,15,18,9,10,5,11.7,20.8022253689231,2.59777463107693
10,9,9,6,13,14,15,9,7,11,10.3,16.0737813529013,4.52621864709867
16,10,10,10,11,14,15,14,8,13,12.1,17.2815553220588,6.91844467794123
14,5,12,11,15,19,15,7,14,8,12,20.4176111681271,3.58238883187292
16,9,16,20,13,17,10,7,4,8,12,22.1213964780887,1.87860352191128
13,12,8,10,7,14,10,8,13,14,10.9,16.0815553220588,5.71844467794123
9,10,18,14,8,20,16,6,8,15,12.4,21.831563084782,2.96843691521802
10,12,8,15,4,13,8,7,9,13,9.9,16.4626674793444,3.33733252065561
9,10,11,8,5,22,18,8,10,12,11.3,21.2104443223635,1.38955567763651
11,7,15,17,5,15,11,6,8,11,10.6,18.6654257998777,2.53457420012227
12,10,8,12,7,12,14,12,17,9,11.3,17.0737813529013,5.52621864709867
6,7,6,15,7,20,15,12,10,10,10.8,19.9839241189277,1.61607588107229
11,10,18,17,10,15,11,12,15,11,13,18.8435909811995,7.15640901880055
11,13,9,23,9,20,13,11,14,6,12.9,22.9981749726264,2.80182502737362
18,14,10,15,11,16,10,12,16,16,13.8,19.4049755673964,8.19502443260355
10,14,8,21,10,16,11,14,20,5,12.9,22.9132791831647,2.88672081683528
14,12,11,18,11,15,10,20,26,15,15.2,24.9256736984586,5.47432630154143
19,10,10,20,8,16,13,18,21,18,15.3,24.4955361151183,6.10446388488173
17,14,12,9,15,14,13,18,23,10,14.5,22.5149915089717,6.48500849102827
20,8,15,15,10,16,19,19,32,14,16.8,29.6956812753555,3.90431872464446
12,11,9,13,17,15,16,16,20,12,14.1,20.5312694444151,7.66873055558495
15,18,20,28,15,17,15,20,33,17,19.8,31.6611942437888,7.93880575621119
18,10,14,15,14,17,20,18,25,16,16.7,24.5969597525461,8.80304024745388
16,8,15,24,22,15,16,26,23,17,18.2,28.8875429043973,7.51245709560269
15,17,20,27,25,17,26,27,31,13,21.8,33.8397829437799,9.7602170562201
19,14,11,22,23,18,25,28,19,18,19.7,29.5672801611071,9.8327198388929
20,7,15,30,23,12,22,22,17,15,18.3,31.0374869316256,5.56251306837439
14,9,14,22,26,18,28,32,20,19,20.2,33.9913699263142,6.40863007368577
22,11,16,27,30,19,25,38,17,13,21.8,38.141171452636,5.45882854736404
19,13,14,29,26,17,20,25,18,27,20.8,31.8024126647042,9.79758733529575
12,15,12,26,21,20,27,19,16,17,18.5,28.6739755148997,8.32602448510034
14,17,19,19,32,15,19,26,23,21,20.5,31.0448080958251,9.95519190417494
18,17,14,25,33,23,18,21,20,32,22.1,34.4426408123311,9.75735918766886
18,9,12,19,27,20,15,26,22,20,18.8,29.9181901005115,7.68180989948854
16,14,16,17,17,21,12,21,19,25,17.8,25.237677056716,10.362322943284
22,11,17,20,33,16,13,31,22,25,21,35.1337609998188,6.86623900018116
