"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,0,2,0,0,2,0,1,1,1,0.7,2.31361430060319,0
0,0,0,0,0,1,0,0,0,1,0.2,1.02640856185734,0
2,0,1,0,0,0,0,0,2,2,0.7,2.55941926417901,0
0,0,0,0,0,2,1,0,2,1,0.6,2.25281712371467,0
0,0,2,0,1,1,0,1,2,1,0.8,2.34606884998337,0
1,1,0,1,0,3,0,0,3,1,1,3.26321305522333,0
0,0,1,0,0,1,2,0,4,2,1,3.61333333333333,0
1,0,3,1,2,3,1,0,3,2,1.6,3.90062406992344,0
1,1,2,0,0,1,2,0,2,0,0.9,2.61616627011099,0
0,2,3,2,2,4,1,1,2,2,1.9,4.05698967184464,0
2,0,3,0,0,3,2,1,0,2,1.3,3.75326449178776,0
1,0,4,3,1,3,1,3,2,0,1.8,4.540887123218,0
0,1,4,1,0,2,2,1,0,1,1.2,3.60937428483921,0
2,1,7,2,0,2,1,1,0,0,1.6,5.64855859123549,0
3,0,3,3,0,2,1,0,2,0,1.4,4.04579834622537,0
4,1,6,2,2,1,0,2,0,0,1.8,5.58707978967084,0
5,0,7,1,2,1,0,3,2,1,2.2,6.61181444154972,0
6,0,1,0,0,0,1,2,0,1,1.1,4.73173420466495,0
5,0,6,0,2,0,1,3,0,0,1.7,6.13593607808869,0
7,0,2,2,1,0,0,4,0,0,1.6,6.14524709021535,0
3,1,2,0,2,0,1,2,0,2,1.3,3.3763258147239,0
5,0,2,0,2,1,0,5,0,0,1.5,5.44712835137423,0
2,0,0,0,2,0,1,4,0,0,0.9,3.58582782603634,0
3,0,2,0,2,0,0,1,0,1,0.9,3.05698967184464,0
2,0,1,0,0,0,2,2,0,0,0.7,2.55941926417901,0
1,0,0,0,0,0,0,1,0,1,0.3,1.24676994741771,0
1,1,0,1,0,0,0,0,2,0,0.5,1.88592929112563,0
3,1,0,1,0,2,0,1,0,0,0.8,2.82427929561774,0
1,0,0,0,1,2,0,0,0,0,0.4,1.770443561609,0
0,1,0,0,1,1,1,0,0,0,0.4,1.41213964780887,0
1,1,0,1,4,1,1,0,1,0,1,3.26321305522333,0
0,1,1,2,1,2,1,2,1,0,1.1,2.54621498325034,0
0,0,0,1,3,2,0,2,1,1,1,3.06602140464334,0
0,1,1,2,0,3,0,0,0,0,0.7,2.77632581472391,0
1,2,0,2,0,1,1,0,3,2,1.2,3.22427929561774,0
0,1,0,1,1,0,1,0,2,0,0.6,1.970443561609,0
0,0,1,1,0,0,1,0,0,0,0.3,1.24676994741771,0
3,0,1,2,0,0,0,1,0,0,0.7,2.77632581472391,0
1,1,0,0,0,0,1,0,0,0,0.3,1.24676994741771,0
2,0,0,3,0,2,0,2,1,0,1,3.26321305522333,0
5,0,0,0,0,1,2,0,1,0,0.9,4.02645770446008,0
0,0,1,1,0,0,0,0,0,0,0.2,1.02640856185734,0
2,0,2,1,0,0,1,2,0,0,0.8,2.60111570360646,0
0,0,0,0,0,0,1,0,0,1,0.2,1.02640856185734,0
0,0,1,0,1,0,1,0,2,0,0.5,1.88592929112563,0
2,0,0,0,0,0,0,0,3,0,0.5,2.6170419614799,0
1,1,0,2,0,2,0,0,0,1,0.7,2.31361430060319,0
1,1,0,0,0,0,0,0,2,0,0.4,1.770443561609,0
0,0,0,2,0,0,0,1,0,2,0.5,2.16567970777364,0
