"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,2,0,1,2,5,1,1,2,0,1.6,4.40248778369822,0
1,1,3,3,4,0,0,1,2,1,1.6,4.24579834622537,0
3,1,0,2,1,3,1,2,3,1,1.7,3.7763258147239,0
2,4,2,0,0,2,2,1,2,1,1.6,3.90062406992344,0
0,0,5,2,2,2,1,1,1,0,1.4,4.3508687986196,0
1,3,2,1,0,2,3,1,3,0,1.6,3.90062406992344,0
2,2,1,0,2,2,2,3,0,0,1.4,3.50693669155535,0
1,0,2,1,2,2,0,0,2,1,1.1,2.81616627011099,0
1,5,0,1,1,2,1,0,2,4,1.7,4.90732772118958,0
2,0,0,0,0,1,2,3,1,0,0.9,3.05698967184464,0
2,2,0,2,1,1,4,2,8,1,2.3,6.73593607808869,0
1,2,2,3,2,0,2,1,0,3,1.6,3.70693669155535,0
0,2,1,1,3,1,1,2,3,0,1.4,3.50693669155535,0
1,0,0,0,2,2,0,1,0,2,0.8,2.60111570360646,0
0,3,1,2,2,5,3,1,4,2,2.3,5.22909087147076,0
0,1,0,0,2,1,0,2,2,2,1,2.84790572150084,0
1,0,0,3,1,3,1,3,1,1,1.4,3.70062406992344,0
1,3,2,2,3,0,1,2,0,2,1.6,3.70693669155535,0
1,2,2,2,1,4,1,1,1,1,1.6,3.49353989483542,0
2,0,0,1,2,1,2,1,0,2,1.1,2.81616627011099,0
0,0,4,1,2,3,0,3,3,2,1.8,4.69242996650068,0
2,0,1,2,1,2,1,1,1,4,1.5,3.6170419614799,0
3,1,2,2,1,3,1,0,0,0,1.3,3.57262354510768,0
3,1,5,1,1,0,2,3,1,3,2,4.92179549059973,0
1,1,1,4,2,0,0,2,4,3,1.8,4.69242996650068,0
4,0,2,1,4,2,2,0,2,3,2,4.77185858225127,0
1,1,2,2,4,3,1,3,1,0,1.8,4.20937428483921,0
2,3,2,0,7,3,0,2,1,0,2,6.13204280928668,0
2,0,1,2,4,3,0,1,5,1,1.9,5.16012678690057,0
3,1,0,3,2,1,3,4,1,1,1.9,4.42190051790752,0
3,1,1,3,1,0,1,0,2,2,1.4,3.50693669155535,0
1,1,1,1,4,3,0,1,3,0,1.5,4.15385254551441,0
1,2,1,1,0,0,0,1,5,3,1.4,4.49213769996673,0
2,1,1,1,0,2,1,2,2,1,1.3,2.62289917311268,0
7,3,2,1,0,0,2,1,0,2,1.8,5.91133068482699,0
5,2,2,2,2,1,0,2,3,2,2.1,4.62190051790752,0
3,2,0,2,4,1,4,3,1,1,2.1,4.78582782603634,0
2,2,3,3,1,1,2,6,0,4,2.4,5.75688744722449,0
4,2,1,3,3,1,3,5,3,0,2.5,5.45809247845822,0
2,0,3,1,4,0,1,2,1,2,1.6,4.07922568557201,0
4,2,1,1,0,0,2,5,1,3,1.9,5.16012678690057,0
5,2,5,1,2,1,0,4,2,1,2.3,5.76328296402256,0
2,0,1,3,7,1,1,6,3,5,2.9,7.56115674722726,0
1,3,1,2,5,1,2,0,3,3,2.1,4.94030984225313,0
3,1,2,0,0,0,2,5,4,4,2.1,5.73173420466495,0
7,1,4,4,5,5,3,2,5,6,4.2,7.75451762628286,0.645482373717138
2,2,2,3,7,2,1,2,8,3,3.2,7.80124813984689,0
2,2,2,3,1,2,3,2,4,5,2.6,4.90062406992344,0.299375930076556
6,4,2,1,5,3,6,1,3,8,3.9,8.46866428328164,0
2,1,0,6,9,4,4,5,6,3,4,9.22666666666667,0
5,2,0,2,2,3,1,3,5,3,2.6,5.69213769996673,0
4,1,1,6,8,3,5,4,3,5,4,8.2340839229598,0
6,2,1,2,8,7,1,2,7,3,3.9,9.32306022668218,0
6,2,1,3,1,3,4,4,6,4,3.4,6.8817211580226,0
6,2,4,2,8,6,5,7,4,5,4.9,8.75964650079656,1.04035349920344
3,4,3,4,3,3,2,3,5,6,3.6,5.90062406992344,1.29937593007656
4,3,0,3,4,3,4,5,8,6,4,8.13204280928668,0
4,3,5,6,2,1,4,2,4,4,3.5,6.45809247845822,0.541907521541777
4,8,2,4,1,4,2,4,4,7,4,8.2340839229598,0
6,2,2,7,8,1,3,2,7,8,4.6,10.1590950502557,0
5,2,2,5,1,3,6,4,5,4,3.7,6.90732772118958,0.492672278810425
1,6,2,3,4,4,3,2,4,7,3.6,7.20223140721291,0
3,6,2,7,5,5,3,4,4,4,4.3,7.22909087147076,1.37090912852924
4,4,0,4,3,5,2,4,7,4,3.7,7.28441317062888,0.115586829371121
2,4,3,2,7,3,4,1,4,5,3.5,6.86323917938909,0.136760820610913
3,4,2,5,6,7,4,2,12,9,5.4,11.6801613567381,0
3,7,5,6,3,6,4,4,8,10,5.6,10.0503463036288,1.14965369637123
4,8,6,3,7,9,3,4,6,9,5.9,10.4686642832816,1.33133571671836
4,6,5,7,4,11,10,4,15,12,7.8,15.5192930015931,0.0807069984068844
3,6,7,7,2,10,5,4,14,4,6.2,13.2244727757874,0
2,6,6,6,3,11,8,7,17,8,7.4,15.6744092773375,0
4,8,7,6,2,8,9,3,11,11,6.9,13.0600707066649,0.739929293335091
8,7,6,6,4,8,6,4,14,10,7.3,13.1472420849491,1.45275791505089
6,11,5,5,7,14,10,7,14,6,8.5,15.3677733735987,1.63222662640131
9,3,2,5,5,12,10,7,10,11,7.4,14.264665080444,0.535334919556042
7,5,9,6,7,12,11,4,18,15,9.4,18.3198545080312,0.480145491968804
10,10,4,10,8,9,14,10,13,7,9.5,15.062932879536,3.93706712046404
12,6,8,8,3,14,10,7,16,13,9.7,17.5969597525461,1.80304024745388
7,6,6,9,6,18,10,17,17,6,10.2,20.2281878278735,0.171812172126456
12,10,2,11,7,14,12,12,14,7,10.1,17.4597934753633,2.74020652463671
10,13,12,14,9,12,8,13,22,9,12.2,20.029103538862,4.37089646113795
17,6,4,14,9,21,13,14,25,5,12.8,26.4357412706461,0
13,19,6,16,11,21,17,14,25,7,14.9,26.6400200643402,3.15997993565977
