"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,0,0,0,2,0,0,1,0,0,0.4,1.770443561609,0
1,0,1,0,1,0,0,3,0,3,0.9,3.24654923948621,0
0,2,0,2,0,1,1,0,2,2,1,2.84790572150084,0
1,1,0,3,1,1,1,1,1,0,1,2.60033329861834,0
0,0,3,2,0,0,1,2,1,0,0.9,3.05698967184464,0
3,1,1,2,0,0,1,0,0,3,1.1,3.44654923948621,0
1,2,1,0,0,0,0,2,1,0,0.7,2.31361430060319,0
1,1,0,1,0,2,0,0,0,1,0.6,1.970443561609,0
2,1,2,0,5,1,1,0,1,1,1.4,4.20248778369822,0
0,0,1,1,1,1,0,0,1,1,0.6,1.61213964780887,0
1,3,1,0,0,1,1,0,0,0,0.7,2.55941926417901,0
1,0,0,0,2,1,0,1,0,0,0.5,1.88592929112563,0
1,0,0,2,1,1,0,0,0,2,0.7,2.31361430060319,0
1,0,0,5,1,3,0,2,1,0,1.3,4.50732772118958,0
3,1,1,4,3,2,2,1,2,1,2,4.06602140464334,0
2,0,1,5,2,2,2,4,0,0,1.8,5.10563424742935,0
3,2,4,2,2,5,3,3,5,2,3.1,5.44654923948621,0.753450760513785
2,0,0,1,5,5,3,1,1,1,1.9,5.53173420466495,0
2,0,2,1,4,4,5,1,3,0,2.2,5.63233254022198,0
2,1,1,4,2,3,0,1,0,0,1.4,4.04579834622537,0
1,0,1,1,7,2,4,2,1,1,2,6.0274171486064,0
3,1,0,5,5,3,3,2,1,1,2.4,5.75688744722449,0
2,0,0,3,5,3,4,1,0,2,2,5.45711504645773,0
3,0,1,2,10,2,3,1,3,1,2.6,8.08177424643599,0
3,1,1,1,1,2,5,3,2,2,2.1,4.62190051790752,0
1,1,1,6,9,0,2,3,1,3,2.7,8.17008186004155,0
2,3,2,5,7,1,4,0,2,0,2.6,6.95337723306094,0
2,2,0,7,8,0,3,6,0,2,3,8.84359098119945,0
2,7,2,7,8,0,2,1,0,1,3,9.05876408372386,0
3,5,6,5,7,1,5,0,1,1,3.4,8.30652898357552,0
0,4,0,6,6,2,4,1,3,1,2.7,7.13593607808869,0
3,8,4,6,9,2,4,1,4,2,4.3,9.44849881033297,0
2,3,0,5,3,1,3,2,1,0,2,5.06440496308464,0
1,2,3,6,4,3,3,1,4,0,2.7,6.16328296402256,0
4,2,1,6,4,4,3,2,1,0,2.7,6.28441317062888,0
4,4,2,5,3,3,4,2,2,1,3,5.44454949269231,0.555450507307692
3,3,1,1,5,6,4,0,0,0,2.3,6.63864494975102,0
3,6,3,9,3,3,3,1,2,2,3.5,8.04994017054681,0
4,3,0,5,2,5,3,2,0,0,2.4,6.2318988620381,0
4,4,1,1,4,7,4,1,3,0,2.9,7.07826971099016,0
1,5,0,2,1,4,6,3,0,1,2.3,6.43720463866875,0
5,4,2,2,4,3,5,1,1,0,2.7,6.16328296402256,0
3,13,1,5,3,2,1,3,3,3,3.7,10.4927817898446,0
4,4,0,2,2,4,2,2,2,2,2.4,4.87922568557201,0
4,5,0,5,3,5,0,4,2,2,3,6.8095552379656,0
2,4,1,1,3,3,1,4,4,1,2.4,5.04579834622537,0
3,3,0,3,6,3,2,4,5,5,3.4,6.75688744722449,0.0431125527755123
2,2,1,4,1,1,2,2,6,0,2.1,5.4885270480779,0
3,3,0,3,2,3,1,3,1,2,2.1,4.25698967184464,0
0,1,0,0,0,3,3,5,6,1,1.9,6.27782086837225,0
3,3,1,2,2,1,1,3,5,0,2.1,4.94030984225313,0
1,5,1,0,2,1,2,7,2,1,2.2,6.41387338311071,0
0,2,0,1,1,1,2,5,7,2,2.1,6.47782086837225,0
4,5,3,1,0,1,3,10,7,0,3.4,9.74776461091269,0
1,4,2,1,4,3,4,7,2,1,2.9,6.6474234111216,0
1,4,3,2,0,2,7,12,6,1,3.8,10.9449699478413,0
2,9,3,3,1,3,4,7,3,1,3.6,8.59276632294718,0
2,6,4,0,5,3,8,6,8,1,4.3,9.77008186004154,0
0,13,5,0,2,1,8,4,3,0,3.6,11.822661369654,0
3,12,3,0,4,3,11,10,6,1,5.3,13.669299452961,0
3,14,5,0,4,0,11,9,3,1,5,14.4225073332126,0
0,8,6,1,1,3,15,9,3,1,4.7,14.0793731133802,0
1,8,6,0,1,0,16,5,6,1,4.4,14.2304416087082,0
0,7,7,0,4,7,14,5,4,0,4.8,13.3083968982281,0
1,17,3,1,3,8,12,1,8,1,5.5,16.4421143599702,0
2,4,5,0,3,5,15,4,6,1,4.5,12.620804557842,0
0,15,6,1,0,8,11,2,6,0,4.9,15.1658605744152,0
0,6,7,1,1,10,16,8,3,1,5.3,15.3388233042191,0
0,17,6,1,0,8,17,2,3,1,5.5,18.4105675923081,0
1,14,5,2,1,11,14,5,2,1,5.6,16.1427839460616,0
0,20,4,3,1,9,16,3,2,4,6.2,19.3902159025376,0
0,15,5,3,2,8,15,2,3,3,5.6,16.1427839460616,0
1,18,8,2,2,8,14,5,2,2,6.2,17.6211935550634,0
1,16,7,2,2,9,12,8,2,1,6,16.2887036220421,0
1,18,11,4,2,8,13,7,2,2,6.8,17.9947098617556,0
2,15,9,3,2,10,9,7,2,3,6.2,15.0042575559278,0
3,15,9,0,2,16,14,10,5,3,7.7,19.2420167696599,0
3,11,7,4,2,17,7,11,2,4,6.8,16.393104931263,0
2,21,10,1,6,21,7,15,3,6,9.2,23.7445559116347,0
2,26,12,7,5,17,11,12,5,3,10,24.4029996875651,0
6,21,12,3,5,14,13,11,2,4,9.1,21.0204243026645,0
4,14,12,8,6,8,12,23,6,7,10,20.8932435736816,0
5,23,11,10,2,14,17,15,5,5,10.7,23.669942002783,0
5,15,10,10,5,8,15,18,2,6,9.4,19.6137545605043,0
4,22,21,13,7,8,19,18,6,8,12.6,25.9957233639862,0
2,17,12,11,5,9,18,20,0,11,10.5,23.6724055003886,0
5,23,20,10,10,4,17,18,3,8,11.8,25.8671633403627,0
2,24,8,9,12,8,20,15,4,13,11.5,24.8973164808811,0
8,28,13,5,9,10,18,13,2,13,11.9,26.1075591773456,0
4,19,15,8,11,6,10,11,3,15,10.2,20.2706623416735,0.129337658326538
3,26,13,14,10,16,17,16,5,18,13.8,26.7946012721523,0.805398727847701
6,34,11,8,13,8,9,11,9,16,12.5,28.3222712233948,0
6,24,21,13,16,11,18,15,7,17,14.8,26.0327742689764,3.56722573102362
4,35,16,5,13,7,9,16,8,11,12.4,29.9842576060394,0
11,32,19,10,13,9,10,12,5,12,13.3,27.9104382777063,0
11,36,17,10,15,6,9,11,6,16,13.7,30.7881328542484,0
9,33,25,6,12,9,8,16,7,13,13.8,30.9566875849882,0
12,31,21,10,14,9,12,17,3,17,14.6,29.5326333169263,0
9,34,21,7,20,10,13,16,6,13,14.9,31.3880934818634,0
10,26,23,7,17,10,9,17,4,12,13.5,27.3669903808369,0
8,41,26,6,12,11,11,13,11,11,15,35.701493236533,0
10,30,27,8,23,13,10,19,7,14,16.1,32.1685470545549,0.0314529454451176
7,33,20,4,24,14,8,18,7,10,14.5,32.5170807846332,0
8,36,28,7,14,12,10,23,4,4,14.6,35.8950589991617,0
11,38,25,2,12,18,9,26,7,14,16.2,37.2653147245524,0
8,40,25,7,12,9,10,14,4,9,13.8,34.98654331829,0
15,46,30,7,11,14,14,20,1,14,17.2,42.0060265079096,0
8,31,23,12,8,9,10,19,4,8,13.2,29.748818554675,0
20,41,34,8,13,16,7,20,4,8,17.1,40.9345814125424,0
13,41,28,10,6,16,7,14,1,12,14.8,37.6722659811203,0
15,37,30,11,11,18,9,18,2,2,15.3,37.2825065803597,0
15,46,33,6,11,23,8,18,4,9,17.3,43.4993998234904,0
21,36,42,8,12,31,4,10,0,1,16.5,46.1853559108789,0
13,38,38,9,10,20,7,14,2,7,15.8,40.5888132475563,0
18,36,45,9,11,21,6,6,1,6,15.9,44.1441070353131,0
26,36,41,8,7,19,7,18,2,7,17.1,43.4682937551059,0
18,38,32,11,15,22,6,5,1,7,15.5,39.3309994195236,0
23,30,26,15,10,24,6,12,1,9,15.6,34.4721754030754,0
17,44,27,12,15,23,7,8,2,7,16.2,40.5895555059492,0
19,30,33,8,13,30,11,13,2,8,16.7,37.891579459776,0
15,44,31,9,11,34,14,9,2,8,17.7,44.5749601756811,0
26,37,29,17,21,29,17,10,4,9,19.9,40.3828075332569,0
17,40,29,13,19,32,14,8,4,10,18.6,41.2359022597093,0
21,44,26,14,18,37,20,10,3,11,20.4,44.9361244789075,0
25,38,39,9,20,26,21,6,2,6,19.2,45.1497552118619,0
28,47,39,13,27,36,22,7,4,10,23.3,51.9879551960981,0
25,36,31,12,21,30,16,8,1,8,18.8,41.5974953790006,0
24,41,29,17,23,23,18,12,6,14,20.7,39.8606082018987,1.53939179810133
26,50,26,8,12,26,15,11,0,13,18.7,46.0628916600567,0
22,44,24,17,24,19,19,19,2,17,20.7,40.859330235788,0.540669764212019
24,35,32,12,23,24,19,18,2,17,20.6,39.1758189291587,2.02418107084135
23,37,31,15,15,22,18,17,2,20,20,38.5941926417901,1.40580735820993
25,35,29,13,31,29,20,26,6,10,22.4,41.51935098852,3.28064901147996
22,35,35,21,25,27,25,16,3,22,23.1,41.1927334707734,5.00726652922659
27,39,34,20,23,25,17,30,4,10,22.9,43.7749968463071,2.02500315369285
28,28,32,21,20,21,18,20,4,10,20.2,36.645322739308,3.75467726069203
21,45,29,23,20,21,9,25,2,12,20.7,43.7627592066132,0
23,34,30,16,18,28,14,19,6,9,19.7,37.4977881272427,1.90221187275727
20,31,32,21,16,26,16,23,6,9,20,36.7844372361224,3.21556276387756
27,35,24,19,14,36,14,21,6,11,20.7,40.2137881737219,1.18621182627809
23,40,20,27,21,35,12,21,13,19,23.1,40.421344058704,5.77865594129601
19,47,27,15,17,36,16,14,12,15,21.8,44.2199022695858,0
24,43,19,21,21,35,15,17,19,18,23.2,40.6037012666208,5.79629873337922
23,35,28,22,18,36,14,16,11,16,21.9,38.8728405270171,4.92715947298286
19,50,19,24,18,27,13,12,10,8,20,43.8085997534971,0
23,54,24,22,25,26,20,19,8,16,23.7,46.9837954141693,0.416204585830751
19,42,21,16,20,34,12,14,7,15,20,40.5774072440842,0
24,54,15,20,15,33,13,17,4,12,20.7,48.1407777667552,0
14,44,15,13,21,32,16,6,6,18,18.5,41.3246280242295,0
17,40,12,25,16,40,13,6,6,15,19,43.1821605504738,0
15,45,20,17,20,39,12,8,7,17,20,44.4978221254235,0
14,33,14,23,20,38,16,6,7,10,18.1,38.9545391808221,0
16,31,11,18,23,35,16,5,7,8,17,36.8165811604547,0
21,35,11,18,15,38,17,4,10,5,17.4,39.8655485379527,0
10,46,6,14,19,33,10,7,6,6,15.7,42.2714771052637,0
19,31,13,12,20,39,11,4,11,3,16.3,38.6101615114429,0
17,42,9,21,22,34,12,8,10,2,17.7,42.0939303926202,0
12,42,9,25,14,43,7,5,6,4,16.7,45.8894534987477,0
13,32,6,17,24,44,13,5,15,9,17.8,41.9079114722855,0
21,37,9,27,13,45,6,6,13,7,18.4,45.4830111570581,0
15,30,4,17,26,36,10,5,18,12,17.3,37.9818958941819,0
23,38,7,21,18,41,11,8,14,11,19.2,42.6072110446522,0
13,38,6,16,17,41,12,6,19,14,18.2,41.7526440129341,0
21,32,6,26,14,37,12,7,18,19,19.2,39.1625142037102,0
17,34,7,11,15,28,12,8,25,19,17.6,35.1356419265956,0.0643580734043923
16,34,10,17,12,29,15,6,21,25,18.5,35.667879568802,1.33212043119801
18,38,9,11,10,33,12,10,28,22,19.1,39.9954344827338,0
24,47,14,10,12,35,14,8,22,16,20.2,44.3786300503381,0
8,46,11,13,12,29,8,11,21,13,17.2,40.6800401286805,0
19,41,11,7,14,28,28,10,26,8,19.2,41.1582213406379,0
20,49,8,9,16,21,9,9,24,14,17.9,42.1077412779007,0
22,30,14,10,14,23,17,15,30,10,18.5,33.0577562373694,3.94224376263063
27,38,10,6,13,19,9,10,26,9,16.7,37.2369178689392,0
33,42,12,8,20,22,14,15,35,9,21,44.2094310332866,0
31,49,21,8,16,15,15,14,26,10,20.5,44.4382260551334,0
39,37,14,8,17,23,19,17,33,6,21.3,43.9895809667002,0
33,45,18,11,21,23,16,18,44,12,24.1,48.378169068802,0
30,29,19,4,15,23,18,26,46,2,21.2,46.4832402986642,0
41,34,15,6,30,32,12,24,40,5,23.9,50.4779019320772,0
29,32,19,5,19,38,21,16,52,4,23.5,52.3541173645788,0
42,38,14,10,24,45,21,34,37,4,26.9,55.0077637357052,0
26,45,17,7,17,33,21,26,42,4,23.8,50.3353084691992,0
31,39,16,6,35,58,17,27,33,4,26.6,58.6759387842178,0
35,41,14,10,22,34,20,30,50,4,26,54.4631473234348,0
43,43,17,7,29,47,26,21,37,6,27.6,56.7477474639503,0
32,31,9,10,28,46,26,23,27,4,23.6,48.4472896800525,0
37,30,21,7,16,59,21,21,38,9,25.9,56.5085097825933,0
33,39,15,9,30,55,18,15,48,3,26.5,60.3253829739344,0
34,35,21,12,25,83,23,21,38,9,30.1,70.9785189990483,0
38,29,17,12,29,68,20,20,46,5,28.4,64.5311645105564,0
27,37,25,16,25,64,15,24,35,6,27.4,58.4206079172468,0
40,28,15,12,32,85,9,30,39,3,29.3,75.1642792014294,0
26,26,27,13,30,62,15,28,38,5,27,57.5184301329177,0
34,27,15,9,34,80,15,31,38,4,28.7,70.8189766679528,0
30,40,25,16,28,62,14,31,41,3,29,61.3119406893351,0
30,37,14,12,35,55,14,28,43,8,27.6,57.7837171703921,0
31,37,23,15,39,61,14,32,44,5,30.1,62.4178846942542,0
26,38,24,12,38,58,14,30,48,6,29.4,61.6749311730052,0
35,30,23,17,43,47,10,38,52,8,30.3,60.4674500082456,0.132549991754363
44,35,25,16,41,60,8,27,48,8,31.2,65.458597234044,0
34,37,34,15,49,51,10,34,46,10,32,62.2232875629226,1.77671243707741
41,37,35,18,54,62,10,35,46,12,35,68.91045463177,1.08954536822997
37,43,31,12,48,57,11,38,36,6,31.9,65.1937282048403,0
51,43,34,12,67,48,12,41,39,8,35.5,73.3172224140154,0
37,38,30,15,67,67,13,35,44,7,35.3,75.754471748429,0
44,45,38,9,58,55,11,46,39,4,34.9,73.3796139966779,0
41,50,37,16,44,49,13,45,42,7,34.4,65.844275649331,2.95572435066899
44,44,41,8,52,55,18,44,35,6,34.7,69.431902977586,0
49,43,35,14,57,60,14,45,47,6,37,74.5083895800511,0
45,41,42,10,69,61,17,49,38,7,37.9,78.5481507574453,0
47,36,44,12,56,45,15,51,44,1,35.1,71.993959517635,0
52,42,50,9,60,53,12,50,34,4,36.6,77.287510286737,0
59,33,38,12,51,40,9,50,39,2,33.3,71.2614215867753,0
48,32,49,7,58,33,6,43,49,3,32.8,72.9021087835651,0
60,34,42,17,60,26,11,44,38,2,33.4,71.6877860420265,0
46,31,39,16,42,30,17,40,37,2,30,57.5641635300459,2.43583646995413
48,25,40,20,54,34,12,37,31,2,30.3,61.6198214838108,0
60,33,36,15,36,52,10,45,37,2,32.6,68.8608828721346,0
50,35,43,17,53,31,12,42,34,0,31.7,65.3203327368028,0
57,32,40,17,35,44,11,29,35,2,30.2,62.1639619293701,0
43,37,35,19,44,40,5,43,31,0,29.7,61.3991246987463,0
52,28,41,15,34,36,8,34,30,2,28,58.1525897174134,0
44,32,41,21,41,37,6,43,29,1,29.5,59.8395788442167,0
50,25,43,23,31,31,3,27,35,3,27.1,56.7018404833213,0
45,29,37,16,53,43,6,31,40,2,30.2,63.7026887146556,0
61,24,52,25,47,31,9,29,49,5,33.2,69.7025700160657,0
56,37,47,24,37,36,4,37,32,4,31.4,64.1996758791574,0
66,28,66,30,39,39,9,29,43,10,35.9,74.1124607948769,0
60,32,52,31,39,39,5,30,47,4,33.9,69.6182776740425,0
53,40,52,34,39,45,13,30,35,11,35.2,63.2218314890373,7.17816851096275
59,36,66,27,49,52,10,31,49,6,38.5,77.9307099719101,0
59,37,51,26,46,56,12,42,39,4,37.2,72.8985542190904,1.50144578090966
65,39,64,28,62,59,19,29,43,13,42.1,80.4573997496644,3.7426002503356
62,39,73,41,73,73,9,36,39,11,45.6,92.9763530325696,0
72,42,79,31,49,46,18,34,44,14,42.9,83.5691472467493,2.23085275325067
62,44,83,39,51,85,11,36,39,12,46.2,95.7569591031931,0
81,50,83,43,60,56,24,41,45,16,49.9,92.1040185553724,7.69598144462755
81,58,90,39,53,66,12,34,43,17,49.3,99.2451861321767,0
95,53,65,50,50,67,24,33,43,15,49.5,94.6911190882063,4.30888091179369
76,50,65,38,61,79,19,31,43,16,47.8,91.5567530788106,4.04324692118941
90,57,76,51,65,71,21,40,49,22,54.2,98.2290441514336,10.1709558485664
94,71,51,38,51,77,35,36,46,23,52.2,95.3872606730786,9.01273932692137
78,47,75,48,64,64,26,34,46,21,50.3,88.9633150271532,11.6366849728468
75,63,72,48,48,61,35,40,48,25,51.5,83.0939192461672,19.9060807538328
77,53,66,46,55,66,29,41,61,19,51.3,86.3499785385891,16.2500214614109
69,59,81,49,44,50,35,32,70,24,51.3,87.3702724013988,15.2297275986012
63,48,62,49,48,60,32,31,61,19,47.3,77.3540434698709,17.2459565301291
49,55,69,53,36,51,43,31,63,22,47.2,75.5097709084494,18.8902290915506
57,50,68,39,40,61,41,26,66,14,46.2,80.6449824760846,11.7550175239154
52,46,61,43,44,50,32,35,74,20,45.7,75.3968568482704,16.0031431517296
54,47,52,34,40,67,31,27,63,21,43.6,73.9951001899246,13.2048998100754
59,49,54,44,44,54,40,25,70,20,45.9,75.4296548499226,16.3703451500774
58,51,41,44,40,46,39,37,58,32,44.6,61.6918792933304,27.5081207066696
65,49,41,37,52,60,44,33,72,18,47.1,78.6290029443791,15.5709970556209
65,58,37,50,56,60,43,27,72,28,49.6,79.8119870250204,19.3880129749796
45,60,40,35,56,66,39,30,68,30,46.9,75.309860260128,18.490139739872
61,58,51,41,52,72,58,36,85,44,55.8,84.573381526064,27.0266184739359
56,61,50,45,58,60,49,34,82,28,52.3,81.9393075342713,22.6606924657287
54,47,51,39,67,80,57,38,76,36,54.5,85.1336010144271,23.8663989855729
53,59,52,39,57,62,61,33,70,37,52.3,76.1632180003731,28.4367819996268
57,64,47,33,53,75,67,35,92,46,56.9,92.6541106261457,21.1458893738543
52,65,55,44,67,73,71,33,92,48,60,93.3520107673019,26.6479892326981
64,52,50,37,70,85,66,48,104,56,63.2,101.650206992652,24.7497930073481
57,72,54,34,60,79,74,46,72,45,59.3,88.3869106873407,30.2130893126593
68,70,57,37,86,87,77,45,89,39,65.5,104.702722127707,26.2972778722928
52,72,63,46,62,93,74,41,75,40,61.8,95.4679091519902,28.1320908480098
69,74,66,40,64,103,62,51,97,51,67.7,106.462548018531,28.9374519814694
66,64,73,44,58,116,64,47,81,36,64.9,109.109478923266,20.6905210767344
87,74,60,34,59,90,70,47,96,35,65.2,108.643473566873,21.7565264331274
69,73,66,56,64,118,80,57,90,29,70.2,115.987434666438,24.4125653335619
70,80,63,30,49,106,68,52,109,40,66.7,117.836012272283,15.5639877277167
59,66,79,55,49,100,83,49,113,30,68.3,118.116827322145,18.4831726778547
69,76,67,42,45,118,78,55,119,19,68.8,130.903105093242,6.6968949067583
66,84,64,48,48,142,77,60,101,30,72,134.221211102896,9.7787888971043
75,88,62,50,47,128,94,63,116,27,75,137.13883523566,12.8611647643405
60,93,77,48,52,134,81,55,115,37,75.2,136.389122635391,14.0108773646093
62,81,70,54,72,124,86,59,114,33,75.5,129.13902476535,21.8609752346505
63,80,76,40,61,135,78,47,122,29,73.1,139.318806190789,6.88119380921056
