"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
5,2,2,0,1,0,1,2,2,2,1.7,4.47954752512787,0
2,1,0,3,1,0,0,3,4,0,1.4,4.3508687986196,0
5,5,1,3,1,1,1,1,1,2,2.1,5.36012678690058,0
3,2,1,1,2,1,0,0,1,3,1.4,3.50693669155535,0
2,9,2,3,4,1,3,1,3,1,2.9,7.56115674722726,0
4,2,1,2,2,0,2,0,3,5,2.1,5.22645770446008,0
5,8,0,2,3,3,0,1,1,0,2.3,7.3649137318528,0
2,5,4,1,3,0,3,2,0,2,2.2,5.37388230545635,0
5,6,2,2,4,7,4,1,2,5,3.8,7.69816138996607,0
5,5,3,2,2,1,3,5,4,1,3.1,6.22645770446008,0
5,3,1,3,2,6,4,4,2,1,3.1,6.36012678690058,0
11,5,2,4,3,6,1,3,8,1,4.4,10.6801613567381,0
7,7,4,3,0,4,5,2,4,3,3.9,8.07826971099016,0
5,3,1,4,3,5,5,3,5,1,3.5,6.59903210696501,0.400967893034988
9,3,1,2,2,3,2,2,6,1,3.1,8.02822979262218,0
7,1,5,8,1,4,4,3,2,1,3.6,8.50652898357552,0
7,3,2,5,0,4,3,4,4,3,3.5,7.1081512656145,0
5,1,5,1,0,6,3,2,2,4,2.9,6.86869751933805,0
7,2,1,2,2,2,1,4,1,3,2.5,6.1081512656145,0
6,0,9,5,1,2,1,5,4,3,3.6,9.00334711081937,0
7,0,6,4,3,2,2,2,2,5,3.3,7.53912150228218,0
4,3,8,5,0,2,1,7,0,5,3.5,8.98566617042391,0
10,0,3,4,2,5,3,2,4,2,3.5,8.74704361204161,0
6,0,9,7,2,1,2,5,1,1,3.4,9.47283788685323,0
8,2,7,7,1,4,2,5,2,8,4.6,10.0033471108194,0
7,0,5,5,3,4,0,3,3,7,3.7,8.50544320999057,0
8,2,7,6,3,4,1,5,3,3,4.2,8.61181444154972,0
9,1,9,6,1,1,1,6,4,12,5,12.9481430395897,0
6,4,10,2,5,4,2,5,3,5,4.6,9.14524709021535,0.0547529097846482
8,1,9,2,4,2,2,3,2,5,3.8,9.17165565207269,0
8,7,14,4,5,1,3,4,5,8,5.9,12.9638598199253,0
8,2,13,4,5,7,3,4,2,9,5.7,12.6173161140881,0
6,5,12,2,8,1,5,9,4,12,6.4,13.8605975334122,0
11,2,12,7,6,3,1,2,2,6,5.2,12.8637977240762,0
9,5,12,2,6,2,4,5,2,3,5,11.467670025253,0
17,3,10,4,6,1,3,8,3,10,6.5,15.978963843984,0
9,7,11,1,7,1,7,5,3,5,5.6,12.0146554423792,0
10,2,10,1,9,3,3,4,5,5,5.2,11.7202535738012,0
7,7,6,3,9,4,5,6,1,6,5.4,9.85034630362876,0.949653696371235
17,4,10,3,7,3,2,6,6,5,6.3,14.9699081117776,0
8,1,7,2,10,2,4,3,4,4,4.5,10.2143328569484,0
9,5,9,3,11,1,0,4,5,4,5.1,12.1031726143703,0
4,2,7,0,9,3,4,8,8,7,5.2,11.1017375972392,0
8,4,6,6,9,3,3,6,6,2,5.3,9.73593607808869,0.864063921911307
10,7,6,0,6,3,5,1,6,5,4.9,10.6292528114736,0
7,5,7,5,7,5,3,5,4,6,5.4,8.04579834622537,2.75420165377463
9,1,3,3,6,3,1,3,5,5,3.9,8.65184923067969,0
15,7,7,3,10,4,3,5,3,7,6.4,13.8605975334122,0
12,5,2,6,8,6,4,8,3,2,5.6,11.7427232469719,0
17,5,9,8,5,6,2,5,2,7,6.6,15.0277467662214,0
20,9,4,3,7,6,8,5,2,8,7.2,17.0996709260684,0
17,5,8,7,4,8,0,8,1,3,6.1,15.5428705616695,0
23,6,11,4,5,11,4,6,4,5,7.9,19.5304344048038,0
20,2,8,6,9,7,4,11,1,2,7,18.048869223188,0
13,4,9,7,4,7,4,4,3,6,6.1,12.1198914718899,0.0801085281100509
18,3,9,6,5,12,3,10,2,4,7.2,17.0996709260684,0
14,8,8,7,4,8,5,10,6,5,7.5,13.2143328569484,1.78566714305161
15,5,14,6,1,9,3,10,3,4,7,16.4225073332126,0
11,8,17,10,8,9,2,18,3,2,8.8,19.8411400377558,0
12,8,8,8,5,9,6,11,8,3,7.8,13.0103077324345,2.58969226756551
10,8,16,3,6,9,5,15,7,4,8.3,16.8708767864723,0
17,11,10,8,3,7,3,15,7,2,8.3,18.2104443223635,0
12,12,19,10,8,7,2,10,11,0,9.1,19.6123749298941,0
18,16,10,10,3,9,4,11,10,4,9.5,19.2015050378794,0
8,12,11,7,7,5,2,13,4,5,7.4,14.5090352525657,0.290964747434275
21,14,13,11,5,6,7,11,16,2,10.6,21.8099511347929,0
16,17,5,9,5,12,9,13,4,5,9.5,18.9338256644199,0.066174335580147
12,10,12,8,14,7,6,8,11,2,9,15.9142300929155,2.08576990708454
