"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
3,4,6,4,1,6,2,7,1,3,3.7,7.83720463866875,0
2,4,10,4,4,2,4,4,5,4,4.3,8.63864494975102,0
11,6,5,8,2,7,4,5,1,4,5.3,10.9993738447502,0
6,7,5,6,5,4,9,6,5,1,5.4,9.44855859123549,1.35144140876451
8,11,9,4,6,6,6,7,7,12,7.6,12.4187485696784,2.78125143032158
7,10,5,9,6,6,11,10,9,7,8,12.0274171486064,3.9725828513936
8,9,6,3,9,8,8,8,10,7,7.6,11.4318988620381,3.7681011379619
9,10,12,6,7,4,6,10,8,7,7.9,12.5611567472273,3.23884325277274
11,16,8,5,10,8,13,8,11,12,10.2,16.3148649480862,4.08513505191379
7,12,9,10,7,6,7,9,8,12,8.7,12.8372046386687,4.56279536133125
8,19,7,14,19,9,10,11,9,12,11.8,20.2074633510947,3.39253664890533
11,20,12,9,10,6,8,12,18,16,12.2,21.0042575559278,3.39574244407224
13,19,13,7,9,6,10,9,8,8,10.2,17.7515837926741,2.64841620732592
17,13,10,10,13,9,7,10,14,10,11.3,16.9993738447502,5.60062615524984
14,17,10,13,11,5,11,11,12,9,11.3,17.5015066269774,5.09849337302261
11,17,9,16,12,8,13,12,9,7,11.4,17.8808559105517,4.91914408944827
11,9,12,13,14,12,9,8,14,12,11.4,15.5526516294478,7.24734837055219
12,13,10,18,13,5,6,9,8,7,10.1,17.8551519793117,2.3448480206883
11,15,8,10,14,2,7,16,5,11,9.9,18.6872726144123,1.11272738558772
13,9,8,15,10,11,5,13,11,10,10.5,16.062932879536,4.93706712046404
15,11,11,10,17,11,11,14,10,14,12.4,17.1293391598498,7.67066084015019
8,8,13,11,11,4,12,10,10,12,9.9,15.0815553220588,4.71844467794123
15,17,16,14,13,8,8,15,11,14,13.1,19.2600707066649,6.93992929333509
12,10,15,14,9,12,10,17,14,15,12.8,17.9277302754511,7.6722697245489
10,13,15,16,11,7,8,14,12,14,12,17.8435909811995,6.15640901880055
12,12,9,12,11,11,15,17,12,13,12.4,16.7533772330609,8.04662276693906
14,12,21,8,13,11,12,19,17,13,14,21.6749288813209,6.32507111867912
12,14,18,14,14,10,9,15,14,16,13.6,18.8429745586091,8.35702544139091
13,16,26,10,14,12,10,15,19,11,14.6,24.2108864199811,4.98911358001886
17,14,16,21,9,11,16,18,14,17,15.3,22.0927817898446,8.5072182101554
15,15,17,20,20,15,12,19,14,17,16.4,21.6429745586091,11.1570254413909
19,16,19,12,15,18,17,16,16,20,16.8,21.4012481398469,12.1987518601531
17,11,15,11,18,8,16,12,23,10,14.1,22.9838920399664,5.21610796003363
17,18,20,14,9,16,19,25,14,17,16.9,25.1872957658763,8.61270423412371
20,17,17,12,15,20,19,25,21,11,17.7,26.01814188653,9.38185811347003
19,13,18,11,14,19,17,11,26,20,16.8,25.9373285665633,7.66267143343672
18,10,14,13,9,21,15,20,18,11,14.9,23.1872957658763,6.61270423412371
20,21,20,12,18,28,7,27,15,12,18,31.0666666666667,4.93333333333333
26,17,25,12,13,17,18,17,17,12,17.4,26.8767120411623,7.92328795883767
27,12,16,15,19,21,8,18,21,15,17.2,27.5631106441175,6.83688935588246
24,19,16,11,14,21,20,17,23,7,17.2,27.7265767359469,6.67342326405313
23,14,20,19,17,17,10,16,21,10,16.7,25.2708767864723,8.12912321352775
23,16,14,16,16,27,13,20,17,10,17.2,26.9256736984586,7.47432630154143
27,12,18,10,16,16,10,19,18,10,15.6,26.1427839460616,5.05721605393844
18,22,16,11,20,26,15,22,15,5,17,28.8683893880622,5.13161061193783
20,11,20,14,21,27,9,15,17,10,16.4,27.5718089652283,5.22819103477169
22,13,20,7,19,21,12,16,13,7,15,25.7750493682808,4.22495063171918
14,10,10,6,17,21,7,11,20,11,12.7,22.8235048827524,2.57649511724763
23,13,22,12,13,15,7,18,13,7,14.3,24.9575469347626,3.64245306523745
16,12,12,10,14,18,7,9,11,9,11.8,18.4498935663997,5.15010643360028
19,9,25,18,12,21,11,7,19,7,14.8,27.2921707036403,2.3078292963597
18,9,21,11,9,15,14,14,16,8,13.5,21.8283985388682,5.17160146113178
16,5,18,15,15,13,7,17,16,6,12.8,22.393104931263,3.20689506873701
21,11,11,9,11,18,12,14,16,8,13.1,21.1786456510702,5.02135434892979
17,9,20,9,10,14,7,9,8,5,10.8,20.0302844545069,1.56971554549314
16,4,11,13,7,9,10,16,17,15,11.8,20.3083968982281,3.29160310177189
9,15,15,15,9,12,6,15,15,12,12.3,18.7709690155339,5.82903098446608
20,9,12,6,7,14,9,9,9,11,10.6,18.5050633562715,2.69493664372848
10,7,9,7,8,19,12,12,14,9,10.7,17.9781450628272,3.42185493717283
17,7,14,5,9,9,10,9,9,8,9.7,16.4296504779636,2.97034952203641
8,9,12,5,10,16,11,9,10,5,9.5,15.8511258844397,3.1488741155603
17,11,15,7,15,7,11,7,9,14,11.3,18.6945096749773,3.90549032502267
10,8,16,9,15,10,18,9,10,9,11.4,18.3265659280451,4.47343407195488
24,11,14,12,7,11,13,10,11,8,12.1,21.2676426147135,2.93235738528649
12,7,15,8,17,9,11,11,11,13,11.4,17.402138878026,5.39786112197401
17,4,10,9,10,9,15,4,15,15,10.8,19.8434172498871,1.7565827501129
16,11,9,12,12,11,16,8,15,12,12.2,17.5716556520727,6.82834434792731
11,10,13,13,15,10,9,10,14,19,12.4,18.402138878026,6.39786112197401
16,10,12,13,7,12,8,7,11,14,11,16.9161849569164,5.08381504308355
15,2,14,9,13,16,12,10,18,8,11.7,20.8022253689231,2.59777463107693
15,11,14,17,13,8,15,7,14,12,12.6,18.8118224200131,6.38817757998687
14,6,14,10,11,13,11,7,15,10,11.1,16.9763692494223,5.22363075057774
15,7,10,10,9,12,8,13,11,13,10.8,15.671606625243,5.92839337475704
12,6,14,14,14,5,5,13,12,13,10.8,18.3515837926741,3.24841620732592
7,9,7,6,13,9,8,14,12,8,9.3,14.6914846440166,3.90851535598341
4,7,10,13,12,6,4,8,8,10,8.2,14.2446575125845,2.15534248741548
6,6,6,5,7,10,4,9,8,4,6.5,10.4471283513742,2.55287164862577
5,5,7,9,2,4,5,12,4,6,5.9,11.478257792537,0.321742207462979
7,8,5,9,3,6,4,7,6,2,5.7,10.038644949751,1.36135505024898
11,4,2,6,8,8,4,10,5,6,6.4,11.9590950502557,0.840904949744269
10,9,3,6,6,2,4,10,9,11,7,13.3343016803573,0.665698319642663
2,8,6,3,2,9,5,8,9,1,5.3,11.4322912158145,0
12,7,6,5,7,6,4,3,6,4,6,10.8890989853846,1.11090101461538
8,1,5,9,4,7,6,8,4,2,5.4,10.6429745586091,0.157025441390907
3,4,7,10,6,9,10,10,4,3,6.6,12.4581817429415,0.741818257058481
4,7,5,6,2,9,5,10,3,3,5.4,10.5609198146584,0.239080185341635
4,2,4,3,6,7,6,9,7,4,5.2,9.41387338311071,0.986126616889291
3,5,7,5,10,7,12,8,5,7,6.9,12.0815553220588,1.71844467794123
7,6,6,3,3,5,8,10,9,5,6.2,10.8012481398469,1.59875186015311
10,7,9,9,5,5,6,6,5,5,6.7,10.5151534117982,2.88484658820179
7,7,11,6,8,7,8,8,6,10,7.8,10.9738823054563,4.62611769454365
4,6,4,3,8,5,8,6,4,6,5.4,8.75688744722449,2.04311255277551
6,11,5,9,12,5,4,6,6,4,6.8,12.4049755673964,1.19502443260355
6,7,3,6,9,4,5,5,6,8,5.9,9.41223638789368,2.38776361210632
6,6,8,9,12,4,4,13,8,5,7.5,13.6461966559274,1.35380334407259
8,7,6,8,11,4,3,10,2,6,6.5,12.2143328569484,0.785667143051605
8,6,1,4,7,6,6,14,4,12,6.8,14.2948468222432,0
8,3,8,8,12,7,6,11,6,6,7.5,12.5817407341273,2.41825926587268
9,6,9,9,13,8,8,8,4,13,8.7,14.0914846440166,3.30851535598341
1,8,7,6,7,9,3,3,8,6,5.8,10.9277302754511,0.672269724548904
4,10,1,9,10,11,9,12,8,15,8.9,16.6551519793117,1.1448480206883
6,8,7,12,8,7,10,4,5,8,7.5,12.0499401705468,2.95005982945319
5,8,2,11,12,5,10,11,3,8,7.5,14.4909719559507,0.50902804404932
9,8,1,8,6,11,12,11,8,15,8.9,16.3175635412775,1.48243645872252
7,8,4,11,16,10,13,6,6,11,9.2,16.4044628144258,1.99553718557418
9,12,7,8,6,13,13,8,8,13,9.7,15.0914846440166,4.30851535598341
10,14,8,13,11,12,9,7,5,18,10.7,18.0945096749773,3.30549032502267
15,18,6,11,15,12,15,10,6,14,12.2,20.029103538862,4.37089646113795
9,21,7,12,13,10,10,15,7,15,11.9,20.340399148013,3.45960085198705
17,20,14,17,19,11,10,13,7,14,14.2,22.297117182471,6.10288281752903
8,14,6,17,13,10,9,18,13,19,12.7,21.3699081117776,4.03009188822242
11,23,12,19,17,10,15,13,5,18,14.3,24.4655811442337,4.13441885576629
11,17,11,16,13,15,12,11,12,21,13.9,20.3973006360762,7.40269936392385
14,18,12,13,16,13,14,26,9,8,14.3,24.2104443223635,4.38955567763651
13,25,10,26,14,16,13,14,12,19,16.2,26.8875429043973,5.51245709560269
16,15,3,7,18,15,19,11,12,15,13.1,22.8541594546463,3.34584054535365
16,33,8,16,18,19,7,18,10,14,15.9,30.3754253055922,1.42457469440784
20,30,18,13,18,15,15,19,10,15,17.3,27.836709163681,6.76329083631896
23,19,14,18,17,15,16,13,9,23,16.7,25.2209295267594,8.17907047324061
18,24,11,16,11,22,10,27,17,31,18.7,32.7747471262068,4.6252528737932
15,29,26,14,15,25,8,20,11,21,18.4,31.9225796355577,4.87742036444229
18,24,22,14,19,13,10,21,17,24,18.2,27.5223134944545,8.87768650554548
27,27,13,19,25,26,9,21,9,20,19.6,33.4654512287836,5.73454877121636
14,28,18,13,14,18,10,18,10,24,16.7,28.0931293135624,5.30687068643757
19,31,10,18,17,20,7,17,15,24,17.8,30.9578154215153,4.64218457848467
22,30,17,15,18,24,14,17,12,23,19.2,29.9274070595938,8.47259294040623
23,16,11,19,16,23,7,23,10,22,17,28.76,5.24
23,36,9,16,13,16,14,8,11,14,16,32.0565888171942,0
22,23,10,18,12,21,18,20,15,18,17.7,26.01814188653,9.38185811347003
22,23,10,12,16,23,14,18,15,25,17.8,27.9970244025729,7.60297559742713
22,24,14,20,17,15,10,23,13,11,16.9,26.8705602205248,6.92943977947522
26,25,15,22,21,20,18,18,13,19,19.7,27.6508277696239,11.7491722303761
16,12,9,29,16,14,13,22,14,20,16.5,27.825491404595,5.17450859540499
20,22,11,13,20,19,8,24,14,17,16.8,26.8706623416735,6.72933765832654
34,23,14,16,14,20,9,16,16,22,18.4,31.8593009559272,4.94069904407282
21,13,9,16,11,21,8,11,10,21,14.1,24.3658605744152,3.83413942558475
27,29,7,14,17,20,13,25,9,15,17.6,32.3021776164848,2.8978223835152
19,21,17,18,13,31,7,20,21,19,18.6,30.5829241469314,6.61707585306862
16,17,13,24,12,15,7,14,8,10,13.6,23.2551968735322,3.94480312646776
22,34,9,14,20,19,9,13,16,15,17.1,31.486690763032,2.71330923696797
16,21,16,12,19,22,8,17,16,15,16.2,24.2442288491674,8.15577115083255
21,11,6,14,17,19,16,10,16,11,14.1,23.0794718973643,5.12052810263568
19,29,14,12,13,12,6,17,18,11,15.1,27.2333692307161,2.96663076928387
17,27,10,19,12,18,6,16,13,11,14.9,26.3826934509674,3.41730654903263
15,19,12,15,15,16,15,13,9,9,13.8,19.9148649480862,7.68513505191379
15,20,9,17,11,10,9,17,11,10,12.9,20.7099981505191,5.09000184948094
10,23,5,11,15,14,13,10,7,9,11.7,21.5239263478962,1.87607365210381
14,24,9,9,14,9,4,13,15,13,12.4,22.7795731019044,2.02042689809558
11,15,8,11,14,20,11,12,9,8,11.9,19.0836963558695,4.71630364413046
8,15,9,18,15,13,15,23,8,7,13.1,23.1981749726264,3.00182502737362
8,15,7,9,13,9,11,19,5,11,10.7,18.757483478109,2.64251652189097
7,12,13,8,12,8,11,9,4,7,9.1,14.678257792537,3.52174220746298
4,16,4,12,9,12,12,14,8,3,9.4,18.3198545080312,0.480145491968806
9,9,9,10,9,8,17,8,7,7,9.3,14.9239819819531,3.67601801804688
7,11,11,12,10,8,12,15,6,7,9.9,15.478257792537,4.32174220746298
8,16,11,12,9,9,13,10,10,9,10.7,15.415781542391,5.98421845760901
9,12,8,14,9,7,12,14,8,8,10.1,15.2815553220588,4.91844467794123
10,10,14,10,10,6,10,12,6,7,9.5,14.4970391233209,4.50296087667907
9,14,7,12,11,9,16,11,5,5,9.9,17.0240300704338,2.77596992956624
10,10,8,13,7,3,11,15,5,9,9.1,16.1031726143703,2.09682738562966
13,8,5,10,11,6,10,14,7,11,9.5,15.2885480812453,3.71145191875468
7,15,15,20,2,4,7,10,8,8,9.6,20.4224819498836,0
3,15,7,8,6,6,15,10,4,13,8.7,17.2708767864723,0.12912321352775
9,7,8,12,13,6,6,12,7,4,8.4,14.3305971218944,2.46940287810559
4,13,9,16,8,14,8,8,5,15,10,18.2640856185734,1.73591438142664
11,14,10,8,8,9,4,8,5,8,8.5,14.062932879536,2.93706712046404
5,8,5,12,9,11,10,14,3,14,9.1,16.6317744699816,1.5682255300184
10,7,9,15,9,13,11,9,5,14,10.2,16.3148649480862,4.08513505191379
6,14,3,11,8,14,10,12,8,12,9.8,16.7634423160452,2.8365576839548
8,10,9,14,10,9,3,16,14,12,10.5,17.7898651107777,3.21013488922234
5,6,11,6,8,13,10,9,7,11,8.6,13.7609198146584,3.43908018534163
4,7,12,6,6,5,8,13,13,9,8.3,14.8365991837414,1.76340081625859
8,8,8,10,9,9,7,13,5,11,8.8,13.1139793436893,4.48602065631072
10,4,13,8,11,12,11,10,6,11,9.6,15.081774246436,4.11822575356401
5,4,19,6,14,10,10,12,11,13,10.4,19.3198545080312,1.4801454919688
10,10,17,9,11,12,11,18,10,9,11.7,17.9699580009226,5.4300419990774
6,7,14,2,15,12,11,15,11,13,10.6,19.0277467662214,2.17225323377858
7,8,14,13,17,12,8,23,5,18,12.5,23.6354528920521,1.36454710794792
13,13,11,12,15,15,15,21,13,18,14.6,20.4581817429415,8.74181825705848
10,9,20,15,21,13,16,18,15,20,15.7,23.8627457254148,7.53725427458519
13,12,16,12,21,22,9,19,9,17,15,24.2395286075042,5.76047139249578
10,15,15,18,20,14,10,19,10,24,15.5,24.8428951021024,6.1571048978976
20,12,18,18,23,16,11,13,18,14,16.3,23.7520106160836,8.84798938391643
12,8,29,13,14,15,14,20,16,18,15.9,26.9662401524235,4.83375984757645
17,14,23,17,26,18,17,13,11,23,17.9,27.2975590211265,8.50244097887352
13,16,15,14,18,15,19,12,13,21,15.6,21.3105967775317,9.88940322246829
15,13,25,13,16,17,13,18,10,26,16.6,26.8554605509022,6.34453944909781
22,16,19,13,19,16,10,15,13,18,16.1,23.0419548959769,9.15804510402309
16,15,28,15,22,14,19,11,8,22,17,28.5031203496172,5.49687965038278
13,10,21,12,18,17,10,17,17,8,14.3,22.669299452961,5.930700547039
21,17,20,9,19,15,13,14,14,20,16.2,23.7515837926741,8.64841620732592
16,16,38,11,20,12,11,15,16,9,16.4,32.5942343649419,0.205765635058054
23,18,21,11,19,25,17,14,16,18,18.2,26.297117182471,10.102882817529
21,15,22,17,18,18,13,22,17,9,17.2,25.2442288491674,9.15577115083255
34,9,18,18,8,22,11,18,15,15,16.8,31.4905599318444,2.10944006815564
22,18,18,16,17,25,23,19,24,12,19.4,27.3588765259649,11.4411234740351
30,20,21,16,15,24,11,18,21,15,19.1,29.6529008123622,8.54709918763777
23,14,18,16,19,17,16,26,28,14,19.1,28.7662427493256,9.43375725067444
19,17,19,15,13,21,20,14,21,14,17.3,23.3622855975834,11.2377144024166
29,23,22,21,16,32,22,24,28,13,23,34.2782819810663,11.7217180189337
25,9,16,17,25,31,11,28,26,12,20,35.4882722657428,4.5117277342572
37,12,20,22,17,28,15,25,31,16,22.3,37.817182447568,6.78281755243204
24,18,15,28,22,26,20,28,24,17,22.2,31.1960939671986,13.2039060328014
29,19,20,28,20,31,24,37,23,19,25,36.9042998767486,13.0957001232515
41,18,15,20,29,18,18,29,28,23,23.9,39.373107279693,8.42689272030699
27,23,13,20,23,41,25,35,24,19,25,40.6527541062623,9.3472458937377
34,16,22,20,24,32,19,43,32,26,26.8,43.1150297442437,10.4849702557563
50,27,16,24,20,31,26,30,27,22,27.3,45.2886290009365,9.31137099906351
28,26,18,20,23,36,26,38,20,26,26.1,39.050180779519,13.149819220481
40,24,17,24,24,33,24,48,26,38,29.8,48.5723939158897,11.0276060841103
26,21,20,32,30,45,28,42,19,31,29.4,46.5914831626981,12.2085168373019
30,28,21,33,37,39,28,45,24,31,31.6,45.6792954369173,17.5207045630827
33,34,24,36,32,43,23,43,37,32,33.7,46.8334626051168,20.5665373948833
21,24,14,38,34,38,30,38,23,29,28.9,45.1534312274875,12.6465687725125
26,31,28,39,49,50,35,57,41,49,40.5,61.1240269804151,19.8759730195849
23,36,30,41,43,57,33,60,43,44,41,63.3283297877631,18.6716702122369
33,52,23,44,58,48,39,44,40,49,43,62.5345574132954,23.4654425867046
29,47,21,43,57,67,45,73,52,48,48.2,78.8969346279976,17.5030653720024
26,41,30,47,46,60,47,71,50,49,46.7,72.205952594988,21.194047405012
