"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
4,1,5,2,3,4,3,4,6,4,3.6,6.40248778369822,0.797512216301777
3,5,8,4,2,4,2,3,2,2,3.5,7.22457305532385,0
2,0,4,4,3,4,6,4,4,11,4.2,9.80497556739645,0
1,9,8,8,4,11,6,4,2,6,5.9,12.1289774441717,0
10,5,8,6,14,7,9,9,8,3,7.9,13.7763692494223,2.02363075057774
5,7,13,12,6,12,14,4,6,9,8.8,16.0044628144258,1.59553718557418
9,6,6,9,10,10,10,11,12,9,9.2,12.9870797896708,5.41292021032916
11,6,20,14,18,14,12,17,11,10,13.3,21.5148710681706,5.08512893182938
7,7,19,13,16,7,12,21,15,26,14.3,26.9365543826894,1.6634456173106
16,9,8,19,23,17,10,12,9,19,14.2,24.5218396293167,3.87816037068327
13,11,22,19,22,14,18,17,10,15,16.1,24.3872957658763,7.81270423412371
19,13,32,24,16,19,17,24,13,20,19.7,31.0179511298546,8.38204887014536
25,15,38,14,27,26,17,18,23,20,22.3,36.3747471262068,8.2252528737932
23,9,31,27,27,18,19,26,12,18,21,34.8284601858309,7.17153981416907
26,13,35,26,17,23,21,32,16,19,22.8,36.6222853874941,8.97771461250589
28,13,34,26,36,22,20,32,24,26,26.1,39.6304686623273,12.5695313376727
33,13,50,29,31,29,18,23,14,33,27.3,48.8312737921172,5.76872620788285
31,10,45,34,30,23,26,28,24,17,26.8,45.4354672600394,8.16453273996061
41,12,42,33,28,31,20,40,29,24,30,48.9353989483542,11.0646010516458
34,15,55,24,42,33,46,38,22,25,33.4,57.3907700770294,9.40922992297061
27,16,58,47,55,39,19,34,16,37,34.8,64.9922009061207,4.6077990938793
31,15,43,25,40,33,27,48,25,27,31.4,50.741315133959,12.058684866041
34,12,57,43,49,39,21,42,26,27,35,61.7786980017078,8.22130199829225
52,23,59,31,48,23,34,27,26,42,36.5,61.8918989706035,11.1081010293965
35,10,42,34,56,36,26,44,28,41,35.2,59.3256105507082,11.0743894492918
36,20,57,33,50,32,28,56,26,39,37.7,62.681778604059,12.718221395941
43,20,53,53,43,31,33,40,34,22,37.2,59.5245061162242,14.8754938837758
47,17,53,41,45,30,34,52,26,33,37.8,60.8951254116053,14.7048745883947
41,7,52,44,55,31,37,51,30,31,37.9,65.7943495672112,10.0056504327888
44,24,52,37,58,30,36,55,32,30,39.8,62.9320599073138,16.6679400926862
54,17,44,52,45,26,41,50,32,35,39.6,63.105476997689,16.094523002311
44,23,50,49,50,32,32,53,30,28,39.1,60.9539755854373,17.2460244145627
47,20,48,38,58,34,34,32,44,39,39.4,59.9608058640166,18.8391941359834
48,24,50,42,54,25,35,59,34,21,39.2,65.509141968356,12.890858031644
64,16,40,49,31,22,27,41,36,26,35.2,62.8383939073488,7.56160609265116
42,18,37,42,35,34,28,33,31,25,32.5,47.0870475270205,17.9129524729795
32,18,38,32,31,22,22,33,33,31,29.2,41.5547389018681,16.8452610981319
35,22,37,36,38,21,16,45,26,26,30.2,48.3480900739812,12.0519099260188
36,16,35,33,28,25,27,28,33,20,28.1,40.8508842394906,15.3491157605094
39,20,24,27,30,12,21,23,30,33,25.9,40.8111794004066,10.9888205995934
31,12,36,23,28,16,23,30,23,24,24.6,38.4962018791707,10.7037981208293
37,16,22,26,24,13,24,32,26,27,24.7,38.3122435084498,11.0877564915502
38,22,32,25,20,18,17,17,33,23,24.5,39.0284058925189,9.9715941074811
24,16,21,22,22,19,21,32,19,28,22.4,31.5092568302798,13.2907431697202
29,18,26,34,20,14,31,25,36,29,26.2,40.0839097919538,12.3160902080462
29,13,26,19,28,13,26,28,21,26,22.9,34.8204243026645,10.9795756973355
26,20,21,28,24,16,16,19,33,25,22.8,33.4475294995809,12.1524705004192
37,15,30,33,16,17,20,34,32,26,26,42.3202614358145,9.67973856418552
25,13,24,21,25,16,25,32,20,24,22.5,32.922663340582,12.077336659418
23,25,30,24,25,12,22,20,26,25,23.2,32.4764130999002,13.9235869000998
31,14,26,28,34,13,33,25,21,29,25.4,39.8089256288516,10.9910743711484
35,16,25,35,21,11,21,24,25,23,23.6,38.1269368186598,9.07306318134022
39,22,26,23,29,22,32,18,28,27,26.6,38.2944841698982,14.9055158301018
34,16,36,19,27,13,23,25,20,23,23.6,37.9197790175376,9.28022098246237
35,15,31,20,22,19,29,33,13,25,24.2,39.1497742829486,9.25022571705141
30,13,29,25,22,18,28,17,14,25,22.1,34.3732801012787,9.82671989872127
35,21,19,25,26,26,23,38,23,24,26,37.7236475173519,14.2763524826481
27,12,28,15,23,19,23,26,23,38,23.4,37.6300739437448,9.1699260562552
27,19,29,24,24,14,31,23,24,33,24.8,35.8024126647042,13.7975873352958
24,21,23,17,22,14,32,27,22,40,24.2,38.7445559116347,9.65544408836534
29,17,21,24,26,22,22,29,17,31,23.8,33.4374971393568,14.1625028606432
25,14,24,17,19,17,25,20,19,32,21.2,31.5631106441175,10.8368893558825
34,18,21,21,22,18,18,21,19,27,21.9,31.784568444466,12.015431555534
33,13,14,17,25,18,20,21,21,26,20.8,32.5527384988445,9.04726150115548
21,15,20,16,16,25,18,16,23,20,19,25.5983432263966,12.4016567736034
19,19,15,17,16,16,22,20,14,32,19,29.1634814682546,8.83651853174536
28,15,12,15,16,16,11,11,22,22,16.8,27.6854038867549,5.91459611324514
22,16,10,14,22,17,22,13,16,23,17.5,26.3742774353747,8.62572256462533
25,21,11,9,17,13,11,6,12,21,14.6,26.5829241469314,2.61707585306862
20,21,10,11,13,18,11,16,8,15,14.3,22.9699081117776,5.63009188822242
23,15,13,16,15,7,8,10,6,24,13.7,25.9593608678792,1.44063913212076
12,20,13,5,16,11,12,15,10,12,12.6,20.3413797219875,4.85862027801245
21,14,13,13,15,9,12,10,7,11,12.5,20.0204314297046,4.97956857029539
15,16,9,8,6,10,13,10,7,13,10.7,17.3659212916645,4.03407870833546
10,9,13,11,10,4,15,6,8,8,9.4,15.6801613567381,3.11983864326189
14,20,13,6,10,11,9,11,11,9,11.4,18.7452799659222,4.05472003407782
18,9,15,8,7,13,14,14,4,10,11.2,19.6074633510947,2.79253664890533
10,12,11,7,8,6,13,8,9,13,9.7,14.593462305294,4.80653769470599
10,7,9,10,11,11,14,9,6,11,9.8,14.2118144415497,5.38818555845028
9,4,8,8,12,14,11,10,8,13,9.7,15.4737813529013,3.92621864709867
18,13,6,7,13,11,14,2,12,9,10.5,19.5174201780036,1.48257982199639
9,9,9,5,15,12,12,10,7,10,9.8,15.2505388112858,4.34946118871415
3,7,8,7,8,4,13,12,12,10,8.4,15.0112684948587,1.78873150514131
15,11,8,4,9,9,15,7,6,13,9.7,17.0365580788572,2.36344192114283
9,6,2,5,9,7,10,6,7,11,7.2,12.4103077324345,1.98969226756551
10,2,7,4,7,14,9,5,8,6,7.2,13.7853925893264,0.614607410673563
8,8,3,5,3,8,8,9,1,2,5.5,11.4341946940311,0
3,3,6,3,6,5,6,4,8,5,4.9,8.16012678690057,1.63987321309943
4,3,10,6,7,8,4,1,5,5,5.3,10.3649137318528,0.235086268147194
6,5,3,4,4,5,5,6,1,6,4.5,7.59903210696501,1.40096789303499
5,2,6,7,4,15,4,4,5,2,5.4,12.6869368659876,0
5,4,7,8,7,4,1,3,4,2,4.5,8.95513935434871,0.044860645651287
10,2,6,7,4,9,0,6,2,5,5.1,11.3289774441717,0
7,1,5,2,4,9,4,9,9,7,5.7,11.4737813529013,0
6,7,5,2,2,5,2,2,4,7,4.2,8.31133068482699,0.0886693151730071
6,5,7,5,2,2,9,7,2,5,5,9.71125366660628,0.28874633339372
5,3,4,4,2,5,5,6,5,6,4.5,6.98781921458221,2.01218078541779
5,3,4,4,3,4,3,3,1,7,3.7,6.77136162348595,0.628638376514055
4,4,11,0,4,5,5,7,6,2,4.8,10.5552696625692,0
2,5,3,8,3,2,3,7,4,4,4.1,8.06869751933805,0.131302480661949
1,3,5,4,2,8,3,2,5,3,3.6,7.54171761771157,0
5,4,3,5,3,4,2,4,5,4,3.9,5.84908069498304,1.95091930501696
4,6,3,8,4,3,8,1,4,2,4.3,8.92438176048071,0
5,2,2,4,3,6,4,0,8,5,3.9,8.37426021197297,0
2,3,4,5,2,1,3,5,5,4,3.4,6.20248778369822,0.597512216301777
9,2,3,4,2,3,6,0,4,9,4.2,10.0289636967284,0
4,5,4,3,2,4,2,5,5,8,4.2,7.63233254022198,0.767667459778021
8,4,1,5,6,2,6,6,2,8,4.8,9.67160662524296,0
3,4,1,3,3,2,2,6,3,6,3.3,6.50732772118957,0.0926722788104248
4,5,4,3,3,5,3,0,3,1,3.1,6.22645770446008,0
5,6,5,3,3,5,5,5,5,3,4.5,6.6170419614799,2.3829580385201
3,4,3,2,2,6,3,4,6,4,3.7,6.47954752512787,0.920452474872135
8,2,6,4,5,1,6,0,5,1,3.8,9.01030773243449,0
1,3,3,2,9,5,5,4,4,2,3.8,8.21181444154972,0
7,5,4,4,6,3,3,5,3,3,4.3,7.07954752512787,1.52045247487213
4,3,3,4,6,7,6,4,7,8,5.2,8.75451762628286,1.64548237371714
3,5,10,3,6,3,2,3,5,3,4.3,8.92438176048071,0
6,5,1,4,2,4,4,5,5,5,4.1,7.08681249643979,1.11318750356021
3,1,2,4,6,8,2,6,7,5,4.4,9.0382065499501,0
6,4,3,7,4,3,6,4,3,8,4.8,8.35451762628286,1.24548237371714
3,4,3,4,5,11,2,4,2,6,4.4,9.56091981465837,0
3,2,3,0,3,10,2,5,5,4,3.7,8.93074840619284,0
3,4,4,5,5,3,5,8,2,10,4.9,9.65184923067968,0.148150769320316
6,4,2,4,6,4,6,4,1,5,4.2,7.50563424742935,0.894365752570654
4,1,8,4,3,5,5,5,2,4,4.1,7.8474234111216,0.352576588878403
9,2,4,5,2,5,6,6,1,7,4.7,9.59346230529401,0
7,5,6,7,11,6,11,5,5,4,6.7,11.5054432099906,1.89455679000943
7,7,7,5,5,7,8,5,6,3,6,8.92179549059973,3.07820450940027
5,7,7,7,5,7,13,5,4,6,6.6,11.5065289835755,1.69347101642448
8,9,9,3,5,9,10,9,7,5,7.4,11.9452470902154,2.85475290978465
6,4,8,9,8,7,9,4,6,8,6.9,10.5317342046649,3.26826579533505
11,6,13,7,12,6,10,7,4,7,8.3,14.1472420849491,2.45275791505089
3,11,13,4,5,5,16,8,4,7,7.6,16.1783437924941,0
11,7,10,12,11,8,12,3,7,11,9.2,14.8806196845063,3.51938031549374
3,6,10,2,6,8,9,7,5,7,6.3,11.193462305294,1.40653769470599
7,3,12,4,6,4,9,4,5,5,5.9,11.3230602266822,0.476939773317817
8,1,8,1,4,1,5,2,2,3,3.5,8.8277721005647,0
7,3,4,4,2,3,3,4,5,5,4,6.77185858225127,1.22814141774873
1,4,3,1,4,4,3,1,3,6,3,6.20066659723669,0
5,7,6,5,1,4,2,2,1,1,3.4,7.85034630362876,0
5,7,3,3,4,1,4,2,5,2,3.6,7.0817211580226,0.118278841977402
4,1,3,3,5,2,8,2,2,1,3.1,7.27826971099016,0
3,3,4,3,3,3,1,5,2,4,3.1,5.25698967184464,0.943010328155361
2,1,4,2,6,4,5,3,7,5,3.9,7.6474234111216,0.152576588878404
1,6,5,2,1,5,0,6,5,2,3.3,7.83113868445646,0
4,4,4,1,5,8,4,3,1,1,3.5,7.75921223806573,0
4,3,5,3,8,5,4,6,5,2,4.5,7.86323917938909,1.13676082061091
3,5,3,8,5,3,5,4,3,3,4.2,7.37388230545635,1.02611769454365
4,10,2,6,9,8,6,5,6,3,5.9,10.9140939139368,0.885906086063229
2,6,7,4,2,4,7,4,4,3,4.3,7.88441317062888,0.71558682937112
6,2,5,3,7,1,7,5,4,1,4.1,8.57426021197297,0
3,8,4,3,4,5,5,3,3,6,4.4,7.62722860120637,1.17277139879363
4,4,3,9,2,6,3,4,2,3,4,8.13204280928668,0
3,2,10,10,5,6,6,3,3,0,4.8,11.2544572024127,0
8,5,3,6,8,9,8,5,5,3,6,10.2340839229598,1.7659160770402
5,5,4,6,7,8,5,8,3,6,5.7,8.90732772118957,2.49267227881043
9,5,5,7,8,6,6,4,1,5,5.6,9.95337723306094,1.24662276693906
7,6,7,6,4,9,11,9,5,3,6.7,11.5054432099906,1.89455679000943
7,6,5,9,4,3,5,7,0,3,4.9,9.91409391393677,0
8,9,3,7,7,9,10,5,5,8,7.1,11.3792086495831,2.82079135041692
4,4,10,7,3,8,6,11,8,3,6.4,12.0353550612776,0.764644938722435
5,6,7,5,4,4,6,9,4,7,5.7,8.90732772118957,2.49267227881043
6,3,6,4,5,7,3,7,7,8,5.6,9.0817211580226,2.1182788419774
10,6,4,5,8,5,3,8,5,6,6,10.1320428092867,1.86795719071332
4,2,8,6,3,4,5,7,8,8,5.5,9.8582769276146,1.1417230723854
12,6,11,8,7,7,4,8,11,5,7.9,13.1632883679734,2.63671163202657
8,2,5,4,5,9,5,5,9,7,5.9,10.374260211973,1.42573978802703
13,6,7,4,7,6,4,7,10,10,7.4,12.9590950502557,1.84090494974427
5,2,5,8,4,2,3,9,9,4,5.1,10.3632883679734,0
3,8,5,10,7,5,6,12,12,6,7.4,13.402138878026,1.39786112197401
8,10,9,7,10,9,8,5,5,7,7.8,11.3545176262829,4.24548237371714
8,7,13,5,6,5,4,11,2,7,6.8,13.1879831628526,0.412016837147354
7,1,10,7,9,5,7,9,3,8,6.6,12.1590950502557,1.04090494974427
6,2,3,1,8,3,7,9,8,10,5.7,11.9699580009226,0
7,5,3,5,11,6,5,8,7,9,6.6,11.1452470902153,2.05475290978465
5,3,14,3,5,8,6,7,6,7,6.4,12.5427232469719,0.257276753028109
6,6,3,9,13,5,11,13,4,9,7.9,15.0240300704338,0.775969929566241
7,1,13,4,12,7,9,10,5,11,7.9,15.3748871414743,0.425112858525704
7,6,7,3,3,9,12,10,14,5,7.6,14.7688263412578,0.431173658742241
8,2,8,3,13,7,13,13,7,8,8.2,15.8637977240762,0.536202275923799
3,6,6,7,7,9,10,8,5,11,7.2,11.8930984789724,2.50690152102757
7,5,9,7,13,5,8,8,13,7,8.2,13.7282965027413,2.67170349725865
9,4,8,3,11,4,9,10,6,5,6.9,12.478257792537,1.32174220746298
8,4,7,5,8,2,7,13,5,11,7,13.4013331944734,0.598666805526628
7,7,6,7,11,5,9,8,8,10,7.8,11.3545176262829,4.24548237371714
9,6,9,4,9,9,4,9,9,9,7.7,11.9391215022822,3.46087849771782
10,2,14,8,7,8,13,16,8,5,9.1,17.4386425753836,0.761357424616403
8,10,12,11,9,7,7,10,5,5,8.4,13.1293391598498,3.67066084015019
6,6,10,8,10,11,7,10,9,12,8.9,12.9748311485126,4.82516885148735
12,7,12,6,16,8,8,12,3,8,9.2,16.5800644381408,1.81993556185916
6,9,7,7,12,7,10,5,11,7,8.1,12.574260211973,3.62573978802703
8,10,9,10,18,10,8,15,13,8,10.9,17.527389631924,4.27261036807603
6,6,10,8,14,7,13,12,9,5,9,15.19806421393,2.80193578606998
7,8,9,9,14,9,7,16,15,8,10.2,16.913774894449,3.48622510555102
5,18,13,14,9,10,8,10,13,10,11,18.0970165875841,3.90298341241586
9,9,12,9,16,11,9,10,8,6,9.9,15.1632883679734,4.63671163202657
7,11,10,8,7,13,9,9,14,7,9.5,14.4108768169352,4.58912318306485
3,16,11,12,16,11,17,16,12,10,12.4,20.622661369654,4.17733863034601
5,16,14,11,18,17,12,9,17,7,12.6,21.5198545080312,3.6801454919688
6,23,20,17,5,11,14,14,13,7,13,24.6871819623989,1.3128180376011
8,12,19,11,18,15,20,15,17,12,14.7,22.3219111047616,7.07808889523835
6,18,15,23,20,18,15,12,11,12,15,24.7344474248242,5.26555257517579
8,17,17,12,12,15,19,13,16,8,13.7,21.0945096749773,6.30549032502267
10,18,17,19,12,19,20,12,16,20,16.3,23.5192594264694,9.08074057353064
9,17,18,21,17,12,22,11,12,9,14.8,24.2134428699954,5.38655713000463
11,18,13,24,18,20,20,11,20,9,16.4,26.2304416087082,6.56955839129176
6,16,22,19,20,21,23,12,15,11,16.5,27.3244537968435,5.67554620315648
