"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
6,3,4,2,3,3,1,6,6,11,4.5,10.1391409905331,0
6,5,7,3,4,9,6,9,5,2,5.6,10.1452470902153,1.05475290978465
4,4,2,3,3,8,7,7,3,5,4.6,8.64855859123548,0.551441408764513
5,9,7,4,3,10,4,8,5,5,6,10.6197643037521,1.38023569624789
10,2,6,6,8,7,6,8,7,5,6.5,10.6577878733769,2.3422121266231
5,8,9,4,3,7,6,7,8,7,6.4,10.118838528358,2.68116147164199
8,8,5,6,7,10,8,6,7,6,7.1,9.94030984225313,4.25969015774687
11,4,12,6,6,6,8,5,6,9,7.3,12.448498810333,2.15150118966703
6,5,6,12,3,7,9,11,6,4,6.9,12.6292528114736,1.17074718852643
5,5,2,8,9,7,7,8,6,5,6.2,10.2061641393122,2.19383586068779
7,8,6,6,4,8,6,8,13,5,7.1,11.9408429018096,2.25915709819044
2,6,3,6,6,2,6,11,8,7,5.7,11.1700818600415,0.229918139958457
4,8,6,10,14,16,8,8,16,13,10.3,18.5666677419354,2.03333225806459
10,9,7,11,10,12,10,12,21,6,10.8,18.7909904823425,2.80900951765747
16,9,8,14,16,10,10,16,22,19,14,23.0998803410936,4.90011965890637
16,17,8,9,10,17,18,19,34,11,15.9,30.6962331542712,1.10376684572875
22,15,16,19,13,22,12,17,33,16,18.5,30.449036223339,6.55096377666104
22,24,10,20,15,19,18,25,41,17,21.1,37.2744539320498,4.92554606795024
24,19,16,22,13,23,18,22,34,25,21.6,32.8858487594962,10.3141512405038
29,23,14,34,23,17,19,30,44,19,25.2,43.0636196406738,7.3363803593262
29,25,17,21,17,26,26,32,52,23,26.8,46.5259067106066,7.07409328939337
30,24,16,26,18,21,23,33,55,29,27.5,49.1143758745064,5.8856241254936
27,26,26,29,26,19,27,45,43,23,29.1,45.4058702449285,12.7941297550715
44,34,23,25,24,26,22,32,43,25,29.8,45.7979976524842,13.8020023475158
39,29,23,34,31,15,26,36,50,31,31.4,49.9528261998004,12.8471738001996
45,29,24,29,28,27,33,35,41,29,32,44.9353400505059,19.0646599494941
35,32,36,29,31,22,22,32,49,26,31.4,46.8109133048268,15.9890866951732
55,35,28,22,20,30,44,37,40,32,34.3,54.7744701735817,13.8255298264182
40,36,34,24,29,20,31,42,39,27,32.2,46.4480601408675,17.9519398591325
41,38,22,35,29,27,38,31,49,28,33.8,49.3926455598643,18.2073544401357
35,36,38,34,37,27,24,33,50,29,34.3,48.3139619269102,20.2860380730898
34,36,34,40,29,20,35,44,45,23,34,50.0565888171942,17.9434111828058
36,36,29,31,33,25,39,40,42,20,33.1,46.7560732927799,19.4439267072201
50,38,39,33,33,25,26,38,42,22,34.6,51.4402924229031,17.7597075770969
35,31,35,40,36,23,36,36,38,19,32.9,46.1112336037682,19.6887663962318
49,34,38,25,30,27,26,47,49,24,34.9,54.8977638749936,14.9022361250064
48,33,34,37,27,27,22,44,32,27,33.1,49.0083648157537,17.1916351842463
49,46,31,29,30,26,24,24,41,26,32.6,50.8044507378461,14.3955492621539
39,39,31,35,33,25,30,27,42,28,32.9,44.1194664163082,21.6805335836918
43,39,25,37,33,28,26,38,34,31,33.4,45.0579273934568,21.7420726065432
43,35,34,30,28,31,34,35,33,24,32.7,42.5672801611071,22.8327198388929
37,24,31,31,29,18,31,37,37,26,30.1,42.2684977617526,17.9315022382474
33,34,40,28,30,28,37,27,45,25,32.7,45.2348091329705,20.1651908670295
45,27,37,31,29,29,29,25,40,24,31.6,45.027549788898,18.1724502111021
44,30,31,30,22,26,39,34,39,35,33,45.9022995366459,20.0977004633541
31,25,34,30,32,25,29,24,50,32,31.2,45.7738737319752,16.6261262680248
38,23,28,30,24,25,43,36,48,29,32.4,49.0619214578231,15.7380785421769
44,31,33,26,29,32,38,22,51,34,34,50.6824032374768,17.3175967625232
56,36,36,30,31,31,44,30,44,21,35.9,55.224756258345,16.575243741655
44,30,32,40,31,37,45,27,43,28,35.7,49.2808499161299,22.1191500838701
32,23,48,28,25,28,46,35,43,22,33,51.8676513288397,14.1323486711603
37,28,55,30,17,39,33,34,38,21,33.2,53.8147114675149,12.5852885324851
21,25,44,34,20,27,44,25,51,27,31.8,53.1271057576972,10.4728942423028
33,26,33,32,23,28,40,39,36,26,31.6,42.8858487594962,20.3141512405038
