"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
10,6,6,6,4,7,4,6,3,9,6.1,10.3792086495831,1.82079135041692
7,9,13,6,4,8,12,6,4,8,7.7,13.6197912876122,1.78020871238784
15,8,9,11,7,11,2,12,9,4,8.8,16.2948468222432,1.30515317775681
9,11,14,9,9,13,12,11,14,12,11.4,15.2318988620381,7.5681011379619
20,17,18,11,8,7,13,20,11,9,13.4,23.1432132504859,3.65678674951408
12,17,26,19,14,12,18,20,16,6,16,26.6555442011294,5.34445579887061
21,18,17,12,16,13,18,23,18,13,16.9,23.8419548959769,9.95804510402309
23,24,28,18,18,16,31,23,21,14,21.6,32.020615464869,11.179384535131
21,17,17,16,17,18,23,24,34,17,20.4,31.2618508756309,9.53814912436907
35,37,39,21,27,19,37,32,21,26,29.4,44.1890193499547,14.6109806500453
37,30,29,23,25,34,41,28,29,28,30.4,41.103506382905,19.696493617095
31,27,38,25,17,28,45,38,33,27,30.9,46.5104289926105,15.2895710073895
35,34,38,22,30,24,53,40,35,29,34,51.2855752322887,16.7144247677113
33,34,35,32,30,40,54,31,43,28,36,51.2382209518624,20.7617790481376
36,38,46,34,32,28,59,40,30,32,37.5,55.5407563280725,19.4592436719275
47,28,47,29,37,34,55,36,48,41,40.2,57.6526844799176,22.7473155200824
37,42,44,32,45,41,51,52,57,38,43.9,58.8683215120764,28.9316784879236
51,34,47,45,47,32,75,38,37,40,44.6,68.7856905352456,20.4143094647544
56,39,50,44,57,39,70,50,55,51,51.1,69.3103116087806,32.8896883912194
55,46,48,41,37,48,67,48,57,45,49.2,65.9793502721516,32.4206497278484
51,42,36,57,48,39,78,49,51,49,50,72.8386495027861,27.1613504972139
43,41,44,56,53,57,81,66,60,56,55.7,79.1482052381177,32.2517947618823
54,56,53,65,47,49,76,71,40,56,56.7,78.3696002116637,35.0303997883364
46,61,46,55,76,47,76,63,52,32,55.4,82.6871297297625,28.1128702702375
41,66,46,71,59,46,82,71,57,73,61.2,87.9755098716885,34.4244901283115
46,63,53,83,66,50,72,73,62,56,62.4,84.9792604937461,39.8207395062539
49,70,53,53,60,44,72,73,64,57,59.5,79.2140017922964,39.7859982077036
50,69,54,66,64,54,67,92,57,67,64,87.3378129033359,40.6621870966641
56,59,60,67,72,49,76,76,66,58,63.9,81.5629726955698,46.2370273044302
55,65,45,85,53,49,56,91,58,79,63.6,94.8126538442344,32.3873461557656
48,62,56,70,54,46,80,124,71,66,67.7,111.799274068099,23.6007259319007
50,53,55,79,56,46,85,91,65,81,66.1,98.285536848439,33.914463151561
45,69,49,78,50,50,78,96,64,69,64.8,97.0564104912152,32.5435895087848
51,71,64,74,60,53,84,115,75,82,72.9,109.32824032716,36.4717596728399
61,62,57,97,67,63,91,98,63,91,75,108.095057704202,41.9049422957982
49,73,73,68,51,57,77,94,76,95,71.3,102.373538867946,40.2264611320536
64,68,53,93,71,61,100,107,69,79,76.5,111.491474517215,41.5085254827853
47,91,64,66,76,62,100,105,89,73,77.3,113.582653584201,41.0173464157993
58,86,64,90,59,72,92,98,85,96,80,110.152589717413,49.8474102825866
53,76,80,80,69,70,93,93,84,76,77.4,100.668207780861,54.1317922191387
70,89,69,84,71,53,94,99,81,79,78.9,105.638020869167,52.1619791308332
54,84,65,71,78,84,102,110,97,89,83.4,117.072980002106,49.7270199978941
61,82,59,88,66,70,96,88,69,74,75.3,99.9376842346119,50.6623157653881
46,87,56,93,84,62,87,90,91,87,78.3,111.485860710717,45.114139289283
54,87,59,74,77,51,78,103,88,98,76.9,111.942670877406,41.8573291225937
61,85,60,86,88,60,96,84,96,84,80,107.948619524644,52.0513804753556
51,75,92,74,76,44,79,90,83,81,74.5,104.909841974086,44.0901580259139
63,83,79,71,74,57,68,94,84,81,75.4,96.9738541346284,53.8261458653716
55,78,74,80,72,65,76,89,95,89,77.3,100.711769499786,53.888230500214
69,83,74,68,73,66,63,110,75,75,75.6,101.736599795859,49.4634002041411
63,77,93,80,75,59,62,91,66,71,73.7,96.8735408506244,50.5264591493757
66,66,59,75,75,68,91,113,80,69,76.2,106.938621670827,45.4613783291732
57,89,72,86,90,66,64,91,73,77,76.5,100.223288136344,52.776711863656
63,68,65,89,84,58,79,90,75,63,73.4,96.2049834709677,50.5950165290323
67,93,68,75,73,62,67,98,78,74,75.5,98.2309304692967,52.7690695307033
50,82,62,64,72,61,89,84,77,72,71.3,95.0556528009651,47.5443471990349
58,60,68,82,75,56,84,107,69,68,72.7,102.7114055356,42.6885944644003
55,82,59,76,69,69,79,83,74,83,72.9,92.2688818010287,53.5311181989713
60,88,64,77,62,64,74,92,65,61,70.7,93.4271745323131,47.9728254676869
50,81,53,74,71,76,87,110,55,78,73.5,108.795120216697,38.2048797833028
59,74,57,75,65,65,83,95,55,74,70.2,94.7813139509579,45.6186860490421
67,84,69,72,74,69,80,109,56,70,75,102.672349617142,47.3276503828581
50,66,48,60,62,72,87,92,71,64,67.2,94.9155058085221,39.4844941914779
49,66,58,75,60,50,86,84,50,52,63,90.8108276276225,35.1891723723775
49,60,57,53,55,54,83,81,50,49,59.1,83.7446132045119,34.4553867954882
41,57,53,60,52,60,61,72,49,59,56.4,72.6731156615239,40.1268843384761
41,61,42,59,49,56,54,71,53,49,53.5,71.133949579654,35.866050420346
33,49,42,44,55,55,69,72,50,38,50.7,75.3550030081794,26.0449969918206
41,60,38,52,37,54,39,60,35,38,45.4,64.917068996707,25.882931003293
39,58,48,47,44,56,60,46,49,52,49.9,62.8171782264291,36.9828217735709
36,49,33,46,46,61,55,54,42,45,46.7,63.4857087362368,29.9142912637632
25,53,41,54,32,42,44,56,53,34,43.4,64.2698843099599,22.5301156900401
21,45,35,36,34,64,58,45,35,42,41.5,65.8974297371214,17.1025702628786
28,37,34,37,38,41,58,41,53,45,41.2,58.5791578877945,23.8208421122055
31,42,32,45,27,61,50,51,38,34,41.1,62.0973242739799,20.1026757260201
24,39,25,37,33,58,72,46,39,37,41,69.6574372739628,12.3425627260372
33,35,29,37,36,59,36,45,38,44,39.2,55.6712576595987,22.7287423404013
21,46,22,37,37,55,43,34,29,43,36.7,57.6688450378704,15.7311549621296
26,34,32,30,34,50,51,32,36,47,37.2,54.5299668525682,19.8700331474318
22,42,20,38,27,49,37,24,28,40,32.7,51.8383180498647,13.5616819501353
22,33,37,23,31,48,46,37,33,40,35,51.7844372361224,18.2155627638776
21,34,34,26,17,47,43,37,27,39,32.5,51.3506763804379,13.6493236195621
25,37,30,30,39,32,33,28,24,31,30.9,40.1602942117888,21.6397057882112
18,31,26,17,30,42,36,32,19,26,27.7,43.6779742840644,11.7220257159356
19,24,28,20,41,37,26,21,18,30,26.4,41.6157953018127,11.1842046981873
18,28,25,22,21,32,26,21,28,25,24.6,32.770585726318,16.429414273682
20,17,27,14,32,37,23,16,12,30,22.8,39.2971518080479,6.30284819195211
18,20,14,13,29,26,20,18,14,14,18.6,29.1831933849015,8.01680661509853
19,30,15,16,22,24,25,11,13,25,20,32.0822514458192,7.91774855418081
12,20,18,16,16,24,12,21,17,25,18.1,26.8385623022961,9.36143769770387
17,23,14,19,21,27,11,14,16,25,18.7,28.9492154713313,8.45078452866865
15,19,16,14,14,24,21,17,19,19,17.8,24.1208100746661,11.4791899253339
13,26,13,14,21,25,16,11,14,23,17.6,28.5401637200831,6.65983627991691
16,19,15,13,11,17,10,17,14,20,15.2,21.5879831628526,8.81201683714735
9,24,12,14,18,22,23,15,10,18,16.5,27.0448080958251,5.95519190417494
13,22,13,14,13,17,13,11,12,15,14.3,20.5015066269774,8.09849337302261
12,18,16,11,16,22,17,21,15,23,17.1,24.9644618379136,9.23553816208636
11,25,12,13,13,24,9,12,15,21,15.5,26.6737191659716,4.32628083402845
11,20,17,15,14,21,19,15,9,22,16.3,24.7201462114516,7.87985378854843
17,19,14,20,16,26,17,11,12,23,17.5,26.7048151650222,8.29518483497782
11,21,21,27,14,20,19,21,20,13,18.7,27.9879094645793,9.41209053542067
11,23,15,31,19,14,26,14,12,17,18.2,31.0293108847583,5.3706891152417
17,14,19,22,13,21,15,16,21,13,17.1,23.8549738053608,10.3450261946392
11,21,17,25,17,16,20,16,23,16,18.2,26.1909904823425,10.2090095176575
26,19,25,23,11,13,25,13,16,22,19.3,30.4277838464509,8.17221615354911
15,15,23,29,17,15,31,20,26,8,19.9,34.1375709538765,5.66242904612354
26,18,21,26,30,28,29,25,26,19,24.8,32.897117182471,16.702882817529
26,30,27,32,18,19,31,18,24,12,23.7,36.8009217657045,10.5990782342955
32,15,28,26,14,25,27,28,19,17,23.1,35.4426408123311,10.7573591876689
20,20,24,35,31,17,35,27,28,12,24.9,39.9819562538964,9.81804374610361
25,17,28,31,26,21,31,31,22,19,25.1,35.2823629652235,14.9176370347765
22,19,30,34,20,23,32,22,22,22,24.6,35.020615464869,14.179384535131
16,25,29,29,27,25,33,19,23,21,24.7,34.7388233042191,14.6611766957809
36,22,32,34,27,28,32,25,23,29,28.8,37.9839241189277,19.6160758810723
31,22,41,24,25,32,25,21,30,22,27.3,39.4895262873957,15.1104737126043
38,19,36,24,27,30,34,17,24,38,28.7,43.7989277029125,13.6010722970875
41,21,42,34,32,39,38,33,35,33,34.8,46.5527384988445,23.0472615011555
31,24,41,41,26,41,42,27,31,31,33.5,47.3361748085709,19.663825191429
46,37,40,33,31,32,41,24,29,36,34.9,47.5162709757413,22.2837290242587
40,28,44,32,28,42,40,19,33,32,33.8,49.0045700732086,18.5954299267914
31,33,42,33,36,37,49,33,37,20,35.1,49.8094340098078,20.3905659901923
38,38,44,38,27,47,37,15,34,34,35.2,52.7502407707448,17.6497592292553
