"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
5,2,4,4,3,3,4,2,3,4,3.4,5.29353989483542,1.50646010516458
2,2,1,1,1,1,0,5,1,4,1.8,4.83641894342662,0
3,7,7,6,3,1,5,7,3,2,4.4,8.85034630362876,0
4,1,6,3,0,4,3,5,5,5,3.6,7.31883852835801,0
5,3,2,4,1,3,2,2,4,2,2.8,5.20937428483921,0.390625715160792
4,2,4,4,5,5,8,6,6,0,4.4,8.75337723306094,0.04662276693906
8,6,5,4,3,4,5,9,8,5,5.7,9.62544066882235,1.77455933117765
10,6,7,6,7,4,6,2,7,8,6.3,10.5391215022822,2.06087849771782
8,6,9,7,4,11,7,7,12,2,7.3,13.1472420849491,1.45275791505089
5,10,4,5,7,6,9,5,12,3,6.6,12.2353550612776,0.964644938722434
10,6,7,8,2,3,8,5,5,5,5.9,10.6518492306797,1.14815076932032
7,9,12,4,6,10,17,10,9,14,9.8,17.2948468222432,2.30515317775681
4,7,7,7,8,12,8,11,7,10,8.1,12.6686642832816,3.53133571671836
11,12,9,6,2,9,13,7,7,6,8.2,14.6544572024127,1.74554279758725
11,5,11,5,3,6,6,7,4,10,6.8,12.4806196845063,1.11938031549374
9,5,5,7,2,9,14,9,8,13,8.1,15.2240300704338,0.975969929566239
7,8,9,9,9,2,8,9,8,8,7.7,11.8372046386688,3.56279536133125
7,5,10,5,7,7,4,5,7,8,6.5,9.98784556233023,3.01215443766977
7,9,8,10,5,2,6,7,7,9,7,11.5264261104467,2.47357388955333
11,10,6,6,5,5,6,7,7,7,7,10.92,3.08
4,5,5,2,3,4,8,2,12,8,5.3,11.5015066269774,0
9,3,8,7,9,3,5,9,6,14,7.3,13.7709690155339,0.829030984466082
4,11,10,4,5,6,8,10,11,6,7.5,13.062932879536,1.93706712046404
4,5,4,6,6,4,7,7,7,6,5.6,8.07922568557201,3.12077431442799
8,11,8,8,4,5,7,8,3,7,6.9,11.4686642832816,2.33133571671836
5,5,5,6,5,4,4,11,12,5,6.2,11.8049755673964,0.595024432603554
5,3,8,6,4,4,8,5,0,8,5.1,10.1140939139368,0.0859060860632281
4,4,5,6,5,8,5,6,5,9,5.7,8.90732772118957,2.49267227881043
6,4,8,7,2,7,10,7,8,7,6.6,10.9533772330609,2.24662276693906
1,7,8,9,3,4,4,14,6,4,6,13.2752121007646,0
6,5,8,1,5,4,3,5,6,5,4.8,8.47263998296109,1.12736001703891
2,10,6,5,4,5,6,6,2,6,5.2,9.7075265451859,0.692473454814098
1,6,3,2,2,6,6,4,6,5,4.1,7.95964650079656,0.240353499203442
4,3,3,6,6,7,3,6,1,5,4.4,8.11883852835802,0.681161471641986
6,6,10,1,3,4,4,3,3,3,4.3,9.193462305294,0
4,3,5,3,5,2,5,5,5,7,4.4,7.20248778369822,1.59751221630178
7,8,7,1,3,4,3,2,3,3,4.1,8.76115674722726,0
8,8,4,1,3,5,3,4,3,2,4.1,8.66866428328164,0
0,1,5,2,4,9,5,7,6,5,4.4,9.80334711081937,0
5,7,7,2,3,8,10,1,2,3,4.8,10.7736249928796,0
5,8,5,3,7,8,4,4,1,5,5,9.33372305939772,0.666276940602277
3,8,3,4,3,3,4,2,8,5,4.3,8.43720463866875,0.162795361331249
8,3,3,5,2,3,3,8,2,2,3.9,8.46866428328164,0
5,5,5,4,4,8,3,3,4,4,4.5,7.31009292056726,1.68990707943274
3,7,5,0,2,1,0,3,3,5,2.9,7.37426021197297,0
6,6,5,5,5,5,5,4,5,5,5.1,6.21258657590719,3.98741342409281
3,4,1,5,2,3,0,6,6,0,3,7.43112225564184,0
2,3,5,6,3,6,9,4,2,4,4.4,8.65419844911406,0.145801550885944
4,5,4,6,6,4,3,6,4,3,4.5,6.80988215187605,2.19011784812394
7,7,4,6,3,2,3,4,4,8,4.8,8.8061641393122,0.793835860687794
5,5,4,5,5,3,1,3,3,7,4.1,7.36012678690057,0.839873213099425
3,3,4,6,7,3,5,2,4,4,4.1,7.08681249643979,1.11318750356021
4,5,1,6,6,5,2,7,4,2,4.2,8.09816138996607,0.301838610033927
5,4,6,5,11,7,3,4,3,3,5.1,9.94084290180956,0.25915709819044
6,6,5,4,4,8,9,3,6,7,5.8,9.47263998296109,2.12736001703891
5,7,5,5,3,5,4,2,7,5,4.8,7.83641894342662,1.76358105657338
8,7,3,4,3,8,7,5,4,6,5.5,9.33746444066044,1.66253555933956
6,6,4,3,8,4,5,5,1,4,4.6,8.31883852835801,0.881161471641986
9,4,5,3,7,4,4,5,3,6,5,8.69581144300169,1.30418855699831
5,7,3,6,4,3,11,3,11,8,6.1,12.1903844067696,0.0096155932304054
4,4,3,5,12,2,8,2,4,4,4.8,10.7736249928796,0
4,6,5,5,6,3,7,8,1,6,5.1,9.06869751933805,1.13130248066195
5,3,4,2,3,4,5,8,6,3,4.3,7.76328296402256,0.83671703597744
2,2,4,1,5,10,9,4,1,5,4.3,10.4322912158145,0
5,3,4,3,7,1,7,6,5,6,4.7,8.51515341179821,0.884846588201786
5,3,3,2,5,6,5,6,5,4,4.4,7.04579834622537,1.75420165377463
8,10,2,5,7,12,9,6,2,2,6.3,13.2787499676598,0
4,6,2,5,7,8,6,9,3,7,5.7,10.038644949751,1.36135505024898
4,8,3,1,5,4,5,1,4,5,4,8.0274171486064,0
5,5,3,1,4,11,6,7,5,2,4.9,10.4012063323521,0
8,9,4,4,3,9,7,8,4,2,5.8,11.0103077324345,0.589692267565507
4,6,0,3,10,5,6,9,0,1,4.4,11.264665080444,0
4,12,2,2,8,6,12,3,3,7,5.9,13.3748871414743,0
8,9,6,3,3,1,6,8,2,3,4.9,10.478257792537,0
6,8,5,3,4,13,6,6,6,7,6.4,11.7237647497904,1.07623525020958
9,8,3,5,3,9,11,6,8,6,6.8,12.0103077324345,1.58969226756551
5,13,4,4,9,12,15,11,5,7,8.5,16.4615576365432,0.538442363456759
11,15,3,4,8,8,10,12,8,5,8.4,15.7452799659222,1.05472003407782
11,16,6,3,6,14,13,8,6,4,8.7,17.5163696232255,0
10,9,7,5,9,10,19,10,8,6,9.3,16.8090712548964,1.79092874510362
10,13,7,6,4,12,11,5,10,13,9.1,15.6626674793444,2.53733252065561
12,17,3,6,6,11,22,10,6,10,10.3,21.5042380870415,0
9,12,11,7,3,9,13,11,8,10,9.3,14.9239819819531,3.67601801804688
6,8,8,5,6,11,25,9,9,12,9.9,21.157447115379,0
18,20,3,7,1,10,21,11,12,9,11.2,24.5190296610193,0
8,12,12,10,10,17,27,17,9,16,13.8,24.956515585074,2.64348441492596
20,12,15,11,6,6,17,11,13,14,12.5,21.1304319449003,3.8695680550997
21,13,7,12,7,20,39,14,11,15,15.9,34.2271354371962,0
18,17,15,14,11,20,28,16,5,29,17.3,31.435270936365,3.16472906363502
14,23,10,17,11,25,39,26,10,17,19.2,37.206416634078,1.19358336592202
27,21,15,22,11,28,42,17,16,24,22.3,39.5373553011411,5.06264469885888
25,23,18,18,9,15,38,18,19,26,20.9,36.1508208886531,5.6491791113469
28,23,15,20,16,28,55,25,22,20,25.2,47.4670722517952,2.93292774820483
32,21,25,26,19,33,45,25,18,25,26.9,42.6194226639813,11.1805773360187
34,29,11,27,19,38,65,24,25,32,30.4,58.5798049043006,2.22019509569939
31,36,29,30,23,33,60,23,24,36,32.5,53.7157362980092,11.2842637019908
34,37,23,32,18,26,63,32,26,33,32.4,56.3016443878752,8.49835561212483
38,31,31,35,23,43,63,23,20,38,34.5,59.0195921662657,9.98040783373427
34,28,25,32,36,39,76,32,34,47,38.3,66.7938733375752,9.80612666242482
39,37,31,35,21,41,61,28,40,39,37.2,57.7109211018044,16.6890788981956
48,45,38,41,22,55,76,23,27,44,41.9,73.7522614581759,10.0477385418241
44,50,41,48,45,61,96,40,40,55,52,85.1079527203561,18.8920472796439
50,45,39,50,32,43,81,36,37,55,46.8,74.2679857288444,19.3320142711556
48,51,44,34,33,62,98,32,42,56,50,88.419110985145,11.580889014855
52,47,37,57,24,66,82,39,40,59,50.3,82.8888272606153,17.7111727393847
55,64,46,59,38,63,92,49,52,67,58.5,87.4722211782252,29.5277788217748
72,63,41,66,53,60,106,35,46,54,59.6,98.638511811344,20.561488188656
47,60,42,48,40,69,99,41,42,71,55.9,93.2995529385045,18.5004470614955
42,60,56,52,42,68,106,35,40,62,56.3,96.5747014058867,16.0252985941133
78,70,52,67,50,68,99,42,45,75,64.6,99.0747106022822,30.1252893977178
67,72,58,69,66,66,117,46,52,63,67.6,105.076512110921,30.1234878890791
46,81,56,57,52,78,134,51,50,89,69.4,122.735373960961,16.064626039039
55,70,72,57,59,71,130,31,53,81,67.9,118.536073044158,17.2639269558417
69,80,59,60,55,68,113,49,62,83,69.8,106.020837710418,33.5791622895819
67,73,69,61,66,87,115,44,55,75,71.2,108.966961693464,33.4330383065363
68,81,78,73,71,77,117,55,46,84,75,111.981206037662,38.0187939623381
53,87,81,59,61,77,134,56,53,81,74.2,122.544900868654,25.8550991313458
62,72,66,54,77,89,115,45,64,75,71.9,110.134794857273,33.6652051427266
54,90,67,59,61,81,104,53,59,97,72.5,109.57630689987,35.4236931001302
69,86,68,53,64,78,107,49,54,83,71.1,106.118300993116,36.0816990068843
69,84,73,53,52,80,117,53,62,81,72.4,111.296110973835,33.503889026165
56,68,74,55,71,84,98,45,65,89,70.5,102.709399594252,38.2906004057477
57,99,76,56,60,84,91,46,62,73,70.4,103.882297544955,36.9177024550452
66,91,70,66,65,66,119,42,69,85,73.9,114.030305312126,33.769694687874
66,66,64,52,62,99,101,61,67,96,73.4,108.63399469578,38.1660053042204
51,60,67,40,57,65,113,47,66,66,63.2,101.915719689954,24.4842803100458
52,77,47,51,65,83,104,36,60,77,65.2,104.874066760711,25.5259332392893
52,78,57,47,52,59,91,47,66,93,64.2,98.2084946251178,30.1915053748822
50,64,57,53,57,72,99,36,73,69,63,96.2109326042562,29.7890673957438
57,59,53,46,51,67,96,39,59,65,59.2,89.4345838771137,28.9654161228863
48,64,58,33,59,79,92,28,46,65,57.2,95.5501658116074,18.8498341883926
35,76,55,36,51,84,88,33,75,61,59.4,100.066523278436,18.7334767215643
50,73,38,40,54,71,89,34,61,60,57,91.1862558477656,22.8137441522344
