"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,0,0,1,1,1,1,1,1,2,1,2.30666666666667,0
2,0,1,2,2,1,0,0,0,0,0.8,2.60111570360646,0
1,1,3,1,2,1,4,0,0,0,1.3,3.92148727930455,0
4,0,1,3,3,2,2,0,0,1,1.6,4.40248778369822,0
8,0,0,3,1,1,2,0,0,1,1.6,6.41874856967842,0
4,0,0,2,2,0,0,1,2,3,1.4,4.20248778369822,0
10,0,0,4,1,2,3,0,2,1,2.3,8.21979128761216,0
8,0,1,7,2,3,0,0,4,5,3,8.77008376600086,0
9,0,1,5,2,2,1,0,4,4,2.8,8.25053881128585,0
9,0,0,8,4,3,2,1,11,7,4.5,12.2990597723914,0
10,0,0,7,0,2,1,0,15,6,4.1,14.3658605744152,0
10,1,2,3,2,1,3,0,14,9,4.5,13.797096320895,0
5,0,0,8,0,2,3,1,11,2,3.2,10.521998512853,0
15,2,0,5,3,3,2,3,15,8,5.6,16.1427839460616,0
11,2,0,13,0,3,3,4,15,9,6,16.8145909667346,0
11,2,0,7,0,3,3,2,15,6,4.9,14.5219831635687,0
20,1,0,9,1,2,3,3,11,6,5.6,17.7947777529746,0
12,1,0,13,0,2,3,2,22,8,6.3,20.6450934701265,0
20,1,0,10,3,3,6,1,14,7,6.5,19.2106499527846,0
19,1,1,13,2,1,8,1,16,3,6.5,20.2743368463079,0
28,1,0,6,1,2,8,5,14,7,7.2,23.748818554675,0
25,2,2,11,4,2,13,3,16,4,8.2,23.5442952120831,0
32,1,5,6,3,2,6,3,15,8,8.1,26.3103116087806,0
18,5,0,9,5,3,11,8,20,6,8.5,20.939096072911,0
26,4,2,5,4,3,7,0,23,5,7.9,25.4903251185923,0
18,11,5,5,1,8,10,3,21,7,8.9,21.4143608173437,0
27,6,1,5,4,7,5,5,13,3,7.6,22.3021776164848,0
23,9,4,5,2,10,11,0,14,8,8.6,21.6077337679466,0
27,5,2,6,1,6,5,2,16,0,7,23.3463947775105,0
26,5,4,2,4,4,7,2,11,7,7.2,21.1758369258438,0
25,5,7,4,3,10,4,0,14,6,7.8,21.8671633403627,0
25,3,6,3,5,5,3,4,14,8,7.6,21.2482568687564,0
22,4,8,0,3,13,5,0,11,3,6.9,20.3036870549363,0
37,3,6,1,2,7,4,1,12,5,7.8,28.9260159781988,0
38,6,7,0,8,11,8,1,14,4,9.7,30.8714277060172,0
32,3,9,3,4,7,6,1,10,1,7.6,25.473174934024,0
28,6,7,3,10,7,10,1,9,3,8.4,23.1890193499547,0
