"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,2,0,0,0,0,0,1,0,0,0.3,1.62289917311268,0
1,1,0,1,2,1,1,2,0,0,0.9,2.34621498325034,0
0,0,3,1,0,1,0,1,1,1,0.8,2.60111570360646,0
0,1,2,0,3,0,0,3,0,3,1.2,3.940887123218,0
1,0,2,0,2,0,0,2,1,2,1,2.84790572150084,0
2,0,4,0,1,1,0,3,2,6,1.9,5.75964650079656,0
0,2,0,2,0,2,0,1,0,3,1,3.26321305522333,0
2,0,5,1,0,2,1,2,2,2,1.7,4.47954752512787,0
0,0,3,2,1,2,0,0,2,5,1.5,4.73383501262648,0
3,1,3,2,3,3,1,2,1,3,2.2,4.00111570360646,0.398884296393545
0,0,3,1,0,0,0,3,4,8,1.9,7.08155532205877,0
0,0,4,4,0,2,1,0,3,4,1.8,5.35451762628286,0
1,2,3,1,2,3,0,3,6,1,2.2,5.50563424742935,0
2,2,6,1,0,1,1,0,3,4,2,5.69581144300169,0
3,1,6,2,2,2,1,2,5,1,2.5,5.86323917938909,0
4,0,7,1,2,1,3,1,9,5,3.3,9.07378135290133,0
6,0,8,3,0,1,1,1,1,2,2.3,7.53074840619283,0
2,1,5,3,1,0,8,2,2,4,2.8,7.40124813984689,0
2,0,4,1,2,1,3,1,3,2,1.9,4.24654923948621,0
0,1,4,1,0,1,5,1,1,5,1.9,5.75964650079656,0
4,0,7,2,5,2,1,0,2,3,2.6,6.95337723306094,0
1,1,6,2,1,1,8,2,0,3,2.5,7.49703912332093,0
0,0,1,4,0,2,2,0,0,1,1,3.61333333333333,0
0,0,1,1,0,0,2,2,1,0,0.7,2.31361430060319,0
0,0,1,0,0,1,0,0,2,0,0.4,1.770443561609,0
1,1,1,0,1,0,0,0,0,0,0.4,1.41213964780887,0
0,1,0,1,0,0,0,1,0,1,0.4,1.41213964780887,0
0,0,1,0,3,1,1,0,0,0,0.6,2.49353989483542,0
0,1,2,2,1,3,0,0,0,1,1,3.06602140464334,0
2,1,1,1,0,0,0,0,2,1,0.8,2.34606884998337,0
2,0,1,1,0,0,2,0,1,1,0.8,2.34606884998337,0
1,0,1,0,0,1,1,2,0,3,0.9,2.84908069498304,0
