"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,3,2,1,2,4,1,1,0,2,1.7,3.97262354510768,0
5,2,0,2,0,1,1,0,4,2,1.7,5.03775972772157,0
1,2,1,2,2,2,0,2,2,2,1.6,2.970443561609,0.229556438391002
7,0,3,0,3,2,2,0,4,5,2.6,7.14524709021535,0
3,1,3,0,0,2,2,0,1,4,1.6,4.40248778369822,0
6,4,2,0,6,5,2,3,3,6,3.7,7.73271289993887,0
6,6,1,3,4,3,2,0,5,6,3.6,7.85419844911406,0
6,5,4,4,3,2,4,4,9,3,4.4,8.2318988620381,0.5681011379619
9,5,8,1,2,3,4,4,6,3,4.5,9.49703912332093,0
5,6,5,2,5,1,3,4,3,4,3.8,6.83641894342662,0.763581056573385
4,4,6,2,7,8,8,1,7,6,5.3,10.1054432099906,0.494556790009432
7,9,1,5,1,3,2,7,8,11,5.4,12.3265659280451,0
8,10,5,3,5,5,4,6,4,13,6.3,12.4322912158145,0.16770878418551
6,6,8,3,5,8,4,4,8,4,5.6,9.31883852835801,1.88116147164199
4,7,6,7,4,6,12,4,7,8,6.5,11.2338497370886,1.76615026291145
10,6,6,1,10,4,3,4,6,2,5.2,11.1736249928796,0
8,14,2,6,3,8,3,10,5,14,7.3,15.8209295267594,0
3,8,3,4,5,5,1,2,5,4,4,7.8095552379656,0.190444762034404
8,3,4,3,3,6,5,4,7,4,4.7,8.16328296402256,1.23671703597744
8,3,3,5,8,5,7,7,3,0,4.9,10.0815553220588,0
5,8,0,6,5,2,3,0,4,9,4.2,10.1736249928796,0
5,3,2,6,4,6,5,8,4,4,4.7,8.03775972772157,1.36224027227843
5,6,3,0,5,8,3,8,5,3,4.6,9.41874856967842,0
2,8,0,1,6,9,5,2,4,5,4.2,10.0289636967284,0
2,2,1,2,5,4,6,4,3,1,3,6.33135941554729,0
2,5,6,5,7,6,4,4,4,4,4.7,7.47954752512787,1.92045247487213
3,5,2,3,4,2,5,4,4,5,3.7,5.97262354510768,1.42737645489232
2,4,4,3,1,4,4,2,2,3,2.9,5.05698967184464,0.743010328155361
2,9,3,4,6,9,5,8,4,3,5.3,10.3649137318528,0.235086268147195
0,3,1,2,1,3,4,4,3,3,2.4,5.04579834622537,0
3,4,3,0,6,4,5,10,3,1,3.9,9.32306022668218,0
1,2,8,4,2,7,2,1,5,4,3.6,8.41874856967842,0
1,1,2,2,2,4,4,5,3,3,2.7,5.32148727930455,0.0785127206954535
0,2,5,2,4,4,1,3,4,2,2.7,5.77136162348595,0
1,4,3,3,3,5,3,4,3,2,3.1,5.25698967184464,0.943010328155361
2,1,2,2,1,0,3,3,3,2,1.9,3.84908069498304,0
2,2,1,1,2,2,3,0,2,3,1.8,3.60111570360646,0
5,2,0,1,0,4,0,1,2,1,1.6,4.95688744722449,0
0,0,2,2,0,0,1,1,0,0,0.6,2.25281712371467,0
1,1,2,2,1,1,2,0,0,4,1.4,3.70062406992344,0
1,0,1,2,0,1,1,4,0,0,1,3.44454949269231,0
1,1,1,1,3,0,2,0,2,5,1.6,4.5508687986196,0
1,1,0,1,2,0,3,1,2,2,1.3,3.15941926417901,0
0,4,1,1,0,0,2,0,3,1,1.2,3.940887123218,0
3,1,3,1,1,2,3,2,1,1,1.8,3.60111570360646,0
3,1,1,4,1,0,0,2,2,0,1.4,4.04579834622537,0
3,0,3,2,3,0,0,1,3,2,1.7,4.32148727930455,0
2,2,1,1,0,3,2,1,0,0,1.2,3.22427929561774,0
0,2,1,1,1,2,4,2,3,0,1.6,4.07922568557201,0
1,1,1,1,2,2,1,2,0,1,1.2,2.439612842786,0
1,1,2,3,1,2,1,0,1,2,1.4,3.05281712371467,0
4,1,2,1,1,1,1,0,1,3,1.5,3.80988215187606,0
2,2,1,1,0,3,1,1,3,2,1.6,3.49353989483542,0
4,3,1,3,1,0,2,1,1,0,1.6,4.24579834622537,0
1,0,1,1,1,2,4,2,0,4,1.6,4.40248778369822,0
1,2,0,2,2,0,0,0,2,1,1,2.84790572150084,0
3,1,2,2,3,3,2,1,0,1,1.8,3.82427929561774,0
2,1,0,0,1,2,2,0,3,1,1.2,3.22427929561774,0
1,1,1,3,2,0,4,3,1,5,2.1,5.22645770446008,0
1,3,2,2,3,1,1,1,2,2,1.8,3.34606884998337,0.253931150016634
1,0,2,1,3,2,0,3,2,5,1.9,4.88681249643979,0
3,3,0,1,1,0,0,2,0,0,1,3.44454949269231,0
3,2,0,1,0,0,3,0,0,1,1,3.44454949269231,0
0,1,0,3,1,0,2,2,0,0,0.9,3.05698967184464,0
2,2,1,1,2,3,1,2,1,1,1.6,2.970443561609,0.229556438391002
1,1,2,0,4,3,1,1,1,0,1.4,3.87922568557201,0
3,0,2,1,1,0,3,4,0,2,1.6,4.40248778369822,0
1,2,2,2,1,2,0,3,1,1,1.5,3.16567970777364,0
0,0,2,3,2,0,0,2,2,2,1.3,3.57262354510768,0
1,2,2,1,3,0,0,0,3,0,1.2,3.60937428483921,0
1,1,2,1,0,0,2,0,1,0,0.8,2.34606884998337,0
3,0,1,1,1,1,2,1,0,3,1.3,3.3763258147239,0
0,0,2,2,1,0,3,0,1,1,1,3.06602140464334,0
4,3,0,2,0,0,4,1,0,3,1.7,5.03775972772157,0
1,1,0,0,3,1,2,1,2,3,1.4,3.50693669155535,0
4,4,1,0,4,1,3,3,0,4,2.4,5.75688744722449,0
1,2,5,0,2,5,2,3,2,5,2.7,6.16328296402256,0
4,2,5,3,3,3,3,1,2,1,2.7,5.15326449178776,0.246735508212238
2,2,1,2,0,4,5,0,0,5,2.1,5.95964650079656,0
6,4,2,3,3,6,6,5,1,3,3.9,7.41223638789368,0.38776361210632
3,3,4,1,2,3,1,2,2,4,2.5,4.6170419614799,0.382958038520099
7,5,6,5,4,6,1,1,0,8,4.3,9.69148464401659,0
3,4,4,2,2,6,1,3,2,10,3.7,8.84849881033297,0
3,8,6,1,1,6,2,5,4,11,4.7,10.9699580009226,0
2,5,6,4,2,7,7,2,1,2,3.8,8.3075265451859,0
4,5,5,4,1,4,2,4,4,7,4,7.20066659723669,0.799333402763314
4,4,4,4,3,13,10,2,3,8,5.5,12.5517641606748,0
5,3,6,4,3,6,1,3,2,14,4.7,11.8598895087688,0
2,8,4,9,0,7,2,5,6,6,4.9,10.5542593581201,0
5,4,8,8,4,9,4,10,4,9,6.5,11.4108768169352,1.58912318306485
4,8,14,6,0,16,4,1,4,6,6.3,16.4235048827524,0
5,4,12,9,2,17,7,2,6,12,7.6,17.16637072713,0
7,5,14,5,3,6,7,5,5,10,6.7,12.9015066269774,0.498493373022614
4,6,7,7,4,12,5,5,7,14,7.1,13.6626674793444,0.53733252065561
4,12,10,10,6,15,6,4,8,8,8.3,15.2173161140881,1.38268388591195
6,4,11,5,1,15,3,3,6,11,6.5,15.1797491003165,0
5,15,14,13,3,11,8,8,8,13,9.8,17.6834352354231,1.91656476457686
9,7,16,3,5,23,10,4,9,15,10.1,22.3384523349791,0
13,10,10,8,6,13,7,3,10,8,8.8,14.8446575125845,2.75534248741548
5,5,16,8,5,14,6,3,13,14,8.9,18.3428705616695,0
6,10,15,10,4,17,6,3,12,18,10.1,20.6123749298941,0
8,15,17,9,6,15,8,3,10,13,10.4,19.1751203853724,1.62487961462763
11,6,19,12,11,17,7,4,13,11,11.1,20.2209638866856,1.97903611331444
6,10,15,12,10,18,10,7,10,10,10.8,17.7018722097703,3.89812779022967
14,9,24,7,3,20,14,7,11,13,12.2,24.5547389018681,0
11,11,16,8,13,18,5,7,8,12,10.9,18.8722730621685,2.92772693783148
13,14,16,11,9,20,14,8,10,17,13.2,20.637677056716,5.76232294328397
10,15,16,9,8,12,20,6,8,21,12.5,22.7990700766838,2.20092992331616
11,15,20,7,7,20,19,6,12,15,13.2,23.8875429043973,2.51245709560269
21,11,25,14,9,23,13,6,16,12,15,27.187775296036,2.81222470396395
19,17,26,9,14,19,14,6,14,23,16.1,27.9485922276774,4.25140777232258
18,13,31,16,15,21,17,12,7,24,17.4,30.5707851786529,4.22921482134712
14,14,22,13,16,13,21,8,12,15,14.8,22.897117182471,6.70288281752903
16,15,28,12,18,17,21,6,19,24,17.6,29.6184924179366,5.58150758206338
22,20,25,19,8,17,20,11,11,19,17.2,27.8875429043973,6.51245709560269
14,16,38,14,16,20,18,10,10,17,17.3,32.8721009786377,1.72789902136231
17,19,19,25,11,12,21,9,14,20,16.7,26.6104443223635,6.78955567763651
23,17,32,11,11,24,22,12,11,11,17.4,32.0439970257061,2.75600297429391
18,20,33,25,12,12,22,8,17,22,18.9,33.1375709538765,4.66242904612354
12,17,26,9,9,20,19,6,10,28,15.6,30.4753541134321,0.724645886567941
25,15,33,16,11,21,16,9,14,15,17.5,31.3977376256393,3.60226237436067
13,16,23,23,13,18,19,11,12,20,16.8,25.5556417367445,8.0443582632555
11,16,19,13,12,14,20,8,12,20,14.5,22.5680715030159,6.43192849698407
18,18,22,21,17,12,19,8,16,19,17,25.2122726587847,8.78772734121533
13,17,28,24,9,22,19,14,20,25,19.1,30.7304344048038,7.46956559519618
17,24,33,20,12,26,24,11,22,22,21.1,33.95091886036,8.24908113964003
21,32,47,26,18,23,34,13,12,42,26.8,49.9320599073138,3.66794009268618
19,24,41,37,13,19,25,27,19,33,25.7,43.1832292974343,8.21677070256565
24,46,53,46,17,33,30,19,25,42,33.5,58.1411489631109,8.85885103688909
29,39,54,51,20,34,34,11,40,50,36.2,63.1977697844347,9.20223021556534
33,36,71,48,27,33,45,23,31,47,39.4,66.7183972199444,12.0816027800556
45,54,71,47,25,40,49,23,43,61,45.8,74.573381526064,17.0266184739359
29,50,64,66,34,56,56,23,42,68,48.8,80.2931064061821,17.3068935938178
49,71,88,66,33,56,59,25,47,74,56.8,94.3061135164804,19.2938864835196
55,52,92,88,41,56,65,34,50,84,61.7,101.020138125676,22.3798618743242
62,75,107,92,46,58,54,27,63,76,66,110.752141103341,21.2478588966591
40,72,113,81,58,76,65,33,64,94,69.6,116.066654041127,23.1333459588731
58,75,111,93,52,85,82,42,61,87,74.6,115.99473804456,33.2052619554396
71,66,121,88,51,61,67,37,68,97,72.7,119.549512460406,25.8504875395936
59,83,121,106,53,78,72,39,73,123,80.7,136.052796737533,25.3472032624668
66,107,143,107,60,100,87,34,66,91,86.1,146.450815735995,25.7491842640052
79,101,147,119,65,106,91,43,90,120,96.1,154.356308614032,37.843691385968
90,83,144,127,70,77,93,36,84,138,94.2,159.505887568512,28.8941124314882
76,107,179,120,71,99,105,49,79,121,100.6,171.003752930271,30.1962470697288
86,96,162,132,94,122,102,48,88,137,106.7,169.948943214711,43.4510567852887
