"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,6,6,4,1,5,2,3,2,3,3.3,7.00158164392826,0
0,2,1,4,2,2,3,4,1,3,2.2,4.78045990732918,0
2,3,5,1,2,3,8,0,5,2,3.1,7.66866428328164,0
2,6,3,6,2,9,1,0,2,2,3.3,8.77008186004154,0
1,4,3,8,3,7,3,5,7,8,4.9,9.74084290180956,0.0591570981904406
2,12,4,4,6,11,12,3,6,6,6.6,13.9452799659222,0
11,8,4,9,4,15,10,4,1,3,6.9,15.4907743797893,0
6,14,8,9,6,16,9,5,10,6,8.9,16.0240300704338,1.77596992956624
8,8,15,10,9,20,13,7,12,10,11.2,18.9743921520163,3.42560784798365
14,18,9,13,7,23,11,3,14,6,11.8,23.4432725449315,0.156727455068506
11,20,6,14,6,21,22,7,6,12,12.5,25.2441873460457,0
10,18,13,14,16,31,15,9,13,7,14.6,27.6405071476023,1.5594928523977
14,18,25,14,3,29,14,11,17,14,15.9,29.9868726913472,1.81312730865285
17,18,17,21,12,22,19,7,11,15,15.9,25.1140848704578,6.68591512954217
9,17,17,15,8,25,15,6,10,7,12.9,24.5670773261059,1.23292267389414
11,11,10,10,6,5,8,7,7,7,8.2,12.4138733831107,3.98612661688929
5,7,12,6,10,14,8,3,10,7,8.2,14.7202535738011,1.67974642619885
9,14,9,11,3,11,9,2,7,4,7.9,15.488235338704,0.311764661296044
13,7,8,13,3,8,10,8,3,9,8.2,14.913774894449,1.48622510555102
8,10,6,5,1,10,8,6,4,3,6.1,11.9032772350342,0.296722764965759
3,11,12,4,5,2,3,3,8,4,5.5,12.4909719559507,0
3,9,5,4,4,6,6,5,10,5,5.7,10.038644949751,1.36135505024898
5,5,2,10,4,3,7,6,2,4,4.8,9.58318536356498,0.016814636435023
3,7,7,7,6,4,4,3,4,4,4.9,8.16012678690058,1.63987321309942
3,5,8,9,5,6,5,1,5,5,5.2,9.61181444154972,0.78818555845028
3,7,4,5,1,3,6,5,6,5,4.5,7.98784556233023,1.01215443766977
4,6,5,7,5,9,4,4,8,6,5.8,9.23233254022198,2.36766745977802
4,4,2,6,4,5,7,6,3,1,4.2,7.87263998296109,0.527360017038909
5,5,5,3,6,2,2,8,5,2,4.3,8.22544066882235,0.374559331177652
5,3,4,5,4,6,5,4,4,5,4.5,6.16567970777364,2.83432029222636
5,6,2,6,1,8,2,4,6,2,4.2,8.80124813984689,0
4,3,6,3,6,5,3,4,3,4,4.1,6.44654923948621,1.75345076051379
4,3,1,5,4,3,5,5,2,6,3.8,6.83641894342662,0.763581056573385
4,2,1,3,3,5,2,5,2,5,3.2,6.09242996650068,0.307570033499323
3,2,6,8,3,4,5,2,3,3,3.9,7.6474234111216,0.152576588878403
3,1,3,0,0,1,4,1,3,4,2,5.06440496308464,0
2,2,2,3,4,2,2,3,2,2,2.4,3.770443561609,1.029556438391
0,3,4,3,1,6,0,2,3,2,2.4,6.00223140721291,0
2,0,3,3,1,3,4,4,1,3,2.4,5.04579834622537,0
4,2,3,1,2,3,2,5,3,2,2.7,4.97262354510768,0.427376454892325
1,6,1,2,4,6,2,2,3,4,3.1,6.73173420466495,0
6,3,2,3,1,1,2,1,2,3,2.4,5.3508687986196,0
3,1,2,0,3,2,5,1,1,8,2.6,7.2382065499501,0
3,1,2,3,3,4,1,2,5,3,2.7,5.15326449178776,0.246735508212238
