"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,4,2,2,3,2,2,2,1,1,1.9,4.05698967184464,0
0,0,1,0,0,2,4,1,3,2,1.3,4.07954752512787,0
3,3,6,2,5,1,1,3,3,4,3.1,6.22645770446008,0
3,2,4,3,3,3,2,3,5,4,3.2,5.00111570360646,1.39888429639354
3,1,5,5,3,3,9,3,5,3,4,8.2340839229598,0
5,4,5,6,8,3,3,5,5,7,5.1,8.22645770446008,1.97354229553992
6,3,4,3,2,5,4,4,4,5,4,6.26321305522333,1.73678694477667
4,5,10,3,6,7,3,2,3,1,4.4,9.64297455860909,0
5,7,5,6,10,1,3,6,12,9,6.4,12.8146554423792,0
5,6,8,0,9,8,5,8,5,6,6,11.0606982390444,0.939301760955642
7,1,6,6,7,5,5,7,6,6,5.6,9.0817211580226,2.1182788419774
8,4,7,7,10,6,4,7,7,7,6.7,10.1632829640226,3.23671703597744
5,5,10,7,8,5,5,10,7,5,6.7,10.7327128999389,2.66728710006113
10,3,12,7,11,10,5,9,16,11,9.4,16.6281228545176,2.17187714548238
7,4,7,10,9,9,7,10,11,6,8,12.2340839229598,3.7659160770402
5,10,14,6,14,5,8,9,10,17,9.8,17.8442288491674,1.75577115083256
10,4,9,7,17,13,7,11,11,15,10.4,18.0860439181097,2.7139560818903
12,9,5,13,11,6,7,10,16,11,10,16.5983432263966,3.40165677360344
9,6,10,8,10,11,5,15,15,10,9.9,16.331269444415,3.46873055558495
13,17,16,10,13,11,10,15,11,12,12.8,17.671606625243,7.92839337475704
6,9,9,6,21,15,14,10,16,17,12.3,22.1672801611071,2.4327198388929
12,11,8,9,13,13,11,21,12,8,11.8,19.121998512853,4.47800148714695
9,14,7,13,14,23,12,19,16,18,14.5,23.797096320895,5.20290367910497
6,12,9,9,25,15,12,14,9,13,12.4,22.6137545605043,2.18624543949571
7,12,10,13,11,10,10,13,13,12,11.1,14.8474234111216,7.3525765888784
14,19,6,7,21,16,11,17,16,14,14.1,23.6328475400702,4.56715245992981
11,12,12,7,16,11,12,23,17,13,13.4,21.9284402638075,4.87155973619248
17,14,15,11,19,11,9,18,22,19,15.5,23.776988180089,7.22301181991098
9,9,16,16,14,17,9,17,21,18,14.6,22.9258355603373,6.27416443966266
11,8,8,12,15,16,12,18,27,15,14.2,25.1245460622704,3.27545393772965
11,14,15,12,12,15,11,22,12,20,14.4,21.8605975334122,6.93940246658784
19,15,16,14,24,17,15,10,16,13,15.9,23.2015663464158,8.59843365358425
10,14,15,9,15,11,10,23,11,21,13.9,23.2975590211265,4.50244097887353
17,10,18,19,17,17,15,23,25,19,18,26.0548342972128,9.9451657027872
19,20,15,8,17,25,12,18,19,29,18.2,29.916363485883,6.48363651411696
7,13,24,25,28,16,12,18,21,22,18.6,31.5419380310678,5.65806196893217
16,11,12,18,18,21,17,28,22,22,18.5,28.3759280857829,8.6240719142171
14,16,16,19,23,24,15,21,19,18,18.5,25.1144958655634,11.8855041344366
24,18,30,21,24,20,23,20,30,27,23.7,31.9148710681706,15.4851289318294
20,11,21,19,26,16,18,25,24,24,20.4,29.5092568302798,11.2907431697202
17,12,23,17,24,22,23,20,25,28,21.1,30.2676426147135,11.9323573852865
20,14,32,16,18,22,22,27,23,23,21.7,31.9492154713313,11.4507845286687
21,17,23,21,31,21,23,31,23,23,23.4,32.0279586873786,14.7720413126214
13,16,26,27,22,25,14,37,20,31,23.1,38.1252463096838,8.0747536903162
23,17,25,26,27,19,21,31,24,24,23.7,31.5969597525461,15.8030402474539
16,12,32,23,30,17,19,27,15,26,21.7,35.1545430576028,8.24545694239715
24,11,16,27,34,23,21,27,17,25,22.5,35.377463518359,9.62253648164101
21,22,18,36,22,17,15,38,27,27,24.3,39.4835004015689,9.11649959843105
21,19,18,22,25,18,22,24,22,30,22.1,29.2240300704338,14.9759699295662
26,20,26,29,30,12,23,29,17,29,24.1,35.9485922276774,12.2514077723226
17,20,20,28,20,21,13,25,30,29,22.3,33.1559546384052,11.4440453615948
17,17,10,25,21,19,15,27,15,27,19.3,30.3893590637351,8.21064093626487
27,15,25,19,28,11,23,25,24,18,21.5,32.3638155768997,10.6361844231003
23,22,19,21,38,23,23,30,14,30,24.3,37.4983035946965,11.1016964053035
24,19,17,21,28,14,24,21,18,26,21.2,29.7083968982281,12.6916031017719
25,18,14,34,24,14,18,23,39,31,24,40.6311514935076,7.3688485064924
27,18,26,22,22,11,20,20,21,25,21.2,30.1960939671986,12.2039060328014
26,14,17,23,33,23,20,25,13,22,21.6,33.2944841698982,9.90551583010178
23,24,31,20,30,13,15,20,29,28,23.3,35.6287998875262,10.9712001124738
24,16,20,30,26,17,21,26,22,13,21.5,31.7158439037931,11.2841560962069
22,21,20,21,25,10,8,23,21,21,19.2,30.1245460622704,8.27545393772965
24,20,25,27,26,12,14,18,21,20,20.7,30.5239263478962,10.8760736521038
30,19,21,24,36,15,15,25,29,23,23.7,36.8009217657045,10.5990782342955
20,17,28,21,30,20,14,16,22,14,20.2,30.8475294995809,9.55247050041915
22,20,19,18,25,14,10,21,15,15,17.9,26.5895789438972,9.21042105610276
27,20,18,19,22,15,14,20,19,18,19.2,26.2849775346621,12.1150224653379
24,16,11,17,21,11,10,10,18,11,14.9,24.784568444466,5.01543155553398
15,10,17,19,20,10,12,19,24,12,15.8,25.1223134944545,6.47768650554548
12,13,17,15,18,18,10,14,20,11,14.8,21.3853925893264,8.21460741067356
17,9,17,10,20,7,9,20,15,10,13.4,23.0551968735322,3.74480312646776
13,8,13,16,20,7,12,11,12,11,12.3,19.5781450628272,5.02185493717283
16,11,14,15,23,16,5,9,23,13,14.5,25.5198568250429,3.48014317495711
25,15,11,17,12,6,11,15,10,10,13.2,23.3970244025729,3.00297559742713
9,6,15,17,19,12,10,12,6,10,11.6,20.1284402638075,3.07155973619248
7,9,15,13,11,8,7,15,12,11,10.8,16.7017375972392,4.8982624027608
12,8,9,16,11,9,7,11,14,9,10.6,16.081774246436,5.11822575356401
10,5,11,15,11,9,8,18,7,14,10.8,18.5192930015931,3.08070699840689
12,9,9,13,18,9,5,10,8,11,10.4,17.2022009509994,3.59779904900055
11,12,14,10,9,11,11,18,7,14,11.7,17.6914620734657,5.70853792653431
11,9,18,8,15,7,10,7,9,12,10.6,17.5879184629219,3.61208153707812
9,5,6,13,8,10,10,10,10,8,8.9,13.374260211973,4.42573978802703
15,4,9,20,9,10,9,9,5,2,9.2,19.4804029320083,0
8,6,10,17,7,13,4,11,11,6,9.3,16.9219111047616,1.67808889523836
10,4,10,4,11,11,9,9,10,16,9.4,16.2022009509994,2.59779904900055
10,11,11,5,8,7,9,6,5,0,7.2,13.8498935663997,0.550106433600275
9,4,13,10,7,12,2,10,6,9,8.2,14.9770540961558,1.42294590384419
10,4,10,8,12,10,10,9,10,9,9.2,13.311330684827,5.08866931517301
7,7,4,4,10,6,7,5,6,3,5.9,9.86869751933805,1.93130248066195
15,8,17,2,10,8,8,3,1,6,7.8,18.0804029320083,0
6,7,12,1,7,8,6,7,8,8,7,12.3077050910288,1.69229490897117
7,5,5,6,10,7,13,4,5,5,6.7,12.1700818600415,1.22991813995846
11,11,10,6,9,4,6,4,5,7,7.3,12.6914846440166,1.90851535598341
7,9,5,5,8,5,7,4,5,8,6.3,9.63775972772157,2.96224027227843
8,5,10,7,5,6,5,4,3,6,5.9,9.86869751933805,1.93130248066195
9,9,6,11,11,2,8,4,4,2,6.6,13.4022009509994,0
11,11,9,11,6,4,10,4,6,8,8,13.5437171645025,2.45628283549747
8,6,7,10,7,4,9,2,4,6,6.3,11.1054432099906,1.49455679000943
10,11,6,4,5,6,8,4,10,7,7.1,12.1140939139368,2.08590608606323
17,9,9,13,9,8,4,3,4,6,8.2,16.7083968982281,0
14,10,5,6,5,5,5,4,6,5,6.5,12.5763512443278,0.423648755672164
6,8,6,5,7,8,8,9,6,4,6.7,9.77136162348595,3.62863837651405
5,16,7,6,4,9,5,4,5,12,7.3,15.0331045943183,0
21,10,7,9,9,11,2,1,8,5,8.3,19.1952026139948,0
13,10,5,9,6,1,10,4,6,5,6.9,13.8419548959769,0
10,9,8,8,10,11,8,4,6,7,8.1,12.1748311485126,4.02516885148735
13,11,7,13,8,10,5,11,3,12,9.3,16.0296504779636,2.57034952203641
14,8,4,14,8,7,2,9,5,16,8.7,17.8022253689231,0
14,15,9,17,8,3,8,5,2,7,8.8,18.742694470481,0
13,12,9,11,6,11,5,8,3,24,10.2,21.6211935550634,0
9,12,4,14,5,13,10,8,4,6,8.5,15.7898651107777,1.21013488922234
9,14,10,20,5,6,8,11,4,16,10.3,20.2962135053451,0.303786494654867
14,12,15,8,2,13,7,13,6,12,10.2,18.4537490471502,1.94625095284977
10,10,2,12,5,10,6,11,5,10,8.1,14.5973006360761,1.60269936392385
10,15,8,10,8,11,10,6,5,7,9,14.6201858411345,3.37981415886548
8,18,12,13,8,13,12,14,1,6,10.5,19.9338256644199,1.06617433558015
11,11,11,13,4,6,15,4,7,8,9,16.3916228860034,1.60837711399662
8,9,8,11,3,9,8,11,5,11,8.3,13.448498810333,3.15150118966703
11,16,13,10,7,10,9,7,2,8,9.3,16.6945096749773,1.90549032502267
12,8,11,17,11,9,10,9,8,12,10.7,15.9307484061928,5.46925159380716
19,14,5,20,8,11,13,11,3,14,11.8,22.5274070595938,1.07259294040623
10,13,15,21,12,10,9,10,6,14,12,20.0548342972128,3.9451657027872
11,14,9,13,11,17,10,4,5,17,11.1,19.7403178953863,2.45968210461367
19,6,13,21,9,5,11,12,6,12,11.4,21.9022190247797,0.897780975220311
10,18,10,16,9,18,7,12,6,10,11.6,20.0782430045644,3.12175699543564
16,16,12,22,12,14,10,6,6,19,13.3,23.5074839646648,3.09251603533521
21,15,16,16,11,17,10,6,8,14,13.4,22.3675801269536,4.43241987304639
27,15,12,25,9,22,12,10,5,15,15.2,29.3880174795494,1.01198252045058
15,14,10,22,19,20,20,8,4,10,14.2,26.0611942437888,2.33880575621119
21,16,14,22,21,12,8,8,11,20,15.3,26.037349973082,4.56265002691798
22,17,21,20,16,16,12,7,11,22,16.4,26.4026165465731,6.39738345342691
22,20,13,23,17,19,13,7,12,17,16.3,26.1239263478962,6.47607365210382
13,18,23,26,12,13,16,9,7,20,15.7,27.6060925580142,3.79390744198585
26,23,20,22,14,15,16,7,6,19,16.8,29.6956812753555,3.90431872464446
19,19,22,20,29,24,16,8,16,14,18.7,29.9801741515319,7.41982584846808
19,15,17,24,14,17,10,8,7,29,16,29.5478083508408,2.45219164915922
22,22,25,24,10,21,19,5,7,18,17.3,31.5555476920391,3.04445230796095
13,21,27,26,28,22,13,15,11,20,19.6,31.933992054481,7.26600794551902
21,15,21,18,19,24,13,5,11,13,16,27.1641648938816,4.83583510611843
18,23,26,19,17,17,17,10,6,24,17.7,29.6775797963436,5.72242020365643
15,17,28,21,11,20,19,7,18,13,16.9,28.3454602353946,5.45453976460536
16,15,18,20,17,17,13,9,14,17,15.6,21.602138878026,9.59786112197401
21,19,28,24,20,28,19,13,7,22,20.1,32.6484228313982,7.5515771686018
