"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,0,1,1,1,1,0,0,0,1,0.5,1.53301070232167,0
1,1,1,0,2,0,1,0,0,0,0.6,1.970443561609,0
0,1,1,0,0,0,3,1,0,0,0.6,2.49353989483542,0
0,0,2,3,2,2,2,0,1,1,1.3,3.3763258147239,0
1,2,1,0,1,0,0,0,2,0,0.7,2.31361430060319,0
4,0,4,1,2,0,2,0,1,3,1.7,4.77136162348595,0
1,0,3,1,2,1,2,0,0,3,1.3,3.57262354510768,0
0,1,6,0,2,2,1,1,1,1,1.5,4.86323917938909,0
4,2,3,2,2,1,0,2,3,0,1.9,4.42190051790752,0
3,0,3,1,2,2,3,0,0,2,1.6,4.07922568557201,0
4,1,9,1,2,2,2,0,4,2,2.7,7.67992592537502,0
5,2,4,1,0,2,1,1,1,3,2,5.06440496308464,0
3,1,4,1,1,3,1,1,2,4,2.1,4.62190051790752,0
6,1,7,3,1,2,3,1,6,7,3.7,8.67992592537502,0
6,5,1,1,2,2,5,1,1,5,2.9,6.97483114851265,0
4,1,2,3,0,2,3,1,5,7,2.8,6.91133068482699,0
2,4,4,6,0,1,4,1,3,2,2.7,6.28441317062888,0
6,2,2,2,1,2,5,0,4,5,2.9,6.75964650079656,0
8,1,3,4,1,1,5,3,7,6,3.9,8.91409391393677,0
1,5,4,2,1,3,4,1,6,8,3.5,8.14280566516029,0
6,2,2,2,1,0,3,3,6,6,3.1,7.37920864958308,0
3,0,3,3,3,2,4,2,8,7,3.5,8.14280566516029,0
3,4,5,5,7,1,4,3,5,10,4.7,9.50544320999057,0
4,0,8,3,5,1,2,1,6,3,3.3,8.193462305294,0
7,10,4,3,6,2,3,4,6,9,5.4,10.6429745586091,0.157025441390907
4,1,5,2,6,3,2,5,8,5,4.1,8.27826971099016,0
6,4,8,4,4,3,2,3,4,2,4,7.57845404236708,0.421545957632915
0,1,8,0,4,4,1,5,7,4,3.4,8.95909505025573,0
3,4,8,3,3,4,2,4,6,6,4.3,7.88441317062888,0.71558682937112
5,3,10,4,3,5,2,8,13,2,5.5,12.7310749162517,0
5,1,6,6,3,5,1,6,10,4,4.7,9.93074840619284,0
6,2,12,3,3,6,3,8,8,1,5.2,11.913774894449,0
6,3,7,4,5,4,4,10,3,2,4.8,9.40124813984689,0.198751860153112
4,5,8,0,7,7,1,9,9,4,5.4,11.6118224200131,0
6,3,6,4,5,2,2,12,4,3,4.7,10.4737813529013,0
9,11,8,1,10,7,3,6,7,5,6.7,12.7622855975834,0.637714402416638
10,0,9,3,7,8,2,12,4,11,6.6,14.6654257998777,0
6,6,8,5,8,5,2,9,8,6,6.3,10.3327128999389,2.26728710006113
13,7,10,1,10,4,2,7,9,7,7,14.3916228860034,0
10,6,5,2,7,4,4,6,2,10,5.6,11.1590950502557,0.0409049497442684
13,3,10,4,7,9,2,6,7,4,6.5,13.2423240305798,0
11,3,10,1,14,6,4,9,9,9,7.6,15.4508813376447,0
12,9,8,3,6,3,3,7,7,9,6.7,12.6197912876122,0.780208712387836
15,5,3,2,8,0,2,5,5,5,5,13.1601307179072,0
9,6,12,0,7,9,3,10,8,12,7.6,15.0605975334122,0.139402466587843
15,2,14,4,13,6,5,7,8,7,8.1,16.7895789438972,0
11,3,4,0,9,3,3,3,7,6,4.9,11.3973006360761,0
7,4,8,3,9,10,3,8,8,11,7.1,12.678257792537,1.52174220746298
13,1,5,1,11,4,2,8,5,7,5.7,13.7043332708672,0
11,5,8,2,10,7,4,14,3,8,7.2,14.637677056716,0
10,11,9,3,8,7,2,10,12,8,8,14.4013331944734,1.59866680552663
9,1,9,2,9,8,3,13,4,10,6.8,14.629103538862,0
9,8,5,3,12,4,3,8,3,5,6,12.0587640837239,0
7,9,7,7,9,4,2,13,7,8,7.3,13.0737813529013,1.52621864709867
7,6,5,5,12,1,2,7,6,9,6,12.19806421393,0
5,8,9,2,9,5,4,8,3,7,6,10.9756384291644,1.02436157083558
5,7,4,7,11,5,4,5,10,7,6.5,11.2338497370886,1.76615026291145
4,8,7,2,8,3,6,8,6,7,5.9,10.1792086495831,1.62079135041692
6,9,8,3,14,2,3,5,4,6,6,13.0366153479891,0
2,3,7,6,8,3,7,4,9,9,5.8,10.9277302754511,0.672269724548904
3,10,8,6,20,3,5,4,5,6,7,16.9082905802274,0
3,7,8,3,7,2,7,7,5,12,6.1,11.9032772350342,0.296722764965759
2,5,11,4,12,5,4,2,5,5,5.5,12.1144958655634,0
4,4,5,4,10,3,3,4,10,4,5.1,10.2815553220588,0
3,0,11,2,8,3,2,5,4,10,4.8,12.0044628144258,0
2,3,6,3,10,1,2,6,2,2,3.7,9.17008186004154,0
2,2,2,6,6,2,3,8,5,10,4.6,10.2353550612776,0
4,1,8,3,9,1,3,2,4,8,4.3,10.1472420849491,0
3,2,4,3,9,3,2,6,4,5,4.1,8.27826971099016,0
5,4,4,1,13,1,2,2,3,6,4.1,11.0419548959769,0
3,2,8,1,14,3,5,4,3,5,4.8,12.1800644381408,0
7,4,9,3,6,5,2,4,5,7,5.2,9.31133068482699,1.08866931517301
3,3,1,1,6,5,7,2,3,5,3.6,7.64855859123549,0
5,1,10,1,8,4,3,6,6,7,5.1,10.8292528114736,0
6,2,6,1,6,4,7,1,1,7,4.1,9.19851220128644,0
5,2,5,2,3,4,5,3,5,4,3.8,6.20937428483921,1.39062571516079
4,1,6,4,12,6,7,2,8,7,5.7,11.9015066269774,0
6,3,7,1,2,3,3,5,3,5,3.8,7.47263998296109,0.127360017038908
3,4,4,6,6,6,1,4,0,2,3.6,7.75265162944781,0
7,0,4,2,10,6,5,2,1,2,3.9,9.99038440676959,0
7,6,7,3,5,7,4,3,3,7,5.2,8.75451762628286,1.64548237371714
5,4,4,4,3,6,7,4,1,5,4.3,7.50732772118957,1.09267227881042
3,7,3,2,5,5,4,3,1,1,3.4,7.11883852835801,0
4,5,4,3,1,3,3,2,2,4,3.1,5.44654923948621,0.753450760513785
7,2,4,2,4,5,5,1,2,5,3.7,7.40158164392826,0
2,2,2,2,1,6,4,3,2,5,2.9,6.02645770446008,0
4,6,2,2,0,4,3,3,2,5,3.1,6.4885270480779,0
5,1,2,4,2,5,7,3,3,4,3.6,7.0817211580226,0.118278841977402
2,4,3,3,1,4,2,0,4,1,2.4,5.20248778369822,0
5,6,2,1,3,3,3,3,2,2,3,5.92179549059973,0.0782045094002748
3,2,1,0,2,2,8,3,1,1,2.3,6.63864494975102,0
5,1,5,2,1,5,1,2,3,2,2.7,6.03775972772157,0
2,8,2,1,3,1,2,3,2,1,2.5,6.55382672435701,0
8,4,1,2,5,4,3,0,2,2,3.1,7.57426021197297,0
4,1,2,2,2,5,2,5,3,0,2.6,5.82722860120637,0
4,6,6,0,4,2,3,7,1,1,3.4,8.12933915984981,0
5,1,2,0,4,5,1,1,3,1,2.3,5.88441317062888,0
3,5,4,0,5,5,3,5,4,1,3.5,6.98784556233023,0.0121544376697718
5,4,4,0,1,6,0,2,2,1,2.5,6.6577878733769,0
2,4,8,2,2,6,4,7,5,2,4.2,8.61181444154972,0
3,1,5,1,4,0,1,2,5,4,2.6,6.20223140721291,0
5,1,8,1,2,6,2,4,6,1,3.6,8.59276632294718,0
4,1,4,0,3,4,3,3,7,0,2.9,7.07826971099016,0
2,4,4,2,2,8,7,5,9,3,4.6,9.67753921151225,0
4,2,6,1,5,4,4,7,10,0,4.3,10.0737813529013,0
3,0,5,0,0,5,7,1,7,2,3,8.54371716450253,0
2,3,4,0,3,5,6,3,6,4,3.6,7.20223140721291,0
5,2,2,0,3,7,6,8,7,2,4.2,9.57165565207269,0
1,1,4,3,4,6,10,3,9,5,4.6,10.5305971218944,0
5,2,1,0,0,4,2,5,8,3,3,7.97563842916442,0
6,0,1,4,3,2,6,5,7,6,4,8.71125366660628,0
4,4,4,0,2,3,6,4,8,6,4.1,8.47782086837225,0
1,1,1,1,5,5,8,5,4,5,3.6,8.41874856967842,0
5,7,2,0,3,5,1,8,7,3,4.1,9.44377145219866,0
2,6,3,3,7,2,8,4,7,7,4.9,9.46866428328164,0.331335716718361
2,7,2,3,2,3,4,5,10,6,4.4,9.56091981465837,0
5,8,2,3,1,7,3,2,9,5,4.5,9.9072954833673,0
0,6,5,3,4,3,3,4,5,5,3.8,7.10563424742935,0.494365752570654
2,6,4,5,3,5,5,2,4,3,3.9,6.58582782603634,1.21417217396366
2,8,5,2,0,11,2,1,7,6,4.4,11.3879184629219,0
1,12,10,5,4,0,8,5,6,8,5.9,13.2597934753633,0
3,9,0,1,3,6,6,0,6,4,3.8,9.62896369672841,0
2,13,6,4,5,7,2,2,7,7,5.5,12.1144958655634,0
4,10,4,4,3,4,5,0,3,9,4.6,10.3105967775317,0
2,11,5,7,3,8,9,3,8,2,5.8,12.1208100746661,0
2,6,10,8,4,8,7,3,11,7,6.6,12.3105967775317,0.88940322246829
5,11,5,4,2,6,5,1,7,9,5.5,11.3618237586759,0
4,11,6,10,9,7,3,5,6,11,7.2,12.8806196845063,1.51938031549374
0,14,11,5,7,4,5,1,11,6,6.4,15.1751203853724,0
3,7,7,12,3,9,4,0,10,2,5.7,13.3219111047616,0
5,12,5,2,7,4,4,3,9,10,6.1,12.531269444415,0
2,11,9,5,5,4,3,1,7,10,5.7,12.4296504779636,0
4,6,3,9,4,4,6,1,10,8,5.5,11.062932879536,0
6,4,5,6,1,4,3,2,9,9,4.9,10.1632883679734,0
5,8,5,7,6,5,5,2,11,8,6.2,10.983185363565,1.41681463643502
6,8,5,5,6,6,5,4,12,6,6.3,10.7359360780887,1.86406392191131
9,8,8,5,1,4,2,3,10,11,6.1,13.0419548959769,0
8,10,4,2,4,8,3,6,15,6,6.6,14.1741595793417,0
3,8,12,8,3,7,3,7,15,13,7.9,16.340399148013,0
14,10,9,3,7,8,6,4,12,3,7.6,14.9452799659222,0.254720034077817
6,5,7,3,2,6,7,5,14,4,5.9,12.3312694444151,0
3,14,10,7,3,5,5,8,11,5,7.1,14.2240300704338,0
9,9,10,5,8,9,4,9,13,2,7.8,14.1208100746661,1.47918992533394
7,9,3,5,9,10,9,6,15,2,7.5,14.9060455785197,0.0939544214803059
8,10,12,5,6,6,8,6,13,6,8,13.4661788400226,2.53382115997737
10,10,4,5,7,7,9,6,9,6,7.3,11.4372046386687,3.16279536133125
5,10,3,4,6,10,5,4,15,5,6.7,14.0945096749773,0
13,7,8,7,5,5,7,9,15,5,8.1,14.7914858007936,1.40851419920641
10,8,5,6,5,2,5,4,15,9,6.9,14.2015663464158,0
11,3,5,6,7,5,4,3,18,4,6.6,15.7092568302798,0
9,7,11,5,9,6,7,8,14,5,8.1,13.6012063323521,2.59879366764788
13,8,8,13,8,6,6,2,16,5,8.5,16.879493487742,0.12050651225797
9,8,15,3,7,5,4,3,19,3,7.6,18.3433113041454,0
9,7,7,11,14,4,5,6,24,1,8.8,21.461862948766,0
11,5,5,9,11,3,5,9,13,6,7.7,14.2365991837414,1.16340081625859
11,13,13,5,11,5,6,6,14,5,8.9,16.3748871414743,1.4251128585257
13,5,13,2,10,6,8,6,23,6,9.2,20.916363485883,0
9,5,14,7,11,2,9,6,11,2,7.6,15.3413797219875,0
7,3,11,1,12,8,8,6,19,8,8.3,18.0803803607017,0
12,8,10,2,13,3,11,12,15,4,9,17.9102787086974,0.089721291302574
12,7,7,4,7,1,10,10,14,9,8.1,15.5175635412775,0.682436458722521
