"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,1,0,2,0,0,1,1,1,0,0.8,2.34606884998337,0
1,1,1,0,0,2,1,1,2,0,0.9,2.34621498325034,0
4,2,0,2,0,1,3,1,0,1,1.4,4.04579834622537,0
0,1,0,0,1,0,3,0,0,1,0.6,2.49353989483542,0
1,2,1,0,3,1,2,1,0,2,1.3,3.15941926417901,0
1,1,0,1,0,1,0,1,0,2,0.7,2.02289917311268,0
2,1,1,1,1,0,1,1,0,4,1.2,3.42517315181438,0
0,1,1,1,0,0,0,0,1,1,0.5,1.53301070232167,0
2,1,1,1,3,0,2,1,0,0,1.1,3.04908069498304,0
0,1,1,1,1,0,0,1,1,3,0.9,2.61616627011099,0
2,1,1,1,2,0,1,0,1,3,1.2,3.00111570360646,0
3,2,2,0,1,0,1,1,0,1,1.1,3.04908069498304,0
3,1,1,0,2,4,3,0,1,2,1.7,4.32148727930455,0
1,0,3,0,2,2,3,1,2,1,1.5,3.6170419614799,0
2,1,3,2,1,2,1,0,1,1,1.4,3.05281712371467,0
1,2,0,1,1,2,2,1,1,0,1.1,2.54621498325034,0
1,3,2,0,3,0,3,2,2,3,1.9,4.24654923948621,0
3,0,2,2,3,2,1,1,1,3,1.8,3.82427929561774,0
2,0,2,4,5,1,2,1,2,1,2,4.92179549059973,0
4,1,2,0,0,3,2,3,0,5,2,5.45711504645773,0
0,0,1,2,0,0,2,1,0,3,0.9,3.05698967184464,0
2,1,1,1,0,1,2,2,2,1,1.3,2.62289917311268,0
0,0,3,5,0,1,1,0,1,5,1.6,5.54171761771157,0
3,3,5,2,1,2,3,1,1,3,2.4,4.87922568557201,0
3,2,4,9,0,0,2,2,1,4,2.7,7.84849881033297,0
3,2,2,4,0,1,2,0,1,2,1.7,4.15326449178776,0
3,1,6,3,1,2,1,4,3,5,2.9,6.2885270480779,0
4,0,5,4,0,1,4,4,4,7,3.3,7.73593607808869,0
5,2,1,5,2,4,6,5,3,4,3.7,6.90732772118958,0.492672278810425
3,1,2,0,1,2,6,7,4,5,3.1,7.66866428328164,0
3,1,1,4,2,1,7,7,3,6,3.5,8.23384973708855,0
7,0,2,2,0,4,6,3,4,3,3.1,7.57426021197297,0
6,0,2,3,3,4,8,8,4,6,4.4,9.47753921151225,0
8,0,3,1,2,0,6,10,4,5,3.9,10.527389631924,0
9,0,1,2,1,2,5,6,3,8,3.7,9.83229121581449,0
7,0,2,4,5,3,6,8,6,4,4.5,9.23384973708855,0
11,0,4,2,2,2,11,11,1,7,5.1,13.8872726144123,0
11,1,6,4,5,3,10,12,2,3,5.7,13.4331045943183,0
8,2,2,6,2,7,9,14,4,2,5.6,13.4508813376447,0
10,0,8,3,6,9,9,19,1,6,7.1,17.7334892360567,0
7,1,3,10,5,5,9,19,3,7,6.9,16.8705602205248,0
10,2,5,7,2,8,15,16,3,5,7.3,17.1672801611071,0
8,3,9,7,3,7,13,15,2,7,7.4,15.6744092773375,0
7,0,4,8,5,4,14,9,1,1,5.3,13.7706877590377,0
8,5,6,9,2,9,13,12,3,2,6.9,14.6551519793117,0
7,4,5,6,7,4,16,10,2,2,6.3,14.5148710681706,0
13,2,7,12,2,5,17,11,1,5,7.5,18.205500144007,0
6,7,7,3,3,4,9,5,3,1,4.8,9.58318536356498,0.016814636435023
10,5,6,10,1,5,7,4,2,1,5.1,11.531269444415,0
5,6,6,6,2,3,8,3,2,3,4.4,8.44855859123549,0.351441408764514
10,5,4,4,3,3,10,6,1,1,4.7,10.9699580009226,0
5,10,2,6,2,3,4,5,3,0,4,9.38752468414041,0
10,5,8,4,3,5,7,5,5,1,5.3,10.279925925375,0.320074074624982
8,2,6,3,2,4,4,8,1,2,4,8.97563842916442,0
9,6,4,2,2,4,2,7,3,3,4.2,8.89309847897243,0
13,4,6,1,5,3,4,4,2,1,4.3,11.0927817898446,0
