"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,1,2,3,2,2,0,1,2,0,1.5,3.4047776189828,0
1,2,1,2,2,1,1,1,3,2,1.6,2.970443561609,0.229556438391002
2,1,3,1,0,1,3,4,2,2,1.9,4.24654923948621,0
2,0,1,3,1,1,3,3,4,1,1.9,4.42190051790752,0
1,3,0,2,2,3,1,1,4,0,1.7,4.32148727930455,0
0,3,2,2,3,3,2,1,0,0,1.6,4.07922568557201,0
2,0,4,1,2,0,4,3,4,2,2.2,5.23641894342662,0
0,3,1,5,1,2,1,0,3,2,1.8,4.83641894342662,0
0,3,1,4,0,0,3,3,2,0,1.6,4.69213769996673,0
3,0,3,2,1,3,1,1,1,0,1.5,3.80988215187606,0
3,0,2,2,2,1,2,1,3,3,1.9,3.84908069498304,0
1,2,2,1,2,2,5,4,1,2,2.2,4.78045990732918,0
0,1,2,1,0,1,1,5,0,3,1.4,4.49213769996673,0
3,4,1,3,1,0,1,0,0,1,1.4,4.20248778369822,0
1,1,3,2,2,1,3,3,2,2,2,3.60033329861834,0.399666701381657
2,3,3,1,3,2,2,2,3,3,2.4,3.770443561609,1.029556438391
3,0,3,4,3,0,0,2,1,2,1.8,4.69242996650068,0
3,3,2,6,3,3,2,3,3,1,2.9,5.42190051790752,0.378099482092479
0,3,5,2,4,3,2,2,5,2,2.8,5.83641894342662,0
2,2,1,2,3,1,3,1,2,3,2,3.60033329861834,0.399666701381657
1,3,6,2,2,3,1,2,1,5,2.6,5.95688744722449,0
4,1,2,5,0,2,4,1,3,2,2.4,5.49213769996673,0
2,2,2,6,1,3,2,2,5,3,2.8,5.83641894342662,0
3,3,2,5,3,3,1,3,5,0,2.8,5.83641894342662,0
2,3,8,3,1,2,0,0,3,6,2.8,7.75845137114402,0
4,5,6,8,2,7,3,6,2,7,5,9.2340839229598,0.765916077040198
5,6,1,10,1,6,2,1,3,2,3.7,9.54724208494911,0
2,4,5,4,2,0,1,4,7,7,3.6,8.2382065499501,0
8,3,5,8,0,6,1,1,3,5,4,9.62018584113452,0
0,3,3,4,4,9,0,2,7,6,3.8,9.48061968450626,0
1,7,3,6,2,6,3,3,6,5,4.2,8.20616413931221,0.193835860687794
8,2,8,5,2,13,1,3,8,12,6.2,14.5565394219803,0
6,4,4,7,1,7,3,4,8,8,5.2,9.80124813984689,0.598751860153113
1,8,6,7,3,11,6,7,9,4,6.2,11.9552696625692,0.444730337430843
2,6,4,10,4,10,2,6,5,15,6.4,14.4654257998777,0
4,5,5,6,0,7,9,5,7,12,6,12.19806421393,0
7,8,5,6,2,7,9,10,7,8,6.9,11.2778208683722,2.52217913162775
3,7,5,12,8,11,5,5,7,8,7.1,12.6012063323521,1.59879366764788
5,4,5,11,6,10,10,9,12,12,8.4,14.4728378868532,2.32716211314677
6,4,7,12,4,23,11,11,6,13,9.7,20.9422702333648,0
7,6,8,11,4,14,7,7,12,16,9.2,16.7515837926741,1.64841620732592
5,8,7,15,4,7,12,6,15,12,9.1,17.0722730621685,1.12772693783148
2,9,8,16,6,20,8,13,13,20,11.5,23.1963090094459,0
4,8,8,10,4,16,8,4,5,11,7.8,15.3515837926741,0.248416207325924
6,3,8,10,10,15,12,10,10,15,9.9,17.1428711311345,2.65712886886545
3,6,7,13,4,11,13,8,13,17,9.5,18.4699597422607,0.530040257739293
8,4,11,5,6,9,9,8,10,15,8.5,14.7152572128772,2.28474278712279
4,4,6,11,7,12,4,7,8,8,7.1,12.6012063323521,1.59879366764788
3,2,8,11,11,13,8,8,13,12,8.9,16.5442791971804,1.25572080281964
6,6,5,8,5,12,7,6,7,13,7.5,12.9856661704239,2.01433382957609
2,4,6,7,9,12,6,3,5,8,6.2,12.0289636967284,0.371036303271587
5,2,1,10,5,11,8,6,6,7,6.1,12.2600707066649,0
3,1,10,7,3,12,3,8,12,7,6.6,14.3963227799321,0
5,2,7,3,5,9,5,5,12,6,5.9,11.5542593581201,0.245740641879886
4,4,8,5,5,8,4,4,9,5,5.6,9.4318988620381,1.7681011379619
4,4,5,6,7,4,8,6,9,6,5.9,9.2885270480779,2.5114729519221
2,1,5,10,3,7,4,8,8,3,5.1,10.9763692494223,0
1,8,3,2,6,5,3,4,6,2,4,8.33372305939772,0
1,1,3,6,3,4,4,3,11,2,3.8,9.55526966256916,0
4,1,4,3,8,6,3,7,6,7,4.9,9.27782086837225,0.522179131627751
0,8,2,4,2,5,3,5,11,3,4.3,10.5699580009226,0
8,8,5,3,8,4,4,5,8,2,5.5,10.0499401705468,0.950059829453187
2,8,3,6,7,2,3,10,6,4,5.1,10.4437714521987,0
2,0,4,1,3,6,0,7,7,6,3.6,9.08177424643599,0
3,6,0,1,3,3,6,1,9,2,3.4,8.88177424643599,0
4,4,2,3,4,5,4,2,6,6,4,6.77185858225127,1.22814141774873
4,5,2,0,3,3,4,3,3,4,3.1,5.78582782603634,0.414172173963657
3,4,2,3,5,2,3,5,8,1,3.6,7.54171761771157,0
2,3,5,4,6,5,4,1,5,2,3.7,6.90732772118958,0.492672278810425
0,3,3,2,5,5,4,3,3,5,3.3,6.37136162348595,0.228638376514054
2,3,1,3,10,4,1,1,2,2,2.9,8.16328836797343,0
2,2,2,3,5,1,6,5,4,3,3.3,6.50732772118957,0.0926722788104248
0,6,2,2,8,6,4,3,6,1,3.8,8.9277302754511,0
