"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,0,0,2,0,0,0,1,0,2,0.6,2.25281712371467,0
1,0,0,0,0,1,2,1,3,0,0.8,2.82427929561774,0
0,0,2,0,0,0,2,0,1,0,0.5,2.16567970777364,0
0,1,1,1,0,0,0,0,1,1,0.5,1.53301070232167,0
2,0,0,1,1,0,1,3,1,0,0.9,2.84908069498304,0
0,0,2,0,0,2,0,0,3,1,0.8,3.02517315181438,0
0,1,1,0,1,0,1,1,3,0,0.8,2.60111570360646,0
0,2,1,0,1,1,1,0,1,2,0.9,2.34621498325034,0
2,0,0,0,0,1,0,1,1,2,0.7,2.31361430060319,0
1,0,0,0,2,2,1,0,1,0,0.7,2.31361430060319,0
0,1,1,0,1,1,1,0,3,2,1,2.84790572150084,0
1,0,2,0,1,1,1,0,2,2,1,2.60033329861834,0
1,0,1,1,0,1,1,1,2,2,1,2.30666666666667,0
2,0,1,0,0,2,2,3,1,3,1.4,3.70062406992344,0
2,2,1,0,1,4,0,2,1,1,1.4,3.70062406992344,0
1,1,2,0,1,4,1,3,1,1,1.5,3.80988215187606,0
0,3,4,1,0,1,3,5,1,1,1.9,5.2885270480779,0
0,4,0,0,0,1,3,2,0,2,1.2,4.09242996650068,0
1,4,3,0,0,1,1,4,4,4,2.2,5.63233254022198,0
2,5,0,0,0,4,1,1,0,3,1.6,5.20223140721291,0
2,3,2,2,0,2,1,4,2,2,2,4.06602140464334,0
0,2,2,1,0,3,1,2,0,4,1.5,4.15385254551441,0
3,2,1,0,0,2,0,0,1,4,1.3,4.07954752512787,0
2,4,3,0,1,3,1,2,1,1,1.8,4.20937428483921,0
1,2,2,1,1,3,1,1,4,3,1.9,4.05698967184464,0
0,0,4,1,1,2,0,2,2,3,1.5,4.15385254551441,0
0,4,7,1,1,3,3,5,6,2,3.2,7.7075265451859,0
0,0,1,1,1,4,0,3,2,7,1.9,6.27782086837225,0
1,6,4,2,2,1,2,6,4,2,3,6.69581144300169,0
2,0,2,2,4,6,1,3,2,6,2.8,6.69816138996607,0
0,0,7,3,4,4,4,6,1,3,3.2,7.80124813984689,0
3,2,9,3,5,5,0,2,2,3,3.4,8.21874856967841,0
1,1,9,4,5,5,1,6,3,3,3.8,8.84380103581504,0
2,3,9,4,2,4,0,3,2,3,3.2,7.80124813984689,0
1,1,9,6,4,4,0,6,6,3,4,9.54371716450253,0
0,2,11,3,0,4,2,9,3,2,3.6,10.7090352525657,0
1,2,8,6,2,3,5,8,8,2,4.5,10.062932879536,0
0,1,10,12,1,3,1,7,4,1,4,12.3155757467538,0
0,1,13,6,3,2,4,6,5,1,4.1,11.5175635412775,0
0,2,5,15,1,0,0,7,4,1,3.5,12.7048151650222,0
1,2,9,11,1,2,2,6,2,2,3.8,10.8244727757874,0
1,2,6,11,0,0,1,5,6,3,3.5,10.3677733735987,0
1,3,7,14,1,2,1,4,4,0,3.7,11.8627457254148,0
3,0,10,9,1,2,0,4,1,2,3.2,10.1634423160452,0
3,1,11,16,0,4,0,6,5,2,4.8,14.8706623416735,0
3,2,12,13,0,5,0,7,4,1,4.7,13.8489997024569,0
3,1,6,11,1,5,0,2,2,1,3.2,9.72025357380115,0
7,2,10,4,0,6,0,6,4,1,4,10.467670025253,0
2,1,6,8,0,5,1,4,4,1,3.2,8.3277302754511,0
6,1,6,7,0,2,0,5,2,2,3.1,8.28155532205877,0
1,1,6,6,0,5,0,5,5,2,3.1,8.02822979262218,0
7,3,6,5,0,8,0,4,2,0,3.5,9.36182375867594,0
4,1,8,10,0,3,2,3,2,5,3.8,9.91486494808621,0
3,6,3,4,0,4,1,2,2,1,2.6,6.0817211580226,0
6,3,6,6,1,7,3,3,0,1,3.6,8.50652898357552,0
1,7,2,4,1,4,4,1,1,3,2.8,6.69816138996607,0
7,3,3,4,3,4,5,0,1,2,3.2,7.09816138996607,0
4,5,3,3,0,4,5,0,1,4,2.9,6.6474234111216,0
4,4,1,2,1,5,12,0,1,3,3.3,10.0927817898446,0
5,5,5,0,3,5,10,2,2,2,3.9,9.32306022668218,0
7,10,3,2,1,6,10,2,3,2,4.6,11.2755194554431,0
4,3,3,1,1,6,5,0,1,1,2.5,6.44712835137423,0
1,2,2,2,2,4,8,0,2,2,2.5,6.75921223806573,0
2,3,5,2,1,3,3,0,2,2,2.3,4.92148727930455,0
6,2,3,6,3,5,5,3,2,2,3.7,6.90732772118958,0.492672278810425
2,2,3,3,3,3,5,2,1,3,2.7,4.7763258147239,0.623674185276095
6,1,4,1,5,5,7,3,4,3,3.9,7.75964650079656,0.0403534992034422
4,3,4,3,3,7,6,2,2,1,3.5,7.1081512656145,0
4,3,2,3,5,1,6,4,9,2,3.9,8.46866428328164,0
5,3,3,4,9,4,8,1,5,2,4.4,9.30652898357553,0
0,1,5,5,8,5,4,1,7,2,3.8,9.09159669245073,0
3,5,4,6,11,6,7,1,5,3,5.1,10.4437714521987,0
1,1,9,9,5,3,5,2,2,4,4.1,9.90327723503424,0
1,4,5,11,10,8,5,1,3,2,5,12.0366153479891,0
3,2,5,7,10,2,1,1,3,6,4,9.77008376600086,0
