"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,3,2,1,0,0,0,1,2,2,1.2,3.22427929561774,0
0,3,1,0,0,0,0,1,1,0,0.6,2.49353989483542,0
1,1,2,0,2,0,1,0,0,3,1,3.06602140464334,0
4,6,2,1,0,0,1,1,0,3,1.8,5.69816138996607,0
5,6,4,1,0,0,0,1,0,2,1.9,6.37426021197297,0
2,9,4,1,0,1,1,1,1,1,2.1,7.28155532205877,0
8,13,2,2,1,0,6,1,1,4,3.8,11.8442288491674,0
5,11,4,0,0,0,6,4,1,3,3.4,10.2022009509994,0
8,20,8,0,2,0,13,4,0,8,6.3,19.1043332942841,0
6,21,8,2,0,1,11,5,2,4,6,18.2576198523386,0
15,20,9,1,4,3,17,7,2,8,8.6,21.6405071476023,0
8,27,9,5,2,5,19,9,4,8,9.6,24.6181425097928,0
14,23,9,1,3,5,19,6,4,12,9.6,23.8600383356193,0
10,27,5,1,4,0,20,6,7,7,8.7,25.3324347118648,0
12,18,9,3,5,5,18,5,3,8,8.6,19.7335361258976,0
10,21,6,0,5,1,11,10,6,9,7.9,19.5304344048038,0
10,21,9,2,6,3,21,5,4,7,8.8,22.3099476107217,0
9,18,9,2,6,5,15,7,5,7,8.3,17.7699534200427,0
3,21,4,3,6,8,15,3,3,5,7.1,19.1273680505014,0
7,21,6,3,6,2,11,6,9,2,7.3,18.3121072763875,0
5,23,8,9,7,10,17,5,6,6,9.6,21.1475627058027,0
5,16,3,6,7,1,21,6,4,6,7.5,19.5910802752369,0
8,16,11,6,15,3,10,2,5,3,7.9,17.6978219801931,0
5,16,6,3,5,2,18,5,2,4,6.6,17.6951312645582,0
9,15,10,4,10,4,15,5,1,4,7.7,17.2149202133632,0
8,13,6,4,5,1,17,3,3,7,6.7,16.348563278195,0
7,10,6,2,17,2,15,8,4,6,7.7,17.6104443223635,0
5,12,4,1,13,3,10,6,4,5,6.3,14.1427217497782,0
10,11,10,2,10,0,11,8,4,6,7.2,15.029103538862,0
13,6,4,2,7,4,9,10,2,8,6.5,13.5517641606748,0
9,13,6,4,11,1,11,8,2,3,6.8,15.0537490471502,0
8,12,3,6,9,2,6,10,3,7,6.6,13.0146554423791,0.18534455762085
16,8,3,6,6,1,8,8,1,4,6.1,14.7403178953863,0
10,9,6,6,9,2,10,6,0,4,6.2,12.913774894449,0
15,10,6,6,7,4,10,6,2,3,6.9,14.488235338704,0
13,5,3,6,7,3,6,6,2,2,5.3,11.7046663543944,0
9,14,3,5,3,6,10,6,1,3,6,13.7853651880378,0
