"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
3,1,3,5,3,4,2,3,3,4,3.1,5.25698967184464,0.943010328155361
2,5,4,1,3,2,4,4,3,4,3.2,5.60937428483921,0.790625715160792
4,3,8,4,4,7,2,2,4,1,3.9,8.17920864958308,0
7,0,6,3,6,0,4,7,6,7,4.6,10.0033471108194,0
6,7,4,4,2,3,5,4,3,8,4.6,8.31883852835801,0.881161471641986
4,3,7,10,6,6,10,4,5,2,5.7,11.0117245577851,0.388275442214857
6,3,7,4,5,5,3,7,6,7,5.3,8.37136162348595,2.22863837651405
4,8,6,4,3,1,6,9,6,3,5,9.80099989585503,0.199000104144972
7,3,7,6,7,3,2,8,10,5,5.8,10.758451371144,0.841548628855981
9,4,10,5,6,7,3,5,6,3,5.8,10.4012481398469,1.19875186015311
6,8,4,5,5,6,7,9,3,7,6,9.57845404236708,2.42154595763291
5,3,10,8,5,5,11,10,4,4,6.5,12.2885480812453,0.71145191875468
11,7,11,6,5,1,7,5,6,3,6.2,12.3148649480862,0.0851350519137934
9,13,7,10,4,5,4,5,10,6,7.3,13.2914620734657,1.30853792653431
3,5,5,10,8,1,5,10,8,2,5.7,11.9699580009226,0
8,4,8,6,8,7,9,5,9,5,6.9,10.4122363878937,3.38776361210632
5,8,3,6,3,5,8,3,6,8,5.5,9.55382672435701,1.44617327564299
8,10,2,7,7,5,6,3,7,4,5.9,10.6518492306797,1.14815076932032
3,6,7,5,7,5,11,8,5,4,6.1,10.574260211973,1.62573978802703
6,4,8,11,3,9,4,1,2,7,5.5,11.8511258844397,0
5,4,5,5,5,9,4,6,8,5,5.6,8.82722860120637,2.37277139879363
5,4,2,10,4,5,3,0,2,7,4.2,9.72829650274135,0
5,9,8,9,7,4,4,3,6,8,6.3,10.638644949751,1.96135505024898
7,5,2,3,8,6,3,5,4,7,5,8.92,1.08
5,2,7,4,3,15,8,5,4,8,6.1,13.4015663464158,0
2,9,4,9,4,4,4,4,5,6,5.1,9.57426021197297,0.625739788027025
8,4,2,5,3,5,7,6,5,4,4.9,8.41223638789368,1.38776361210632
2,4,5,2,8,1,3,7,2,5,3.9,8.46866428328164,0
5,8,2,4,7,5,5,3,4,7,5,8.69581144300169,1.30418855699831
7,4,3,8,4,3,5,2,2,5,4.3,8.22544066882235,0.374559331177652
4,3,9,5,5,4,4,3,4,3,4.4,7.8817211580226,0.918278841977402
1,9,2,2,6,3,4,4,3,4,3.8,8.3075265451859,0
4,5,8,5,9,6,0,3,7,7,5.4,10.5609198146584,0.239080185341635
3,3,5,9,5,2,5,6,3,7,4.8,9.01387338311071,0.586126616889291
7,3,7,5,5,4,3,3,7,5,4.9,8.16012678690057,1.63987321309943
5,6,8,4,1,4,4,4,3,6,4.5,8.22457305532385,0.775426944676149
4,4,9,2,5,3,2,1,5,3,3.8,8.21181444154972,0
10,4,8,3,2,8,4,5,2,5,5.1,10.4437714521987,0
1,3,3,4,7,6,4,6,6,3,4.3,8.00158164392826,0.598418356071736
6,6,7,7,4,2,8,7,3,7,5.7,9.62544066882235,1.77455933117765
2,4,5,6,5,6,7,6,5,3,4.9,7.88681249643979,1.91318750356021
5,2,4,6,7,3,6,3,6,7,4.9,8.41223638789368,1.38776361210632
6,6,9,4,6,6,3,6,2,5,5.3,9.11515341179821,1.48484658820179
3,7,2,2,4,4,2,3,5,7,3.9,7.6474234111216,0.152576588878403
