"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,2,2,2,3,3,2,0,3,1,2,3.84790572150084,0.152094278499156
2,2,1,0,0,3,3,0,1,2,1.4,3.70062406992344,0
1,3,1,2,1,4,0,1,3,0,1.6,4.24579834622537,0
4,3,2,2,2,1,0,1,0,2,1.7,4.15326449178776,0
2,4,1,3,4,3,4,2,4,5,3.2,5.60937428483921,0.790625715160792
7,8,1,4,6,5,1,1,2,2,3.7,8.93074840619284,0
3,4,0,1,6,7,4,0,2,2,2.9,7.56115674722726,0
3,5,4,2,5,6,3,3,4,3,3.8,6.20937428483921,1.39062571516079
6,6,3,5,9,6,5,7,5,4,5.6,8.82722860120637,2.37277139879363
4,13,1,7,6,4,3,3,8,2,5.1,12.0419548959769,0
4,5,4,2,4,15,4,6,8,3,5.5,12.7898651107777,0
3,9,4,5,11,10,3,12,6,7,7,13.5333333333333,0.466666666666667
5,10,2,7,10,7,3,2,9,4,5.9,12.0600707066649,0
4,10,4,4,4,18,3,11,8,5,7.1,16.4062741082443,0
4,12,5,4,13,22,3,10,9,5,8.7,20.2420167696599,0
5,8,8,5,12,13,4,11,19,6,9.1,18.2676426147135,0
4,14,4,13,7,10,8,10,2,12,8.4,16.4654257998777,0.334574200122269
7,9,9,3,8,17,4,14,10,8,8.9,17.0836357038503,0.716364296149704
4,14,10,10,16,20,6,10,12,11,11.3,20.3552094276045,2.24479057239548
5,10,12,14,7,13,8,11,10,9,9.9,15.3230602266822,4.47693977331782
6,13,13,6,9,17,7,13,15,14,11.3,19.0881060313503,3.51189396864966
7,13,16,8,19,21,5,18,12,17,13.6,24.3829692880332,2.81703071196682
13,12,12,14,13,21,7,13,7,14,12.6,20.2860439181097,4.9139560818903
4,11,10,10,12,15,11,13,14,9,10.9,16.9198914718899,4.88010852811005
5,14,10,12,10,17,8,12,13,13,11.4,17.9463869594015,4.85361304059848
10,17,9,14,16,21,6,18,13,14,13.8,22.6526063958588,4.94739360414121
8,8,6,9,15,20,6,10,10,14,10.6,19.3263422399588,1.87365776004122
10,10,8,12,10,19,6,20,11,14,12,20.8139485413116,3.1860514586884
8,7,3,15,12,16,2,15,21,18,11.7,24.3027305683244,0
5,13,3,10,12,14,10,10,19,18,11.4,21.273766814702,1.52623318529797
9,7,5,29,14,14,10,20,8,22,13.8,28.8635489399632,0
9,13,4,11,24,21,9,13,12,18,13.4,25.2034751944784,1.59652480552161
12,13,9,18,15,12,8,16,17,13,13.3,19.7046663543944,6.89533364560564
9,9,8,19,16,14,10,12,12,15,12.4,19.3879184629219,5.41208153707812
5,12,5,19,21,21,8,21,11,18,14.1,27.1486876309033,1.0513123690967
15,11,9,10,23,18,11,19,14,19,14.9,24.1140848704578,5.68591512954217
7,12,11,20,17,15,6,19,13,15,13.5,22.6583259023324,4.34167409766756
10,10,18,24,21,20,8,28,17,18,17.4,30.0416201493321,4.75837985066787
6,10,12,19,17,19,13,21,18,16,15.1,24.3602942117888,5.83970578821121
13,14,8,18,22,25,10,19,18,15,16.2,26.4804029320083,5.91959706799172
8,12,13,24,8,11,9,20,14,22,14.1,25.6198063255325,2.58019367446754
8,16,20,16,25,25,12,16,15,24,17.7,28.9042380870415,6.49576191295851
6,12,11,23,15,25,13,14,23,15,15.7,27.6418896699345,3.75811033006547
14,12,17,20,17,23,10,26,17,15,17.1,26.6328475400702,7.56715245992982
14,11,19,26,14,24,14,23,15,28,18.8,30.589001277085,7.01099872291503
8,13,22,18,22,17,15,11,17,22,16.5,25.978963843984,7.02103615601602
12,7,18,19,23,21,10,13,15,17,15.5,25.3759280857829,5.6240719142171
11,11,14,22,13,17,17,19,24,21,16.9,25.9268823214022,7.87311767859775
6,5,23,22,24,17,17,15,16,17,16.2,28.8281069224347,3.57189307756525
16,6,15,14,13,13,13,15,15,14,13.4,18.881774246436,7.91822575356401
8,9,26,9,22,25,19,17,22,15,17.2,30.4547792638479,3.94522073615206
11,11,23,32,17,13,21,14,19,15,17.6,30.3089707599702,4.89102924002979
12,6,17,20,20,19,19,19,21,17,17,26.0528522208933,7.94714777910667
10,11,24,12,9,17,14,19,14,22,15.2,25.2706623416735,5.12933765832654
6,10,19,18,24,26,19,13,18,17,17,28.7962404557083,5.20375954429171
15,9,34,20,18,20,17,18,22,18,19.1,31.4771754092406,6.72282459075937
7,16,18,16,14,29,16,22,12,21,17.1,28.8400200643402,5.35997993565977
17,12,24,22,18,20,19,16,19,16,18.3,24.9015769159935,11.6984230840065
9,9,20,14,11,33,12,23,25,22,17.8,33.5560378550221,2.04396214497792
11,12,23,19,16,21,15,16,16,24,17.3,25.8708767864723,8.72912321352775
15,17,23,26,22,19,16,23,16,20,19.7,26.9781450628272,12.4218549371728
11,19,22,20,11,19,16,18,11,25,17.2,26.793104931263,7.60689506873701
13,19,16,17,16,31,15,16,19,22,18.4,28.35985185075,8.44014814924996
8,17,30,16,19,20,14,21,14,17,17.6,28.8099511347929,6.39004886520711
16,19,24,18,16,19,23,22,9,17,18.3,26.7706877590377,9.8293122409623
15,29,28,17,20,20,15,13,20,23,20,30.5751238500759,9.42487614992408
8,15,24,25,14,33,9,12,13,21,17.4,33.1668704708463,1.63312952915372
15,20,21,11,26,17,14,16,20,25,18.5,27.8884704706239,9.11152952937606
9,16,19,23,20,13,7,17,14,13,15.1,24.7662427493256,5.43375725067444
14,20,26,24,22,18,15,8,14,29,19,31.6010369943641,6.39896300563587
8,27,21,16,29,16,11,21,12,21,18.2,31.6148282798468,4.78517172015319
8,18,15,10,12,15,19,9,13,22,14.1,23.0794718973643,5.12052810263568
8,24,11,18,25,13,15,12,9,22,15.7,27.8895262873957,3.51047371260429
