"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,2,3,0,2,0,1,2,1,3,1.5,3.6170419614799,0
1,5,4,1,5,0,0,2,1,3,2.2,5.98707978967084,0
3,5,5,4,6,4,2,4,1,0,3.4,7.11883852835801,0
2,4,2,3,8,0,3,5,5,6,3.8,8.3075265451859,0
4,3,5,3,13,0,4,7,3,3,4.5,11.3053377742932,0
6,5,3,5,12,2,3,6,11,6,5.9,12.3312694444151,0
7,6,2,8,10,1,9,7,5,11,6.6,12.9477646109127,0.252235389087308
7,7,5,5,15,4,7,11,12,10,8.3,15.2787499676598,1.32125003234024
6,11,4,4,20,2,6,11,10,16,9,20.240371682269,0
11,11,7,13,19,10,6,9,5,16,10.7,19.3205346573039,2.07946534269609
8,14,6,5,22,9,7,16,12,25,12.4,25.8275497888979,0
10,14,12,7,29,10,5,9,12,18,12.6,25.9318425833291,0
14,11,9,12,26,15,9,15,7,33,15.1,31.1950891061011,0
18,17,12,12,35,15,9,14,15,20,16.7,30.7747471262068,2.6252528737932
17,15,11,14,36,15,12,15,10,44,18.9,41.3892859429156,0
29,15,13,12,40,12,14,16,14,39,20.4,42.3659955385591,0
35,15,15,11,41,18,15,15,10,42,21.7,46.198693298487,0
22,22,18,12,36,7,9,16,11,52,20.5,47.7566093921374,0
31,18,19,7,52,18,19,21,17,43,24.5,51.122832306124,0
29,19,15,15,53,11,13,19,12,56,24.2,57.098431168269,0
31,13,20,15,45,20,14,23,20,55,25.6,53.1362755490119,0
40,21,23,14,47,16,19,27,25,43,27.5,50.4365598505482,4.56344014945184
32,15,21,20,45,16,13,23,23,61,26.9,56.7173488649366,0
35,22,21,8,53,24,16,22,22,46,26.9,53.8605898385856,0
35,20,24,12,36,24,21,30,34,51,28.7,50.1518296551962,7.24817034480379
32,18,22,17,39,16,18,21,33,66,28.2,58.5332471793648,0
33,39,21,18,52,22,24,29,36,47,32.1,54.551294048327,9.64870595167298
45,28,17,24,43,26,31,26,36,59,33.5,57.8624136735259,9.13758632647414
43,41,29,18,51,22,33,19,47,54,35.7,61.9156869068884,9.4843130931116
49,23,17,23,48,20,26,29,42,63,34,64.2374072962614,3.76259270373864
44,32,23,19,57,32,31,28,44,57,36.7,62.703159124315,10.696840875685
59,36,27,19,43,26,34,29,47,57,37.7,64.1103484768124,11.2896515231876
54,19,22,27,54,25,30,25,46,50,35.2,62.7765491354923,7.62345086450769
45,37,23,24,50,33,15,25,60,33,34.5,61.6310383959856,7.36896160401441
56,23,22,25,50,34,25,33,49,46,36.3,61.4690254082275,11.1309745917725
46,34,27,17,44,35,34,28,58,49,37.2,60.9151900688146,13.4848099311855
57,36,20,24,42,30,25,30,49,30,34.3,57.3627592066132,11.2372407933868
43,37,36,23,34,35,35,15,50,43,35.1,54.731552381024,15.468447618976
43,36,30,18,30,22,32,26,50,33,32,50.5021416177816,13.4978583822184
47,30,21,23,37,27,30,20,55,29,31.9,54.2178131146898,9.58218688531015
41,32,24,19,21,29,32,30,46,27,30.1,46.5362358491502,13.6637641508498
37,37,24,28,32,27,36,26,52,24,32.3,49.2123760075934,15.3876239924066
50,28,18,28,26,29,39,17,38,20,29.3,49.7327323457024,8.86726765429765
28,33,26,28,28,40,37,15,38,20,29.3,44.8994877408772,13.7005122591228
35,25,22,18,23,28,23,20,46,12,25.2,43.7896009161634,6.61039908383662
26,30,27,24,30,27,28,11,43,18,26.4,42.6468644496236,10.1531355503764
35,28,15,21,28,32,22,8,28,14,23.1,40.0728405270171,6.12715947298286
32,33,23,11,26,28,28,8,33,19,24.1,41.5441223466371,6.65587765336289
32,29,15,17,20,17,25,7,44,18,22.4,42.8984309426627,1.90156905733731
22,34,11,15,25,20,19,9,35,19,20.9,37.8224684303968,3.97753156960315
31,27,15,16,20,18,25,6,38,17,21.3,39.2173018802125,3.38269811978749
18,28,9,19,25,16,28,4,35,11,19.3,38.3712912806425,0.228708719357488
15,32,18,21,18,23,25,4,29,8,19.3,36.4380180365824,2.16198196341764
25,27,14,13,25,16,16,5,36,15,19.2,36.6771246045923,1.72287539540773
19,32,15,17,11,20,17,8,23,10,17.2,30.9603850075336,3.4396149924664
27,33,8,15,24,14,15,6,29,6,17.7,37.126095164323,0
14,36,8,16,16,15,15,6,22,9,15.7,32.4092474729148,0
25,41,11,8,16,19,12,11,23,9,17.5,37.3219653695367,0
19,39,10,14,11,19,15,5,14,6,15.2,34.0404840702143,0
23,36,6,10,15,16,19,9,18,5,15.7,33.8068831602178,0
20,49,5,6,14,15,9,9,18,11,15.6,40.5330352923363,0
20,37,13,6,15,22,12,8,14,4,15.1,33.8416726396908,0
23,55,6,8,16,16,20,9,17,10,18,45.687770264545,0
26,53,10,14,13,18,19,9,13,8,18.3,44.43414998724,0
35,52,11,6,13,19,16,8,15,5,18,46.820813466814,0
23,51,6,11,20,17,22,10,14,10,18.4,43.4525861162298,0
35,49,14,6,17,21,28,9,13,12,20.4,46.56924199641,0
25,55,10,14,17,22,18,13,16,12,20.2,45.7686321712975,0
35,53,19,10,22,18,21,10,20,11,21.9,47.7781036571247,0
