"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
3,5,2,8,4,6,2,7,9,2,4.8,9.9277302754511,0
6,7,4,8,8,5,2,4,2,2,4.8,9.49309847897243,0.106901521027571
3,4,6,6,12,8,7,3,3,6,5.8,11.3282965027413,0.271703497258652
8,7,6,13,8,11,6,5,8,5,7.7,12.7649137318528,2.63508626814719
8,7,6,13,10,12,8,10,8,7,8.9,13.374260211973,4.42573978802703
16,8,11,17,14,10,8,8,7,10,10.9,17.9031726143703,3.89682738562966
15,15,16,21,14,14,13,7,7,14,13.6,21.6654257998777,5.53457420012227
20,11,11,24,18,22,12,15,11,10,15.4,25.6137545605043,5.18624543949571
23,17,11,26,16,16,13,15,8,15,16,26.3301070232167,5.6698929767833
26,19,15,40,16,31,14,20,12,11,20.4,38.6278829147972,2.1721170852028
25,14,17,26,21,26,15,21,16,15,19.6,29.031563084782,10.168436915218
33,19,24,36,17,26,17,19,6,11,20.8,38.9009888004925,2.69901119950748
28,18,19,27,22,26,17,22,13,15,20.7,30.8235048827524,10.5764951172476
24,14,18,26,23,29,22,21,15,9,20.1,32.0204243026646,8.17957569733545
25,17,24,28,15,27,15,27,15,17,21,32.048869223188,9.951130776812
25,13,18,30,12,27,19,36,19,12,21.1,37.1153309883582,5.08466901164179
24,14,24,29,21,27,19,25,15,10,20.8,32.9104810437534,8.68951895624657
19,18,27,31,20,22,15,30,18,24,22.4,33.0635528788486,11.7364471211514
30,8,20,31,19,27,24,22,15,17,21.3,35.1915936210837,7.4084063789163
18,10,30,21,10,20,16,29,17,18,18.9,32.0139477910607,5.78605220893926
21,14,22,26,15,23,21,23,21,16,20.2,27.8637977240762,12.5362022759238
20,14,26,24,13,36,15,26,14,17,20.5,35.0577562373694,5.94224376263063
18,10,26,30,14,21,17,17,15,16,18.4,29.9105393251383,6.88946067486169
17,18,16,18,17,19,15,23,14,15,17.2,22.243801035815,12.156198964185
19,11,22,19,14,20,16,15,18,19,17.3,23.7046663543944,10.8953336456056
21,10,14,16,23,22,16,12,17,12,16.3,25.1163696232255,7.4836303767745
19,18,19,11,25,18,18,20,22,17,18.7,25.7396477184586,11.6603522815414
19,20,21,15,21,21,14,15,11,24,18.1,26.1256355926909,10.0743644073091
29,15,15,8,15,19,15,18,14,16,16.4,26.7795731019044,6.02042689809558
16,14,26,15,21,27,14,18,12,13,17.6,28.1022190247797,7.09778097522031
14,18,19,11,16,27,15,17,14,16,16.7,25.069299452961,8.330700547039
14,3,27,12,16,30,13,18,19,12,16.4,31.6157953018127,1.18420469818726
14,15,20,22,20,23,15,17,22,15,18.3,25.0927817898446,11.5072182101554
12,14,22,14,15,28,17,23,10,13,16.8,27.9947098617556,5.60529013824437
10,5,22,21,24,28,15,19,20,15,17.9,31.2398444102204,4.56015558977958
8,18,22,15,16,18,25,20,14,16,17.2,26.3373285665633,8.06267143343672
18,13,20,22,15,20,16,14,21,17,17.6,23.6728378868532,11.5271621131468
18,14,16,8,17,26,12,17,19,16,16.3,25.4955361151183,7.10446388488173
7,13,20,17,16,12,12,18,24,23,16.2,26.6451634740678,5.7548365259322
23,19,19,14,15,23,22,21,31,13,20,30.4533333333333,9.54666666666667
14,15,12,17,14,14,13,16,23,18,15.6,21.8118224200131,9.38817757998687
20,19,12,13,18,23,13,16,27,11,17.2,27.3970244025729,7.00297559742713
8,11,20,16,11,17,12,13,21,16,14.5,22.7252564971826,6.27474350281741
17,14,19,13,19,20,16,12,9,15,15.4,22.264665080444,8.53533491955604
14,12,17,15,8,15,12,9,16,11,12.9,18.7763692494223,7.02363075057774
18,12,14,11,13,12,6,11,10,9,11.6,17.8118224200131,5.38817757998687
16,10,16,13,11,15,8,9,15,12,12.5,18.2885480812453,6.71145191875468
9,13,11,14,7,13,12,7,14,12,11.2,16.4103077324345,5.98969226756551
11,13,8,10,9,9,7,15,5,19,10.6,18.6654257998777,2.53457420012227
7,6,6,11,6,14,9,7,12,10,8.8,14.4049755673964,3.19502443260355
9,10,7,11,10,12,4,7,7,12,8.9,13.9985122012864,3.80148779871356
7,5,6,6,4,9,10,14,12,11,8.4,14.8808559105517,1.91914408944827
8,7,6,9,5,13,14,5,10,10,8.7,14.8322912158145,2.56770878418551
11,6,5,13,4,10,10,14,7,14,9.4,16.6869368659876,2.11306313401242
8,4,9,5,3,14,11,7,12,8,8.1,15.0419548959769,1.15804510402309
9,7,5,9,9,8,11,3,12,16,8.9,16.0240300704338,1.77596992956624
13,14,8,11,8,8,26,11,10,12,12.1,22.5308508228662,1.66914917713378
11,18,10,8,0,12,12,9,16,13,10.9,20.4775190478073,1.32248095219273
8,9,8,12,20,8,9,7,10,10,10.1,17.4597934753633,2.74020652463671
8,19,11,17,11,10,13,6,14,16,12.5,20.5149915089717,4.48500849102827
11,11,9,6,10,16,7,4,13,9,9.6,16.4022009509994,2.79779904900055
7,13,9,10,12,8,8,7,11,8,9.3,13.4372046386688,5.16279536133125
8,13,9,7,19,10,9,5,12,10,10.2,17.7515837926741,2.64841620732592
9,14,9,8,5,12,9,6,7,9,8.8,14.0103077324345,3.58969226756551
5,7,6,8,14,9,4,8,9,5,7.5,13.1391409905331,1.86085900946686
4,15,8,5,10,4,2,3,10,10,7.1,15.2313101308734,0
3,11,5,8,11,8,7,5,12,8,7.8,13.5552696625692,2.04473033743084
5,8,10,3,13,6,7,9,8,6,7.5,12.9856661704239,2.01433382957609
10,4,5,3,8,10,7,6,6,11,7,12.3077050910288,1.69229490897117
5,10,10,8,8,10,9,9,9,6,8.4,11.7568874472245,5.04311255277551
6,10,10,5,5,9,5,6,5,3,6.4,11.1293391598498,1.67066084015019
10,7,9,3,3,5,7,7,9,2,6.2,11.7282965027413,0.671703497258653
5,5,9,9,8,9,7,6,11,1,7,12.6201858411345,1.37981415886548
7,9,2,2,8,12,6,12,11,2,7.1,15.018550933655,0
10,7,11,9,6,15,16,13,14,3,10.4,18.6744092773375,2.1255907226625
9,11,12,4,8,18,10,16,13,4,10.5,19.4699597422607,1.53004025773929
14,6,10,11,12,13,8,8,13,6,10.1,15.9032772350342,4.29672276496576
13,6,10,10,12,20,10,10,20,6,11.7,21.3042222196513,2.09577778034866
15,5,7,15,7,17,7,5,11,10,9.9,18.5895789438972,1.21042105610276
11,9,9,11,13,18,14,11,15,13,12.4,17.881774246436,6.91822575356401
8,12,8,14,8,14,13,9,13,8,10.7,16.0117245577851,5.38827544221486
6,13,3,12,12,18,14,12,14,13,11.7,20.01814188653,3.38185811347003
9,16,9,10,8,22,18,7,7,7,11.3,21.836709163681,0.76329083631896
5,6,7,6,7,9,7,5,11,5,6.8,10.5870797896708,3.01292021032916
8,5,4,5,5,6,7,8,9,7,6.4,9.62722860120637,3.17277139879363
4,3,1,3,6,11,10,6,4,7,5.5,11.7152572128772,0
2,9,4,3,8,3,6,7,4,6,5.2,9.80124813984689,0.598751860153112
11,2,9,5,6,7,3,4,9,5,6.1,11.7542593581201,0.445740641879885
3,4,5,2,6,5,12,4,6,8,5.5,11.062932879536,0
4,3,9,3,5,5,3,2,10,2,4.6,10.081774246436,0
2,4,6,4,3,6,3,3,4,5,4,6.61333333333333,1.38666666666667
2,8,1,8,3,6,5,5,6,3,4.7,9.41578154239099,0
2,5,5,7,4,2,9,5,5,3,4.7,8.93912150228218,0.460878497717822
4,1,4,8,1,7,4,12,5,5,5.1,11.531269444415,0
3,8,4,13,5,7,9,9,8,3,6.9,13.1289774441717,0.671022555828284
13,6,11,8,5,7,7,7,4,6,7.4,12.7237647497904,2.07623525020957
7,7,12,6,6,8,14,7,3,9,7.9,14.0600707066649,1.73992929333509
