"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,0,2,0,1,0,0,1,1,0,0.5,1.88592929112563,0
0,1,0,1,1,1,0,1,0,0,0.5,1.53301070232167,0
0,0,0,0,0,0,0,0,1,1,0.2,1.02640856185734,0
0,0,2,0,1,1,1,2,0,1,0.8,2.34606884998337,0
0,0,0,0,1,1,1,1,0,0,0.4,1.41213964780887,0
0,1,1,2,1,0,0,1,2,0,0.8,2.34606884998337,0
1,2,1,1,0,1,1,2,1,0,1,2.30666666666667,0
0,1,1,3,0,1,0,1,0,2,0.9,2.84908069498304,0
0,0,1,1,0,0,0,0,0,1,0.3,1.24676994741771,0
0,3,1,2,0,0,0,1,0,0,0.7,2.77632581472391,0
1,1,1,2,1,1,0,2,1,0,1,2.30666666666667,0
2,2,0,2,0,0,1,0,0,0,0.7,2.55941926417901,0
0,0,0,1,2,1,0,3,3,0,1,3.44454949269231,0
1,1,1,0,1,1,2,1,0,1,0.9,2.01258657590719,0
1,0,0,0,1,0,0,1,0,1,0.4,1.41213964780887,0
2,1,2,0,2,0,3,1,1,0,1.2,3.22427929561774,0
3,0,2,5,3,2,2,1,1,1,2,4.77185858225127,0
2,1,0,1,2,1,2,0,0,0,0.9,2.61616627011099,0
3,1,4,0,0,0,3,3,2,1,1.7,4.62909087147076,0
2,3,3,2,2,0,2,2,0,0,1.6,3.90062406992344,0
7,1,0,2,1,1,1,1,1,0,1.5,5.44712835137423,0
5,4,3,1,1,2,0,0,3,1,2,5.33135941554729,0
5,1,3,1,4,0,1,0,0,1,1.6,5.0817211580226,0
5,1,1,3,3,2,4,0,0,0,1.9,5.41223638789368,0
5,0,2,1,3,0,1,0,2,1,1.5,4.59903210696501,0
6,2,0,1,1,0,1,1,1,1,1.4,4.75688744722449,0
10,0,2,1,1,0,1,1,1,0,1.7,7.54724208494911,0
5,0,0,0,3,2,3,1,2,4,2,5.45711504645773,0
6,3,1,1,0,0,2,0,2,2,1.7,5.28441317062888,0
11,1,0,1,1,2,3,0,2,2,2.3,8.5699580009226,0
9,2,2,1,0,2,3,0,2,2,2.3,7.27992592537502,0
7,0,1,0,0,2,2,2,1,1,1.6,5.64855859123549,0
7,3,4,1,0,1,3,2,3,0,2.4,6.55265162944781,0
6,5,1,2,4,5,1,4,1,5,3.4,7.2318988620381,0
6,1,6,0,0,2,3,3,1,3,2.5,6.75921223806573,0
10,2,2,2,0,5,4,5,6,1,3.7,9.47378135290133,0
