"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,4,3,0,3,9,2,1,2,2,2.7,7.59346230529401,0
4,4,2,3,4,1,3,4,3,5,3.3,5.57262354510767,1.02737645489232
4,6,2,2,4,3,1,0,7,5,3.4,7.75337723306094,0
3,4,6,3,4,5,5,0,6,3,3.9,7.41223638789368,0.38776361210632
4,5,4,3,4,7,5,5,8,1,4.6,8.4318988620381,0.768101137961899
3,8,5,6,10,8,5,5,9,4,6.3,10.8311386844565,1.76886131554354
4,3,5,7,3,8,10,2,4,2,4.8,10.0915966924507,0
3,6,1,4,8,7,4,2,8,4,4.7,9.50544320999057,0
7,6,5,3,3,5,12,1,5,3,5,10.9161849569164,0
4,5,5,3,8,8,6,2,5,5,5.1,8.8474234111216,1.3525765888784
6,1,5,0,10,5,5,7,6,10,5.5,11.8511258844397,0
5,4,4,4,6,3,9,7,6,4,5.2,8.75451762628286,1.64548237371714
11,5,3,6,10,4,2,4,10,5,6,12.266553190462,0
10,8,7,8,8,10,11,7,3,7,7.9,12.2778208683722,3.52217913162775
11,6,4,12,10,6,6,5,8,5,7.3,12.7700818600415,1.82991813995846
10,10,5,2,8,9,8,2,6,8,6.8,12.6289636967284,0.971036303271586
6,7,4,4,10,8,5,5,7,7,6.3,10.0015816439283,2.59841835607174
6,10,10,4,9,10,6,6,9,11,8.1,12.7611567472273,3.43884325277274
9,5,4,5,7,9,11,10,10,9,7.9,12.7408429018096,3.05915709819044
5,10,6,10,2,12,11,5,4,12,7.7,14.9192594264694,0.480740573530643
13,3,3,6,11,10,8,10,2,9,7.5,14.9634576437466,0.0365423562533698
7,8,9,9,8,14,14,8,3,7,8.7,15.1046663543944,2.29533364560564
6,6,5,8,12,9,16,4,8,7,8.1,15.1031726143703,1.09682738562966
12,8,9,4,10,15,10,12,7,4,9.1,15.9801925037668,2.2198074962332
8,8,14,13,13,16,20,9,8,7,11.6,20.0277467662214,3.17225323377858
9,10,8,7,10,12,12,8,4,10,9,13.7112536666063,4.28874633339372
11,7,12,13,13,19,14,12,13,8,12.2,18.6544572024127,5.74554279758725
7,9,10,11,9,17,16,14,10,7,11,17.9142300929155,4.08576990708454
12,16,10,11,10,13,20,19,15,8,13.4,21.2508813376447,5.5491186623553
11,13,10,12,13,18,13,13,8,8,11.9,17.6292528114736,6.17074718852643
9,10,15,9,13,16,13,11,10,8,11.4,16.7237647497904,6.07623525020957
12,11,7,8,11,12,12,6,8,5,9.2,14.4915966924507,3.90840330754927
8,11,15,4,9,12,13,11,6,13,10.2,16.913774894449,3.48622510555103
9,10,13,8,8,10,17,8,10,5,9.8,16.1879831628526,3.41201683714735
6,7,11,7,12,10,20,10,7,16,10.6,19.3751203853724,1.82487961462763
14,6,9,14,9,5,14,13,10,9,10.3,16.8365991837414,3.76340081625859
15,10,12,9,10,4,22,6,12,13,11.3,21.0366396210968,1.56336037890325
6,11,8,10,7,8,17,15,7,21,11,20.8651169954204,1.13488300457955
16,18,9,8,8,8,18,8,10,2,10.5,20.6739755148997,0.326024485100342
13,10,9,10,4,13,22,5,17,8,11.1,21.7334892360567,0.466510763943317
22,15,9,7,8,8,19,9,9,10,11.6,21.8137545605043,1.38624543949571
23,9,8,12,10,8,18,4,12,10,11.4,22.0635528788486,0.736447121151413
24,9,8,11,14,18,13,14,10,10,13.1,22.5879657110117,3.61203428898832
17,11,11,12,13,9,19,10,10,11,12.3,18.6376700941452,5.96232990585482
22,4,8,9,17,11,18,10,11,10,12,22.5346834577768,1.46531654222323
13,6,13,14,20,12,11,14,5,12,12,20.2640856185734,3.73591438142664
9,3,9,9,16,14,18,14,17,14,12.3,21.4489997024568,3.15100029754315
15,3,11,19,17,14,12,15,10,15,13.1,21.8385623022961,4.36143769770386
17,7,15,11,12,13,15,18,13,11,13.2,19.5208100746661,6.87918992533394
11,9,10,18,18,12,14,19,13,10,13.4,20.6869368659876,6.11306313401242
26,7,12,10,12,14,13,19,16,19,14.8,25.4475294995809,4.15247050041915
15,16,11,15,10,15,12,14,19,17,14.4,19.8033471108194,8.99665288918063
20,10,12,17,12,12,8,16,16,15,13.8,20.8849775346621,6.7150224653379
21,16,14,13,9,11,13,21,19,20,15.7,24.2209295267594,7.17907047324061
12,11,15,7,8,15,11,14,17,16,12.6,19.2112684948587,5.98873150514131
18,13,17,12,13,12,9,18,19,18,14.9,21.717870635323,8.08212936467697
20,19,11,16,8,6,9,16,18,21,14.4,25.0635528788486,3.73644712115141
14,14,20,9,7,7,11,20,20,19,14.1,24.7334892360567,3.46651076394332
19,18,14,17,5,8,10,8,19,23,14.1,25.876322006467,2.32367799353296
13,19,19,7,13,3,9,16,13,18,13,23.4940872240832,2.50591277591678
16,15,8,15,8,3,12,15,18,22,13.2,24.0854038867549,2.31459611324514
15,15,19,16,6,12,7,25,16,19,15,26.0874343290051,3.91256567099494
9,19,16,19,12,9,15,19,20,20,15.8,24.408147045419,7.19185295458102
24,13,18,20,12,8,11,34,14,15,16.9,31.7825260699326,2.01747393006744
15,15,15,25,17,10,11,17,15,18,15.8,23.8442288491674,7.75577115083256
17,19,15,19,13,10,10,33,6,12,15.4,30.0439970257061,0.756002974293908
16,22,12,25,19,8,7,24,11,19,16.3,29.1043332942841,3.49566670571595
14,24,16,27,22,10,13,24,8,12,17,30.1318374782646,3.86816252173537
14,27,14,22,20,15,11,15,15,11,16.4,26.35985185075,6.44014814924996
19,23,14,21,30,13,18,13,8,13,17.2,29.6579548883434,4.74204511165657
14,28,12,25,12,21,12,22,9,9,16.4,30.0169463047582,2.78305369524185
21,24,14,25,22,15,14,23,12,12,18.2,28.4804029320083,7.91959706799172
14,23,15,20,17,23,11,23,12,5,16.3,28.1701874926688,4.42981250733119
20,19,15,22,21,22,11,20,14,9,17.3,26.541838200993,8.05816179900701
13,24,12,18,21,22,13,21,15,13,17.2,26.0526063958588,8.34739360414121
24,22,9,23,13,17,11,14,13,9,15.5,26.6737191659716,4.32628083402845
11,22,11,22,17,21,10,17,17,10,15.8,25.5256736984586,6.07432630154143
17,21,8,15,17,19,19,19,11,11,15.7,24.1706877590377,7.2293122409623
15,24,12,14,24,16,15,16,19,13,16.8,25.1053032588956,8.49469674110438
13,17,12,12,16,16,22,14,21,15,15.8,22.5770540961558,9.02294590384419
11,23,11,10,14,10,19,16,14,7,13.5,22.8884704706239,4.11152952937606
19,10,14,11,10,20,15,13,14,11,13.7,20.6173161140881,6.78268388591195
15,20,16,12,8,10,16,12,14,7,13,20.84,5.16
9,11,15,16,17,25,15,13,20,11,15.2,24.4764130999002,5.9235869000998
9,15,18,17,5,10,14,14,20,6,12.8,22.7855326458944,2.81446735410563
15,17,20,16,8,15,19,13,17,13,15.3,22.0296504779636,8.57034952203641
13,9,16,15,8,13,16,22,15,6,13.3,22.4489997024569,4.15100029754315
11,14,12,14,8,14,14,22,9,15,13.3,20.8657015537226,5.73429844627744
15,10,25,21,11,10,13,20,5,13,14.3,26.1701874926688,2.42981250733119
9,6,15,11,9,9,20,21,13,11,12.4,22.0551968735322,2.74480312646776
14,13,23,16,15,15,15,20,4,20,15.5,25.5897175381673,5.41028246183274
12,17,9,12,15,9,10,13,9,17,12.3,18.5015066269774,6.09849337302261
