"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
4,3,3,3,3,2,2,2,3,5,3,4.84790572150084,1.15209427849916
2,3,3,1,1,4,1,1,1,2,1.9,4.05698967184464,0
0,4,3,1,5,3,3,4,1,1,2.5,5.73383501262648,0
4,1,3,4,5,3,3,0,1,5,2.9,6.2885270480779,0
5,4,2,3,4,5,4,6,1,4,3.8,6.69242996650068,0.907570033499322
3,7,7,6,4,3,7,6,2,2,4.7,8.83720463866875,0.562795361331251
2,2,4,1,7,6,4,2,3,2,3.3,7.11515341179821,0
3,5,3,7,1,5,2,2,4,1,3.3,7.11515341179821,0
7,4,3,5,4,2,3,4,2,4,3.8,6.69242996650068,0.907570033499322
1,2,7,1,7,5,2,0,3,7,3.5,8.9072954833673,0
3,4,1,3,5,7,4,3,4,0,3.4,7.2318988620381,0
8,6,5,2,3,2,4,0,2,6,3.8,8.58318536356498,0
5,4,4,6,3,2,6,2,2,3,3.7,6.77136162348595,0.628638376514055
3,4,1,2,3,5,4,3,1,1,2.7,5.47954752512787,0
2,2,6,1,3,2,1,2,7,2,2.8,6.80616413931221,0
7,4,6,12,6,4,7,4,1,3,5.4,11.2581817429415,0
5,2,3,1,5,1,0,1,5,3,2.6,6.31883852835801,0
8,5,4,2,6,2,5,6,6,4,4.8,8.47263998296109,1.12736001703891
3,5,10,6,5,2,5,2,5,4,4.7,9.23113868445646,0.168861315543545
8,1,3,2,3,3,3,3,1,2,2.9,6.75964650079656,0
3,4,5,9,4,3,6,4,3,2,4.3,8.22544066882235,0.374559331177652
6,2,9,2,5,7,9,5,1,3,4.9,10.5542593581201,0
3,6,3,3,6,3,4,6,9,9,5.2,9.89309847897243,0.50690152102757
5,4,6,2,1,4,3,1,2,2,3,6.33135941554729,0
2,6,5,4,8,1,7,3,2,5,4.3,8.83113868445646,0
2,7,5,3,1,5,2,3,4,3,3.5,6.98784556233023,0.0121544376697718
6,2,8,5,1,2,2,6,6,5,4.3,8.92438176048071,0
3,2,2,9,2,1,5,1,3,6,3.4,8.39276632294719,0
4,5,6,3,5,1,6,4,3,4,4.1,7.08681249643979,1.11318750356021
2,2,5,2,2,4,2,5,4,7,3.5,6.98784556233023,0.0121544376697718
