"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,0,0,1,0,0,0,0,0,1,0.2,1.02640856185734,0
0,1,0,0,0,0,1,1,0,0,0.3,1.24676994741771,0
0,0,1,0,0,1,0,0,1,0,0.3,1.24676994741771,0
0,0,0,0,0,2,0,0,1,0,0.3,1.62289917311268,0
0,1,2,0,1,0,0,0,1,1,0.6,1.970443561609,0
0,0,0,1,0,0,0,1,2,2,0.6,2.25281712371467,0
0,0,0,0,0,0,0,0,2,0,0.2,1.439612842786,0
0,0,1,0,0,0,0,0,1,1,0.3,1.24676994741771,0
0,0,1,0,0,0,0,1,2,1,0.5,1.88592929112563,0
0,0,1,0,0,0,0,1,1,1,0.4,1.41213964780887,0
0,2,0,0,1,1,0,0,1,1,0.6,1.970443561609,0
1,2,1,0,0,1,0,1,1,1,0.8,2.039612842786,0
0,2,1,0,0,0,0,2,4,1,1,3.61333333333333,0
0,1,0,0,1,1,0,0,0,1,0.4,1.41213964780887,0
1,3,0,0,1,0,1,1,3,0,1,3.26321305522333,0
0,2,3,1,0,0,0,1,1,0,0.8,2.82427929561774,0
1,6,0,1,0,0,0,2,2,0,1.2,4.87263998296109,0
1,4,0,2,0,0,0,1,0,0,0.8,3.38045990732918,0
0,6,0,0,0,0,1,1,0,0,0.8,4.47263998296109,0
0,5,0,2,0,0,0,0,1,0,0.8,3.97388230545635,0
0,6,1,1,0,2,0,0,0,1,1.1,4.73173420466495,0
1,4,0,2,1,1,1,1,0,0,1.1,3.44654923948621,0
0,7,0,1,1,1,0,0,0,1,1.1,5.27826971099016,0
1,9,2,1,0,0,2,0,0,0,1.5,6.9072954833673,0
0,6,1,1,4,2,2,0,1,1,1.8,5.47263998296109,0
0,6,0,0,3,2,0,0,0,0,1.1,5.06869751933805,0
1,6,1,0,5,0,1,0,2,1,1.7,5.83720463866875,0
0,16,0,0,8,1,2,0,1,0,2.8,13.0804029320083,0
0,9,0,2,6,1,2,1,1,1,2.3,7.99937384475016,0
0,13,0,0,11,0,4,0,0,0,2.8,12.6564595852444,0
0,9,0,2,9,2,5,1,0,1,2.9,9.84195489597691,0
0,24,0,1,6,2,2,0,0,1,3.6,18.0975240798022,0
0,7,0,3,7,2,7,0,0,3,2.9,8.91989147188995,0
0,10,0,4,12,3,3,1,0,0,3.3,11.8209295267594,0
0,13,1,3,3,8,6,1,0,0,3.5,11.9302787617018,0
0,8,0,5,7,4,9,2,2,1,3.8,10.3202535738011,0
0,14,0,2,7,9,5,5,0,1,4.3,13.4489997024568,0
1,5,0,1,6,4,14,6,0,1,3.8,12.2580806858819,0
0,11,1,3,10,8,12,0,1,1,4.7,14.3927014924747,0
0,5,0,4,8,10,13,3,0,1,4.4,13.4150530903718,0
1,5,0,1,12,6,15,1,0,1,4.2,14.6859491172182,0
1,5,1,3,14,9,16,4,0,2,5.5,16.558523108143,0
1,3,0,1,16,11,16,2,0,0,5,18.0339590642632,0
0,2,4,2,8,7,12,3,0,4,4.2,11.637677056716,0
0,3,1,1,7,4,15,3,0,2,3.6,12.4718721561774,0
0,4,2,2,10,3,12,3,0,0,3.6,11.770585726318,0
0,4,4,0,9,4,18,3,0,2,4.4,15.1829692880332,0
1,3,3,0,10,3,11,3,1,2,3.7,11.0365580788572,0
0,4,5,0,10,8,11,5,0,1,4.4,12.622661369654,0
0,2,3,0,6,1,9,5,1,0,2.7,8.69146207346569,0
0,2,5,1,7,4,11,2,1,0,3.3,10.2173161140881,0
1,5,6,0,5,3,11,4,2,1,3.8,10.1208100746661,0
0,0,3,0,9,3,8,2,1,0,2.6,9.14638695940152,0
0,4,10,1,9,2,11,7,0,0,4.4,13.1263422399588,0
0,4,3,1,9,2,5,5,0,0,2.9,8.62925281147357,0
1,2,3,2,9,1,12,3,1,0,3.4,11.0860439181097,0
0,7,4,1,12,1,8,4,0,0,3.7,11.8102853765382,0
0,1,7,2,9,2,13,1,1,1,3.7,12.3205346573039,0
0,5,3,1,17,2,10,8,1,0,4.7,15.4770298938684,0
0,3,4,0,11,1,6,3,2,0,3,9.72647835877817,0
2,4,3,1,14,0,7,4,1,0,3.6,11.9258355603373,0
0,4,2,0,11,1,5,4,2,0,2.9,9.52738963192397,0
3,1,5,0,9,0,9,6,0,0,3.3,10.5781450628272,0
1,1,3,0,10,2,10,7,1,0,3.5,11.2990597723914,0
0,2,5,1,9,0,8,4,1,1,3.1,9.53126944441505,0
2,0,4,1,13,1,8,5,0,1,3.5,11.7252564971826,0
1,0,7,1,6,2,11,6,0,0,3.4,10.9175929953972,0
3,0,3,0,9,1,6,3,0,0,2.5,8.43419469403108,0
0,0,6,0,13,0,6,13,0,0,3.8,14.4475294995808,0
2,0,4,0,10,2,8,2,0,0,2.8,9.7634423160452,0
0,0,5,0,10,0,4,5,0,0,2.4,9.20220095099945,0
2,0,7,1,15,1,5,5,0,1,3.7,12.8022253689231,0
1,0,5,0,10,2,5,3,0,0,2.6,9.01465544237915,0
3,0,13,0,13,1,4,0,0,0,3.4,13.6969976206659,0
2,0,4,0,11,1,1,2,1,1,2.3,8.70466635439436,0
3,0,15,1,10,1,4,0,0,0,3.4,13.445199185017,0
3,0,15,0,13,1,1,1,0,0,3.4,14.5335361258976,0
3,0,8,0,6,1,6,1,0,0,2.5,8.50569359487774,0
2,0,15,0,11,1,4,2,0,0,3.5,13.7990700766838,0
4,0,13,0,10,0,3,1,0,0,3.1,12.3140848704578,0
2,0,11,1,11,1,2,3,0,0,3.1,11.4896751360758,0
1,0,10,0,7,0,4,1,0,1,2.4,9.26466508044396,0
1,0,12,0,7,1,0,2,0,0,2.3,10.1969597525461,0
0,1,8,3,11,0,3,1,0,2,2.9,10.2015663464158,0
0,1,6,1,4,0,1,4,0,1,1.8,5.91133068482699,0
0,3,9,1,8,0,2,1,0,0,2.4,9.01126849485869,0
0,1,13,4,8,1,1,1,0,1,3,11.3667490035789,0
0,1,13,1,4,0,0,2,0,0,2.1,10.018550933655,0
1,3,11,4,7,1,0,0,0,0,2.7,9.97814506282717,0
1,1,13,6,3,0,0,2,0,1,2.7,10.6508277696239,0
0,2,17,4,3,1,0,1,0,0,2.8,12.9550784230245,0
0,2,9,4,5,0,0,0,0,2,2.2,8.1017375972392,0
0,1,20,4,8,1,1,1,0,0,3.6,15.8993362061174,0
0,5,18,2,7,2,0,1,0,0,3.5,14.5198568250429,0
0,1,9,4,6,0,2,1,0,0,2.3,8.36228559758336,0
0,6,10,1,8,0,0,2,0,2,2.9,10.2015663464158,0
1,3,10,3,5,1,0,1,0,2,2.6,8.53059712189441,0
0,3,8,1,7,1,3,3,0,1,2.7,8.17008186004155,0
0,2,11,1,11,3,0,1,0,2,3.1,11.4896751360758,0
0,4,10,1,3,1,0,3,0,3,2.5,8.43419469403108,0
2,6,9,1,9,3,2,1,1,2,3.6,9.88016135673811,0
0,4,10,3,3,1,0,3,1,1,2.6,8.38485993300135,0
1,5,6,1,6,2,0,0,1,2,2.4,7.0382065499501,0
0,7,14,4,11,2,1,3,1,1,4.4,13.7406104963458,0
1,10,5,5,12,1,2,2,0,1,3.9,11.9786456510702,0
0,2,10,5,10,3,0,4,0,3,3.7,11.0365580788572,0
1,8,7,4,14,0,1,2,1,0,3.8,12.7485204239459,0
1,5,4,2,10,4,0,3,1,2,3.2,8.80497556739645,0
0,2,4,5,8,5,1,7,1,6,3.9,9.32306022668218,0
1,8,5,5,17,4,1,4,0,1,4.6,14.4304416087082,0
0,5,6,1,10,0,2,8,1,2,3.5,10.4296464556282,0
0,4,3,4,12,2,0,5,2,6,3.8,10.6397478835927,0
0,8,4,4,15,0,2,10,0,1,4.4,14.35985185075,0
0,5,5,1,14,0,1,11,1,4,4.2,13.6586783196996,0
0,6,8,4,15,2,0,5,2,2,4.4,13.2718721561774,0
0,10,8,1,20,3,0,13,1,1,5.7,19.0909428761051,0
0,4,7,5,15,2,0,11,2,2,4.8,14.4374971393568,0
0,8,7,4,15,6,0,11,1,6,5.8,15.3036984613594,0
1,4,12,5,23,5,1,8,1,0,6,19.7975585602027,0
1,1,11,2,23,4,0,11,3,2,5.8,19.9579006604479,0
0,3,8,5,19,4,2,7,1,1,5,15.9323576800453,0
0,4,14,6,25,7,0,11,5,1,7.3,22.4271711389363,0
0,5,6,7,27,8,0,9,2,3,6.7,21.9955366038593,0
0,2,9,8,22,8,0,11,1,0,6.1,19.9114728476807,0
1,2,14,7,27,15,2,7,0,1,7.6,24.6418590535188,0
0,4,8,17,25,6,0,10,0,1,7.1,23.4581411603587,0
1,5,14,14,25,8,2,8,0,0,7.7,23.4628091123096,0
1,4,5,18,29,8,2,8,0,1,7.6,25.6395732888681,0
0,4,12,20,25,14,4,7,2,2,9,25.5797413195207,0
1,5,9,17,28,3,5,7,0,2,7.7,24.6627780743603,0
2,6,7,16,35,11,4,4,2,1,8.8,28.9752041432602,0
2,5,5,16,31,11,7,7,0,1,8.5,26.611597266822,0
2,10,8,20,26,7,4,3,1,1,8.2,24.8260176296737,0
