"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,1,1,0,1,2,1,4,1,0,1.1,3.44654923948621,0
1,1,2,1,0,0,0,3,1,0,0.9,2.84908069498304,0
2,1,2,0,2,1,0,2,0,3,1.3,3.3763258147239,0
1,1,4,3,2,3,2,5,1,2,2.4,5.04579834622537,0
6,0,6,0,2,1,1,3,1,1,2.1,6.47782086837225,0
5,6,6,1,1,4,2,5,5,3,3.8,7.58707978967084,0.0129202103291601
5,2,3,4,1,2,3,2,5,2,2.9,5.58582782603634,0.214172173963657
6,2,2,1,5,2,2,1,5,2,2.8,6.35451762628286,0
7,4,7,4,4,5,7,1,9,2,5,9.88909898538462,0.110901014615384
10,0,1,2,2,1,2,3,5,6,3.2,9.1017375972392,0
3,5,5,3,3,0,10,2,5,2,3.8,9.09159669245074,0
11,0,2,8,2,4,7,7,6,2,4.9,11.6549738053608,0
4,4,1,2,4,4,9,1,5,8,4.2,9.41030773243449,0
7,4,2,3,2,4,9,5,4,2,4.2,8.7075265451859,0
3,6,1,3,6,1,5,5,6,7,4.3,8.53912150228218,0.0608784977178223
5,5,3,5,7,5,6,4,6,8,5.4,8.20248778369822,2.59751221630178
2,5,1,2,3,2,12,3,4,6,4,10.266553190462,0
6,6,2,2,7,2,8,4,6,5,4.8,9.11397934368928,0.486020656310721
1,2,2,7,3,4,9,7,3,5,4.3,9.44849881033297,0
2,3,7,4,4,3,8,3,4,4,4.2,7.87263998296109,0.527360017038909
6,1,1,0,6,7,7,3,1,9,4.1,10.4645532268791,0
2,1,8,5,5,3,8,8,5,5,5,9.88909898538462,0.110901014615384
5,2,5,1,7,2,7,4,1,7,4.1,8.94084290180956,0
2,3,2,1,5,0,3,6,3,8,3.3,8.01578154239099,0
2,2,3,1,2,6,6,4,2,3,3.1,6.4885270480779,0
2,3,8,2,7,2,6,2,1,0,3.3,8.61172455778514,0
3,3,4,1,6,3,4,3,2,2,3.1,5.78582782603634,0.414172173963657
4,3,8,3,4,1,5,2,2,2,3.4,7.34171761771157,0
6,3,7,3,8,0,1,5,4,0,3.7,9.24756563227912,0
1,5,3,1,7,3,3,2,2,2,2.9,6.53173420466495,0
1,5,3,5,6,1,2,4,3,0,3,6.92,0
6,1,3,2,6,3,4,1,1,2,2.9,6.6474234111216,0
1,1,6,4,5,1,3,3,0,3,2.7,6.51515341179821,0
6,1,2,6,3,2,2,2,1,2,2.7,6.28441317062888,0
4,3,3,6,6,3,3,3,4,2,3.7,6.32148727930455,1.07851272069545
4,1,6,3,4,3,8,4,2,6,4.1,8.17483114851265,0.0251688514873534
5,1,4,4,7,0,5,7,1,4,3.8,8.58318536356498,0
3,2,9,1,5,6,2,1,0,4,3.3,8.69148464401659,0
2,3,9,2,4,3,8,9,5,11,5.6,12.1463869594015,0
4,1,7,3,3,3,5,5,1,3,3.5,7.1081512656145,0
8,0,5,5,5,3,5,5,3,8,4.7,9.32438176048071,0.0756182395192893
3,5,4,2,6,1,6,2,3,8,4,8.33372305939772,0
