"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,0,0,0,0,0,0,0,0,1,0.3,1.62289917311268,0
1,1,0,1,1,0,1,0,0,2,0.7,2.02289917311268,0
0,2,0,0,0,0,0,0,0,0,0.2,1.439612842786,0
0,3,0,1,1,1,0,0,1,2,0.9,2.84908069498304,0
1,0,1,1,2,0,0,0,2,2,0.9,2.61616627011099,0
1,1,0,1,0,0,1,1,1,2,0.8,2.039612842786,0
0,1,0,2,2,4,0,1,4,6,2,6.0274171486064,0
0,1,0,6,6,1,1,2,0,0,1.7,6.32438176048071,0
2,4,0,2,3,3,3,2,7,13,3.9,11.0836963558695,0
6,3,0,0,5,6,0,5,3,5,3.3,8.193462305294,0
4,4,1,4,6,3,2,3,4,6,3.7,6.77136162348595,0.628638376514055
6,8,0,2,11,11,2,4,6,14,6.4,15.3675801269536,0
6,2,1,1,5,7,1,4,5,4,3.6,7.95337723306094,0
4,8,1,2,6,6,1,6,6,12,5.2,11.8498935663997,0
6,5,0,3,9,2,1,3,8,4,4.1,9.82925281147357,0
2,4,0,1,6,5,3,3,1,10,3.5,9.28854808124532,0
3,1,2,3,10,4,0,2,4,9,3.8,10.1879831628526,0
1,5,0,3,9,5,4,2,8,7,4.4,10.2581817429415,0
4,4,0,0,5,2,1,1,5,5,2.7,6.83720463866875,0
1,3,2,0,10,5,1,5,1,9,3.7,10.555331744951,0
2,7,3,5,7,3,1,2,10,4,4.4,9.95909505025573,0
0,1,0,0,13,4,3,1,4,4,3,10.6749288813209,0
1,6,0,2,12,7,1,2,9,9,4.9,13.1872957658763,0
0,4,0,5,11,3,1,2,5,3,3.4,9.74776461091269,0
1,5,0,2,14,4,4,3,8,6,4.7,12.5969597525461,0
1,5,0,2,16,4,2,2,5,4,4.1,12.9357143960683,0
2,1,1,3,23,2,3,1,6,7,4.9,18.0139477910607,0
0,7,0,5,14,5,2,4,2,7,4.6,12.770585726318,0
3,6,3,3,15,6,1,1,11,5,5.4,14.1751203853724,0
3,4,3,5,16,9,3,6,8,5,6.2,14.0834352354231,0
2,3,3,4,18,8,4,4,5,7,5.8,14.9373285665633,0
1,4,3,4,14,7,5,8,6,7,5.9,12.8419548959769,0
2,5,3,5,17,9,2,3,3,1,5,14.3770973950128,0
4,1,7,7,21,9,4,4,6,5,6.8,17.4875429043973,0
3,3,1,1,16,11,5,3,5,7,5.5,14.797096320895,0
3,4,5,3,13,9,6,2,2,5,5.2,11.9770540961558,0
1,5,9,3,19,18,6,9,7,5,8.2,19.8798751895919,0
1,6,5,5,18,12,4,7,4,4,6.6,16.2108864199811,0
2,7,8,5,12,14,7,4,6,7,7.2,14.1634423160452,0.236557683954804
4,9,4,4,12,13,4,6,7,6,6.9,13.527389631924,0.272610368076031
1,10,11,6,14,13,6,7,3,6,7.7,15.9666677419354,0
5,8,8,4,22,14,6,3,8,3,8.1,19.6198063255325,0
5,10,7,6,14,10,6,3,2,4,6.7,13.9192594264694,0
6,11,7,3,20,16,2,6,4,3,7.8,19.6251528531347,0
6,9,9,3,12,14,4,2,8,4,7.1,14.9099981505191,0
6,5,13,6,13,7,6,2,2,0,6,14.4681678459196,0
3,6,7,2,14,11,3,5,5,4,6,13.4491461106477,0
6,9,7,4,15,7,4,5,5,2,6.4,13.4487370027072,0
5,7,12,7,9,8,3,3,5,1,6,12.4013331944734,0
6,5,6,6,14,11,3,6,2,3,6.2,13.4634684093299,0
4,5,11,5,15,8,3,4,4,3,6.2,13.9743921520163,0
10,6,4,8,10,8,3,5,5,4,6.3,11.279925925375,1.32007407462498
6,4,11,7,11,7,2,5,6,0,5.9,12.717870635323,0
7,3,4,2,13,14,1,4,4,0,5.2,14.5679889932567,0
6,4,8,4,13,8,1,10,1,1,5.6,13.7181760403567,0
8,3,6,5,7,9,3,5,4,1,5.1,9.94084290180956,0.25915709819044
6,3,9,5,12,8,1,8,3,2,5.7,12.6173161140881,0
8,4,9,4,14,11,1,4,1,0,5.6,14.8024962796938,0
8,1,8,1,12,5,0,5,2,2,4.4,12.0860439181097,0
6,2,3,6,9,9,2,7,3,4,5.1,10.3632883679734,0
8,2,5,0,11,15,2,2,3,0,4.8,14.613057967151,0
13,4,5,2,9,6,0,8,0,2,4.9,13.1356288297994,0
10,6,0,1,13,11,2,4,3,3,5.3,14.1646524027861,0
10,4,5,0,13,8,3,7,0,2,5.2,13.6074633510947,0
14,6,5,2,10,13,4,4,3,1,6.2,15.148520423946,0
12,4,2,1,18,12,0,2,0,0,5.1,17.7837561909361,0
9,7,2,1,13,11,3,4,3,2,5.5,13.776988180089,0
14,4,1,2,12,9,4,7,1,3,5.7,14.7552094276045,0
16,4,0,1,8,9,5,6,1,2,5.2,14.7485063404353,0
7,4,1,3,18,9,4,2,1,3,5.2,15.3129584637182,0
16,5,1,0,15,12,3,8,1,4,6.5,18.1597579544155,0
12,3,1,6,18,4,3,5,0,2,5.4,16.2618508756309,0
13,4,0,0,16,11,0,6,1,0,5.1,17.1273680505014,0
10,5,0,2,17,5,2,9,3,3,5.6,15.55985185075,0
9,3,1,2,14,7,0,6,1,4,4.7,13.2708767864723,0
10,2,1,2,16,8,3,9,0,4,5.5,15.4619944455582,0
4,4,3,2,12,7,0,8,0,3,4.3,11.6365580788572,0
7,5,0,2,17,7,1,8,2,4,5.3,14.9927014924747,0
8,1,3,2,8,8,0,6,1,6,4.3,10.6376700941452,0
4,2,4,3,9,5,1,7,3,2,4,8.80099989585503,0
3,5,0,3,5,6,4,7,2,5,4,8.0274171486064,0
6,2,4,1,10,2,1,5,2,7,4,9.84359098119945,0
6,1,3,1,8,2,2,3,3,2,3.1,7.47782086837225,0
3,5,2,2,8,3,3,5,1,4,3.6,7.54171761771157,0
1,4,1,3,7,3,1,3,2,7,3.2,7.61181444154972,0
7,3,2,1,5,1,1,4,3,5,3.2,7.20616413931221,0
2,4,3,1,3,4,4,3,0,4,2.8,5.540887123218,0.0591128767820037
3,3,2,0,5,3,2,4,2,1,2.5,5.31009292056726,0
1,0,4,1,6,4,4,4,4,5,3.3,7.11515341179821,0
1,2,3,1,2,3,3,1,0,6,2.2,5.50563424742935,0
3,0,1,0,3,4,6,3,1,1,2.2,5.98707978967084,0
1,1,2,3,2,1,4,4,1,2,2.1,4.44654923948621,0
0,0,3,2,5,3,4,0,2,1,2,5.45711504645773,0
1,0,0,0,1,2,3,4,1,2,1.4,4.04579834622537,0
4,1,1,1,2,2,2,2,2,1,1.8,3.60111570360646,0
2,0,1,2,5,2,3,3,2,1,2.1,4.78582782603634,0
2,1,1,2,4,2,5,2,0,3,2.2,5.09242996650068,0
0,1,1,3,3,2,0,4,7,1,2.2,6.41387338311071,0
1,0,0,3,5,3,2,1,2,2,1.9,4.88681249643979,0
1,0,1,1,5,2,2,2,3,3,2,4.77185858225127,0
1,2,1,1,2,5,4,2,8,1,2.7,7.23113868445646,0
2,0,3,0,1,1,0,2,2,2,1.3,3.37632581472391,0
3,2,5,1,4,3,3,1,0,0,2.2,5.50563424742935,0
1,1,0,1,1,1,1,2,4,2,1.4,3.50693669155535,0
0,1,3,1,3,3,2,2,2,2,1.9,3.84908069498304,0
2,2,1,1,1,2,3,1,2,0,1.5,3.16567970777364,0
2,0,3,1,2,1,3,3,4,0,1.9,4.58582782603634,0
3,1,4,1,0,1,2,3,3,0,1.8,4.540887123218,0
4,2,2,0,0,2,2,2,1,0,1.5,3.98781921458221,0
2,0,1,3,1,2,0,0,1,3,1.3,3.57262354510768,0
3,0,1,0,0,2,1,3,0,0,1,3.44454949269231,0
2,1,2,0,2,0,2,0,2,0,1.1,3.04908069498304,0
3,3,1,2,0,2,0,3,0,2,1.6,4.07922568557201,0
3,2,2,0,2,1,3,1,1,3,1.8,3.82427929561774,0
2,2,2,2,0,6,2,0,1,0,1.7,5.16328296402256,0
2,3,0,1,1,2,1,1,3,4,1.8,4.20937428483921,0
5,2,0,0,4,4,2,4,3,1,2.5,5.98784556233023,0
1,3,1,1,0,7,0,3,0,3,1.9,6.17920864958308,0
3,2,0,1,0,7,1,1,2,3,2,6.0274171486064,0
2,6,1,3,2,7,2,6,5,4,3.8,7.91133068482699,0
2,0,1,1,4,2,1,1,4,4,2,4.92179549059973,0
3,2,1,3,1,11,3,2,1,3,3,8.77008376600086,0
1,4,1,2,2,5,3,3,5,6,3.2,6.63233254022198,0
2,3,2,1,2,6,4,5,3,2,3,6.06440496308464,0
0,2,0,1,1,5,3,2,6,5,2.5,6.75921223806573,0
3,1,1,2,2,6,2,4,5,6,3.2,6.98707978967084,0
3,4,2,1,2,5,0,2,4,4,2.7,5.77136162348595,0
0,3,2,2,2,4,3,4,8,3,3.1,7.17483114851265,0
0,0,0,5,1,2,4,7,3,6,2.8,7.9277302754511,0
0,4,0,0,3,5,1,1,11,5,3,9.78963916567,0
0,2,2,4,1,7,1,2,7,4,3,7.80099989585503,0
1,4,0,5,2,4,3,3,12,5,3.9,10.331269444415,0
1,3,4,2,3,4,3,3,8,3,3.4,7.00223140721291,0
1,2,3,7,2,3,1,2,6,9,3.6,9.00334711081937,0
1,2,2,6,0,2,3,2,5,11,3.4,9.68016135673811,0
0,0,5,3,3,5,2,1,4,5,2.8,6.69816138996607,0
2,3,2,2,2,2,2,0,5,7,2.7,6.51515341179821,0
0,2,1,4,4,6,2,2,5,6,3.2,7.31133068482699,0
2,2,0,4,1,2,1,0,2,4,1.8,4.540887123218,0
0,4,3,2,3,2,2,1,0,0,1.7,4.47954752512787,0
0,5,1,4,1,1,2,1,6,7,2.8,7.67160662524296,0
0,4,2,2,3,5,0,1,5,5,2.7,6.62544066882235,0
1,6,3,4,2,0,1,2,0,3,2.2,5.87263998296109,0
2,4,2,3,4,2,1,0,5,4,2.7,5.77136162348595,0
