"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
6,7,7,3,8,3,5,8,5,2,5.4,9.65419844911406,1.14580155088594
9,7,5,8,2,8,7,4,8,3,6.1,10.8518492306797,1.34815076932032
7,9,14,14,5,8,10,3,7,5,8.2,15.4044628144258,0.995537185574177
17,13,16,18,7,7,14,9,13,12,12.6,20.2860439181097,4.9139560818903
19,16,18,14,11,11,22,13,8,7,13.9,23.4328475400702,4.36715245992981
28,10,18,26,7,14,17,22,20,20,18.2,31.0956812753555,5.30431872464446
24,24,22,28,18,16,34,18,15,15,21.4,33.6297298961724,9.17027010382758
45,24,20,39,14,18,28,22,23,24,25.7,44.2953403960359,7.1046596039641
37,32,25,42,19,25,45,31,31,22,30.9,47.568324717526,14.231675282474
47,33,32,36,25,23,54,24,25,28,32.7,53.1536119059691,12.2463880940309
57,35,37,62,23,34,46,38,44,28,40.4,64.2301038371403,16.5698961628597
60,37,55,45,34,23,57,49,36,30,42.6,67.0664392360002,18.1335607639998
62,32,43,61,24,53,51,44,47,38,45.5,69.1512080969333,21.8487919030667
49,47,56,43,27,40,53,42,51,38,44.6,61.2619214578231,27.9380785421769
67,47,48,43,31,40,60,50,46,39,47.1,67.3943884964402,26.8056115035598
73,43,54,52,26,48,54,50,57,48,50.5,73.5479480889538,27.4520519110462
55,67,43,55,28,35,46,47,59,44,47.9,70.4839860668277,25.3160139331723
71,45,57,55,29,46,59,52,50,46,51,72.5500987365616,29.4499012634384
68,56,60,64,29,43,46,56,56,54,53.2,75.3324803048471,31.0675196951529
73,55,59,54,29,35,65,55,68,60,55.3,82.3175255055759,28.2824744944241
67,52,59,61,32,46,60,70,55,52,55.4,76.7950457401292,34.0049542598708
76,63,58,61,31,47,68,62,60,50,57.6,81.9615376270784,33.2384623729216
90,48,54,83,44,53,63,77,63,49,62.4,93.6263262150527,31.1736737849473
77,58,61,61,32,47,69,70,62,45,58.2,84.5415703573057,31.8584296426943
81,51,47,101,36,52,66,90,62,55,64.1,104.421307077579,23.7786929224207
77,57,68,81,46,54,75,78,70,55,66.1,89.9882468544215,42.2117531455785
82,54,64,93,30,43,73,72,57,59,62.7,98.8648180172695,26.5351819827305
93,46,57,83,48,61,83,80,69,56,67.6,99.7158358999973,35.4841641000027
75,61,75,84,47,64,91,82,75,57,71.1,97.7100027976114,44.4899972023886
87,45,81,93,37,52,82,72,68,53,67,104.69002933285,29.3099706671498
78,49,76,94,44,63,87,62,79,55,68.7,101.262620970131,36.1373790298686
82,42,74,78,36,55,63,60,79,52,62.1,93.5612393624635,30.6387606375365
77,45,72,89,34,51,79,60,74,61,64.2,97.7536124235032,30.6463875764968
82,30,61,82,49,46,72,51,66,55,59.4,91.8595567848156,26.9404432151844
77,29,73,97,32,41,66,59,57,52,58.3,99.6931912812294,16.9068087187706
72,27,77,88,28,45,61,60,62,51,57.1,96.0646378713372,18.1353621286628
