"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,0,0,0,1,1,0,3,1,0,0.6,2.49353989483542,0
1,0,3,0,1,1,1,0,0,0,0.7,2.55941926417901,0
0,1,0,0,0,1,0,0,1,1,0.4,1.41213964780887,0
0,0,1,0,0,1,2,1,0,1,0.6,1.970443561609,0
2,1,2,2,0,0,0,1,1,2,1.1,2.81616627011099,0
0,2,0,0,0,2,3,0,1,2,1,3.26321305522333,0
1,0,0,0,0,2,1,1,3,2,1,3.06602140464334,0
2,3,1,0,1,0,1,4,1,2,1.5,3.98781921458221,0
0,3,2,0,0,0,3,0,2,0,1,3.61333333333333,0
3,2,2,0,1,0,3,1,1,3,1.6,3.90062406992344,0
1,3,0,0,0,0,2,1,3,2,1.2,3.60937428483921,0
0,2,2,1,1,0,3,0,0,4,1.3,4.07954752512787,0
0,2,5,0,2,0,6,2,1,3,2.1,6.17483114851265,0
2,1,1,0,0,0,6,0,3,3,1.6,5.4318988620381,0
0,4,2,1,4,1,3,0,2,5,2.2,5.63233254022198,0
1,2,6,2,1,1,1,0,2,5,2.1,5.8474234111216,0
0,3,3,1,1,0,3,0,0,4,1.5,4.59903210696501,0
0,2,3,2,1,0,6,1,2,7,2.4,7.0382065499501,0
0,2,6,4,2,1,2,1,1,3,2.2,5.63233254022198,0
0,3,3,3,0,0,4,1,1,6,2.1,6.06869751933805,0
1,5,2,3,2,0,5,1,2,4,2.5,5.86323917938909,0
0,0,7,2,1,0,5,2,0,5,2.2,7.24380103581504,0
1,3,1,3,2,0,3,1,3,4,2.1,4.62190051790752,0
2,6,3,2,2,0,3,2,0,11,3.1,9.46455322687915,0
0,1,4,2,1,1,5,1,4,2,2.1,5.36012678690058,0
0,1,5,2,3,1,4,3,1,3,2.3,5.37136162348595,0
2,0,1,4,1,0,3,2,2,8,2.3,6.92438176048071,0
2,1,3,3,2,1,4,2,1,3,2.2,4.22427929561774,0.175720704382257
2,0,3,1,1,3,2,1,1,5,1.9,4.74030984225313,0
