"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
4,1,1,2,0,1,1,1,1,2,1.4,3.50693669155535,0
2,1,1,0,1,1,1,1,3,0,1.1,2.81616627011099,0
3,6,4,1,0,2,4,1,3,2,2.6,6.0817211580226,0
0,7,2,1,2,0,3,2,6,2,2.5,7.04994017054681,0
5,2,2,1,2,4,5,5,8,5,3.9,8.07826971099016,0
4,7,7,3,1,2,8,1,6,12,5.1,12.0419548959769,0
3,8,7,1,1,1,8,3,8,11,5.1,12.3428711311345,0
3,9,12,9,4,2,6,5,5,14,6.9,14.6551519793117,0
4,5,7,2,0,4,13,6,6,11,5.8,13.4078976509064,0
8,6,12,8,1,4,10,5,8,17,7.9,16.6385623022961,0
9,8,11,4,1,6,11,7,12,19,8.8,18.4816858036191,0
8,8,18,12,1,2,13,8,7,18,9.5,20.9006198661886,0
8,2,11,8,3,9,11,18,18,15,10.3,21.1559546384052,0
6,10,14,12,2,4,9,8,19,21,10.5,22.5557261636673,0
3,8,11,10,2,6,9,12,14,14,8.9,17.1356288297994,0.664371170200649
6,15,18,11,4,5,14,14,22,14,12.3,23.7305329903922,0.869467009607801
8,8,15,19,5,4,7,16,12,13,10.7,20.5672801611071,0.832719838892899
2,14,18,11,5,10,14,9,18,20,12.1,23.5454602353946,0.654539764605357
8,5,13,28,6,6,10,13,15,18,12.2,25.9603850075336,0
4,16,21,21,6,11,11,15,16,22,14.3,26.5593608678792,2.04063913212076
7,8,20,20,9,10,11,14,18,17,13.4,23.273766814702,3.52623318529797
10,13,19,17,8,11,15,12,7,26,13.8,24.9947098617556,2.60529013824436
11,12,22,17,6,7,8,16,10,28,13.7,27.5608327471492,0
13,12,15,18,12,8,12,11,7,17,12.5,19.3677733735987,5.63222662640131
10,19,19,18,4,5,8,8,6,23,12,25.70443561609,0
10,20,18,19,9,10,12,8,7,25,13.8,25.9104810437534,1.68951895624657
8,16,19,19,7,4,15,9,12,25,13.4,26.2426124029861,0.557387597013863
15,19,17,19,8,7,13,9,9,23,13.9,24.7716708314162,3.02832916858376
7,24,19,9,5,8,14,8,10,20,12.4,25.1089707599702,0
10,21,17,9,5,8,9,7,14,18,11.8,22.2859491172182,1.31405088278181
12,25,26,12,3,6,11,4,12,19,13,28.8155254242293,0
8,20,11,11,6,14,18,5,13,12,11.8,21.2134428699954,2.38655713000463
3,28,22,13,4,10,13,5,13,18,12.9,28.700674528499,0
7,27,15,8,0,12,11,7,12,11,11,24.6420005049765,0
11,17,18,13,5,12,13,6,14,12,12.1,20.1786456510702,4.02135434892979
5,32,13,2,2,14,14,4,8,11,10.5,27.9881115173836,0
9,9,18,9,9,16,11,8,15,11,11.5,18.4296464556282,4.57035354437183
13,23,19,4,6,24,21,8,11,10,13.9,28.2272290877662,0
14,22,17,10,4,14,12,11,7,13,12.4,22.2304416087082,2.56955839129176
8,16,17,10,8,18,14,7,7,12,11.7,20.1201462114516,3.27985378854843
20,14,16,13,5,13,10,8,8,7,11.4,20.4622773689129,2.33772263108709
16,15,17,16,5,15,14,2,3,12,11.5,22.9379990480076,0.0620009519924221
25,13,14,10,3,9,16,4,7,13,11.4,23.973908788528,0
25,22,19,13,7,8,6,4,8,6,11.8,26.5774699383141,0
24,11,12,9,3,10,6,6,3,14,9.8,21.9807688135392,0
16,15,14,10,8,6,9,8,7,9,10.2,17.1018722097703,3.29812779022967
19,8,7,11,4,11,10,3,5,11,8.9,18.0209638866856,0
12,7,10,8,2,6,6,7,5,5,6.8,12.2505388112858,1.34946118871415
20,10,13,8,1,11,7,7,4,8,8.9,19.040356338249,0
11,15,12,7,4,4,5,8,0,6,7.2,15.9067544661219,0
13,8,11,7,4,11,6,7,1,8,7.6,14.5265659280451,0.67343407195488
14,9,4,6,2,5,7,5,0,4,5.6,13.1741595793417,0
12,8,10,6,4,9,7,8,4,8,7.6,12.5065289835755,2.69347101642448
14,10,5,8,4,10,10,8,3,5,7.7,14.4296504779636,0.970349522036412
6,5,13,6,1,9,9,13,3,6,7.1,14.7999151510477,0
8,7,6,8,6,6,9,11,5,4,7,11.0274171486064,2.9725828513936
12,3,9,3,2,5,10,10,3,5,6.2,13.4044628144258,0
7,4,6,6,4,7,8,7,7,8,6.4,9.20248778369822,3.59751221630178
12,2,6,5,4,2,10,15,2,8,6.6,15.5198545080312,0
3,5,9,7,2,2,6,10,3,9,5.6,11.602138878026,0
9,5,3,7,3,3,6,12,5,1,5.4,11.8146554423792,0
8,0,5,7,4,6,8,7,4,7,5.6,10.4187485696784,0.781251430321584
9,4,1,3,3,3,8,9,5,1,4.6,10.602138878026,0
6,4,8,8,3,2,8,9,3,4,5.5,10.5817407341273,0.418259265872678
10,6,5,4,4,1,2,8,8,4,5.2,10.7282965027413,0
6,4,6,0,1,3,11,5,3,2,4.1,10.2600707066649,0
6,4,6,2,5,1,6,6,11,3,5,10.4661788400226,0
3,4,9,1,3,3,9,3,5,3,4.3,9.53074840619283,0
10,7,2,3,6,1,7,5,7,3,5.1,10.6012063323521,0
2,3,4,1,2,4,4,1,7,2,3,6.57845404236708,0
4,11,9,0,6,3,8,6,4,9,6,12.5333333333333,0
2,1,4,5,3,6,3,1,6,3,3.4,7.00223140721291,0
4,6,5,2,3,5,3,2,3,9,4.2,8.41387338311071,0
2,2,5,5,3,6,4,2,3,8,4,7.92,0.0800000000000001
4,2,4,2,2,3,4,3,2,8,3.4,7.00223140721291,0
3,2,5,0,2,8,3,4,4,4,3.5,7.6577878733769,0
