"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,1,1,1,2,0,0,0,1,2,1,2.60033329861834,0
2,1,3,1,1,2,6,2,4,5,2.7,6.16328296402256,0
1,1,1,2,2,1,3,3,0,0,1.4,3.50693669155535,0
1,1,0,0,1,3,2,0,1,1,1,2.84790572150084,0
2,1,2,2,1,0,1,3,1,2,1.5,3.16567970777364,0
1,3,1,2,1,1,3,2,1,2,1.7,3.31361430060319,0.0863856993968133
1,1,0,5,1,1,3,3,0,2,1.7,4.77136162348595,0
1,1,1,2,1,5,1,1,1,3,1.7,4.32148727930455,0
2,3,2,5,1,2,2,0,0,0,1.7,4.77136162348595,0
2,2,2,2,3,4,3,1,3,1,2.3,4.15941926417901,0.440580735820993
0,2,2,0,1,1,0,1,2,3,1.2,3.22427929561774,0
1,2,1,1,0,0,2,1,2,0,1,2.60033329861834,0
1,1,0,1,3,1,2,1,0,3,1.3,3.3763258147239,0
1,3,2,1,4,1,4,2,1,2,2.1,4.44654923948621,0
3,2,4,1,2,6,3,2,1,0,2.4,5.75688744722449,0
5,2,3,4,4,2,2,2,5,2,3.1,5.62190051790752,0.578099482092479
2,1,1,1,0,6,2,1,2,3,1.9,5.16012678690057,0
5,1,6,2,1,5,2,1,3,1,2.7,6.51515341179821,0
4,3,4,3,3,1,5,2,4,2,3.1,5.44654923948621,0.753450760513785
2,3,4,1,3,5,3,3,2,1,2.7,5.15326449178776,0.246735508212238
6,5,4,2,4,6,3,4,0,1,3.5,7.44712835137423,0
4,3,4,3,6,6,1,4,7,1,3.9,7.86869751933805,0
4,3,7,2,2,6,2,5,1,2,3.4,7.34171761771157,0
1,3,5,1,1,1,6,6,3,1,2.8,7.01387338311071,0
2,0,5,5,4,4,1,0,5,3,2.9,6.86869751933805,0
1,6,5,4,3,4,3,8,1,3,3.8,8.01387338311071,0
2,6,8,5,2,3,6,3,0,1,3.6,8.59276632294718,0
1,3,1,9,3,1,3,3,2,1,2.7,7.41578154239099,0
0,4,5,8,4,3,4,4,3,6,4.1,8.17483114851265,0.0251688514873534
3,6,4,3,7,5,3,4,4,1,4,7.33135941554729,0.668640584452714
4,5,6,4,8,4,5,5,1,6,4.8,8.35451762628286,1.24548237371714
4,3,6,5,3,3,4,2,2,3,3.5,5.98781921458221,1.01218078541779
2,4,3,6,4,1,0,5,5,5,3.5,7.33746444066044,0
0,5,5,4,1,1,6,1,0,1,2.4,6.94524709021535,0
3,4,7,6,6,2,3,2,5,3,4.1,7.61223638789368,0.58776361210632
3,2,9,2,4,2,5,5,4,7,4.3,8.83113868445646,0
1,1,5,8,4,4,3,2,7,3,3.8,8.40124813984689,0
2,4,6,5,1,2,6,7,3,2,3.8,7.91133068482699,0
2,3,6,3,3,8,2,4,3,7,4.1,8.27826971099016,0
3,2,6,10,1,1,3,0,9,2,3.7,10.4927817898446,0
4,0,4,3,4,6,4,5,4,3,3.7,6.77136162348595,0.628638376514054
2,2,1,6,7,5,4,3,3,3,3.6,7.31883852835801,0
3,3,2,5,3,6,2,3,6,4,3.7,6.62909087147076,0.770909128529241
3,4,9,4,3,2,3,3,6,3,4,8.0274171486064,0
4,0,4,3,7,2,3,3,5,2,3.3,7.00158164392826,0
6,1,4,7,4,5,4,2,6,1,4,8.13204280928668,0
7,5,3,8,5,3,7,2,6,6,5.2,9.09816138996607,1.30183861003393
2,5,3,4,6,1,3,0,5,8,3.7,8.41578154239099,0
4,3,7,5,1,7,5,5,4,7,4.8,8.58707978967084,1.01292021032916
5,7,4,10,1,6,3,3,5,6,5,9.88909898538462,0.110901014615384
5,0,6,4,7,5,7,2,9,3,4.8,10.0103077324345,0
3,4,7,6,5,5,4,2,6,5,4.7,7.62909087147076,1.77090912852924
9,7,3,2,3,4,5,0,5,5,4.3,9.27992592537502,0
2,2,5,7,4,1,3,2,4,7,3.7,7.83720463866875,0
5,4,4,8,4,3,2,6,8,5,4.9,8.75964650079656,1.04035349920344
3,4,4,2,8,3,10,2,2,3,4.1,9.44377145219866,0
