"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,3,1,2,1,2,1,0,1,0,1.3,3.15941926417901,0
1,0,1,1,1,1,0,1,0,1,0.7,1.64676994741771,0
1,0,0,2,2,2,2,0,0,2,1.1,3.04908069498304,0
1,0,0,0,1,1,0,1,2,1,0.7,2.02289917311268,0
2,0,0,0,1,0,1,2,2,3,1.1,3.25698967184464,0
1,3,2,1,1,2,1,0,0,1,1.2,3.00111570360646,0
1,1,0,3,0,1,1,2,3,1,1.3,3.3763258147239,0
1,2,0,1,1,1,1,2,3,0,1.2,3.00111570360646,0
1,2,3,2,0,0,1,0,1,0,1,3.06602140464334,0
1,1,1,0,1,2,3,1,0,0,1,2.84790572150084,0
0,0,3,2,2,1,2,2,2,0,1.4,3.50693669155535,0
2,1,0,2,2,0,0,0,1,0,0.8,2.60111570360646,0
2,1,1,1,0,1,1,1,0,1,0.9,2.01258657590719,0
0,3,2,0,1,0,1,1,1,0,0.9,2.84908069498304,0
3,1,5,3,1,2,0,0,1,3,1.9,5.02645770446008,0
1,0,0,2,3,0,2,1,0,1,1,3.06602140464334,0
2,1,3,2,1,1,0,3,2,2,1.7,3.55941926417901,0
0,1,6,1,1,0,0,6,1,1,1.7,6.23113868445646,0
0,2,2,1,4,3,0,1,0,2,1.5,4.15385254551441,0
1,1,4,0,0,1,4,0,1,1,1.3,4.22909087147076,0
4,0,0,0,1,0,0,2,3,1,1.1,3.94030984225313,0
1,1,2,0,2,2,3,0,1,3,1.5,3.6170419614799,0
1,0,1,1,0,2,3,0,0,3,1.1,3.44654923948621,0
4,5,3,0,3,4,1,2,4,1,2.7,5.90732772118958,0
2,2,3,1,5,3,6,0,5,1,2.8,6.69816138996607,0
4,5,2,0,1,2,2,0,1,5,2.2,5.87263998296109,0
3,8,3,2,4,3,4,1,1,2,3.1,7.06869751933805,0
4,8,4,5,8,3,0,2,4,4,4.2,8.98318536356498,0
1,11,2,1,5,7,3,0,6,6,4.2,10.913774894449,0
5,7,4,3,3,4,3,1,1,4,3.5,6.98784556233023,0.0121544376697718
2,5,1,2,9,3,5,1,1,7,3.6,9.08177424643599,0
3,12,9,4,10,5,4,1,1,7,5.6,13.0031632878565,0
6,6,5,2,16,3,4,3,2,5,5.2,13.1909904823425,0
3,11,6,3,5,5,6,3,1,7,5,10.4661788400226,0
3,10,6,1,8,2,7,0,2,9,4.8,11.8849775346621,0
4,4,6,1,3,2,4,2,2,7,3.5,7.22457305532385,0
3,10,5,3,7,5,9,1,4,5,5.2,10.6505388112858,0
7,7,5,3,5,4,3,0,3,3,4,8.13204280928668,0
