"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
3,2,1,3,1,1,2,1,3,3,2,3.84790572150084,0.152094278499156
1,5,1,1,1,3,1,4,2,3,2.2,5.09242996650068,0
4,2,1,1,6,2,1,5,2,1,2.5,6.1081512656145,0
2,2,2,1,4,0,2,3,5,5,2.6,5.82722860120637,0
2,4,1,2,3,1,5,5,5,2,3,6.20066659723669,0
3,5,2,2,3,1,0,5,4,4,2.9,6.16012678690057,0
3,3,4,5,3,2,3,1,4,0,2.8,5.69242996650068,0
1,4,1,2,4,2,3,0,1,3,2.1,4.78582782603634,0
4,1,0,0,4,1,2,4,1,1,1.8,4.97388230545635,0
3,4,6,2,3,1,4,3,3,5,3.4,6.20248778369822,0.597512216301777
3,2,2,1,1,3,4,5,1,1,2.3,5.07954752512787,0
1,0,5,3,5,2,2,2,2,0,2.2,5.63233254022198,0
0,3,3,0,2,0,3,3,2,6,2.2,5.87263998296109,0
5,2,6,3,1,4,4,3,2,3,3.3,6.22909087147076,0.37090912852924
2,4,4,3,4,5,2,2,2,2,3,5.26321305522333,0.736786944776667
2,1,5,3,2,4,5,4,3,3,3.2,5.78045990732918,0.619540092670817
7,4,7,2,1,6,3,2,3,1,3.6,8.14524709021535,0
6,3,5,3,4,1,1,3,2,1,2.9,6.2885270480779,0
4,6,4,6,7,3,3,2,4,2,4.1,7.4885270480779,0.711472951922095
9,3,4,3,4,6,4,5,2,1,4.1,8.47782086837225,0
4,3,6,3,6,7,6,2,4,4,4.5,7.73383501262648,1.26616498737352
7,3,4,2,7,5,4,1,4,2,3.9,7.86869751933805,0
7,4,2,7,2,5,8,7,1,5,4.8,9.67160662524296,0
15,3,5,6,6,3,6,5,3,4,5.6,12.5265659280451,0
10,0,5,3,4,7,9,8,5,7,5.8,11.7017375972392,0
8,3,7,5,4,5,6,8,7,7,6,9.33135941554729,2.66864058445271
14,6,4,8,5,5,12,4,2,6,6.6,13.9452799659222,0
17,12,7,6,12,6,9,5,4,12,9,17.107653448714,0.892346551285975
12,7,8,6,5,9,10,8,6,6,7.7,11.9391215022822,3.46087849771782
15,7,3,10,11,5,12,6,4,13,8.6,16.7181760403567,0.481823959643259
15,2,11,7,10,9,18,9,5,14,10,19.3770973950128,0.622902604987216
8,12,11,13,9,10,14,6,7,16,10.6,16.8801613567381,4.31983864326189
17,9,8,12,9,5,11,5,5,6,8.7,16.2657015537226,1.13429844627744
10,3,6,6,8,12,8,3,7,14,7.7,14.6787499676598,0.721250032340239
13,4,11,5,9,8,9,13,7,10,8.9,14.8485632252204,2.95143677477961
8,8,8,13,7,9,13,2,3,6,7.7,14.7396477184586,0.660352281541356
9,6,10,6,9,6,8,1,2,3,6,12.1288099261693,0
11,3,4,4,5,7,9,3,1,4,5.1,11.0485632252204,0
6,5,6,5,6,7,8,4,3,6,5.6,8.40248778369822,2.79751221630178
4,2,3,10,6,4,8,5,2,4,4.8,9.84380103581504,0
4,1,8,5,5,5,8,3,0,5,4.4,9.47753921151225,0
5,5,6,10,4,5,4,8,2,1,5,10.144351811021,0
2,4,8,6,7,5,5,3,1,5,4.6,8.85419844911406,0.345801550885943
6,2,5,7,6,7,6,7,5,2,5.3,9.00158164392826,1.59841835607174
1,7,2,5,2,6,6,3,1,10,4.3,10.1472420849491,0
8,4,0,8,3,14,5,7,9,6,6.4,13.8605975334122,0
7,5,7,10,3,8,8,11,2,3,6.4,12.402138878026,0.397861121974009
7,7,4,6,7,3,4,9,3,4,5.4,9.44855859123549,1.35144140876451
7,7,3,11,3,3,8,10,6,7,6.5,12.062932879536,0.937067120464042
6,10,7,5,4,7,6,8,4,7,6.4,10.0022314072129,2.79776859278709
5,3,6,4,8,5,9,8,8,4,6,10.1320428092867,1.86795719071332
4,5,3,7,1,6,8,7,5,9,5.5,10.2338497370886,0.76615026291145
5,9,5,3,6,2,5,8,7,6,5.6,9.75265162944781,1.44734837055219
5,5,6,10,4,4,3,10,3,3,5.3,10.5307484061928,0.0692515938071647
5,6,7,5,5,5,6,5,7,6,5.7,7.31361430060319,4.08638569939681
9,7,6,9,6,6,8,4,7,9,7.1,10.3601267869006,3.83987321309942
4,7,7,11,5,2,3,3,8,4,5.4,10.881774246436,0
5,7,5,4,5,2,5,2,9,5,4.9,8.97483114851265,0.825168851487354
0,10,3,4,4,4,8,2,8,4,4.7,10.6914620734657,0
8,5,7,13,11,4,8,3,2,5,6.6,13.464665080444,0
8,6,8,5,6,4,2,0,5,4,4.8,9.67160662524296,0
4,6,9,7,4,4,6,2,10,5,5.7,10.5054432099906,0.894556790009433
10,5,6,7,5,0,6,1,14,5,5.9,13.7644618379136,0
3,11,3,9,7,2,4,1,7,9,5.6,12.3391578768336,0
4,6,5,3,1,1,6,3,6,5,4,7.8095552379656,0.190444762034404
10,7,8,8,6,8,4,2,11,4,6.8,12.3282965027413,1.27170349725865
5,6,6,12,3,3,4,6,8,5,5.8,11.0103077324345,0.589692267565507
3,10,5,8,6,2,1,4,7,5,5.1,10.5230602266822,0
