"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,1,1,3,1,2,2,1,2,0,1.4,3.05281712371467,0
1,1,0,2,1,0,2,1,0,2,1,2.60033329861834,0
1,1,2,0,3,1,1,0,2,1,1.2,3.00111570360646,0
0,3,2,0,1,1,1,2,1,6,1.7,5.16328296402256,0
3,3,1,1,3,1,2,3,0,3,2,4.26321305522333,0
1,0,1,1,3,3,2,1,1,2,1.5,3.4047776189828,0
1,1,1,4,0,1,1,1,4,3,1.7,4.47954752512787,0
1,0,0,0,2,0,0,2,1,1,0.7,2.31361430060319,0
2,3,2,4,1,0,3,1,2,2,2,4.26321305522333,0
0,0,1,2,0,3,3,1,2,2,1.4,3.70062406992344,0
1,1,1,5,1,2,4,2,1,1,1.9,4.74030984225313,0
3,2,1,3,2,2,1,1,4,1,2,4.06602140464334,0
2,0,2,2,3,0,2,1,1,5,1.8,4.69242996650068,0
0,2,0,4,3,1,0,6,1,4,2.1,6.17483114851265,0
2,2,3,3,2,1,4,3,1,3,2.4,4.29353989483542,0.50646010516458
1,2,3,2,2,0,0,4,3,3,2,4.61333333333333,0
1,1,3,2,1,1,2,1,0,5,1.7,4.47954752512787,0
1,3,4,1,4,2,5,3,3,2,2.8,5.38045990732918,0.219540092670817
0,2,1,2,0,2,1,1,4,6,1.9,5.53173420466495,0
1,1,1,2,1,2,2,1,4,1,1.6,3.49353989483542,0
1,1,2,3,5,4,1,0,2,3,2.2,5.23641894342662,0
0,1,3,4,5,1,4,2,3,3,2.6,5.69213769996673,0
2,1,4,3,4,3,1,2,3,6,2.9,5.88681249643979,0
3,4,2,6,2,1,3,4,4,1,3,6.06440496308464,0
0,0,1,0,3,1,1,0,2,0,0.8,2.82427929561774,0
2,2,0,1,4,0,2,2,2,2,1.7,3.97262354510768,0
1,5,1,1,1,2,1,4,3,1,2,4.92179549059973,0
2,1,0,6,1,1,2,1,0,0,1.4,4.8817211580226,0
0,1,1,1,5,0,0,2,2,2,1.4,4.3508687986196,0
4,1,0,0,2,0,1,1,4,4,1.7,5.03775972772157,0
0,1,2,3,3,1,3,1,2,0,1.6,3.90062406992344,0
8,1,0,2,0,0,1,4,1,3,2,6.88909898538462,0
1,2,0,2,0,1,0,2,4,3,1.5,4.15385254551441,0
1,1,4,2,3,3,3,1,1,2,2.1,4.25698967184464,0
3,3,2,4,6,1,1,2,1,2,2.5,5.59903210696501,0
2,0,2,0,0,2,1,5,1,3,1.6,4.69213769996673,0
6,0,4,1,1,2,3,3,2,7,2.9,7.27782086837225,0
1,4,3,2,1,2,3,2,1,4,2.3,4.57262354510767,0.0273764548923245
1,1,0,1,2,4,1,1,2,3,1.6,3.90062406992344,0
3,0,1,2,0,1,0,5,2,1,1.5,4.59903210696501,0
3,4,2,2,3,1,3,1,0,3,2.2,4.60937428483921,0
3,2,5,2,2,0,2,3,2,3,2.4,4.87922568557201,0
3,3,1,1,2,0,5,1,1,3,2,4.92179549059973,0
1,4,2,2,3,2,3,2,1,4,2.4,4.50693669155535,0.293063308444645
5,1,1,1,2,0,0,3,1,2,1.6,4.5508687986196,0
5,2,3,1,3,1,0,2,3,1,2.1,4.94030984225313,0
0,4,2,2,3,3,1,1,3,0,1.9,4.58582782603634,0
0,3,1,6,3,1,4,2,1,3,2.4,5.8817211580226,0
5,0,0,1,4,2,2,3,1,1,1.9,5.16012678690057,0
2,0,3,1,2,1,2,0,3,2,1.6,3.70693669155535,0
1,1,1,3,2,0,0,0,3,3,1.4,3.87922568557201,0
5,0,3,1,1,0,1,2,2,1,1.6,4.5508687986196,0
2,0,5,2,5,1,5,1,1,2,2.4,6.11883852835801,0
1,2,3,2,2,0,1,4,2,2,1.9,4.05698967184464,0
2,2,2,2,5,3,2,1,3,1,2.3,4.57262354510767,0.0273764548923245
0,2,1,2,3,0,2,1,0,3,1.4,3.70062406992344,0
2,0,0,2,2,2,5,2,0,2,1.7,4.62909087147076,0
1,3,1,4,2,0,1,3,3,1,1.9,4.42190051790752,0
4,2,3,1,2,2,2,3,2,2,2.3,3.91361430060319,0.686385699396813
0,1,0,4,2,4,2,1,3,5,2.2,5.63233254022198,0
1,4,0,3,4,2,2,2,1,2,2.1,4.62190051790752,0
1,1,3,3,2,2,1,3,0,1,1.7,3.7763258147239,0
2,2,4,3,1,2,1,2,2,4,2.3,4.3763258147239,0.223674185276095
1,3,2,3,0,5,3,2,2,1,2.2,4.940887123218,0
1,1,4,2,3,2,2,1,1,2,1.9,3.84908069498304,0
0,1,1,0,6,5,2,1,1,1,1.8,5.80616413931221,0
1,3,1,7,2,4,4,3,2,1,2.8,6.47263998296109,0
3,2,2,4,1,0,2,2,0,0,1.6,4.24579834622537,0
2,3,1,0,2,1,2,1,2,1,1.5,3.16567970777364,0
2,1,2,3,1,2,1,1,1,2,1.6,2.970443561609,0.229556438391002
1,3,2,0,2,2,1,2,1,0,1.4,3.29353989483542,0
