"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,1,1,2,0,1,4,0,0,1,1.2,3.60937428483921,0
0,0,3,1,0,1,2,3,0,0,1,3.44454949269231,0
1,2,2,3,0,3,2,0,1,0,1.4,3.70062406992344,0
3,1,1,3,2,1,3,1,0,5,2,4.92179549059973,0
0,4,0,1,1,1,1,0,1,1,1,3.26321305522333,0
2,5,0,2,0,3,4,2,0,0,1.8,5.35451762628286,0
1,1,3,1,1,1,4,0,2,7,2.1,6.17483114851265,0
6,1,2,0,4,2,2,1,2,1,2.1,5.4885270480779,0
2,0,0,2,5,4,2,1,3,4,2.3,5.63775972772157,0
8,1,2,1,2,5,1,2,2,1,2.5,6.95513935434871,0
4,0,1,2,6,8,5,1,2,3,3.2,8.15845137114402,0
1,1,1,4,2,1,2,0,1,4,1.7,4.32148727930455,0
1,2,5,2,2,6,4,1,2,2,2.7,6.03775972772157,0
1,1,2,1,3,4,2,1,3,5,2.3,5.07954752512787,0
0,0,3,3,2,4,5,0,2,3,2.2,5.63233254022198,0
1,2,2,2,5,5,1,3,5,3,2.9,6.02645770446008,0
1,0,5,1,0,7,1,1,3,2,2.1,6.57426021197297,0
2,0,5,5,2,5,2,3,6,3,3.3,7.00158164392826,0
4,3,2,3,4,7,1,0,3,1,2.8,6.69816138996607,0
3,0,2,4,2,9,3,5,5,5,3.8,8.58318536356498,0
1,1,3,1,1,6,0,3,2,1,1.9,5.2885270480779,0
0,3,3,2,7,7,4,3,6,2,3.7,8.23113868445646,0
2,0,3,2,3,2,1,1,3,2,1.9,3.84908069498304,0
2,2,1,3,1,7,1,1,7,2,2.7,7.32438176048071,0
5,3,2,0,3,3,0,1,2,1,2,5.06440496308464,0
1,2,1,0,2,7,2,1,1,1,1.8,5.58707978967084,0
3,0,3,5,0,8,3,2,3,3,3,7.52642611044667,0
0,3,2,4,2,2,2,2,6,1,2.4,5.62722860120637,0
4,2,1,0,1,4,2,2,0,1,1.7,4.47954752512787,0
1,2,1,1,0,4,3,2,1,1,1.6,3.90062406992344,0
3,0,1,4,2,6,1,2,3,1,2.3,5.76328296402256,0
1,3,1,0,1,2,0,0,1,2,1.1,3.04908069498304,0
1,1,2,2,4,3,1,5,1,2,2.2,4.940887123218,0
1,2,3,2,1,2,0,4,3,2,2,4.26321305522333,0
2,1,1,0,2,4,3,1,1,2,1.7,3.97262354510768,0
3,1,3,3,1,1,1,2,5,1,2.1,4.78582782603634,0
4,3,1,5,1,1,0,1,1,2,1.9,5.02645770446008,0
4,0,1,1,1,1,2,1,1,6,1.8,5.35451762628286,0
5,0,2,2,2,1,1,3,0,0,1.6,4.69213769996673,0
0,0,0,2,2,2,1,1,2,1,1.1,2.81616627011099,0
4,2,4,4,3,1,2,0,2,3,2.5,5.15385254551441,0
3,1,0,3,3,0,4,0,2,0,1.6,4.69213769996673,0
2,1,2,1,1,2,4,1,2,1,1.7,3.55941926417901,0
2,1,3,7,0,0,0,4,1,1,1.9,6.27782086837225,0
0,0,3,1,1,4,5,0,4,6,2.4,6.85034630362877,0
4,2,1,1,1,1,1,0,5,1,1.7,4.77136162348595,0
3,3,7,7,1,2,2,0,4,0,2.9,7.82822979262218,0
3,1,2,3,2,2,3,3,2,5,2.6,4.70693669155535,0.493063308444646
4,0,2,2,1,0,1,3,2,5,2,5.20066659723669,0
4,2,2,4,2,0,3,2,1,2,2.2,4.60937428483921,0
1,2,2,4,0,2,5,2,1,0,1.9,5.02645770446008,0
3,3,3,3,1,2,2,1,1,3,2.2,4.00111570360646,0.398884296393545
3,1,3,1,0,1,2,3,1,3,1.8,4.02517315181438,0
0,0,4,1,1,3,5,2,2,3,2.1,5.36012678690058,0
3,3,1,4,0,1,0,3,0,0,1.5,4.59903210696501,0
2,2,2,2,0,1,0,2,2,2,1.5,3.16567970777364,0
1,2,3,3,2,2,1,1,1,3,1.9,3.61616627011099,0.18383372988901
1,1,2,3,0,1,1,2,3,2,1.6,3.49353989483542,0
2,2,1,0,0,0,0,0,1,1,0.7,2.31361430060319,0
1,2,3,4,1,3,2,1,0,1,1.8,4.20937428483921,0
2,0,2,3,5,1,0,1,2,2,1.8,4.69242996650068,0
1,3,0,3,2,1,2,1,2,1,1.6,3.49353989483542,0
2,1,1,1,1,2,1,0,1,2,1.2,2.439612842786,0
