"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
5,0,1,3,3,1,3,3,2,1,2.2,5.09242996650068,0
4,2,2,2,2,5,1,3,1,3,2.5,4.98781921458221,0.0121807854177902
2,0,2,1,1,2,2,3,4,4,2.1,4.62190051790752,0
3,3,2,0,2,2,3,6,5,0,2.6,6.31883852835801,0
5,5,2,4,5,1,1,6,4,4,3.7,7.16328296402256,0.23671703597744
9,4,3,2,3,6,2,3,7,7,4.6,9.41874856967842,0
8,6,6,2,4,4,3,8,5,2,4.8,9.11397934368928,0.486020656310721
11,4,2,7,5,3,2,6,3,5,4.8,10.1716556520727,0
10,4,5,4,3,3,2,4,10,4,4.9,10.4012063323521,0
9,6,7,5,3,10,5,9,9,7,7,11.4311222556418,2.56887774435816
13,4,4,4,6,3,4,5,11,7,6.1,12.6626674793444,0
11,8,13,6,2,3,1,13,8,9,7.4,15.9284402638075,0
10,9,5,9,6,5,6,8,7,7,7.2,10.632332540222,3.76766745977802
15,3,5,6,11,7,2,11,17,12,8.9,18.8276574388031,0
11,10,6,4,6,8,3,16,11,11,8.6,16.3413797219875,0.858620278012452
7,9,11,5,8,10,8,16,12,16,10.2,17.3449699478413,3.05503005215868
14,13,8,7,6,7,3,16,9,11,9.4,17.3050633562715,1.49493664372849
17,7,13,7,11,6,7,16,13,11,10.8,18.5743921520163,3.02560784798366
10,17,4,9,14,7,10,14,15,19,11.9,21.0676426147135,2.73235738528649
13,10,15,11,9,5,6,23,13,18,12.3,22.9575469347626,1.64245306523745
13,14,11,10,17,5,11,12,13,15,12.1,18.4645532268791,5.73544677312085
14,13,12,9,15,7,6,21,8,13,11.8,20.6042575559278,2.99574244407224
5,16,11,9,8,6,10,25,17,23,13,26.6420005049765,0
10,12,15,13,13,5,6,21,12,19,12.6,22.4304416087082,2.76955839129176
10,12,13,4,13,12,11,30,10,11,12.6,25.6077337679466,0
10,20,8,10,11,2,5,22,14,17,11.9,24.4143608173437,0
8,16,13,13,11,9,7,25,12,14,12.8,22.8281878278735,2.77181217212646
7,14,15,8,9,6,11,23,7,10,11,21.1213964780887,0.878603521911284
13,20,10,13,12,9,4,31,11,17,14,28.4621498325034,0
6,19,14,13,10,11,6,17,10,16,12.2,20.8575911456042,3.54240885439579
19,13,9,10,9,14,4,22,13,13,12.6,22.6876020716301,2.51239792836992
9,10,9,7,12,9,4,30,9,19,11.8,26.4323331472918,0
3,19,7,8,14,8,5,26,13,14,11.7,25.4059928498449,0
11,15,15,11,11,13,4,17,17,15,12.9,20.5442791971804,5.25572080281964
10,14,8,5,11,12,5,30,9,18,12.2,26.6857422622691,0
16,12,8,4,10,14,4,18,9,16,11.1,20.8103006018237,1.3896993981763
6,16,9,9,17,10,10,23,15,15,13,22.9512768583288,3.04872314167116
6,11,4,5,13,16,6,21,11,11,10.4,20.9427839460616,0
5,14,11,8,9,13,5,20,13,19,11.7,21.8655811442337,1.53441885576629
7,15,6,5,13,16,5,20,18,18,12.3,23.989007941937,0.610992058062982
15,12,11,2,12,10,3,18,14,12,10.9,20.6541594546463,1.14584054535366
8,13,5,5,14,15,11,22,11,18,12.2,22.8475294995809,1.55247050041915
10,20,10,7,16,11,4,14,17,11,12,21.4225073332126,2.57749266678744
12,4,11,2,12,8,3,21,20,13,10.6,23.4758060804837,0
11,9,8,4,14,11,5,17,10,14,10.3,18.2508277696239,2.34917223037612
