"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,0,1,1,0,1,1,0,0,0,0.5,1.53301070232167,0
1,1,2,3,1,0,1,2,1,0,1.2,3.00111570360646,0
2,3,3,4,2,1,0,1,0,2,1.8,4.38045990732918,0
1,2,0,1,2,1,1,2,0,1,1.1,2.54621498325034,0
2,5,3,4,1,4,1,2,4,2,2.8,5.540887123218,0.0591128767820037
2,8,3,3,4,4,1,1,0,4,3,7.43112225564184,0
3,6,3,3,2,0,3,2,1,2,2.5,5.59903210696501,0
0,5,0,6,2,3,0,6,1,1,2.4,7.21874856967842,0
1,8,6,0,6,2,1,5,5,0,3.4,9.11059677753171,0
2,7,3,4,3,1,0,3,3,1,2.7,6.51515341179821,0
2,6,7,3,10,1,0,4,2,1,3.6,9.81182242001313,0
3,4,6,0,3,2,2,4,3,2,2.9,6.02645770446008,0
3,5,4,3,5,0,1,2,4,2,2.9,6.16012678690057,0
5,8,5,2,2,2,6,3,4,0,3.7,8.32438176048071,0
4,4,6,2,3,1,3,0,4,2,2.9,6.2885270480779,0
3,6,5,3,6,4,1,3,4,2,3.7,6.90732772118958,0.492672278810425
6,2,6,5,3,3,6,0,4,2,3.7,7.73271289993887,0
7,3,6,6,4,2,3,2,6,3,4.2,7.87263998296109,0.527360017038909
7,2,7,10,5,5,4,0,5,3,4.8,10.3282965027413,0
10,4,6,2,3,4,6,2,5,6,4.8,9.49309847897243,0.106901521027571
11,2,9,9,3,4,1,3,8,4,5.4,12.264665080444,0
3,7,9,8,7,4,2,2,3,7,5.2,10.4103077324345,0
9,4,8,3,3,5,2,6,7,4,5.1,9.66866428328164,0.531335716718361
7,3,8,7,6,5,1,2,3,2,4.4,9.30652898357553,0
9,2,7,7,6,1,4,5,5,2,4.8,9.84380103581504,0
5,4,9,5,2,8,4,2,2,5,4.6,9.32933915984981,0
5,2,5,5,8,3,3,4,4,1,4,7.8095552379656,0.190444762034404
6,5,4,1,4,6,4,4,1,4,3.9,7.2885270480779,0.511472951922095
7,1,2,3,5,7,6,4,3,4,4.2,8.20616413931221,0.193835860687794
3,3,3,0,3,7,3,7,5,5,3.9,8.07826971099016,0
6,2,1,2,5,10,5,2,4,1,3.8,9.32829650274135,0
3,6,4,3,5,11,4,9,5,8,5.8,11.0915966924507,0.508403307549265
8,0,1,4,3,9,9,4,4,4,4.6,10.7427232469719,0
5,3,4,3,3,9,4,8,3,9,5.1,10.1140939139368,0.0859060860632281
7,0,2,1,1,12,5,6,4,3,4.1,11.1638598199253,0
7,2,1,2,3,8,5,4,4,10,4.6,10.3105967775317,0
5,1,2,1,2,12,3,9,9,3,4.7,12.3777091490742,0
9,1,8,4,8,6,3,6,5,8,5.8,10.843801035815,0.756198964184958
8,0,1,2,2,7,5,6,4,4,3.9,9.08155532205877,0
3,2,6,3,6,3,9,5,2,2,4.1,8.66866428328164,0
4,2,7,2,1,5,8,11,7,6,5.3,11.4322912158145,0
3,0,7,4,3,6,8,4,5,3,4.3,8.83113868445646,0
7,0,7,0,8,4,7,5,3,5,4.6,10.2353550612776,0
5,6,8,1,3,6,8,8,4,7,5.6,10.2382065499501,0.9617934500499
3,1,11,2,5,5,3,3,4,6,4.3,9.77008186004154,0
3,6,8,3,5,4,5,5,7,3,4.9,8.2885270480779,1.5114729519221
4,2,6,3,1,5,3,6,3,3,3.6,6.82722860120637,0.372771398793627
1,8,7,0,3,5,5,4,5,4,4.2,8.98318536356498,0
2,5,8,0,2,6,6,9,7,6,5.1,10.7542593581201,0
1,8,10,7,2,3,3,4,7,3,4.8,10.6289636967284,0
1,4,13,2,2,1,6,8,5,1,4.3,11.9219111047616,0
5,3,10,0,1,4,0,8,13,2,4.6,13.277289899502,0
0,5,14,5,4,4,8,6,4,3,5.3,12.5192594264694,0
1,3,17,2,2,2,5,4,14,2,5.2,16.163548492872,0
4,2,12,3,1,7,0,6,6,1,4.2,11.3449699478413,0
1,4,15,4,5,3,6,7,7,3,5.5,13.0204314297046,0
1,2,16,7,2,9,2,7,6,3,5.5,14.5174201780036,0
2,2,17,7,2,4,4,4,10,3,5.5,14.8428951021024,0
4,3,18,4,4,9,6,11,12,5,7.6,17.0767120411623,0
3,1,14,4,8,5,6,3,5,1,5,12.5062285248097,0
6,1,10,5,5,9,5,2,13,3,5.9,13.2597934753633,0
5,2,7,6,7,12,8,3,10,3,6.3,12.5699580009226,0.0300419990773992
4,3,11,9,6,7,7,1,12,4,6.4,13.3265659280451,0
4,3,10,9,4,11,8,8,15,2,7.4,15.4654257998777,0
4,2,14,5,12,9,6,8,11,4,7.5,15.2441361328714,0
6,1,19,10,13,9,9,6,10,2,8.5,18.7575413991636,0
4,3,16,6,17,9,10,6,16,5,9.2,19.6859491172182,0
7,0,25,4,10,15,8,4,14,3,9,23.4621498325034,0
2,2,22,7,12,7,13,6,11,2,8.4,20.7685507998669,0
4,1,22,7,8,16,9,4,18,4,9.3,23.0371004542039,0
6,4,22,12,9,6,11,9,14,2,9.5,20.7498612337121,0
8,3,20,12,9,13,18,8,12,5,10.8,21.2859491172182,0.314050882781814
6,5,25,4,12,10,4,5,10,6,8.7,21.2007100242791,0
2,7,18,17,6,7,14,8,13,5,9.7,20.3174204860586,0
5,7,20,12,7,12,7,10,20,4,10.4,21.6099511347929,0
6,4,13,10,8,8,8,7,14,3,8.1,14.9801925037668,1.2198074962332
5,7,14,16,8,13,9,12,17,4,10.5,19.4222468520485,1.57775314795153
6,4,15,13,5,10,14,8,12,6,9.3,17.1969597525461,1.40304024745388
4,6,13,18,5,10,19,8,16,5,10.4,21.6099511347929,0
6,5,15,29,2,13,9,9,16,2,10.6,26.5819809646851,0
4,7,11,14,5,11,9,10,16,2,8.9,17.5895789438972,0.210421056102764
8,5,9,20,2,12,16,10,8,6,9.6,19.9795731019044,0
9,2,4,18,8,9,15,11,19,3,9.8,21.589001277085,0
6,5,7,20,5,12,13,12,11,3,9.4,19.4876020716301,0
10,6,5,13,8,9,16,18,13,7,10.5,19.0309423733711,1.96905762662895
9,4,2,15,6,10,18,15,13,2,9.4,20.723606806628,0
7,10,4,10,6,11,15,16,12,5,9.6,17.6123282786244,1.58767172137559
11,7,5,10,7,11,15,10,16,7,9.9,16.9031726143703,2.89682738562966
7,8,5,18,10,9,10,13,11,7,9.8,17.0044628144258,2.59553718557418
5,8,7,20,4,11,17,12,9,7,10,20.0791357654205,0
8,4,4,14,4,8,16,17,4,10,8.9,19.040356338249,0
6,8,6,16,6,12,18,15,9,17,11.3,20.85967549426,1.74032450573998
6,2,5,19,6,6,11,13,9,14,9.1,19.1558166694152,0
6,4,4,12,8,12,13,10,7,14,9,16.2752121007646,1.72478789923544
8,10,6,10,5,10,15,10,7,8,8.9,14.4012063323521,3.39879366764788
7,5,7,9,5,6,16,14,12,12,9.3,17.0331045943183,1.56689540568171
14,5,4,13,5,10,16,7,5,12,9.1,17.7895789438972,0.410421056102761
4,8,8,4,5,9,18,8,10,18,9.2,19.142694470481,0
15,10,8,12,9,14,11,13,14,13,11.9,16.4686642832816,7.33133571671836
3,8,9,8,3,5,12,12,9,16,8.5,16.620804557842,0.379195442158046
11,7,13,7,14,11,14,12,9,20,11.8,19.3515837926741,4.24841620732592
11,11,6,9,1,10,11,11,13,19,10.2,19.2434172498871,1.1565827501129
5,10,11,4,7,4,15,9,7,20,9.2,19.2281878278735,0
17,7,7,9,7,8,13,9,9,21,10.7,20.1247720868406,1.27522791315944
13,5,14,11,7,10,19,16,11,26,13.2,25.0971264504408,1.30287354955921
14,6,12,15,10,8,22,21,10,24,14.2,26.4157610396478,1.98423896035217
17,9,14,8,14,8,20,17,14,26,14.7,25.8277838464509,3.57221615354911
15,9,19,17,12,10,25,24,15,24,17,28.5401675320017,5.45983246799828
15,14,18,4,12,12,20,25,18,26,16.4,29.2093327087887,3.59066729121128
15,9,26,15,14,13,23,23,16,27,18.1,30.1273680505014,6.07263194949859
17,12,23,10,22,8,19,18,15,19,16.3,26.0803803607017,6.51961963929828
20,17,27,15,20,25,23,30,21,29,22.7,32.5239263478962,12.8760736521038
17,16,31,8,17,17,16,25,22,28,19.7,33.0270391810534,6.37296081894656
19,17,25,17,29,21,18,36,30,33,24.5,38.3977376256393,10.6022623743607
17,20,20,17,35,29,18,38,34,34,26.2,42.9793502721516,9.42064972784835
16,15,35,21,28,29,17,40,30,48,27.9,49.3796685263064,6.42033147369355
24,20,28,26,30,39,22,44,43,38,31.4,48.8135089322438,13.9864910677562
26,15,32,35,19,31,17,43,40,40,29.8,49.7197037015001,9.88029629849993
39,20,31,33,29,40,20,54,41,51,35.8,58.3716975189924,13.2283024810076
37,21,33,36,23,32,18,51,42,56,34.9,59.2834293459035,10.5165706540965
34,19,37,41,31,41,21,50,56,64,39.4,67.5646536558779,11.2353463441221
36,18,43,55,32,44,26,55,52,72,43.3,74.5925524685987,12.0074475314013
47,12,46,30,34,55,22,83,52,67,44.8,86.3552870817234,3.24471291827663
51,22,42,51,36,55,17,68,57,72,47.1,82.4820868676667,11.7179131323333
54,17,44,42,48,49,15,67,47,83,46.6,86.3750706962148,6.82492930378515
62,14,50,48,38,52,17,60,46,78,46.5,84.9218884375965,8.07811156240351
58,9,56,51,57,65,20,62,54,77,50.9,91.3692407748019,10.4307592251981
63,11,52,44,54,52,19,56,44,75,47,84.633361086497,9.366638913503
68,10,74,48,47,45,18,55,46,72,48.3,89.9194358443264,6.68056415567361
73,7,55,50,59,56,15,56,65,81,51.7,97.6107890491016,5.78921095089837
50,15,70,42,62,51,17,59,52,73,49.1,87.9109695833536,10.2890304166464
57,11,58,35,69,39,24,59,51,85,48.8,91.6897285813023,5.91027141869771
63,12,56,36,67,34,21,58,47,82,47.6,90.2942211025749,4.90577889742507
65,22,64,20,69,31,16,67,62,77,49.3,96.1404006055551,2.45959939444488
59,12,54,29,68,39,28,53,50,80,47.2,87.1634980117273,7.23650198827269
66,21,57,26,71,30,17,63,50,81,48.2,93.2259966389788,3.17400336102116
63,18,57,25,80,26,21,70,63,86,50.9,101.679174909055,0.120825090944564
70,20,63,16,78,22,24,60,53,104,51,109.010702460839,0
69,17,83,24,90,25,11,53,65,104,54.1,119.246539636934,0
77,17,86,31,78,32,21,61,62,94,55.9,111.632435239973,0.167564760027055
58,12,71,23,86,37,16,69,67,113,55.2,119.371835428186,0
79,20,85,32,87,36,24,57,75,112,60.7,122.349538666382,0
