"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,2,1,2,1,1,1,1,0,1,1.1,2.21258657590719,0
0,0,1,0,0,0,1,0,0,1,0.3,1.24676994741771,0
0,5,0,1,1,1,2,0,2,1,1.3,4.22909087147076,0
1,2,0,2,1,2,4,2,0,0,1.4,3.87922568557201,0
0,5,1,1,2,3,2,1,3,1,1.9,4.74030984225313,0
2,7,0,3,2,0,6,3,3,5,3.1,7.66866428328164,0
0,7,0,0,1,4,3,2,2,1,2,6.33372305939772,0
2,4,1,5,1,4,8,2,4,0,3.1,7.76115674722726,0
5,5,0,8,1,3,6,2,2,1,3.3,8.3649137318528,0
0,4,0,2,0,2,3,3,1,1,1.6,4.40248778369822,0
2,2,0,5,2,2,6,2,2,2,2.5,5.86323917938909,0
2,7,2,2,0,4,6,3,2,4,3.2,7.31133068482699,0
1,3,1,6,0,4,6,2,0,3,2.6,6.95337723306094,0
0,9,3,10,3,1,7,5,2,7,4.7,11.4296504779636,0
2,7,2,6,1,1,6,6,0,15,4.6,13.3751203853724,0
1,9,3,13,2,4,8,5,1,6,5.2,12.8078976509064,0
1,11,5,17,1,3,8,5,0,19,7,20.1643018973451,0
0,14,8,11,5,4,9,14,3,16,8.4,18.9022190247797,0
0,18,7,15,0,3,13,8,2,15,8.1,21.3756947506001,0
0,10,6,15,6,7,13,7,1,30,9.5,26.3161958969454,0
1,23,7,17,4,4,20,10,5,21,11.2,27.3572913021404,0
0,16,8,22,6,5,21,3,3,26,11,29.3631999148055,0
2,15,4,17,10,9,22,12,3,25,11.9,27.373107279693,0
4,21,6,16,12,3,27,10,4,28,13.1,31.7503495350028,0
4,18,2,37,11,12,20,14,3,27,14.8,36.6803274401662,0
4,21,4,22,16,8,19,12,4,33,14.3,33.259053422222,0
4,24,6,28,14,2,23,9,4,45,15.9,43.1127254545859,0
5,17,5,25,12,14,26,17,3,37,16.1,37.3197597640606,0
5,26,5,23,15,9,19,12,6,37,15.7,36.423131895434,0
7,31,7,31,16,12,23,9,6,37,17.9,40.8216671877651,0
6,28,4,33,11,5,24,18,9,44,18.2,44.9436076682094,0
8,29,10,24,12,10,15,9,7,39,16.3,37.4108570277107,0
10,26,8,32,12,9,15,15,10,31,16.8,35.0185136605597,0
9,31,8,26,13,8,16,13,8,43,17.5,40.9700395303365,0
16,30,11,30,13,7,18,17,10,27,17.9,34.3362358491502,1.46376415084984
16,33,8,23,15,6,10,8,12,37,16.8,38.006680708368,0
12,29,8,32,14,5,15,10,12,40,17.7,40.614217226672,0
11,29,11,23,13,8,16,13,15,42,18.1,38.5828075332569,0
12,29,6,26,13,1,13,11,18,40,16.9,39.7657333142849,0
10,26,12,25,7,8,7,9,15,38,15.7,36.2784443856511,0
10,23,7,27,14,6,12,9,16,37,16.1,35.6662153269921,0
9,27,4,25,12,5,9,12,15,30,14.8,33.0419277733711,0
15,25,11,27,12,6,11,9,10,31,15.7,32.7130308228069,0
5,18,11,26,9,5,9,15,20,36,15.4,34.8074093525586,0
13,30,11,20,8,11,3,12,9,36,15.3,35.585973698319,0
10,16,7,28,8,6,7,10,14,30,13.6,30.6918792933304,0
7,27,14,23,11,9,4,16,12,34,15.7,34.3182806223704,0
7,21,8,29,7,12,2,14,11,28,13.9,31.9218183815557,0
7,30,10,23,6,9,4,17,18,32,15.6,35.3561777679793,0
8,19,7,22,10,10,6,13,11,26,13.2,26.5510389108863,0
10,22,5,14,6,11,5,18,20,25,13.6,28.0089256288516,0
7,29,2,31,10,17,3,14,19,16,14.8,34.1324854986511,0
10,23,11,21,6,14,7,15,19,16,14.2,25.4707101225551,2.92928987744487
10,23,1,15,8,12,1,15,21,21,12.7,28.134438261383,0
8,30,13,26,6,14,5,18,25,12,15.7,32.9125747315411,0
10,22,9,18,2,18,4,18,17,19,13.7,27.2493835858151,0.150616414184904
6,22,11,26,4,22,4,20,20,13,14.8,30.9572913021404,0
6,21,9,20,3,20,7,13,20,25,14.4,29.5314031074451,0
5,14,10,26,4,13,9,19,11,25,13.6,28.5040212321671,0
8,19,6,15,4,17,4,11,21,29,13.4,29.594234364942,0
8,12,10,18,2,11,7,14,17,29,12.8,27.3151788751561,0
4,15,8,17,3,11,6,8,12,23,10.7,22.9593608678792,0
4,15,5,17,3,15,6,16,18,29,12.8,28.9043684894641,0
5,9,4,15,1,8,7,13,15,16,9.3,19.5492154713313,0
0,9,4,11,2,13,8,10,11,27,9.5,24.1454543573538,0
1,6,6,15,4,9,6,11,19,26,10.3,25.3138786165038,0
2,6,6,6,2,7,5,11,8,20,7.3,17.4655811442337,0
1,13,5,11,3,10,7,8,10,20,8.8,19.4073651561335,0
2,9,8,11,5,6,6,10,14,12,8.3,15.4000231611516,1.19997683884842
2,6,9,10,1,9,8,10,4,20,7.9,18.4123749298941,0
4,11,5,7,2,5,4,11,8,18,7.5,16.797096320895,0
4,4,11,6,4,7,3,7,3,12,6.1,12.3971302105712,0
6,5,10,14,5,4,5,6,1,8,6.4,13.3879184629219,0
4,5,5,9,4,7,5,5,4,14,6.2,12.3842753999335,0.0157246000665348
6,6,12,15,1,8,4,2,3,5,6.2,14.8575911456042,0
3,5,7,11,7,6,4,6,2,10,6.1,11.678257792537,0.521742207462978
4,3,10,16,1,5,5,4,3,3,5.4,14.0279586873786,0
3,3,12,7,2,3,2,2,4,7,4.5,10.8511258844397,0
1,3,10,8,3,1,5,0,2,3,3.6,9.88016135673811,0
2,6,4,7,1,6,1,1,1,6,3.5,8.49703912332093,0
4,1,10,4,2,0,3,1,4,5,3.4,8.95909505025573,0
2,5,7,5,0,1,1,1,0,8,3,8.84359098119945,0
3,2,8,4,1,2,4,0,1,3,2.8,7.21181444154972,0
3,5,5,9,2,1,7,1,2,5,4,9.22666666666667,0
1,2,5,3,1,3,5,1,1,7,2.9,7.07826971099016,0
5,0,5,5,2,1,5,1,0,2,2.6,6.85419844911406,0
5,3,4,4,1,1,7,1,3,5,3.4,7.34171761771157,0
4,1,5,5,3,1,6,5,1,3,3.4,7.11883852835801,0
3,1,4,4,1,1,8,1,1,5,2.9,7.56115674722726,0
3,2,5,3,7,2,6,4,1,1,3.4,7.44855859123549,0
3,2,5,4,2,2,4,1,3,4,3,5.44454949269231,0.555450507307692
0,0,3,3,5,1,4,5,2,3,2.6,6.20223140721291,0
4,0,3,4,4,3,7,1,1,6,3.3,7.63864494975102,0
3,3,1,6,5,3,5,3,7,0,3.6,7.85419844911406,0
3,1,3,1,2,2,4,2,4,1,2.3,4.57262354510767,0.0273764548923245
5,1,3,3,4,4,1,0,2,1,2.4,5.62722860120637,0
7,1,3,3,2,2,2,9,7,3,3.9,9.24377145219866,0
9,2,1,2,4,3,0,2,1,1,2.5,7.49703912332093,0
4,0,1,1,1,0,0,3,2,6,1.8,5.69816138996607,0
6,0,2,1,4,3,2,3,3,5,2.9,6.41223638789368,0
7,0,1,1,2,3,0,3,4,0,2.1,6.47782086837225,0
4,0,0,4,1,0,4,3,0,3,1.9,5.53173420466495,0
0,1,0,2,2,2,1,3,1,0,1.2,3.22427929561774,0
2,0,0,3,6,1,2,2,0,0,1.6,5.31883852835801,0
0,0,0,3,0,4,2,4,0,0,1.3,4.76328296402256,0
1,3,1,5,2,2,6,1,1,0,2.2,5.98707978967084,0
0,2,0,5,3,3,4,4,1,1,2.3,5.76328296402256,0
3,5,0,3,3,3,4,4,2,1,2.8,5.69242996650068,0
0,3,2,2,3,4,4,1,0,0,1.9,5.02645770446008,0
2,6,1,5,5,2,3,3,4,0,3.1,6.8474234111216,0
3,3,0,5,6,1,1,0,2,1,2.2,6.20616413931221,0
1,4,2,1,1,2,2,3,3,0,1.9,4.24654923948621,0
1,4,2,2,4,1,5,3,2,0,2.4,5.49213769996673,0
3,0,0,3,6,2,1,2,2,0,1.9,5.53173420466495,0
0,5,2,3,5,2,2,4,3,4,3,6.06440496308464,0
3,2,0,6,6,3,4,1,4,5,3.4,7.34171761771157,0
1,4,3,5,5,2,5,5,3,1,3.4,6.62722860120637,0.172771398793627
2,2,2,4,3,1,6,4,1,3,2.8,5.83641894342662,0
0,4,3,2,3,2,4,4,6,1,2.9,6.2885270480779,0
0,5,5,2,6,3,3,7,7,2,4,8.61976430375211,0
