"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,1,1,2,1,1,1,0,0,2,1,2.30666666666667,0
1,0,0,3,2,1,1,2,2,1,1.3,3.15941926417901,0
0,0,1,0,0,6,1,2,1,2,1.3,4.88441317062888,0
2,0,1,0,1,5,1,1,0,2,1.3,4.22909087147076,0
2,2,1,2,0,1,0,1,1,2,1.2,2.74606884998337,0
0,1,0,2,2,5,1,4,2,2,1.9,5.02645770446008,0
2,1,3,1,2,7,3,2,2,1,2.4,5.8817211580226,0
2,1,1,0,1,4,2,0,2,5,1.8,4.97388230545635,0
3,5,1,1,1,2,3,1,2,3,2.2,4.78045990732918,0
2,1,3,1,4,4,3,4,1,3,2.6,5.07922568557201,0.120774314427991
2,1,0,0,3,3,3,5,3,3,2.3,5.37136162348595,0
2,3,2,2,5,4,4,1,4,7,3.4,6.8817211580226,0
2,2,2,1,5,3,1,0,2,3,2.1,4.78582782603634,0
5,2,4,1,1,2,2,3,2,4,2.6,5.24579834622537,0
3,3,4,0,3,1,1,0,5,3,2.3,5.63775972772157,0
2,1,2,4,6,3,2,2,3,2,2.7,5.47954752512787,0
6,4,2,3,10,5,5,0,2,7,4.4,10.0353550612776,0
1,3,2,1,6,2,2,0,5,3,2.5,6.1081512656145,0
1,5,0,2,5,6,0,1,3,1,2.4,6.75337723306094,0
4,4,2,2,6,4,3,2,3,5,3.5,6.15385254551441,0.846147454485586
3,3,1,4,7,6,3,1,3,1,3.2,7.20616413931221,0
1,6,4,3,3,4,1,2,6,4,3.4,6.8817211580226,0
1,3,5,2,4,3,2,2,2,5,2.9,5.58582782603634,0.214172173963656
2,3,0,3,5,2,2,1,7,0,2.5,6.75921223806573,0
2,4,4,2,8,4,0,3,3,5,3.5,7.6577878733769,0
2,1,3,3,3,3,0,2,5,4,2.6,5.40248778369822,0
4,3,2,2,4,2,2,0,6,3,2.8,5.97388230545635,0
4,3,3,0,3,2,1,1,6,4,2.7,6.16328296402256,0
4,3,3,0,2,5,5,3,5,7,3.7,7.51515341179821,0
5,3,1,6,3,1,2,0,5,4,3,6.92,0
1,5,2,4,1,2,3,1,3,4,2.6,5.40248778369822,0
6,1,4,1,1,6,2,2,8,4,3.5,8.41087681693515,0
6,4,5,2,1,3,3,1,4,4,3.3,6.50732772118957,0.0926722788104248
3,2,4,5,2,5,0,1,7,3,3.2,7.31133068482699,0
3,1,7,3,3,1,3,2,1,5,2.9,6.6474234111216,0
4,1,1,1,1,3,4,2,1,3,2.1,4.62190051790752,0
6,3,2,2,3,2,2,2,7,3,3.2,6.75451762628286,0
4,2,6,5,6,3,3,6,2,6,4.3,7.63775972772157,0.962240272278425
3,1,1,4,3,3,2,3,2,4,2.6,4.70693669155535,0.493063308444646
6,4,6,2,1,3,3,2,3,3,3.3,6.50732772118957,0.0926722788104248
0,1,4,2,3,2,2,3,6,5,2.8,6.35451762628286,0
2,2,5,4,4,5,2,4,4,2,3.4,5.87922568557201,0.92077431442799
3,3,5,3,3,1,2,4,6,2,3.2,6.09242996650068,0.307570033499323
3,0,5,2,1,3,2,2,0,3,2.1,5.08681249643979,0
0,3,7,3,6,2,1,1,1,2,2.6,7.05034630362877,0
7,2,6,0,1,3,2,5,2,3,3.1,7.47782086837225,0
1,3,4,2,0,2,2,1,9,2,2.6,7.50652898357552,0
4,3,6,0,0,4,4,1,1,4,2.7,6.73271289993887,0
1,4,5,1,4,1,1,3,3,2,2.5,5.45809247845822,0
1,3,3,0,7,6,2,1,4,2,2.9,7.27782086837225,0
3,0,5,3,0,1,1,1,1,5,2,5.69581144300169,0
1,2,5,2,2,2,1,1,1,1,1.8,4.20937428483921,0
4,2,4,4,3,3,2,4,2,3,3.1,4.81616627011099,1.38383372988901
0,0,6,3,1,4,5,3,2,2,2.6,6.54171761771157,0
1,1,3,1,5,2,1,3,2,4,2.3,5.07954752512787,0
3,1,9,2,3,5,4,3,7,2,3.9,8.74084290180956,0
3,2,5,1,4,4,1,2,2,6,3,6.33135941554729,0
3,1,5,1,2,2,2,5,3,6,3,6.45711504645773,0
1,2,9,3,4,3,1,2,2,3,3,7.52642611044667,0
6,2,9,1,2,3,2,2,5,5,3.7,8.59346230529401,0
3,0,7,2,2,3,2,4,4,2,2.9,6.53173420466495,0
3,1,6,4,3,4,1,2,2,5,3.1,6.36012678690058,0
6,5,10,4,1,3,1,6,3,3,4.2,9.49159669245073,0
2,3,6,3,5,3,2,5,5,5,3.9,6.74030984225313,1.05969015774687
2,5,9,3,2,2,4,7,0,3,3.7,8.93074840619284,0
3,5,9,1,1,0,2,2,2,4,2.9,7.99851220128644,0
2,5,7,3,4,2,0,4,4,4,3.5,7.22457305532385,0
2,3,8,2,4,1,5,3,1,5,3.4,7.65419844911406,0
3,2,9,1,2,2,0,2,2,3,2.6,7.32933915984981,0
3,5,13,4,4,0,6,3,3,3,4.4,11.0755194554431,0
0,5,6,4,3,4,5,5,7,6,4.5,8.33746444066044,0.662535559339561
2,6,6,3,6,2,6,5,2,7,4.5,8.44712835137423,0.552871648625773
4,6,10,2,5,2,7,3,2,9,5,10.7700837660009,0
2,9,14,4,8,4,6,6,5,4,6.2,12.913774894449,0
5,6,18,3,5,3,8,8,6,8,7,15.4176111681271,0
2,7,17,6,6,5,8,4,6,8,6.9,14.7099981505191,0
6,16,19,8,10,5,14,5,9,9,10.1,19.45202794407,0.747972055929973
4,9,20,4,7,6,14,6,7,10,8.7,18.4366396210968,0
4,14,14,12,4,4,10,8,11,15,9.6,18.1783437924941,1.02165620750589
11,12,31,7,9,10,16,9,15,16,13.6,27.0593009559272,0.140699044072825
11,14,18,10,7,5,19,6,11,15,11.6,21.121646916369,2.07835308363096
9,9,21,12,7,4,13,9,13,12,10.9,19.8318098203369,1.9681901796631
8,14,26,12,6,7,18,12,19,22,14.4,27.5383367795674,1.26166322043261
13,21,22,11,5,5,21,6,23,18,14.5,28.9989961338325,0.00100386616753134
10,13,28,19,6,7,15,6,9,15,12.8,26.3099476107217,0
14,9,23,19,7,14,20,6,24,22,15.8,29.0547792638479,2.54522073615206
15,11,29,22,9,7,18,14,15,22,16.2,29.3578154215153,3.04218457848467
14,18,27,19,9,9,22,5,17,19,15.9,29.0139477910607,2.78605220893927
10,12,27,30,5,12,22,10,29,28,18.5,37.3053349404424,0
13,12,40,25,9,10,21,14,13,25,18.2,37.1083290289403,0
20,11,22,29,15,17,28,14,23,28,20.7,33.2348091329705,8.16519086702952
20,18,33,23,9,14,23,17,23,36,21.6,37.5552507553679,5.64474924463214
17,10,25,27,11,15,28,10,20,22,18.5,32.1185135426415,4.88148645735846
21,21,39,27,12,17,26,22,33,29,24.7,40.0790281444136,9.32097185558636
28,26,30,36,13,17,35,20,15,40,26,44.5251972549102,7.47480274508978
15,22,34,36,13,19,29,13,18,38,23.7,42.7712912806425,4.62870871935749
21,31,38,31,16,29,34,11,24,33,26.8,43.6301507222405,9.96984927775948
25,28,44,48,16,25,34,19,27,38,30.4,50.835865639714,9.96413436028597
26,22,41,40,17,17,44,20,25,46,29.8,52.5787643797171,7.02123562028294
25,29,49,45,17,29,41,16,24,56,33.1,60.1554160525721,6.04458394742787
30,30,46,53,17,24,47,23,17,48,33.5,60.4257365523933,6.5742634476067
35,27,48,40,23,36,48,32,26,61,37.6,60.886545089863,14.313454910137
30,28,60,50,19,32,45,14,27,61,36.6,68.9013708687418,4.29862913125823
35,37,49,54,12,34,55,28,24,48,37.6,65.0275527324056,10.1724472675944
32,28,48,54,17,27,34,32,29,49,35,57.8012397323771,12.1987602676229
28,33,53,32,13,31,37,31,24,54,33.6,57.7680354554891,9.43196454451091
30,25,38,42,19,26,45,38,26,61,35,59.3229603461421,10.6770396538579
33,38,45,48,23,26,43,26,33,64,37.9,62.4578605655207,13.3421394344793
28,33,60,49,22,31,41,42,25,51,38.2,62.624532657874,13.775467342126
32,31,38,37,17,33,47,25,28,53,34.1,54.499280597337,13.700719402663
36,43,55,60,23,32,44,36,27,49,40.5,63.8971793171741,17.1028206828259
32,47,52,44,21,40,47,30,24,49,38.6,60.2725546871306,16.9274453128694
40,38,43,55,16,47,46,37,22,36,38,60.7074456707241,15.2925543292759
34,44,43,51,29,35,50,32,18,45,38.1,58.3943884964402,17.8056115035598
30,41,48,64,20,36,47,35,18,51,39,66.9180578757828,11.0819421242172
36,30,41,53,30,47,45,39,14,48,38.3,60.6674847341701,15.9325152658299
24,33,33,47,26,42,48,29,14,40,33.6,54.814730312267,12.385269687733
28,39,44,68,30,41,58,30,11,42,39.1,70.4797299046516,7.72027009534836
42,40,28,55,26,36,40,39,14,42,36.2,58.0803274401662,14.3196725598338
31,45,59,53,24,36,48,29,15,32,37.2,64.1661305261907,10.2338694738093
37,56,39,57,30,41,52,31,18,33,39.4,63.9361244789075,14.8638755210925
30,40,42,62,36,39,47,37,21,37,39.1,60.0158521488155,18.1841478511845
45,43,46,47,20,39,60,40,22,31,39.3,63.0376778795044,15.5623221204956
32,47,36,64,33,34,38,29,22,35,37,59.3856064867088,14.6143935132912
30,44,36,65,25,29,35,37,27,30,35.8,58.7095597707352,12.8904402292648
25,46,34,54,37,41,56,32,27,31,38.3,59.4108570277107,17.1891429722892
35,49,26,43,31,33,42,28,25,42,35.4,51.4884576983349,19.3115423016651
35,42,20,54,22,29,35,28,22,24,31.1,52.0362499029793,10.1637500970207
34,37,20,55,25,33,47,31,22,29,33.3,54.6720902113013,11.9279097886987
34,49,19,49,27,31,38,22,21,35,32.5,53.574431058618,11.425568941382
27,46,26,38,27,34,38,27,24,27,31.4,45.5397997785604,17.2602002214396
29,32,19,55,28,23,48,30,23,27,31.4,53.7130311701481,9.08696882985191
