"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,0,0,0,1,0,2,1,1,0,0.6,1.970443561609,0
0,1,1,0,0,0,1,0,0,0,0.3,1.24676994741771,0
1,1,1,1,0,0,0,3,0,0,0.7,2.55941926417901,0
0,0,0,0,0,0,1,1,1,0,0.3,1.24676994741771,0
1,0,0,1,3,0,1,2,0,0,0.8,2.82427929561774,0
0,1,1,0,0,1,0,0,0,0,0.3,1.24676994741771,0
0,0,0,0,0,0,0,2,0,0,0.2,1.439612842786,0
0,2,0,1,2,1,0,0,0,1,0.7,2.31361430060319,0
2,1,2,1,0,1,1,3,0,1,1.2,3.00111570360646,0
0,0,0,0,1,0,0,2,0,1,0.4,1.770443561609,0
0,1,0,1,0,1,1,0,0,0,0.4,1.41213964780887,0
0,2,0,3,0,1,0,2,1,0,0.9,3.05698967184464,0
0,1,0,2,0,1,0,0,1,0,0.5,1.88592929112563,0
0,0,0,2,2,1,1,0,0,0,0.6,2.25281712371467,0
0,2,1,2,0,0,2,0,3,0,1,3.26321305522333,0
2,2,2,3,0,1,3,1,0,3,1.7,3.97262354510768,0
0,2,1,4,0,0,5,0,3,0,1.5,5.22457305532385,0
0,2,0,6,0,0,0,1,1,1,1.1,4.73173420466495,0
2,2,0,7,1,0,3,3,1,2,2.1,6.06869751933805,0
2,4,0,6,1,1,3,1,1,3,2.2,5.75451762628286,0
0,3,0,6,2,1,4,0,2,5,2.3,6.53912150228218,0
3,3,0,8,1,1,2,2,2,2,2.4,6.65419844911406,0
3,4,0,8,0,0,3,2,2,1,2.3,7.10544320999057,0
1,4,0,8,1,0,0,4,3,3,2.4,7.39276632294719,0
2,3,2,4,0,2,4,0,4,1,2.2,5.23641894342662,0
1,2,1,5,1,0,2,1,3,3,1.9,4.74030984225313,0
0,5,1,2,1,0,3,1,5,2,2,5.57845404236708,0
0,2,5,5,0,0,2,1,4,2,2.1,5.95964650079656,0
0,6,1,6,1,0,6,1,3,6,3,8.30770509102883,0
0,4,5,2,0,0,4,0,5,3,2.3,6.53912150228218,0
0,1,5,8,0,0,3,0,2,3,2.2,7.41030773243449,0
0,3,2,4,0,0,4,0,2,3,1.8,5.10563424742935,0
1,3,5,9,1,0,7,0,3,5,3.4,9.40213887802599,0
0,5,3,6,0,0,4,0,1,0,1.9,6.56115674722726,0
2,3,3,7,0,0,4,0,0,1,2,6.52642611044667,0
1,4,2,6,0,0,4,1,2,2,2.2,5.98707978967084,0
1,2,4,5,0,0,2,0,2,1,1.7,5.03775972772157,0
0,4,5,4,0,0,3,0,0,3,1.9,5.97483114851265,0
1,5,2,2,1,1,2,0,0,1,1.5,4.31009292056726,0
2,4,3,1,2,0,5,1,1,2,2.1,5.08681249643979,0
2,2,3,3,1,0,3,1,0,2,1.7,3.97262354510768,0
0,2,5,4,2,0,2,0,1,2,1.8,5.10563424742935,0
0,1,2,1,2,1,3,0,0,4,1.4,4.04579834622537,0
1,2,4,5,0,0,3,0,2,2,1.9,5.2885270480779,0
0,3,5,5,5,0,2,0,0,4,2.4,6.85034630362876,0
2,0,4,6,1,0,1,0,2,4,2,6.0274171486064,0
0,2,8,9,1,0,3,1,1,5,3,9.40133319447337,0
