"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,1,0,1,2,1,2,1,0,0,0.8,2.34606884998337,0
0,0,0,0,2,1,0,1,0,0,0.4,1.770443561609,0
3,0,1,0,0,0,0,1,0,1,0.6,2.49353989483542,0
1,0,0,1,0,0,0,5,1,0,0.8,3.83641894342662,0
0,0,1,0,1,0,1,3,0,1,0.7,2.55941926417901,0
3,1,0,0,0,1,0,2,1,1,0.9,2.84908069498304,0
0,1,0,1,1,2,0,2,1,1,0.9,2.34621498325034,0
3,1,1,0,2,5,1,1,3,1,1.8,4.69242996650068,0
1,0,0,1,0,8,0,4,1,3,1.8,6.84380103581504,0
1,1,1,1,0,3,2,1,3,3,1.6,3.70693669155535,0
4,0,0,0,1,9,0,4,0,1,1.9,7.70327723503424,0
3,0,0,0,3,11,1,1,4,2,2.5,8.98414819215121,0
2,0,1,1,1,4,0,2,1,1,1.3,3.57262354510768,0
5,1,1,0,0,9,2,3,6,5,3.2,9.02896369672841,0
2,1,2,0,2,4,1,3,0,1,1.6,4.07922568557201,0
4,0,1,0,1,8,3,4,4,4,2.9,7.74084290180956,0
6,0,0,0,0,5,4,4,1,5,2.5,7.41087681693515,0
4,0,2,0,4,3,4,6,3,6,3.2,7.31133068482699,0
4,0,4,0,0,4,5,5,1,3,2.6,6.75265162944781,0
2,1,2,0,1,5,4,8,0,2,2.5,7.41087681693515,0
3,0,3,1,0,0,5,7,0,4,2.3,7.19346230529401,0
4,0,1,0,0,3,6,5,1,3,2.3,6.63864494975102,0
0,2,1,1,0,3,6,5,0,0,1.8,6.11397934368928,0
2,2,1,1,0,2,5,7,0,0,2,6.52642611044667,0
2,2,1,1,1,1,4,3,0,1,1.6,3.90062406992344,0
1,2,0,0,0,2,4,6,0,1,1.6,5.54171761771157,0
4,2,0,3,0,2,2,2,0,2,1.7,4.32148727930455,0
6,2,0,1,2,3,1,6,0,2,2.3,6.53912150228218,0
2,0,0,4,1,4,2,1,1,0,1.5,4.45809247845822,0
2,1,1,3,1,4,1,4,0,0,1.7,4.62909087147076,0
2,0,0,2,1,2,2,0,0,1,1,2.84790572150084,0
4,1,1,2,1,3,3,1,0,0,1.6,4.24579834622537,0
2,1,0,1,2,2,4,0,0,0,1.2,3.78045990732918,0
4,0,1,3,2,3,2,2,1,0,1.8,4.38045990732918,0
1,1,0,0,2,1,6,5,0,1,1.7,5.83720463866875,0
5,2,0,2,0,6,7,6,2,0,3,8.38752468414041,0
2,0,0,1,3,0,5,6,1,0,1.8,6.11397934368928,0
5,2,0,1,0,2,5,4,2,0,2.1,5.95964650079656,0
2,1,1,5,0,1,7,4,0,0,2.1,6.85184923067968,0
0,0,0,0,2,5,6,9,1,0,2.3,8.63767009414518,0
3,3,0,2,0,1,9,5,3,1,2.7,8.01172455778514,0
1,0,1,1,0,2,10,12,0,0,2.7,11.4190019816236,0
2,1,0,2,0,1,10,5,0,0,2.1,8.32897744417172,0
2,1,0,2,3,2,8,9,0,0,2.7,9.03767009414518,0
5,2,0,0,1,2,10,7,0,0,2.7,9.55533174495103,0
3,1,0,1,0,2,12,11,1,1,3.2,11.9556417367445,0
7,3,0,2,3,4,15,6,1,1,4.2,12.808147045419,0
1,5,2,0,3,2,8,12,1,2,3.6,10.9452799659222,0
3,5,0,3,0,3,10,7,5,1,3.7,9.90150662697739,0
1,6,0,2,1,2,6,7,0,0,2.5,7.9072954833673,0
1,4,0,2,2,5,8,8,0,2,3.2,9.02896369672841,0
2,7,0,1,2,2,15,4,2,0,3.5,12.3742774353747,0
2,5,0,4,1,4,10,6,0,0,3.2,9.58798316285265,0
3,2,1,5,6,2,14,4,0,2,3.9,11.7099981505191,0
6,5,0,2,5,1,5,7,1,1,3.3,8.27992592537502,0
4,3,0,4,4,1,5,4,0,0,2.5,6.44712835137423,0
9,4,0,5,3,1,4,0,4,0,3,8.62018584113452,0
5,4,0,1,3,5,4,5,2,0,2.9,6.86869751933805,0
13,4,0,0,4,1,2,1,7,0,3.2,11.297117182471,0
6,6,1,2,2,4,2,2,1,0,2.6,6.64855859123549,0
15,4,2,1,4,4,3,2,1,0,3.6,11.9258355603373,0
6,5,0,2,4,3,1,0,1,0,2.2,6.51397934368928,0
13,5,2,2,1,7,1,2,0,0,3.3,11.2508277696239,0
4,3,1,2,1,2,3,3,0,0,1.9,4.58582782603634,0
11,4,2,0,3,3,0,0,1,1,2.5,8.98414819215121,0
7,2,2,1,1,5,1,0,0,0,1.9,6.46866428328164,0
7,3,2,1,0,5,1,0,0,0,1.9,6.65184923067968,0
10,1,1,1,1,4,0,2,1,0,2.1,7.97636924942226,0
8,2,1,1,1,4,2,0,0,0,1.9,6.74084290180956,0
9,6,1,3,0,2,3,0,0,0,2.4,8.33059712189441,0
10,4,2,2,4,0,3,1,0,1,2.7,8.47378135290133,0
10,7,3,2,2,2,1,0,0,2,2.9,9.12897744417172,0
10,4,4,2,2,0,1,3,1,1,2.8,8.40497556739644,0
7,8,6,5,4,0,0,0,1,0,3.1,9.46455322687915,0
9,7,4,5,6,1,0,1,3,0,3.6,9.74272324697189,0
8,5,2,0,3,2,2,3,1,1,2.7,7.23113868445646,0
8,9,6,2,5,3,0,2,3,1,3.9,9.77636924942226,0
6,5,5,1,2,4,0,4,3,1,3.1,7.06869751933805,0
5,9,9,2,3,3,1,0,4,0,3.6,10.0146554423791,0
8,3,7,2,1,3,2,0,3,4,3.3,8.193462305294,0
8,3,5,0,4,3,0,0,5,0,2.8,8.25053881128585,0
9,9,7,0,1,4,3,0,1,0,3.4,10.6281228545176,0
9,5,2,0,5,4,4,0,3,1,3.3,8.69148464401659,0
5,8,6,0,1,2,4,0,3,0,2.9,8.40120633235212,0
9,6,3,1,3,3,7,1,5,0,3.8,9.48061968450626,0
7,5,2,1,2,3,3,0,7,0,3,8.06069823904436,0
12,7,4,0,3,3,6,0,4,2,4.1,11.1031726143703,0
7,5,3,0,0,2,6,1,5,0,2.9,8.16328836797343,0
5,11,6,0,3,3,5,3,2,3,4.1,9.90327723503424,0
4,9,3,0,1,2,3,2,6,2,3.2,8.3277302754511,0
5,10,5,0,4,3,3,3,7,1,4.1,9.75425935812011,0
3,14,7,1,1,3,3,2,6,2,4.2,11.9743921520163,0
2,12,3,1,7,3,4,3,5,1,4.1,10.5973006360761,0
4,12,4,0,1,5,5,4,8,3,4.6,11.2755194554431,0
2,15,10,0,6,4,7,3,8,5,6,14.4681678459196,0
4,15,7,0,3,3,7,5,11,3,5.8,14.4575911456042,0
8,21,11,0,1,4,5,2,7,7,6.6,18.5472499857592,0
4,24,10,2,3,4,4,2,11,4,6.8,20.1190296610193,0
5,28,10,0,8,7,4,3,10,7,8.2,23.1497742829486,0
3,25,7,1,0,8,6,2,10,7,6.9,20.9261400408111,0
4,31,6,0,7,7,6,1,14,8,8.4,25.7151822912084,0
2,37,9,0,7,7,5,0,9,11,8.7,29.5872618278861,0
7,36,6,0,5,9,13,3,14,9,10.2,29.8174144858876,0
8,40,11,0,7,5,9,1,12,9,10.2,32.1193089915414,0
9,38,4,0,9,7,12,3,7,6,9.5,30.227250983508,0
11,40,12,0,9,5,8,1,10,6,10.2,32.1776516792248,0
6,40,3,0,11,12,5,3,17,11,10.8,33.3148942307581,0
7,43,7,1,10,5,7,5,9,12,10.6,33.6840335393199,0
10,57,5,2,12,11,8,1,12,20,13.8,45.4553315853393,0
12,62,8,0,13,12,4,2,16,10,13.9,48.5260503089798,0
12,61,0,2,10,4,8,1,16,17,13.1,48.1548494663878,0
17,74,2,0,13,12,13,1,15,17,16.4,58.113171700715,0
14,72,4,1,13,9,10,5,20,16,16.4,56.3464049835666,0
15,94,4,2,13,9,10,0,10,10,16.7,70.7417650834365,0
15,83,3,1,11,14,7,3,13,13,16.3,63.322302226355,0
17,72,2,1,19,8,12,1,9,14,15.5,56.4181785192515,0
16,67,6,1,13,16,18,2,7,10,15.6,52.8480225276755,0
15,69,4,1,12,14,8,3,16,8,15,53.574340348648,0
14,58,2,4,12,15,18,3,9,7,14.2,46.177313068973,0
11,65,4,0,12,14,10,4,11,8,13.9,50.1049251407104,0
18,60,1,5,14,16,16,2,8,6,14.6,48.1077845681666,0
10,62,1,1,16,14,10,4,7,10,13.5,48.3202763407249,0
20,57,1,5,25,16,15,4,8,10,16.1,47.8986132471912,0
13,52,0,0,27,10,11,3,11,7,13.4,44.0885904241661,0
12,44,2,2,29,15,19,4,4,7,13.8,40.6709892304363,0
6,41,1,1,29,23,12,4,9,7,13.3,39.5156869068884,0
10,52,3,3,34,17,8,3,7,10,14.7,46.2235872183213,0
7,55,1,2,23,26,7,7,7,12,14.7,46.8005478665604,0
9,43,3,1,33,22,6,1,12,14,14.4,42.244573059914,0
12,52,4,2,25,29,4,5,14,12,15.9,46.452677714982,0
9,57,0,2,28,25,4,3,19,6,15.3,50.0196111089332,0
18,51,3,4,36,33,3,8,16,7,17.9,50.6247616747115,0
12,52,2,0,30,27,10,5,24,11,17.3,48.7014864474775,0
15,48,6,2,33,27,5,7,24,7,17.4,47.0414676499738,0
9,45,2,4,33,25,9,6,27,12,17.2,45.4645018038921,0
14,57,5,5,33,28,3,11,25,5,18.6,52.4751915779741,0
7,57,1,4,33,24,8,7,23,15,17.9,51.4873068617033,0
15,50,1,3,34,20,3,11,19,10,16.6,46.7270978799264,0
13,67,4,6,38,15,9,7,13,16,18.8,56.893311398897,0
9,58,2,5,42,15,6,6,20,13,17.6,53.422690264381,0
12,60,2,2,31,13,5,9,14,23,17.1,51.6025574575438,0
13,54,1,5,39,13,5,7,19,16,17.2,50.0854539948051,0
6,54,1,2,28,14,2,10,16,10,14.3,45.9856563412813,0
9,57,4,7,23,12,9,12,28,9,17,48.1140354181196,0
4,61,1,4,20,12,6,10,13,11,14.2,48.1959411956454,0
9,66,5,3,19,17,4,14,21,10,16.8,52.8909754186094,0
5,59,4,6,23,14,4,5,16,12,14.8,47.6854539948051,0
8,63,3,4,26,14,3,14,18,11,16.4,51.5247944082556,0
4,51,8,7,23,13,8,7,17,12,15,42.1271049362482,0
4,64,2,7,24,11,2,13,13,11,15.1,51.1513335244189,0
5,49,6,9,18,16,9,12,16,9,14.9,39.9056878862923,0
4,41,4,9,27,9,4,14,18,6,13.6,37.3942529008816,0
4,45,5,4,18,7,10,7,17,9,12.6,36.9264698996336,0
1,41,3,10,16,8,7,11,12,9,11.8,33.6021552451434,0
3,44,9,7,20,5,12,5,17,3,12.5,36.9847508098862,0
1,38,11,12,9,12,10,17,17,7,13.4,32.6306533083686,0
5,41,6,12,21,7,14,10,6,7,12.9,34.4985715577057,0
2,41,5,11,13,3,10,18,11,10,12.4,34.2295473562275,0
1,39,8,11,21,9,11,10,7,6,12.3,33.1872618278861,0
1,46,11,11,11,6,13,16,5,7,12.7,37.1638221779745,0
1,33,5,13,17,11,11,8,6,7,11.2,28.6037012666208,0
1,37,10,11,14,8,17,14,4,6,12.2,31.7956439603863,0
2,31,4,7,17,9,16,10,6,4,10.6,27.6918792933304,0
3,30,4,9,13,8,22,15,3,6,11.3,28.7832292974343,0
2,31,6,9,12,7,15,13,8,3,10.6,26.8468644496236,0
5,18,4,8,19,4,16,14,3,7,9.8,22.1201414133298,0
4,29,3,9,22,6,14,20,12,4,12.3,29.7098317051027,0
9,27,5,6,25,3,11,11,10,7,11.4,27.3552507553679,0
6,29,4,9,21,5,18,18,8,6,12.4,29.0619214578231,0
13,32,6,6,26,2,9,15,12,7,12.8,31.3436211254556,0
6,28,0,8,17,6,17,21,8,7,11.8,28.5793502721516,0
