"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,3,1,5,0,4,2,2,1,1,2,5.06440496308464,0
2,0,1,0,3,0,4,4,3,1,1.8,4.97388230545635,0
0,1,3,2,3,3,1,0,1,1,1.5,3.80988215187606,0
0,1,3,5,2,1,4,1,1,3,2.1,5.22645770446008,0
3,1,2,1,2,3,4,3,1,2,2.2,4.22427929561774,0.175720704382257
1,2,2,1,1,3,5,2,1,3,2.1,4.62190051790752,0
7,0,5,4,3,6,2,1,2,2,3.2,7.61181444154972,0
6,5,1,5,4,0,2,2,2,1,2.8,6.80616413931221,0
2,1,0,1,2,2,2,1,0,4,1.5,3.80988215187606,0
2,2,1,2,8,6,2,1,2,6,3.2,8.07160662524296,0
5,1,2,4,2,0,2,2,2,4,2.4,5.3508687986196,0
1,1,1,1,2,2,4,1,3,2,1.8,3.82427929561774,0
4,1,1,8,6,4,1,2,2,4,3.3,7.92438176048071,0
2,2,1,3,2,3,3,3,3,4,2.6,4.25281712371467,0.947182876285327
4,2,3,5,3,3,2,4,0,5,3.1,6.08681249643979,0.113187503560211
2,3,1,3,1,6,3,4,2,2,2.7,5.62909087147076,0
1,0,5,3,6,3,3,6,5,10,4.2,9.80497556739645,0
4,0,3,3,3,4,2,3,4,6,3.2,6.23641894342662,0.163581056573385
5,5,3,3,4,4,4,6,7,6,4.7,7.32148727930455,2.07851272069545
2,2,1,1,6,4,0,2,7,6,3.1,7.94084290180956,0
5,4,1,0,5,5,4,4,3,4,3.5,6.86323917938909,0.136760820610913
2,3,1,2,6,3,2,2,3,9,3.3,8.01578154239099,0
1,3,4,1,5,4,4,4,9,8,4.3,9.3649137318528,0
4,3,2,2,2,5,4,3,2,2,2.9,5.05698967184464,0.743010328155361
5,1,5,3,6,4,5,3,6,4,4.2,7.23641894342662,1.16358105657339
6,2,3,2,5,3,6,5,5,5,4.2,7.23641894342662,1.16358105657339
3,5,5,2,3,0,5,4,1,2,3,6.45711504645773,0
5,1,4,4,5,1,1,1,1,2,2.5,5.98784556233023,0
3,5,4,8,2,0,0,2,2,2,2.8,7.49309847897243,0
5,4,2,2,4,1,5,7,7,1,3.8,8.21181444154972,0
3,4,6,2,3,1,0,2,4,2,2.7,6.03775972772157,0
1,2,5,4,1,1,7,3,3,2,2.9,6.75964650079656,0
2,0,4,1,2,0,3,2,8,2,2.4,6.94524709021535,0
1,4,1,7,3,2,1,4,3,3,2.9,6.53173420466495,0
1,1,4,5,2,2,6,4,9,2,3.6,8.59276632294719,0
3,1,2,6,3,2,3,5,12,6,4.3,10.5699580009226,0
1,3,4,3,4,3,7,4,8,1,3.8,8.21181444154972,0
3,4,6,5,2,1,7,1,9,4,4.2,9.3277302754511,0
6,3,4,1,3,2,3,2,6,1,3.1,6.61223638789368,0
3,4,3,5,1,4,9,7,8,2,4.6,9.76091981465837,0
2,7,5,4,1,4,7,1,4,6,4.1,8.47782086837225,0
6,1,6,3,1,5,2,3,4,2,3.3,7.00158164392826,0
1,7,4,2,2,6,3,4,4,3,3.6,7.20223140721291,0
5,3,6,5,3,8,5,6,2,5,4.8,8.23233254022198,1.36766745977802
3,5,10,2,2,6,3,2,7,2,4.2,9.57165565207269,0
5,5,7,3,3,5,0,2,2,3,3.5,7.44712835137423,0
3,2,11,4,2,8,3,1,5,2,4.1,10.2600707066649,0
2,2,6,5,3,7,7,1,1,6,4,8.80099989585503,0
8,6,5,5,4,8,1,1,2,7,4.7,9.93074840619284,0
5,5,13,5,3,7,2,4,2,7,5.3,11.6376700941452,0
4,6,4,7,3,5,7,3,4,8,5.1,8.61223638789368,1.58776361210632
6,7,6,7,7,7,5,2,2,5,5.4,9.2318988620381,1.5681011379619
11,3,12,8,3,5,4,3,5,10,6.4,13.3265659280451,0
7,4,8,7,9,6,4,2,5,10,6.2,11.071606625243,1.32839337475704
11,6,6,7,9,1,7,1,3,7,5.8,12.1879831628526,0
18,2,10,8,7,4,7,4,10,10,8,16.8139485413116,0
3,2,7,8,11,2,3,0,4,7,4.7,11.3659212916645,0
7,4,6,6,6,6,3,1,11,7,5.7,10.9307484061928,0.469251593807164
13,8,6,7,11,2,11,5,9,11,8.3,14.9015769159935,1.69842308400654
7,11,3,4,10,4,4,4,7,7,6.1,11.5230602266822,0.676939773317816
4,5,8,4,9,4,7,3,8,11,6.3,11.5307484061928,1.06925159380716
7,7,7,4,4,7,1,6,10,5,5.8,10.583185363565,1.01681463643502
7,9,7,5,4,4,9,5,7,10,6.7,10.9391215022822,2.46087849771782
8,1,7,2,12,3,6,10,11,9,6.9,14.4317744699816,0
6,3,6,4,7,4,11,7,10,7,6.5,11.4970391233209,1.50296087667907
10,3,5,5,10,5,7,7,3,7,6.2,11.071606625243,1.32839337475704
9,2,7,2,6,4,6,8,5,6,5.5,10.0499401705468,0.950059829453187
