"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,0,1,1,1,1,1,0,2,0,0.9,2.34621498325034,0
1,1,1,1,0,1,0,2,0,0,0.7,2.02289917311268,0
0,0,2,3,0,1,0,0,3,0,0.9,3.42190051790752,0
1,0,3,3,1,0,1,0,0,0,0.9,3.24654923948621,0
3,2,2,1,0,1,1,1,3,1,1.5,3.4047776189828,0
0,1,3,2,0,1,1,0,5,0,1.3,4.50732772118958,0
2,3,0,4,1,3,3,0,0,1,1.7,4.62909087147076,0
2,3,1,3,2,1,4,0,5,2,2.3,5.22909087147076,0
0,1,3,2,2,0,3,0,7,1,1.9,6.07826971099016,0
3,2,4,3,2,0,1,1,3,1,2,4.44454949269231,0
5,2,2,0,0,0,9,2,4,4,2.8,8.32829650274135,0
1,3,2,1,4,0,4,1,6,1,2.3,6.00158164392826,0
2,1,2,3,0,1,6,2,5,2,2.4,6.00223140721291,0
2,1,5,3,4,0,4,0,7,4,3,7.43112225564184,0
3,3,4,1,0,1,2,1,1,0,1.6,4.24579834622537,0
2,2,4,1,2,0,4,0,5,5,2.5,6.22457305532385,0
3,4,2,3,0,2,2,0,3,3,2.2,4.78045990732918,0
0,5,1,1,2,0,0,0,2,1,1.2,4.23641894342661,0
5,3,2,0,2,1,0,1,5,3,2.2,5.75451762628286,0
3,4,2,4,2,0,4,0,5,3,2.7,6.03775972772157,0
0,6,2,3,3,2,0,0,3,2,2.1,5.73173420466495,0
1,3,2,0,4,0,2,0,3,3,1.8,4.69242996650068,0
4,6,1,4,0,0,1,0,3,3,2.2,6.31133068482699,0
0,4,0,2,3,1,1,0,4,5,2,5.69581144300169,0
1,5,0,1,2,1,3,0,4,1,1.8,5.10563424742935,0
0,9,2,1,0,2,0,1,3,4,2.2,7.57165565207269,0
3,6,2,3,1,4,1,1,4,3,2.8,5.97388230545635,0
1,5,0,4,1,3,2,0,2,2,2,5.20066659723669,0
2,7,1,2,1,0,3,1,3,3,2.3,6.11515341179821,0
1,4,0,0,2,3,2,1,2,3,1.8,4.38045990732918,0
0,5,1,1,1,0,4,1,5,2,2,5.8095552379656,0
1,3,2,2,1,1,1,2,1,3,1.7,3.31361430060319,0.0863856993968133
1,2,0,2,0,4,1,0,1,1,1.2,3.60937428483921,0
2,2,0,3,2,3,2,2,4,3,2.3,4.3763258147239,0.223674185276095
1,3,2,2,0,2,1,1,2,6,2,5.20066659723669,0
0,0,1,1,2,2,2,1,3,4,1.6,4.07922568557201,0
1,2,0,3,2,3,2,2,1,9,2.5,7.32317553300958,0
0,3,2,1,1,3,4,0,2,7,2.3,6.43720463866875,0
2,3,0,0,3,2,6,0,1,8,2.5,7.74704361204161,0
