"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
3,6,1,5,5,0,3,0,6,1,3,7.71125366660628,0
5,6,1,6,3,2,2,5,3,3,3.6,7.0817211580226,0.118278841977402
7,6,3,9,4,2,1,2,5,1,4,9.30770509102883,0
8,5,4,9,7,8,4,3,4,6,5.8,9.91133068482699,1.68866931517301
9,10,6,13,4,5,7,5,8,10,7.7,13.2475656322791,2.15243436772088
7,6,5,17,12,7,8,4,5,11,8.2,16.0834352354231,0.316564764576859
11,26,5,11,15,9,9,11,14,13,12.4,23.3010776225717,1.49892237742831
9,21,2,22,19,7,11,13,10,16,13,25.6686033607147,0.331396639285327
13,20,4,19,21,15,10,12,14,13,14.1,24.0705602205248,4.12943977947522
16,37,8,23,28,12,17,20,9,21,19.1,36.4951150230939,1.70488497690611
15,28,4,23,25,9,12,16,11,26,16.9,32.9153309883582,0.88466901164179
22,25,13,27,24,12,17,18,5,23,18.6,32.2169463047582,4.98305369524185
12,39,10,30,26,10,15,19,6,37,20.4,43.686545089863,0
24,26,14,37,24,12,16,24,3,32,21.2,40.8825815831607,1.51741841683927
22,36,14,33,28,9,13,33,8,37,23.3,45.8575101068851,0.742489893114929
24,30,16,34,17,10,18,27,4,32,21.2,40.5324854986511,1.86751450134889
21,31,13,26,32,8,18,34,9,30,22.2,41.4439663271374,2.95603367286255
27,42,13,31,27,17,22,29,6,47,26.1,50.53588945247,1.66411054753003
23,32,17,47,16,16,25,37,9,34,25.6,48.6099510840177,2.59004891598227
23,32,28,26,26,19,28,25,10,29,24.6,36.7947777529746,12.4052222470254
22,42,21,37,25,16,19,38,12,46,27.8,51.1341546522117,4.46584534778829
18,34,18,23,26,23,20,36,6,27,23.1,39.9212717183399,6.27872828166009
15,35,20,18,20,19,12,32,11,33,21.5,38.667879568802,4.33212043119801
14,30,16,23,14,16,10,23,3,25,17.4,32.9762120627007,1.82378793729931
11,22,24,12,17,17,12,21,12,14,16.2,25.5223134944545,6.87768650554548
6,15,10,16,15,18,6,17,6,17,12.6,22.473766814702,2.72623318529797
7,21,24,6,18,18,8,16,7,18,14.3,27.3355963934656,1.2644036065344
7,14,15,12,11,12,7,11,7,20,11.6,19.6654257998777,3.53457420012227
7,15,18,12,9,9,1,10,10,14,10.5,19.7048151650222,1.29518483497782
5,8,17,12,10,5,8,14,5,9,9.3,17.2508277696239,1.34917223037612
4,11,11,7,12,10,7,6,8,14,9,15.0587640837239,2.94123591627614
6,7,10,11,15,5,2,16,6,13,9.1,18.1740450369906,0.025954963009422
5,9,8,6,15,9,10,13,2,7,8.4,15.8031632878565,0.996836712143473
5,14,7,7,11,7,5,11,2,7,7.6,14.464665080444,0.735334919556041
5,15,5,3,7,9,8,8,4,13,7.7,15.2657015537226,0.134298446277438
6,13,4,5,5,3,7,11,4,10,6.8,13.4498935663997,0.150106433600275
5,15,6,4,6,5,12,6,4,11,7.4,14.9175929953972,0
6,20,4,7,6,6,5,10,9,10,8.3,17.3079480953705,0
2,7,7,5,3,7,10,4,4,10,5.9,11.3230602266822,0.476939773317817
4,14,6,8,3,7,5,6,12,11,7.6,14.7090352525657,0.490964747434274
7,11,5,9,8,8,15,6,4,11,8.4,14.8146554423792,1.98534455762085
1,4,2,7,6,7,3,5,9,9,5.3,10.7700818600415,0
3,4,6,2,6,3,8,7,5,9,5.3,9.83113868445646,0.768861315543544
4,4,2,5,5,5,4,4,7,9,4.9,8.6474234111216,1.1525765888784
0,4,5,3,8,4,8,4,2,8,4.6,9.92376474979043,0
4,5,4,6,8,7,7,6,3,3,5.3,8.76328296402256,1.83671703597744
6,6,3,3,7,5,7,7,6,5,5.5,8.45809247845822,2.54190752154178
2,4,2,3,10,9,5,4,2,2,4.3,10.0737813529013,0
5,5,3,2,8,5,1,5,4,1,3.9,8.17920864958308,0
3,6,10,6,4,5,1,9,4,4,5.2,10.4915966924507,0
7,9,2,2,6,1,1,7,5,5,4.5,10.062932879536,0
2,7,5,4,2,5,3,8,2,5,4.3,8.43720463866875,0.162795361331249
3,3,1,5,4,3,1,1,3,2,2.6,5.24579834622537,0
1,0,3,5,2,3,1,1,3,1,2,4.92179549059973,0
5,3,5,4,1,3,2,2,4,4,3.3,5.92148727930455,0.678512720695453
2,3,1,4,0,4,1,4,5,5,2.9,6.41223638789368,0
0,1,7,3,2,2,3,3,2,2,2.5,6.1081512656145,0
3,4,2,0,2,3,4,3,4,1,2.6,5.24579834622537,0
2,1,0,2,4,2,2,0,3,4,2,4.77185858225127,0
2,3,5,3,1,0,6,4,3,3,3,6.45711504645773,0
3,2,2,4,1,3,1,2,1,1,2,4.06602140464334,0
5,3,1,5,3,1,3,3,1,3,2.8,5.69242996650068,0
1,3,4,4,7,2,4,3,1,2,3.1,6.61223638789368,0
9,5,2,2,1,0,2,4,3,2,3,7.97563842916442,0
1,2,4,0,0,3,3,1,4,3,2.1,5.08681249643979,0
3,0,3,3,0,0,4,2,4,2,2.1,5.22645770446008,0
5,1,2,5,0,1,2,7,3,5,3.1,7.57426021197297,0
3,0,4,1,4,2,3,0,3,1,2.1,5.08681249643979,0
2,1,3,0,4,2,5,2,3,2,2.4,5.20248778369822,0
1,4,2,0,1,7,3,2,3,2,2.5,6.33746444066044,0
