"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,0,1,0,0,0,0,0,0,0,0.2,1.02640856185734,0
2,0,0,0,1,0,0,1,0,0,0.4,1.770443561609,0
0,0,0,0,0,0,1,1,1,0,0.3,1.24676994741771,0
0,1,0,0,0,0,0,0,0,0,0.1,0.719806421393002,0
0,0,2,0,0,1,0,3,0,1,0.7,2.77632581472391,0
1,1,1,2,1,0,1,1,0,1,0.9,2.01258657590719,0
2,1,1,0,0,3,1,2,0,1,1.1,3.04908069498304,0
1,0,1,0,0,0,1,1,0,0,0.4,1.41213964780887,0
0,0,0,0,0,0,0,4,1,1,0.6,3.07922568557201,0
1,0,2,1,0,0,0,3,0,0,0.7,2.77632581472391,0
1,0,0,0,0,1,0,3,0,1,0.6,2.49353989483542,0
0,0,1,0,0,1,2,4,0,0,0.8,3.38045990732918,0
1,0,1,0,0,1,0,3,0,0,0.6,2.49353989483542,0
0,0,1,0,0,1,0,3,0,2,0.7,2.77632581472391,0
0,1,1,1,0,2,1,3,0,2,1.1,3.04908069498304,0
0,0,1,0,0,0,1,3,0,0,0.5,2.4047776189828,0
0,1,0,0,1,1,2,8,1,0,1.4,6.12933915984981,0
0,0,2,1,0,1,2,6,0,0,1.2,4.87263998296109,0
1,0,2,1,1,1,0,5,0,0,1.1,4.08681249643979,0
0,0,0,0,1,0,0,3,0,0,0.4,2.29353989483542,0
0,0,3,1,0,0,1,4,0,0,0.9,3.74030984225313,0
2,0,1,0,1,3,0,5,2,0,1.4,4.62722860120637,0
1,1,0,0,0,0,0,4,4,0,1,4.20066659723669,0
0,0,0,1,0,0,1,0,0,0,0.2,1.02640856185734,0
1,0,0,0,0,0,1,0,1,0,0.3,1.24676994741771,0
0,0,1,0,0,0,2,0,0,0,0.3,1.62289917311268,0
0,1,0,0,0,0,2,1,1,0,0.5,1.88592929112563,0
0,0,0,0,0,2,0,0,1,0,0.3,1.62289917311268,0
0,2,0,2,0,0,1,2,0,1,0.8,2.60111570360646,0
0,0,1,0,1,1,0,1,0,0,0.4,1.41213964780887,0
0,0,0,0,0,3,0,0,0,0,0.3,2.15941926417901,0
1,0,0,0,1,0,1,0,0,1,0.4,1.41213964780887,0
0,1,1,0,1,2,0,1,1,1,0.8,2.039612842786,0
0,1,0,0,2,4,0,2,1,0,1,3.61333333333333,0
0,1,1,0,1,0,0,2,2,2,0.9,2.61616627011099,0
1,1,1,0,2,2,1,3,1,3,1.5,3.4047776189828,0
0,0,0,0,1,3,0,3,0,1,0.8,3.20937428483921,0
1,2,0,0,2,1,0,1,1,3,1.1,3.04908069498304,0
0,1,2,0,1,4,2,2,0,1,1.3,3.75326449178776,0
0,1,1,0,0,2,1,1,3,1,1,2.84790572150084,0
0,0,1,0,2,4,0,1,1,1,1,3.44454949269231,0
0,1,2,0,1,1,0,6,0,2,1.3,4.88441317062888,0
1,0,0,0,4,4,1,3,0,0,1.3,4.63775972772157,0
1,1,1,0,1,0,1,1,0,0,0.6,1.61213964780887,0
0,0,0,1,0,0,0,0,0,0,0.1,0.719806421393002,0
1,0,0,2,0,0,0,0,0,0,0.3,1.62289917311268,0
1,0,0,0,1,2,0,0,2,2,0.8,2.60111570360646,0
0,1,0,1,0,0,0,0,2,1,0.5,1.88592929112563,0
1,0,0,0,0,0,1,0,1,1,0.4,1.41213964780887,0
0,1,0,0,0,0,0,0,1,1,0.3,1.24676994741771,0
0,0,0,1,0,0,1,0,0,0,0.2,1.02640856185734,0
1,0,1,1,1,0,0,0,1,1,0.6,1.61213964780887,0
1,1,0,0,0,1,0,1,1,1,0.6,1.61213964780887,0
0,0,0,0,0,1,0,0,0,1,0.2,1.02640856185734,0
1,0,0,0,0,0,0,1,0,0,0.2,1.02640856185734,0
0,0,0,0,0,0,2,1,0,1,0.4,1.770443561609,0
0,1,1,3,0,0,1,0,0,0,0.6,2.49353989483542,0
0,0,0,1,0,3,1,0,0,0,0.5,2.4047776189828,0
0,0,1,1,0,1,1,0,0,1,0.5,1.53301070232167,0
