"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,0,1,1,2,0,1,0,2,3,1,3.06602140464334,0
1,0,4,0,2,0,3,0,0,2,1.2,4.09242996650068,0
1,0,2,1,3,1,0,2,3,2,1.5,3.6170419614799,0
0,2,0,1,5,2,2,0,1,2,1.5,4.45809247845822,0
2,3,2,1,3,0,6,0,1,5,2.3,6.22544066882235,0
5,1,1,1,1,0,3,0,2,4,1.8,5.10563424742935,0
0,3,3,1,3,0,2,0,3,6,2.1,5.8474234111216,0
6,6,1,2,2,1,5,1,2,6,3.2,7.61181444154972,0
3,5,1,0,4,1,3,1,2,3,2.3,5.37136162348594,0
4,7,0,3,2,0,5,0,2,8,3.1,8.75425935812011,0
9,3,3,0,9,0,4,3,0,4,3.5,9.98414819215121,0
7,7,2,4,4,3,6,0,2,4,3.9,8.37426021197297,0
11,7,1,0,7,2,5,0,1,2,3.6,10.8869368659876,0
12,4,2,5,7,4,7,2,1,2,4.6,11.1463869594015,0
14,4,1,4,6,4,3,2,5,2,4.5,11.6718028106994,0
11,6,1,4,13,0,0,1,0,3,3.9,13.1602942117888,0
15,4,2,8,9,7,9,4,4,4,6.6,14.1175929953972,0
12,4,7,4,10,5,4,3,5,2,5.6,11.8118224200131,0
10,8,1,9,6,2,6,2,2,0,4.6,11.7090352525657,0
12,3,5,7,13,6,6,1,6,2,6.1,13.7442791971804,0
11,12,6,9,10,4,11,3,4,3,7.3,14.4598895087688,0.140110491231183
16,7,4,8,9,6,8,5,2,0,6.5,15.080831350555,0
10,8,6,14,17,3,7,7,5,6,8.3,16.669299452961,0
22,7,5,9,15,5,7,2,8,2,8.2,20.204277756052,0
19,9,2,13,18,4,9,6,4,2,8.6,20.864582431629,0
18,12,6,11,12,7,6,7,6,5,9,17.107653448714,0.892346551285975
21,10,7,8,16,6,12,4,6,4,9.4,20.2224819498836,0
17,10,3,14,19,15,7,5,4,4,9.8,21.589001277085,0
17,9,7,12,23,6,6,4,7,2,9.3,21.8348091329705,0
17,13,5,13,21,8,11,2,7,8,10.5,21.6737191659716,0
21,8,5,10,14,16,6,4,5,7,9.6,20.6565930054827,0
20,8,6,15,21,9,6,4,10,6,10.5,22.4132605854895,0
16,12,3,9,23,9,16,9,14,5,11.6,23.1475627058027,0.0524372941973397
21,12,5,16,24,15,15,3,10,3,12.4,26.6000463223032,0
21,13,5,17,22,5,9,6,8,9,11.5,24.1095025895376,0
17,14,11,20,32,15,14,8,13,4,14.8,29.5485568408875,0.0514431591125195
28,19,8,16,28,14,17,2,13,10,15.5,31.5632333814418,0
21,14,13,13,33,10,13,0,13,8,13.8,30.6047696932878,0
24,18,11,17,29,5,10,4,13,5,13.6,30.0816202008311,0
33,13,10,17,32,11,22,2,15,8,16.3,36.0313156626156,0
24,22,9,19,43,14,13,1,19,13,17.7,39.5070492170664,0
32,16,7,17,28,7,9,2,16,5,13.9,33.3348822710324,0
30,12,7,22,39,7,13,4,19,13,16.6,38.3315598458402,0
22,20,11,25,36,9,19,4,19,6,17.1,36.2249314886209,0
18,19,5,17,34,9,11,4,15,6,13.8,31.4472577661989,0
32,17,4,19,33,15,15,2,23,9,16.9,37.4244435301477,0
25,18,6,21,30,12,10,4,21,5,15.2,32.9917913656832,0
21,21,3,21,27,11,13,7,23,7,15.4,31.4884576983349,0
24,24,10,14,33,9,16,4,19,13,16.6,33.4402924229031,0
22,17,6,23,32,11,19,9,28,10,17.7,34.6879230304616,0.712076969538362
26,12,10,16,36,11,14,4,24,9,16.2,35.1083290289403,0
22,18,6,16,30,9,15,11,27,15,16.9,31.8683215120764,1.93167848792361
30,12,10,19,30,10,16,11,36,8,18.2,38.1197037015001,0
32,15,8,21,33,9,10,16,26,11,18.1,36.5894487628906,0
22,16,9,13,30,7,15,14,32,15,17.3,33.516623021524,1.083376978476
38,20,11,15,25,5,8,11,34,15,18.2,39.8054873688247,0
25,16,15,16,24,9,15,15,43,13,19.1,38.0229967088843,0.177003291115742
25,7,17,16,30,9,8,14,27,10,16.3,32.7258446764035,0
29,10,8,13,9,6,11,8,45,19,15.8,39.943296654213,0
18,14,20,7,39,8,8,16,41,12,18.3,42.3058885368662,0
17,12,19,19,22,7,6,8,28,21,15.9,30.286690763032,1.51330923696797
23,21,16,11,22,6,9,11,41,19,17.9,37.5749898771681,0
18,13,22,10,25,12,8,13,40,21,18.2,36.7666252542925,0
26,16,17,10,27,8,7,9,27,24,17.1,33.4320266143958,0.767973385604183
21,22,23,15,34,7,4,13,37,26,20.2,41.2044380495594,0
21,17,27,17,30,7,8,13,30,14,18.4,34.9333354838708,1.86666451612917
22,13,18,18,39,10,5,16,37,27,20.5,42.1538362010574,0
21,11,28,21,31,7,9,16,30,23,19.7,36.7631355722082,2.63686442779184
19,16,25,20,31,8,3,13,30,24,18.9,36.7791443991161,1.02085560088391
19,20,24,20,31,9,9,19,42,26,21.9,41.1139990631831,2.68600093681693
21,14,25,27,35,7,4,14,34,24,20.5,41.227250983508,0
27,12,24,19,36,9,7,17,32,26,20.9,40.0249314886209,1.77506851137907
37,14,28,25,37,7,6,11,39,21,22.5,47.3653207857405,0
33,10,28,20,40,8,6,12,32,21,21,44.3012045468326,0
33,5,31,14,24,5,5,9,32,22,18,41.0618337904378,0
21,13,27,13,38,12,5,17,24,19,18.9,37.0868567927501,0.71314320724991
28,6,17,16,28,9,7,9,30,21,17.1,35.3103116087806,0
21,8,14,15,29,7,6,5,23,21,14.9,31.2581411603587,0
22,7,27,12,31,10,6,12,25,22,17.4,35.032739246451,0
25,5,14,10,30,9,5,8,25,20,15.1,33.1218183815557,0
20,11,25,10,25,9,8,9,20,18,15.5,28.8654180630461,2.13458193695386
19,5,12,6,27,6,7,4,19,23,12.8,29.4260176296737,0
21,10,14,14,28,10,2,11,24,19,15.3,30.4553619407639,0.144638059236081
18,8,19,9,22,11,9,5,12,22,13.5,25.661480173071,1.33851982692896
