"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,3,7,2,5,5,1,2,1,5,3.2,7.41387338311071,0
4,4,2,3,4,3,1,1,8,10,4,9.69562795289315,0
12,6,2,7,3,3,6,5,2,10,5.6,12.2112684948587,0
7,7,6,7,8,4,4,4,2,9,5.8,10.1139793436893,1.48602065631072
9,7,7,6,4,7,3,6,4,10,6.3,10.638644949751,1.96135505024898
8,4,10,9,9,5,5,6,4,17,7.7,15.4331045943183,0
9,6,10,6,6,9,9,4,3,12,7.4,12.9590950502557,1.84090494974427
8,9,6,12,6,6,6,7,5,9,7.4,11.5526516294478,3.24734837055219
10,7,13,4,8,12,9,5,6,14,8.8,15.513774894449,2.08622510555103
9,9,12,9,3,12,5,9,3,11,8.2,14.8498935663997,1.55010643360027
13,10,8,9,5,13,6,10,9,9,9.2,14.243801035815,4.15619896418496
14,16,13,7,12,12,11,12,2,11,11,18.6749288813209,3.32507111867912
8,11,11,7,7,9,6,11,5,13,8.8,13.9277302754511,3.6722697245489
13,4,10,10,7,7,8,14,6,12,9.1,15.4645532268791,2.73544677312085
7,6,8,8,5,9,7,11,4,11,7.6,12.1452470902153,3.05475290978465
13,12,12,13,6,8,10,13,3,10,10,16.6627188310946,3.33728116890543
8,2,8,4,8,5,11,9,6,13,7.4,13.8146554423792,0.98534455762085
12,10,12,6,6,6,5,5,4,5,7.1,13.0485632252204,1.15143677477961
9,7,7,8,12,5,6,7,7,15,8.3,14.2197912876122,2.38020871238784
7,7,9,4,6,13,7,9,9,7,7.8,12.4930984789724,3.10690152102757
15,9,6,8,6,12,4,8,8,6,8.2,14.5208100746661,1.87918992533394
7,9,8,3,8,6,5,8,5,5,6.4,10.118838528358,2.68116147164199
5,6,1,4,6,10,6,4,8,10,6,11.4661788400226,0.533821159977373
6,2,7,3,6,5,6,4,2,4,4.5,7.98784556233023,1.01215443766977
4,3,7,4,6,4,3,2,6,2,4.1,7.4885270480779,0.711472951922095
4,7,4,4,6,5,3,2,3,3,4.1,7.08681249643979,1.11318750356021
2,2,2,4,3,2,5,5,1,5,3.1,6.08681249643979,0.113187503560211
7,7,1,3,6,3,6,1,4,4,4.2,8.61181444154972,0
6,5,2,3,7,7,5,6,7,3,5.1,8.73173420466495,1.46826579533505
4,4,6,2,3,3,5,2,7,2,3.8,7.23233254022198,0.36766745977802
2,5,9,10,4,3,3,5,4,4,4.9,9.99851220128644,0
4,7,6,4,4,5,8,3,6,5,5.2,8.23641894342662,2.16358105657339
3,3,4,4,0,4,3,2,4,4,3.1,5.62190051790752,0.578099482092479
2,7,7,6,3,3,6,2,6,8,5,9.43112225564184,0.568877744358159
7,2,4,4,5,2,3,4,5,4,4,6.92179549059973,1.07820450940027
5,4,3,4,6,5,3,4,4,5,4.3,6.15941926417901,2.44058073582099
9,2,4,6,3,4,8,6,6,3,5.1,9.57426021197297,0.625739788027025
4,4,3,8,9,4,5,4,5,3,4.9,8.86869751933805,0.93130248066195
5,3,4,5,3,5,6,5,4,4,4.4,6.29353989483542,2.50646010516458
6,3,7,6,5,4,7,8,2,7,5.5,9.33746444066044,1.66253555933956
1,6,3,3,3,2,5,6,4,8,4.1,8.27826971099016,0
6,2,5,1,5,2,4,5,5,5,4,7.33135941554729,0.668640584452714
7,4,1,5,3,3,2,4,3,6,3.8,7.35451762628286,0.245482373717137
5,3,10,4,0,6,2,4,3,8,4.5,10.2143328569484,0
7,3,4,4,3,3,8,4,3,4,4.3,7.76328296402256,0.83671703597744
2,0,4,6,3,5,3,5,6,3,3.7,7.40158164392826,0
2,5,8,5,2,5,4,3,8,1,4.3,9.01578154239099,0
3,5,8,8,2,7,7,4,5,5,5.4,9.44855859123549,1.35144140876451
3,5,4,7,6,5,4,3,3,7,4.7,7.77136162348595,1.62863837651405
5,7,4,7,1,4,9,6,4,5,5.2,9.51397934368928,0.886020656310722
6,5,5,6,5,4,6,2,3,5,4.7,7.32148727930455,2.07851272069545
7,3,3,5,10,5,11,7,5,2,5.8,11.6289636967284,0
4,4,8,5,7,4,2,2,4,5,4.5,8.22457305532385,0.775426944676149
7,3,8,6,4,3,3,7,5,4,5,8.69581144300169,1.30418855699831
3,1,5,4,2,3,6,3,3,1,3.1,6.22645770446008,0
10,2,5,3,2,6,5,4,2,1,4,9.22666666666667,0
7,3,3,5,7,5,5,4,1,8,4.8,9.01387338311071,0.586126616889291
1,6,2,1,3,3,2,0,6,2,2.6,6.54171761771157,0
5,3,5,5,4,3,2,5,3,6,4.1,6.62190051790752,1.57809948209248
0,1,5,5,4,1,7,6,4,5,3.8,8.40124813984689,0
2,7,5,3,5,6,2,8,2,2,4.2,8.7075265451859,0
8,4,6,5,3,5,2,0,2,2,3.7,8.32438176048071,0
2,1,3,4,6,5,6,6,9,4,4.6,9.14524709021535,0.0547529097846491
3,3,3,5,4,6,9,8,6,4,5.1,9.27826971099016,0.921730289009842
2,5,6,3,4,2,6,5,6,7,4.6,8.0817211580226,1.1182788419774
5,5,8,9,6,7,4,8,5,5,6.2,9.50563424742935,2.89436575257065
6,4,3,6,4,2,7,8,5,6,5.1,8.73173420466495,1.46826579533505
6,3,5,7,8,6,6,5,10,7,6.3,10.0015816439283,2.59841835607174
6,1,5,9,8,10,7,5,3,8,6.2,11.6505388112858,0.749461188714154
11,4,7,8,6,7,4,5,5,6,6.3,10.4372046386687,2.16279536133125
6,6,4,9,6,2,2,7,6,9,5.7,10.5054432099906,0.894556790009433
11,2,3,13,5,3,6,2,5,2,5.2,12.8078976509064,0
13,6,8,6,3,5,7,5,4,7,6.4,11.8033471108194,0.996652889180633
8,5,6,8,3,2,5,3,5,7,5.2,9.311330684827,1.08866931517301
8,3,4,8,3,4,4,7,2,5,4.8,9.01387338311071,0.586126616889291
4,6,9,3,2,8,6,4,5,6,5.3,9.53912150228218,1.06087849771782
