"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
1,1,1,0,0,3,0,1,1,1,0.9,2.61616627011099,0
0,0,1,0,0,2,1,0,2,0,0.6,2.25281712371467,0
2,0,0,1,1,2,0,0,0,0,0.6,2.25281712371467,0
0,0,3,0,0,1,2,0,1,0,0.7,2.77632581472391,0
0,0,0,0,1,1,1,0,2,0,0.5,1.88592929112563,0
1,1,1,1,2,2,0,2,1,2,1.3,2.62289917311268,0
4,3,2,0,1,3,1,1,2,0,1.7,4.32148727930455,0
1,0,0,4,3,2,0,1,0,1,1.2,3.940887123218,0
0,1,1,0,0,0,2,0,1,1,0.6,1.970443561609,0
1,1,1,1,1,4,1,0,1,1,1.2,3.22427929561774,0
2,3,2,0,1,0,1,2,0,2,1.3,3.3763258147239,0
2,1,1,2,0,0,0,1,1,0,0.8,2.34606884998337,0
0,1,1,1,1,0,0,1,1,1,0.7,1.64676994741771,0
1,0,2,1,1,0,0,3,1,0,0.9,2.84908069498304,0
0,1,3,1,3,2,1,0,0,1,1.2,3.42517315181438,0
0,2,1,2,3,0,1,3,2,1,1.5,3.6170419614799,0
0,0,0,0,1,1,0,0,1,1,0.4,1.41213964780887,0
0,0,2,0,1,1,2,4,3,2,1.5,4.15385254551441,0
0,0,5,0,2,0,1,1,0,2,1.1,4.22645770446008,0
0,1,4,2,0,1,0,4,3,1,1.6,4.69213769996673,0
0,0,2,1,0,1,4,3,0,6,1.7,5.73271289993887,0
2,0,6,1,0,2,3,2,1,3,2,5.45711504645773,0
1,2,0,5,0,2,1,1,1,2,1.5,4.31009292056726,0
2,1,6,1,0,1,3,2,0,0,1.6,5.20223140721291,0
2,0,3,2,1,1,4,1,3,3,2,4.44454949269231,0
2,2,3,2,0,5,2,0,2,2,2,4.77185858225127,0
0,1,1,2,1,3,1,2,1,3,1.5,3.4047776189828,0
3,2,2,1,2,2,1,0,0,2,1.5,3.4047776189828,0
3,3,3,1,2,3,0,2,1,2,2,4.06602140464334,0
1,1,1,2,2,0,0,1,1,4,1.3,3.57262354510768,0
0,2,9,2,2,2,1,1,0,2,2.1,7.11409391393677,0
2,2,0,1,0,1,1,2,1,0,1,2.60033329861834,0
1,0,1,0,1,2,0,4,0,2,1.1,3.62190051790752,0
2,0,3,0,0,0,0,1,2,2,1,3.26321305522333,0
1,2,1,2,0,1,1,0,0,2,1,2.60033329861834,0
2,0,0,0,1,2,0,0,3,1,0.9,3.05698967184464,0
0,1,0,1,2,1,1,1,1,3,1.1,2.81616627011099,0
0,2,1,0,0,2,0,2,3,1,1.1,3.25698967184464,0
2,1,1,0,0,0,0,0,0,2,0.6,2.25281712371467,0
1,0,1,2,1,1,0,0,3,0,0.9,2.84908069498304,0
1,1,0,1,2,3,2,0,1,1,1.2,3.00111570360646,0
3,3,2,0,0,1,0,1,0,3,1.3,3.92148727930455,0
0,3,3,0,0,1,4,1,1,4,1.7,4.90732772118957,0
2,0,2,0,0,4,3,0,1,1,1.3,4.07954752512787,0
1,0,1,1,0,1,2,0,0,0,0.6,1.970443561609,0
1,2,1,0,0,0,3,0,2,5,1.4,4.62722860120637,0
0,1,3,1,3,2,1,1,2,0,1.4,3.50693669155535,0
1,0,1,1,1,1,1,0,1,2,0.9,2.01258657590719,0
0,1,1,1,1,0,1,3,3,2,1.3,3.3763258147239,0
0,1,2,1,0,0,0,0,1,0,0.5,1.88592929112563,0
1,1,1,0,0,0,0,2,2,2,0.9,2.61616627011099,0
1,3,0,0,1,2,1,1,0,1,1,2.84790572150084,0
0,0,0,1,1,0,3,1,1,2,0.9,2.84908069498304,0
1,0,2,1,1,2,0,0,2,2,1.1,2.81616627011099,0
0,1,0,2,2,1,1,3,1,2,1.3,3.15941926417901,0
1,0,2,1,2,1,3,2,1,1,1.4,3.05281712371467,0
3,0,0,1,2,0,0,4,3,2,1.5,4.45809247845822,0
3,0,0,1,0,2,3,1,1,7,1.8,6.01387338311071,0
3,1,4,3,1,2,1,1,1,1,1.8,4.02517315181438,0
3,0,0,0,2,1,5,2,1,0,1.4,4.62722860120637,0
0,1,1,3,1,1,2,3,1,3,1.6,3.70693669155535,0
1,4,2,0,1,1,1,1,0,2,1.3,3.57262354510768,0
0,2,0,1,2,2,3,4,1,2,1.7,4.15326449178776,0
2,0,1,1,1,2,1,2,0,1,1.1,2.54621498325034,0
0,0,3,2,4,0,3,4,0,0,1.6,5.0817211580226,0
3,1,1,1,3,2,0,4,1,0,1.6,4.24579834622537,0
0,1,1,1,1,3,0,1,1,3,1.2,3.22427929561774,0
1,1,1,0,5,0,1,5,1,2,1.7,5.28441317062888,0
1,2,3,1,3,0,1,4,1,2,1.8,4.20937428483921,0
0,0,0,0,1,4,0,4,0,5,1.4,5.44855859123549,0
1,2,4,1,1,0,1,4,1,0,1.5,4.31009292056726,0
1,1,2,0,4,1,0,1,0,2,1.2,3.60937428483921,0
0,1,1,0,3,1,1,0,2,1,1,2.84790572150084,0
1,0,3,2,3,0,1,2,0,3,1.5,3.98781921458221,0
2,2,1,1,0,2,2,0,1,0,1.1,2.81616627011099,0
1,2,0,0,0,2,0,2,3,0,1,3.26321305522333,0
0,3,1,0,1,2,2,2,0,2,1.3,3.37632581472391,0
1,1,1,0,1,0,1,0,1,1,0.7,1.64676994741771,0
2,2,0,0,0,0,0,1,1,1,0.7,2.31361430060319,0
1,1,0,0,1,3,0,1,0,0,0.7,2.55941926417901,0
2,1,1,0,0,0,2,1,1,0,0.8,2.34606884998337,0
0,1,1,1,0,2,0,0,0,1,0.6,1.970443561609,0
1,1,1,0,1,1,1,0,1,0,0.7,1.64676994741771,0
1,2,1,0,0,0,0,1,1,1,0.7,2.02289917311268,0
0,0,0,0,1,0,1,0,2,1,0.5,1.88592929112563,0
1,0,0,1,0,1,0,0,0,2,0.5,1.88592929112563,0
1,1,0,1,0,1,1,2,3,1,1.1,2.81616627011099,0
0,2,3,1,1,0,2,3,4,3,1.9,4.58582782603634,0
