"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
4,2,0,0,0,1,0,1,0,2,1,3.61333333333333,0
1,2,2,2,0,0,2,1,0,1,1.1,2.81616627011099,0
2,1,2,0,0,1,0,0,0,2,0.8,2.60111570360646,0
3,1,2,0,1,1,0,1,2,0,1.1,3.04908069498304,0
0,0,1,2,0,2,3,2,1,1,1.2,3.22427929561774,0
1,1,1,1,0,1,0,0,0,1,0.6,1.61213964780887,0
1,1,3,1,1,3,2,0,0,1,1.3,3.3763258147239,0
1,1,2,5,0,1,0,2,1,2,1.5,4.31009292056726,0
2,0,0,0,1,0,3,2,0,2,1,3.26321305522333,0
1,4,1,2,1,1,6,2,1,1,2,5.33135941554729,0
1,1,1,0,2,1,0,1,1,0,0.8,2.039612842786,0
0,1,1,0,1,3,1,1,2,1,1.1,2.81616627011099,0
2,2,1,1,1,1,2,0,0,0,1,2.60033329861834,0
1,2,3,3,2,2,1,2,0,1,1.7,3.55941926417901,0
2,3,2,2,1,1,2,0,2,0,1.5,3.4047776189828,0
1,1,1,2,1,2,2,1,1,0,1.2,2.439612842786,0
1,3,2,1,2,4,1,0,0,1,1.5,3.98781921458221,0
0,4,1,1,1,1,0,4,0,1,1.3,4.22909087147076,0
2,0,0,1,0,1,1,2,1,0,0.8,2.34606884998337,0
0,2,2,1,0,0,2,1,0,0,0.8,2.60111570360646,0
0,4,0,1,0,2,0,2,0,1,1,3.61333333333333,0
0,0,1,3,1,2,0,2,1,0,1,3.06602140464334,0
0,3,0,2,0,2,1,1,1,1,1.1,3.04908069498304,0
2,0,4,0,3,2,2,1,1,1,1.6,4.07922568557201,0
2,0,0,2,2,1,2,3,2,0,1.4,3.50693669155535,0
1,2,2,0,4,5,3,2,5,1,2.5,5.86323917938909,0
3,0,1,2,1,0,0,3,3,2,1.5,3.98781921458221,0
1,0,1,1,1,3,4,1,1,2,1.5,3.80988215187606,0
3,0,1,2,2,2,1,1,4,0,1.6,4.07922568557201,0
3,0,1,4,2,1,3,0,2,1,1.7,4.32148727930455,0
4,1,2,4,1,3,2,1,2,2,2.2,4.42517315181438,0
1,1,2,1,2,1,4,4,3,0,1.9,4.58582782603634,0
2,0,0,0,1,4,4,1,1,1,1.4,4.3508687986196,0
0,1,1,2,5,4,4,1,4,2,2.4,5.75688744722449,0
0,1,3,4,1,3,3,2,4,2,2.3,4.92148727930455,0
3,1,2,4,0,0,2,3,4,2,2.1,4.94030984225313,0
4,1,1,4,3,2,1,2,1,2,2.1,4.44654923948621,0
0,2,1,3,4,4,4,5,2,2,2.7,5.77136162348595,0
0,4,2,4,2,1,1,0,4,2,2,5.06440496308464,0
3,0,2,7,1,2,2,1,2,2,2.2,5.87263998296109,0
1,1,1,6,6,2,0,3,3,0,2.3,6.63864494975102,0
3,1,4,4,3,1,3,3,2,2,2.6,4.70693669155535,0.493063308444646
1,1,3,6,2,4,4,3,2,4,3,6.06440496308464,0
1,2,1,5,2,3,2,0,3,3,2.2,4.940887123218,0
4,2,5,4,1,2,1,2,6,2,2.9,6.2885270480779,0
2,2,0,4,4,5,1,1,3,4,2.6,5.82722860120637,0
2,3,2,5,5,6,2,3,4,2,3.4,6.3508687986196,0.449131201380402
4,0,8,2,3,0,3,5,4,5,3.4,8.12933915984981,0
2,0,1,5,5,1,1,1,5,3,2.4,6.2318988620381,0
5,2,0,3,4,2,3,2,3,4,2.8,5.540887123218,0.0591128767820037
2,0,3,4,4,1,3,1,1,5,2.4,5.62722860120637,0
4,0,4,5,7,1,1,0,5,3,3,7.71125366660628,0
2,2,0,5,5,1,4,2,3,3,2.7,5.90732772118958,0
2,1,5,5,3,3,2,3,1,3,2.8,5.540887123218,0.0591128767820037
2,4,2,5,6,1,0,1,4,4,2.9,6.75964650079656,0
3,3,3,3,8,1,3,1,2,6,3.3,7.53912150228218,0
2,1,2,6,3,2,5,3,2,2,2.8,5.83641894342662,0
3,1,0,7,2,2,0,4,0,1,2,6.33372305939772,0
1,2,2,6,5,1,4,1,2,3,2.7,6.16328296402256,0
2,4,1,2,6,1,6,1,1,6,3,7.43112225564184,0
2,2,0,6,3,1,2,2,3,3,2.4,5.49213769996673,0
4,3,3,7,5,0,3,1,1,3,3,7.0274171486064,0
2,3,2,4,4,5,6,0,1,4,3.1,6.73173420466495,0
5,7,2,3,1,1,5,2,5,4,3.5,7.44712835137423,0
4,2,1,2,1,2,5,0,3,5,2.5,5.86323917938909,0
4,3,1,5,6,2,8,2,2,1,3.4,7.94524709021535,0
3,2,3,4,3,1,2,1,2,3,2.4,4.29353989483542,0.50646010516458
3,4,2,1,1,3,2,1,7,1,2.5,6.22457305532385,0
3,1,4,2,4,3,4,4,3,6,3.4,6.04579834622537,0.754201653774633
3,2,1,0,5,2,9,3,4,1,3,8.06069823904436,0
1,3,2,5,3,0,2,0,4,3,2.3,5.50732772118957,0
4,7,8,3,6,3,8,0,4,2,4.5,9.74704361204161,0
2,1,2,1,8,3,8,2,8,4,3.9,9.70327723503424,0
2,0,0,3,4,0,2,1,4,2,1.8,4.83641894342662,0
2,5,1,2,2,4,6,2,4,4,3.2,6.37388230545635,0.0261176945436539
2,3,2,2,4,3,8,0,6,4,3.4,7.85034630362876,0
2,2,3,2,2,3,2,0,3,0,1.9,4.05698967184464,0
0,2,3,4,3,2,7,0,1,5,2.7,7.03864494975102,0
5,1,4,3,1,4,1,1,1,5,2.6,6.0817211580226,0
2,5,4,3,0,5,3,1,2,1,2.6,5.95688744722449,0
2,1,2,7,5,2,2,2,1,2,2.6,6.31883852835801,0
4,4,3,5,4,2,5,0,3,2,3.2,6.23641894342662,0.163581056573385
2,5,2,6,0,5,2,3,1,1,2.7,6.62544066882235,0
3,5,4,1,1,3,0,4,1,4,2.6,5.95688744722449,0
1,2,5,2,1,6,3,0,2,4,2.6,6.31883852835801,0
5,3,4,6,1,1,4,5,1,4,3.4,7.00223140721291,0
2,1,4,2,1,3,2,2,4,0,2.1,4.62190051790752,0
3,3,7,3,4,4,1,4,0,3,3.2,6.87263998296109,0
3,0,5,3,1,3,2,5,1,6,2.9,6.75964650079656,0
2,3,5,5,0,3,2,0,1,0,2.1,5.8474234111216,0
2,1,10,7,2,3,2,3,3,5,3.8,9.25053881128585,0
3,0,3,5,1,6,1,6,3,3,3.1,7.17483114851265,0
2,0,5,6,0,1,3,3,2,3,2.5,6.33746444066044,0
5,1,5,7,4,5,3,5,2,4,4.1,7.4885270480779,0.711472951922095
0,0,5,2,3,4,0,4,3,3,2.4,6.00223140721291,0
6,0,7,4,0,3,1,8,2,3,3.4,8.95909505025573,0
1,0,4,4,0,3,1,3,4,7,2.7,7.03864494975102,0
2,3,7,4,1,3,1,4,1,2,2.8,6.47263998296109,0
4,1,7,5,1,5,0,4,2,9,3.8,9.40497556739645,0
10,0,6,3,2,8,7,7,6,7,5.6,11.5305971218944,0
3,1,11,8,2,2,3,5,3,2,4,10.19806421393,0
4,2,7,7,3,6,2,1,1,7,4,8.97563842916442,0
11,0,4,2,5,4,5,6,8,7,5.2,11.2446575125845,0
7,2,3,4,4,9,2,5,5,6,4.7,9.03864494975102,0.361355050248984
0,2,7,3,3,8,5,6,6,9,4.9,10.478257792537,0
8,2,9,5,2,7,5,7,3,9,5.7,11.0117245577851,0.388275442214857
11,7,2,4,6,8,1,3,4,8,5.4,11.5427232469719,0
10,5,4,5,7,7,4,8,5,6,6.1,9.8474234111216,2.3525765888784
4,2,4,6,3,6,5,9,9,12,6,12.1288099261693,0
8,0,3,8,6,7,6,6,4,7,5.5,10.4108768169352,0.58912318306485
10,10,5,4,8,9,5,5,4,6,6.6,11.3293391598498,1.87066084015019
10,2,4,6,4,8,8,6,7,4,5.9,10.6518492306797,1.14815076932032
11,4,4,9,10,14,4,12,5,6,7.9,15.2597934753633,0.540206524636715
14,9,4,5,1,8,5,5,5,7,6.3,13.155331744951,0
20,4,3,2,7,8,8,8,14,10,8.4,18.9427839460616,0
8,6,4,6,3,6,8,4,4,12,6.1,11.3632883679734,0.836711632026566
11,4,4,7,6,9,7,11,7,6,7.2,12.071606625243,2.32839337475704
16,6,1,2,6,10,9,8,11,8,7.7,16.2209295267594,0
14,4,5,6,4,9,6,5,7,6,6.6,12.4581817429415,0.741818257058481
20,5,3,12,4,3,6,3,11,13,8,19.2782819810663,0
15,6,4,4,5,11,5,10,9,8,7.7,14.7396477184586,0.660352281541355
18,6,4,3,8,5,10,5,12,11,8.2,17.2434172498871,0
17,6,5,4,3,6,4,11,9,11,7.6,16.1783437924941,0
16,6,4,4,5,5,8,7,13,11,7.9,15.9786456510702,0
17,6,8,8,3,7,5,5,8,9,7.6,15.0031632878565,0.196836712143472
17,13,7,2,9,5,5,5,6,11,8,16.8622445112837,0
21,3,6,5,10,4,10,7,11,10,8.7,18.8235048827524,0
20,12,5,8,8,3,6,6,9,17,9.4,20.0234491155703,0
17,4,5,6,5,6,8,7,8,18,8.4,18.1432132504859,0
13,6,3,3,8,8,8,6,6,8,6.9,12.5542593581201,1.24574064187989
16,10,9,2,7,6,8,9,7,15,8.9,16.9786456510702,0.821354348929793
16,9,4,5,1,3,3,8,8,11,6.8,15.6526063958588,0
12,7,5,9,5,5,8,7,5,12,7.5,12.9072954833673,2.0927045166327
12,6,4,6,4,2,8,6,9,12,6.9,13.4626674793444,0.337332520655611
9,10,5,3,2,5,7,10,13,9,7.3,14.155331744951,0.44466825504897
13,10,6,4,1,8,9,9,5,16,8.1,16.6907743797893,0
12,11,5,4,4,2,9,5,6,7,6.5,12.8511258844397,0.148874115560297
8,6,5,6,3,7,8,11,6,14,7.4,13.5427232469719,1.25727675302811
4,11,4,6,5,4,4,8,2,10,5.8,11.5552696625692,0.0447303374308436
7,7,5,3,2,7,4,7,5,11,5.8,10.843801035815,0.756198964184958
10,7,4,6,5,6,5,9,4,8,6.4,10.4485585912355,2.35144140876451
5,10,4,12,8,3,6,6,6,10,7,12.6956279528931,1.30437204710685
13,5,3,7,4,7,5,5,3,7,5.9,11.6292528114736,0.170747188526433
6,8,4,6,4,7,9,6,5,9,6.4,10.0022314072129,2.79776859278709
5,11,8,7,5,6,9,12,1,8,7.2,13.4529154089202,0.947084591079845
13,8,9,8,3,6,5,2,5,8,6.7,12.9699580009226,0.4300419990774
9,7,6,5,10,7,2,7,3,6,6.2,10.983185363565,1.41681463643502
5,6,3,6,8,9,4,12,7,10,7,12.4661788400226,1.53382115997737
4,10,5,12,7,7,9,7,3,10,7.4,13.0353550612776,1.76464493872243
7,11,3,2,4,11,3,8,4,6,5.9,12.3312694444151,0
5,12,4,8,10,10,5,10,6,6,7.6,13.0033471108194,2.19665288918063
14,6,7,10,9,6,3,6,5,6,7.2,13.2446575125845,1.15534248741548
7,10,5,3,4,8,7,10,6,5,6.5,11.1428056651603,1.85719433483971
5,8,8,6,5,10,5,7,4,6,6.4,10.0022314072129,2.79776859278709
11,15,4,7,8,5,3,8,9,4,7.4,14.6281228545176,0.171877145482377
11,7,4,10,6,7,8,9,4,2,6.8,12.4049755673964,1.19502443260355
13,8,2,3,4,10,2,8,6,8,6.4,13.5688263412578,0
14,10,3,8,3,9,5,8,4,1,6.5,14.2990597723914,0
11,10,4,17,4,8,6,3,5,3,7.1,15.8872726144123,0
9,5,4,5,11,6,8,7,5,8,6.8,11.1139793436893,2.48602065631072
14,8,4,9,5,11,5,5,1,5,6.7,14.1520106160836,0
16,7,5,5,3,10,3,7,6,6,6.8,14.2948468222432,0
13,5,3,10,8,10,6,4,6,1,6.6,13.7688263412578,0
11,11,5,6,8,9,4,6,9,2,7.1,12.9763692494223,1.22363075057774
16,4,7,8,7,6,3,3,6,9,6.9,14.3175635412775,0
14,8,7,9,4,14,5,4,4,3,7.2,15.1909904823425,0
