"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
2,4,0,0,4,2,0,0,1,1,1.4,4.49213769996673,0
0,2,1,1,1,1,0,0,1,3,1,2.84790572150084,0
0,0,0,0,2,1,0,3,0,2,0.8,3.02517315181438,0
1,3,1,0,1,1,0,1,0,7,1.5,5.6577878733769,0
0,0,4,0,1,4,5,3,0,6,2.3,6.92438176048071,0
1,1,4,0,3,5,1,4,0,3,2.2,5.75451762628286,0
0,2,1,0,4,2,0,2,1,4,1.6,4.5508687986196,0
2,6,2,1,2,3,2,2,1,7,2.8,6.80616413931221,0
1,5,1,5,4,3,0,3,2,5,2.9,6.53173420466495,0
1,4,2,1,5,3,0,1,0,5,2.2,5.98707978967084,0
2,3,0,2,3,1,3,1,0,5,2,5.06440496308464,0
1,8,2,1,8,3,1,3,4,3,3.4,8.56091981465836,0
1,1,2,4,3,2,4,2,3,5,2.7,5.32148727930455,0.0785127206954535
3,1,3,1,1,3,2,0,2,2,1.8,3.82427929561774,0
5,4,2,3,4,2,3,2,5,1,3.1,5.78582782603634,0.414172173963657
3,1,5,5,1,4,3,3,3,2,3,5.77185858225127,0.228141417748734
1,1,2,2,1,2,4,2,2,2,1.9,3.61616627011099,0.18383372988901
4,5,4,1,2,1,2,4,4,1,2.8,5.83641894342662,0
2,2,2,4,2,4,3,2,3,1,2.5,4.4047776189828,0.595222381017202
2,0,2,1,1,3,2,0,4,0,1.5,4.15385254551441,0
2,3,1,2,3,4,1,2,1,3,2.2,4.22427929561774,0.175720704382257
1,0,3,2,4,1,2,3,0,0,1.6,4.40248778369822,0
7,2,1,2,2,1,1,3,6,2,2.7,6.83720463866875,0
1,1,3,2,1,3,0,1,1,3,1.6,3.70693669155535,0
2,1,6,2,6,2,3,2,6,2,3.2,7.09816138996607,0
4,2,10,1,4,5,2,3,8,3,4.2,9.72829650274135,0
1,2,7,7,5,3,2,2,7,1,3.7,8.67992592537502,0
3,1,4,1,8,2,0,1,6,4,3,7.97563842916442,0
7,1,7,3,6,2,3,2,4,2,3.7,8.03864494975102,0
3,3,5,5,5,3,3,2,6,3,3.8,6.38045990732918,1.21954009267082
5,5,3,4,3,6,3,0,6,8,4.3,8.63864494975101,0
4,4,4,5,3,5,5,2,6,0,3.8,7.23233254022198,0.36766745977802
5,1,1,5,3,4,2,2,2,5,3,6.20066659723669,0
1,2,7,5,4,3,3,3,6,3,3.7,7.28441317062888,0.11558682937112
3,0,2,5,1,3,2,4,1,1,2.2,5.23641894342662,0
4,2,0,6,2,2,3,1,2,3,2.5,5.73383501262648,0
5,1,6,2,1,1,4,2,6,2,3,7.0274171486064,0
3,1,2,1,4,1,5,2,3,1,2.3,5.07954752512787,0
3,4,0,2,3,5,0,1,5,4,2.7,6.40158164392826,0
3,0,2,4,2,3,3,4,4,0,2.5,5.45809247845822,0
2,0,0,4,2,1,0,3,3,1,1.6,4.40248778369822,0
