"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
7,3,3,7,2,2,4,5,8,4,4.5,8.75921223806573,0.24078776193427
6,3,7,4,6,4,1,2,5,6,4.4,8.2318988620381,0.5681011379619
2,5,0,4,1,3,2,6,8,0,3.1,8.28155532205877,0
2,4,1,3,4,2,1,4,6,2,2.9,6.02645770446008,0
4,0,4,7,4,4,4,3,4,3,3.7,7.03775972772157,0.362240272278425
3,1,2,5,4,3,5,2,4,5,3.4,6.20248778369822,0.597512216301777
2,2,5,3,5,4,3,4,2,4,3.4,5.70062406992344,1.09937593007656
8,6,5,2,5,2,2,2,0,4,3.6,8.32933915984981,0
4,2,4,5,5,7,4,2,1,6,4,7.69581144300169,0.304188556998312
2,7,4,3,4,3,3,2,3,2,3.3,6.22909087147076,0.37090912852924
3,6,1,3,6,4,5,9,5,5,4.7,8.93912150228218,0.460878497717822
6,4,7,7,3,8,8,6,1,2,5.2,10.158451371144,0.241548628855981
4,7,3,4,3,2,6,7,5,3,4.4,7.8817211580226,0.918278841977402
6,1,2,3,5,7,4,4,6,3,4.1,7.8474234111216,0.352576588878403
8,5,8,6,4,8,9,6,6,5,6.5,9.73383501262648,3.26616498737352
6,5,4,4,9,5,6,4,10,2,5.5,10.2338497370886,0.76615026291145
7,4,3,15,6,8,8,4,6,3,6.4,13.3879184629219,0
6,4,7,9,9,6,11,8,11,4,7.5,12.4970391233209,2.50296087667907
4,9,6,10,3,8,15,6,8,3,7.2,14.4044628144258,0
5,7,9,8,10,9,10,8,6,4,7.6,11.6485585912355,3.55144140876451
5,6,4,9,10,9,15,6,8,3,7.5,14.3677733735987,0.632226626401311
6,2,9,17,4,12,10,5,5,4,7.4,16.3675801269536,0
6,9,4,10,11,10,6,6,9,0,7.1,13.727389631924,0.47261036807603
7,5,8,5,4,6,12,7,12,4,7,12.7700837660009,1.22991623399914
2,7,7,14,4,5,10,7,6,5,6.7,13.2365991837414,0.163400816258588
6,7,6,7,5,11,2,8,4,5,6.1,10.8518492306797,1.34815076932032
7,8,14,13,2,7,13,8,8,5,8.5,15.9634576437466,1.03654235625337
6,7,5,8,7,13,5,10,3,12,7.6,13.8801613567381,1.31983864326189
5,3,8,7,8,9,7,12,10,3,7.2,12.8806196845063,1.51938031549374
7,8,4,6,6,8,12,8,10,10,7.9,12.4686642832816,3.33133571671836
8,11,6,9,4,5,5,7,7,8,7,11.1320428092867,2.86795719071332
5,4,5,12,3,8,10,3,6,9,6.5,12.5763512443278,0.423648755672164
11,8,7,6,4,3,7,6,6,12,7,12.4661788400226,1.53382115997737
2,5,4,15,4,8,8,0,7,6,5.9,13.9256355926909,0
4,7,6,9,6,9,14,6,6,7,7.4,12.8033471108194,1.99665288918063
7,4,5,9,5,6,7,4,10,6,6.3,10.2254406688223,2.37455933117765
11,4,9,7,7,7,8,6,10,7,7.6,11.5417176177116,3.65828238228843
9,4,4,9,9,7,9,6,10,8,7.5,11.7592122380657,3.24078776193427
4,5,10,12,8,5,5,7,9,10,7.5,12.8277721005647,2.1722278994353
7,6,3,8,5,10,4,10,8,8,6.9,11.5611567472273,2.23884325277274
7,5,6,6,7,7,3,7,6,9,6.3,9.37136162348595,3.22863837651405
6,6,6,5,8,11,5,4,8,9,6.8,11.0138733831107,2.58612661688929
9,4,10,3,12,7,9,7,10,9,8,13.4661788400226,2.53382115997737
10,6,8,5,7,14,5,8,5,7,7.5,12.9856661704239,2.01433382957609
5,9,11,9,5,13,9,7,5,10,8.3,13.6914846440166,2.90851535598341
5,5,6,12,9,7,9,9,7,11,8,12.7112536666063,3.28874633339372
8,6,9,14,9,7,6,8,6,9,8.2,12.8930984789724,3.50690152102757
5,12,10,5,14,13,14,6,6,12,9.7,17.1520106160836,2.24798938391643
10,12,7,7,10,7,8,8,6,6,8.1,11.9596465007966,4.24035349920344
7,4,5,7,10,11,16,8,7,10,8.5,15.2423240305798,1.75767596942024
10,14,12,10,9,10,13,10,13,6,10.7,15.3243817604807,6.07561823951929
9,9,3,16,5,8,13,15,10,6,9.4,17.7258355603373,1.07416443966266
8,8,7,12,5,6,16,8,8,10,8.8,15.0529154089202,2.54708459107985
10,12,10,16,4,7,16,10,9,7,10.1,17.5748871414743,2.6251128585257
7,13,3,10,3,8,16,6,10,9,8.5,16.5149915089717,0.485008491028273
12,9,11,13,5,7,15,11,9,7,9.9,15.9198914718899,3.88010852811005
8,11,7,14,6,7,11,10,16,9,9.9,16.1971302105712,3.60286978942877
9,13,11,10,7,8,12,7,10,4,9.1,14.3632883679734,3.83671163202657
8,12,10,13,12,10,9,9,11,13,10.7,14.1632829640226,7.23671703597744
12,13,6,10,6,11,12,8,9,14,10.1,15.6012063323521,4.59879366764788
6,9,10,18,7,6,11,7,10,8,9.2,16.1634423160452,2.2365576839548
11,17,10,12,2,17,10,12,9,10,11,19.3155757467538,2.6844242532462
7,15,9,10,6,9,10,7,9,14,9.6,15.3105967775317,3.88940322246829
9,14,12,15,7,12,12,11,12,14,11.8,16.4930984789724,7.10690152102757
10,16,8,12,10,12,9,13,12,14,11.6,16.3293391598498,6.87066084015019
10,18,18,10,8,15,23,15,12,19,14.8,24.1679889932567,5.43201100674335
12,14,15,16,15,13,15,20,12,15,14.7,19.2311386844565,10.1688613155435
13,19,9,10,9,12,21,10,15,16,13.4,21.7258355603373,5.07416443966266
19,18,11,13,17,15,16,18,16,11,15.4,21.0353550612776,9.76464493872243
16,15,7,11,16,12,17,14,22,16,14.6,22.4508813376447,6.7491186623553
21,14,5,16,15,13,20,15,9,18,14.6,24.0767120411623,5.12328795883767
10,20,10,12,25,10,24,24,18,16,16.9,29.0333692307161,4.76663076928387
20,19,11,19,14,18,18,18,22,18,17.7,23.7622855975834,11.6377144024166
20,17,13,16,15,8,22,18,15,10,15.4,23.7769461420417,7.02305385795834
19,15,7,13,27,18,26,16,21,25,18.7,31.0633731463365,6.33662685366346
18,25,7,22,21,13,29,19,18,18,19,30.9042998767485,7.09570012325145
20,16,16,23,16,19,26,19,19,15,18.9,25.717870635323,12.082129364677
18,14,14,24,20,12,23,20,22,26,19.3,28.541838200993,10.058161799007
19,23,19,21,24,19,27,18,20,17,20.7,26.7622855975834,14.6377144024166
16,18,14,28,21,15,32,17,15,18,19.4,31.1672570201291,7.63274297987089
16,17,23,21,21,19,34,25,21,25,22.2,32.2281878278735,12.1718121721265
21,17,23,30,20,13,28,26,24,19,22.1,32.240356338249,11.959643661751
14,17,13,22,31,11,35,22,21,22,20.8,35.8067694354544,5.79323056454558
21,16,25,26,17,12,29,22,23,13,20.4,31.5718089652283,9.22819103477169
29,17,23,32,37,9,37,28,27,33,27.2,44.5545797990041,9.84542020099594
31,19,22,21,26,18,32,17,27,19,23.2,33.8875429043973,12.5124570956027
23,27,31,23,29,11,37,19,22,15,23.7,38.7706313367718,8.62936866322817
21,22,21,23,26,14,25,21,20,25,21.8,28.513774894449,15.086225105551
32,25,21,28,21,19,33,21,20,23,24.3,34.2104443223635,14.3895556776365
30,24,17,18,26,16,26,25,24,15,22.1,32.1981749726264,12.0018250273736
14,27,18,35,26,18,27,25,32,11,23.3,38.5396214592825,8.06037854071755
25,32,17,27,30,20,25,23,15,20,23.4,34.1433113041454,12.6566886958546
17,23,22,17,24,17,26,34,26,13,21.9,33.8918261050323,9.90817389496773
28,39,15,25,28,27,31,30,28,20,27.1,39.6484228313982,14.5515771686018
29,25,32,29,38,21,28,37,35,19,29.3,41.8688157313603,16.7311842686398
20,31,16,37,29,20,29,36,40,22,28,44.1096685944256,11.8903314055744
28,40,26,35,36,28,33,25,41,29,32.1,43.357447115379,20.842552884621
26,26,20,35,37,29,35,37,43,24,31.2,45.3880174795494,17.0119825204506
21,42,25,37,36,20,28,36,46,24,31.5,49.3265445021992,13.6734554978008
33,23,23,50,38,30,42,49,48,31,36.7,56.859330235788,16.540669764212
33,41,25,49,32,35,38,48,50,36,38.7,54.8638944702211,22.5361055297789
35,23,29,50,44,33,46,46,46,30,38.2,56.3950694175953,20.0049305824047
21,41,21,53,37,34,44,46,38,48,38.3,59.2484790219561,17.3515209780439
36,38,27,60,53,36,54,49,50,31,43.4,65.2295473562275,21.5704526437725
37,53,27,41,52,33,48,50,50,47,43.8,61.2037012666208,26.3962987333792
35,36,24,56,41,38,39,52,48,45,41.4,59.5574956667732,23.2425043332268
44,54,30,57,52,40,49,42,52,32,45.2,63.3009888004925,27.0990111995075
46,62,25,63,51,43,48,65,60,54,51.7,75.4376778795044,27.9623221204956
43,56,25,64,41,48,38,54,55,35,45.9,68.8402815055865,22.9597184944135
47,68,25,66,53,40,51,50,68,48,51.6,77.9480512456698,25.2519487543302
46,55,35,72,51,56,39,62,69,58,54.3,77.7845844473916,30.8154155526084
52,78,30,62,51,39,46,62,60,39,51.9,79.6101149602652,24.1898850397348
52,86,32,84,64,48,53,60,63,46,58.8,91.4640532287916,26.1359467712084
43,85,30,55,79,39,49,53,61,53,54.7,87.885860710717,21.514139289283
46,79,37,71,68,34,59,59,69,54,57.6,86.8792483206489,28.3207516793511
54,78,36,65,59,47,53,67,78,50,58.7,85.1265055494584,32.2734944505416
40,96,44,69,59,44,67,57,55,43,57.4,90.6776986383774,24.1223013616226
53,91,32,68,58,37,57,66,70,47,57.9,91.6014893175691,24.1985106824309
37,97,48,62,70,55,50,51,64,50,58.4,90.6881537271971,26.1118462728029
52,98,43,67,57,44,54,58,71,47,59.1,91.3252982746303,26.8747017253697
54,78,49,81,59,37,45,46,71,50,57,86.2471582665165,27.7528417334835
41,89,50,72,57,48,52,58,66,55,58.8,85.8451592711154,31.7548407288846
61,87,59,65,63,37,57,59,55,44,58.7,84.5715050457706,32.8284949542294
43,73,52,61,72,38,40,60,75,53,56.7,83.7648804008278,29.6351195991722
37,89,54,59,68,41,55,66,57,40,56.6,87.1491848227303,26.0508151772697
43,73,44,83,64,47,38,50,71,43,55.6,86.4412087960248,24.7587912039752
40,64,47,70,71,50,36,62,63,48,55.1,79.53588945247,30.66411054753
32,66,47,68,52,43,48,51,63,44,51.4,73.6171761381944,29.1828238618056
35,50,49,75,73,44,39,50,47,37,49.9,76.9554160525721,22.8445839474279
32,65,51,63,59,44,47,44,60,38,50.3,72.2046990392473,28.3953009607527
38,61,65,71,55,51,42,43,51,36,51.3,74.399745453143,28.200254546857
39,58,36,74,75,35,37,48,47,43,49.2,78.6478721359173,19.7521278640827
45,70,59,77,75,52,38,51,44,40,55.1,83.4647508949635,26.7352491050365
35,61,38,78,69,42,44,46,37,34,48.4,78.6966383173667,18.1033616826333
32,55,41,58,74,50,41,36,47,45,47.9,71.7882468544215,24.0117531455785
37,56,42,65,57,47,39,42,38,29,45.2,66.7857220299798,23.6142779700202
39,48,45,53,65,40,48,34,37,27,43.6,64.5922415297758,22.6077584702242
39,51,35,58,61,34,39,38,43,33,43.1,62.861578434483,23.338421565517
29,45,49,62,57,43,39,36,38,34,43.2,63.480712676498,22.919287323502
45,44,50,54,53,35,43,38,48,32,44.2,58.7445559116347,29.6554440883653
39,41,37,40,67,38,40,36,31,30,39.9,59.9404076250404,19.8595923749596
58,42,45,63,58,42,50,29,44,22,45.3,70.519851440218,20.080148559782
47,40,37,52,52,41,45,36,32,33,41.5,55.7914333314285,27.2085666685715
53,36,35,34,60,42,41,35,38,28,40.2,58.9496422484389,21.4503577515611
47,31,39,53,53,32,44,28,34,27,38.8,58.2206012036474,19.3793987963526
48,29,39,32,43,42,34,39,32,39,37.7,49.2420167696599,26.1579832303401
42,36,41,43,57,26,51,31,40,26,39.3,58.9880024380332,19.6119975619668
50,22,22,29,35,28,29,28,50,32,32.5,52.1489389026482,12.8510610973518
48,29,28,42,35,34,36,37,32,28,34.9,47.4143608173437,22.3856391826563
46,28,35,36,44,22,29,34,48,33,35.5,51.8790028186497,19.1209971813503
46,34,38,40,38,23,41,33,51,27,37.1,53.4320266143958,20.7679733856042
53,36,38,29,38,28,31,27,50,30,36,53.8683979260717,18.1316020739283
46,22,37,35,33,28,31,43,43,38,35.6,50.1562901256544,21.0437098743457
42,36,33,37,42,34,33,35,51,27,37,49.9353400505059,24.0646599494941
42,30,37,38,39,28,23,33,47,31,34.8,48.8063452287407,20.7936547712593
41,34,41,31,42,37,35,32,37,19,34.9,48.1435033968441,21.6564966031559
45,38,49,34,40,27,32,47,44,30,38.6,53.5611906834539,23.6388093165461
26,43,40,38,47,40,31,42,43,28,37.8,51.6222853874941,23.9777146125059
40,32,51,37,34,45,44,36,46,30,39.5,52.8973164808811,26.1026835191189
31,30,54,40,43,34,45,42,31,33,38.3,53.651248085344,22.948751914656
37,41,46,30,38,45,41,35,40,31,38.4,48.8614968123857,27.9385031876143
34,37,58,41,38,39,40,48,42,31,40.8,55.6638717851186,25.9361282148814
33,32,50,59,42,41,51,46,37,39,43,59.7334980071578,26.2665019928422
35,46,37,36,41,40,42,49,43,42,41.1,49.6907743797893,32.5092256202107
33,36,42,41,49,45,36,54,30,32,39.8,55.1442952120831,24.4557047879169
40,35,28,50,40,39,38,47,38,35,39,51.0822514458192,26.9177485541808
38,35,33,42,38,35,39,47,33,34,37.4,46.1263422399588,28.6736577600412
40,44,28,43,32,26,43,51,33,29,36.9,53.3362358491502,20.4637641508498
43,30,27,31,25,24,25,49,31,33,31.8,47.8512711853818,15.7487288146182
36,33,39,39,36,30,39,36,28,38,35.4,43.0303068235964,27.7696931764036
51,22,30,26,21,20,41,42,37,35,32.5,52.9369099642996,12.0630900357004
39,25,29,34,22,19,44,42,25,25,30.4,47.6410693146078,13.1589306853922
47,26,32,28,28,30,43,28,43,33,33.8,48.7497742829486,18.8502257170514
45,26,28,26,25,26,39,33,23,30,30.1,43.818444356251,16.381555643749
39,33,35,28,29,29,43,34,29,35,33.4,43.0108864199811,23.7891135800189
46,21,28,35,27,25,35,39,23,25,30.4,46.112632709596,14.687367290404
58,27,27,31,25,28,43,29,31,32,33.1,52.8183316851209,13.3816683148791
41,22,32,26,35,20,41,38,24,38,31.7,47.5168748142258,15.8831251857742
55,39,35,27,22,27,42,32,30,28,33.7,52.5007947822544,14.8992052177456
48,26,35,30,29,29,40,29,33,32,33.1,45.9176607330147,20.2823392669853
42,32,36,28,29,31,39,30,31,34,33.2,42.1006926072575,24.2993073927425
37,41,41,18,43,28,44,36,42,35,36.5,52.3222712233948,20.6777287766052
54,35,43,22,32,33,41,36,31,29,35.6,52.7914831626981,18.4085168373019
52,37,35,29,43,28,42,42,34,24,36.6,53.0816202008311,20.1183797991689
38,38,36,28,41,34,41,38,31,34,35.9,44.1356288297994,27.6643711702006
40,47,42,24,37,33,39,37,25,28,35.2,50.035127082555,20.364872917445
33,26,34,44,42,37,31,40,34,26,34.7,46.7840177277445,22.6159822722555
38,48,44,22,44,31,48,32,34,35,37.6,54.0816202008311,21.1183797991689
41,37,40,38,44,26,31,48,33,33,37.1,49.9176607330147,24.2823392669853
30,37,47,34,45,28,33,41,33,33,36.1,48.4771754092406,23.7228245907594
38,37,38,34,36,27,42,53,39,46,39,52.6732536971515,25.3267463028485
40,41,57,32,39,27,39,44,36,27,38.2,55.4063740127508,20.9936259872492
42,42,59,37,35,34,43,53,38,41,42.4,57.9213080777505,26.8786919222495
41,30,45,35,41,33,51,54,41,31,40.2,56.1979976524842,24.2020023475158
43,36,51,31,30,31,42,54,27,36,38.1,56.0743862203971,20.1256137796029
37,25,54,33,28,35,41,59,28,40,38,59.8060705105508,16.1939294894492
39,30,45,24,26,31,43,56,31,38,36.3,55.5938083332451,17.0061916667548
46,36,47,28,34,31,41,61,32,33,38.9,58.5532831297414,19.2467168702586
41,33,48,23,19,27,38,61,29,41,36,60.6194864103846,11.3805135896154
35,40,29,23,28,30,49,60,38,28,36,58.1363371455673,13.8636628544327
53,29,48,24,31,29,39,58,31,46,38.8,61.8025297159537,15.7974702840463
40,37,33,17,26,33,38,57,30,31,34.2,54.5437551433685,13.8562448566315
58,28,38,24,27,27,39,48,25,40,35.4,57.5016013497263,13.2983986502737
42,33,42,26,29,28,34,52,30,51,36.7,55.2953403960359,18.1046596039641
57,34,32,18,31,18,31,46,30,43,34,57.5924809114166,10.4075190885834
50,31,42,26,27,29,34,46,46,40,37.1,54.3224912380423,19.8775087619577
61,34,44,18,34,15,31,57,42,36,37.2,66.0474596609284,8.35254033907164
65,38,39,27,29,27,33,46,40,38,38.2,60.3131860109654,16.0868139890346
63,33,43,34,36,26,39,47,55,42,41.8,63.2866226082907,20.3133773917092
64,46,50,24,35,30,34,44,50,45,42.2,65.0349112836756,19.3650887163244
64,44,50,23,44,36,49,46,52,50,45.8,66.8450420659013,24.7549579340987
91,24,63,28,41,37,44,39,65,41,47.3,86.7718242125528,7.82817578744724
80,45,58,23,47,34,57,48,51,59,50.2,80.2646935050992,20.1353064949008
74,44,58,41,52,51,50,61,63,51,54.5,73.5533776533191,35.4466223466809
86,46,60,38,42,48,49,51,65,58,54.3,81.4750542471093,27.1249457528907
83,35,69,31,54,51,51,58,56,49,53.7,83.049868369949,24.350131630051
67,39,62,31,44,65,52,59,73,43,53.5,80.568034448199,26.431965551801
82,64,69,36,56,58,50,61,61,57,59.4,82.8145041468839,35.9854958531161
71,44,69,34,52,48,43,64,62,47,53.4,77.7089170653258,29.0910829346742
59,41,62,28,61,54,53,73,73,51,55.5,82.3781365094796,28.6218634905204
81,41,56,43,61,60,46,70,62,46,56.6,81.8054611366488,31.3945388633512
58,38,71,24,66,44,45,64,67,33,51,83.0466493308323,18.9533506691677
69,42,58,34,56,64,40,58,59,43,52.3,75.1021757246491,29.4978242753509
52,39,79,29,51,53,48,69,60,48,52.8,80.577041199123,25.022958800877
69,45,57,41,52,52,49,66,66,44,54.1,73.7532831297414,34.4467168702586
58,39,66,39,49,56,45,57,63,46,51.8,70.5723939158897,33.0276060841103
65,44,67,46,48,39,49,58,59,39,51.4,71.4137659291465,31.3862340708535
60,37,61,27,40,59,42,59,67,43,49.5,75.4735951389954,23.5264048610046
64,41,61,31,45,43,38,59,67,40,48.9,73.6483149594742,24.1516850405258
61,51,78,30,47,47,30,61,60,43,50.8,79.9272384166055,21.6727615833945
