"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,1,2,1,0,1,0,1,1,0,0.7,2.02289917311268,0
0,0,1,1,3,0,1,2,0,1,0.9,2.84908069498304,0
0,0,1,2,0,0,0,0,3,0,0.6,2.70693669155535,0
0,0,1,2,0,1,0,1,2,0,0.7,2.31361430060319,0
1,0,1,0,0,0,2,0,2,0,0.6,2.25281712371467,0
0,0,0,0,0,0,1,2,4,0,0.7,3.32148727930455,0
1,0,0,0,0,0,2,0,0,0,0.3,1.62289917311268,0
2,0,0,1,0,0,3,0,2,0,0.8,3.02517315181438,0
0,1,2,0,0,0,1,4,3,0,1.1,3.94030984225313,0
0,1,0,0,1,0,1,0,3,0,0.6,2.49353989483542,0
1,0,0,0,0,1,3,0,1,0,0.6,2.49353989483542,0
0,0,0,2,0,1,0,0,3,0,0.6,2.70693669155535,0
1,1,0,0,0,0,1,1,3,0,0.7,2.55941926417901,0
2,0,0,0,0,1,0,1,1,0,0.5,1.88592929112563,0
1,1,1,1,1,0,1,2,2,0,1,2.30666666666667,0
0,0,1,1,0,2,1,2,1,0,0.8,2.34606884998337,0
0,0,0,0,2,0,0,1,0,2,0.5,2.16567970777364,0
0,0,1,0,1,1,0,1,1,1,0.6,1.61213964780887,0
2,0,1,0,0,2,0,1,1,2,0.9,2.61616627011099,0
0,0,0,0,2,3,0,0,2,0,0.7,2.97262354510768,0
1,0,0,1,0,2,0,3,3,5,1.5,4.86323917938909,0
1,0,0,0,0,4,1,1,1,2,1,3.44454949269231,0
0,0,0,1,2,2,0,4,1,1,1.1,3.62190051790752,0
0,0,1,0,1,2,0,1,1,3,0.9,2.84908069498304,0
0,0,0,0,2,5,0,2,2,2,1.3,4.50732772118957,0
0,1,1,1,1,0,1,6,0,0,1.1,4.61223638789368,0
0,0,1,0,0,1,0,2,0,2,0.6,2.25281712371467,0
1,1,2,0,4,2,0,3,0,1,1.4,4.04579834622537,0
0,1,3,0,1,1,1,10,0,2,1.9,7.77636924942226,0
0,0,0,0,0,1,1,0,0,1,0.3,1.24676994741771,0
0,0,1,1,0,1,2,1,0,1,0.7,2.02289917311268,0
1,0,1,0,1,0,0,2,0,1,0.6,1.970443561609,0
0,0,0,0,1,1,0,1,1,2,0.6,1.970443561609,0
0,1,2,0,0,0,0,0,0,0,0.3,1.62289917311268,0
3,0,0,0,1,0,0,0,0,2,0.6,2.70693669155535,0
0,0,0,0,1,1,1,0,2,0,0.5,1.88592929112563,0
1,0,0,0,0,2,1,1,1,3,0.9,2.84908069498304,0
2,0,1,0,1,0,0,0,1,1,0.6,1.970443561609,0
1,0,0,0,0,1,1,1,0,2,0.6,1.970443561609,0
1,0,1,0,1,1,0,1,1,0,0.6,1.61213964780887,0
0,1,0,0,1,0,0,0,1,2,0.5,1.88592929112563,0
1,1,0,1,0,0,0,0,0,1,0.4,1.41213964780887,0
0,1,0,1,1,1,0,0,0,2,0.6,1.970443561609,0
0,1,0,0,0,0,0,0,0,0,0.1,0.719806421393002,0
1,0,1,1,0,1,2,0,0,2,0.8,2.34606884998337,0
0,0,0,0,1,0,0,0,0,1,0.2,1.02640856185734,0
0,0,1,1,0,1,1,0,0,0,0.4,1.41213964780887,0
0,1,0,0,1,1,0,0,1,0,0.4,1.41213964780887,0
0,0,0,0,1,1,0,1,1,1,0.5,1.53301070232167,0
0,0,1,0,0,0,0,0,0,1,0.2,1.02640856185734,0
0,1,1,0,1,1,2,0,2,0,0.8,2.34606884998337,0
0,0,1,0,0,2,0,1,1,0,0.5,1.88592929112563,0
1,0,0,1,0,1,0,1,0,0,0.4,1.41213964780887,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,2,0.5,1.88592929112563,0
0,3,0,1,1,0,2,1,0,1,0.9,2.84908069498304,0
0,0,0,0,0,1,0,0,0,0,0.1,0.719806421393002,0
1,1,0,1,0,0,0,1,1,1,0.6,1.61213964780887,0
0,0,1,0,0,0,0,0,1,0,0.2,1.02640856185734,0
0,0,2,1,0,0,1,0,0,0,0.4,1.770443561609,0
0,0,0,0,0,0,1,3,0,0,0.4,2.29353989483542,0
0,0,1,0,0,0,2,2,0,0,0.5,2.16567970777364,0
0,0,1,2,0,1,2,3,0,1,1,3.06602140464334,0
