"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
3,5,5,4,0,4,2,2,1,7,3.3,7.43720463866875,0
2,9,4,1,2,2,9,4,4,4,4.1,9.60120633235212,0
5,3,4,1,2,5,6,3,2,5,3.6,6.82722860120637,0.372771398793627
6,4,2,1,1,5,4,1,5,6,3.5,7.55382672435701,0
7,4,2,4,7,4,2,6,6,4,4.6,8.20223140721291,0.997768592787089
7,4,9,2,2,1,4,1,2,6,3.8,9.17165565207269,0
1,1,4,4,4,4,2,5,3,4,3.2,5.940887123218,0.459112876782004
4,2,4,3,2,3,3,6,8,7,4.2,8.311330684827,0.0886693151730062
0,2,2,5,4,2,4,7,5,3,3.4,7.34171761771157,0
4,8,5,2,2,0,4,6,2,8,4.1,9.36328836797343,0
7,8,4,2,3,2,6,3,2,3,4,8.33372305939772,0
3,6,3,2,3,6,3,5,2,3,3.6,6.5508687986196,0.649131201380403
4,7,3,3,2,5,7,4,4,3,4.2,7.50563424742935,0.894365752570654
12,8,4,6,7,5,8,8,7,6,7.1,11.3792086495831,2.82079135041692
5,6,5,8,8,4,7,8,4,9,6.4,10.0022314072129,2.79776859278709
9,9,6,5,6,11,13,8,8,4,7.9,13.3230602266822,2.47693977331782
8,9,8,9,8,4,9,5,4,4,6.8,11.2118144415497,2.38818555845028
10,7,4,3,8,8,8,6,6,5,6.5,10.6577878733769,2.3422121266231
7,8,9,9,6,8,7,12,8,10,8.4,11.7568874472245,5.04311255277551
9,6,8,5,6,5,3,7,9,9,6.7,10.7327128999389,2.66728710006113
7,9,13,6,14,8,8,9,9,9,9.2,14.071606625243,4.32839337475704
7,6,8,9,10,9,4,8,8,9,7.8,11.232332540222,4.36766745977802
9,8,9,5,8,5,8,3,5,11,7.1,11.9408429018096,2.25915709819044
4,10,9,5,9,14,6,7,4,7,7.5,13.5763512443278,1.42364875567216
5,11,6,2,6,7,7,4,5,6,5.9,10.4686642832816,1.33133571671836
5,8,3,3,8,9,9,4,3,6,5.8,10.758451371144,0.841548628855981
10,5,7,5,7,3,12,3,9,3,6.4,12.6118224200131,0.188177579986871
10,11,4,5,7,6,11,7,6,7,7.4,12.2187485696784,2.58125143032158
4,4,8,8,7,8,6,5,4,4,5.8,9.35451762628286,2.24548237371714
9,5,1,3,4,5,10,8,4,6,5.5,10.9856661704239,0.0143338295760893
4,8,7,6,6,2,10,5,10,7,6.5,11.4108768169352,1.58912318306485
9,6,6,7,6,8,7,5,7,7,6.8,9.02517315181438,4.57482684818562
7,6,5,6,7,2,7,9,7,7,6.3,9.88441317062888,2.71558682937112
