"1","2","3","4","5","6","7","8","9","10","u","upper","lower"
0,0,0,0,1,0,0,0,0,0,0.1,0.719806421393002,0
2,0,0,1,0,1,0,1,1,3,0.9,2.84908069498304,0
0,0,0,2,0,0,0,1,0,2,0.5,2.16567970777364,0
0,0,1,0,0,0,0,0,0,2,0.3,1.62289917311268,0
0,0,2,0,0,1,1,0,0,8,1.2,6.07160662524296,0
0,0,0,1,1,0,1,0,1,6,1,4.57845404236708,0
0,1,1,0,1,0,2,1,2,5,1.3,4.22909087147076,0
1,0,0,1,0,2,0,1,0,3,0.8,2.82427929561774,0
0,2,1,0,1,0,5,0,0,6,1.5,5.8582769276146,0
2,2,1,0,0,0,4,1,0,4,1.4,4.49213769996673,0
0,0,0,0,1,0,5,2,0,5,1.3,5.33271289993887,0
1,0,1,0,1,0,3,1,2,9,1.8,7.09159669245073,0
0,1,0,0,4,0,2,3,1,6,1.7,5.73271289993887,0
1,0,0,0,1,2,1,1,0,5,1.1,4.08681249643979,0
0,2,0,1,3,0,2,1,1,2,1.2,3.22427929561774,0
2,2,2,0,5,0,0,2,1,4,1.8,5.10563424742935,0
1,1,1,0,3,0,3,1,0,0,1,3.26321305522333,0
3,2,0,1,0,1,1,0,0,3,1.1,3.44654923948621,0
0,2,1,1,0,2,3,0,1,1,1.1,3.04908069498304,0
0,1,0,1,2,2,0,0,1,1,0.8,2.34606884998337,0
1,2,2,1,2,0,1,0,2,1,1.2,2.74606884998337,0
1,1,0,1,1,2,1,0,1,1,0.9,2.01258657590719,0
1,2,4,0,3,2,2,0,1,1,1.6,4.07922568557201,0
4,4,0,1,3,2,0,0,3,0,1.7,5.03775972772157,0
1,1,2,0,0,2,2,1,0,2,1.1,2.81616627011099,0
1,2,2,0,3,0,0,0,0,0,0.8,3.02517315181438,0
3,1,0,0,1,2,3,0,0,1,1.1,3.44654923948621,0
0,0,2,0,0,1,0,1,0,0,0.4,1.770443561609,0
0,1,1,0,0,2,0,0,0,1,0.5,1.88592929112563,0
1,1,1,0,1,4,1,0,2,0,1.1,3.44654923948621,0
1,0,1,1,0,2,0,0,0,1,0.6,1.970443561609,0
0,1,2,2,1,1,2,0,0,0,0.9,2.61616627011099,0
1,1,0,2,0,1,1,1,0,1,0.8,2.039612842786,0
1,1,0,2,0,1,1,0,0,0,0.6,1.970443561609,0
0,0,1,5,0,2,0,0,0,0,0.8,3.97388230545635,0
0,0,0,2,0,0,3,1,1,1,0.8,2.82427929561774,0
2,1,0,4,1,3,2,1,0,0,1.4,4.04579834622537,0
0,2,1,3,0,0,1,1,0,0,0.8,2.82427929561774,0
0,1,1,0,1,0,0,1,0,1,0.5,1.53301070232167,0
0,1,0,0,0,0,1,0,0,1,0.3,1.24676994741771,0
0,2,0,0,0,2,0,1,0,0,0.5,2.16567970777364,0
0,0,1,1,0,0,1,0,0,3,0.6,2.49353989483542,0
0,2,1,2,1,0,2,0,2,1,1.1,2.81616627011099,0
0,0,0,0,0,0,1,1,2,1,0.5,1.88592929112563,0
0,0,2,1,0,0,1,0,1,1,0.6,1.970443561609,0
0,1,0,2,0,1,0,0,0,1,0.5,1.88592929112563,0
1,0,0,1,0,1,1,1,0,0,0.5,1.53301070232167,0
0,0,1,1,2,0,1,2,0,0,0.7,2.31361430060319,0
0,1,0,0,1,0,1,0,2,0,0.5,1.88592929112563,0
0,0,0,0,2,0,0,1,0,0,0.3,1.62289917311268,0
1,0,0,0,0,0,0,0,0,0,0.1,0.719806421393002,0
0,0,0,0,0,0,0,0,0,1,0.1,0.719806421393002,0
0,0,1,1,0,0,0,0,0,1,0.3,1.24676994741771,0
1,1,1,0,0,0,1,1,0,1,0.6,1.61213964780887,0
1,2,0,1,1,0,0,0,0,1,0.6,1.970443561609,0
1,1,2,1,0,0,1,0,0,1,0.7,2.02289917311268,0
1,0,0,0,0,0,0,0,0,0,0.1,0.719806421393002,0
1,0,2,0,0,0,1,0,2,2,0.8,2.60111570360646,0
1,0,0,0,0,0,0,0,0,0,0.1,0.719806421393002,0
2,0,0,1,0,0,0,0,1,2,0.6,2.25281712371467,0
1,0,0,0,0,0,2,0,2,1,0.6,2.25281712371467,0
1,0,0,0,0,0,0,1,0,1,0.3,1.24676994741771,0
0,2,0,0,0,1,0,0,0,0,0.3,1.62289917311268,0
0,1,1,0,0,0,0,1,0,1,0.4,1.41213964780887,0
1,0,0,0,0,0,1,0,0,1,0.3,1.24676994741771,0
1,0,0,0,4,0,1,0,1,1,0.8,3.20937428483921,0
0,0,0,0,1,0,3,0,0,0,0.4,2.29353989483542,0
1,2,0,0,0,0,2,1,0,1,0.7,2.31361430060319,0
1,1,0,0,0,1,3,0,0,0,0.6,2.49353989483542,0
2,0,0,1,0,1,3,1,1,1,1,2.84790572150084,0
2,0,1,0,0,0,5,0,1,1,1,4.06440496308464,0
2,0,0,0,0,1,9,1,0,3,1.6,7.08177424643599,0
2,0,0,0,0,1,9,1,0,3,1.6,7.08177424643599,0
2,0,1,0,0,2,9,2,0,6,2.2,8.1017375972392,0
1,0,0,0,0,3,15,1,0,8,2.8,12.5256736984586,0
3,0,0,1,0,0,11,5,0,9,2.9,10.9786456510702,0
2,1,0,0,0,2,15,1,0,3,2.4,11.3198545080312,0
1,0,0,0,0,0,11,3,1,8,2.4,10.0860439181097,0
2,0,1,1,1,0,10,3,0,7,2.5,9.11449586556342,0
2,0,1,2,0,0,8,2,0,3,1.8,6.58318536356498,0
0,1,0,0,1,0,9,4,1,5,2.1,7.97636924942226,0
0,0,0,2,1,1,8,3,0,3,1.8,6.67160662524296,0
1,1,0,1,1,0,4,2,1,3,1.4,3.87922568557201,0
2,2,1,3,1,0,9,1,0,5,2.4,7.80334711081937,0
1,2,1,7,3,1,4,5,1,3,2.8,6.80616413931221,0
0,4,0,3,3,1,6,1,1,7,2.6,7.41874856967842,0
1,0,0,6,4,0,8,4,0,8,3.1,9.66266747934439,0
0,4,0,5,2,0,6,4,0,3,2.4,6.94524709021535,0
0,0,0,8,0,0,7,1,0,4,2,8.19806421393002,0
0,2,0,4,3,0,8,2,1,3,2.3,7.10544320999057,0
0,3,0,4,2,0,7,2,0,2,2,6.43112225564184,0
0,1,0,2,3,2,6,3,0,1,1.8,5.47263998296109,0
1,3,0,2,3,0,6,1,0,2,1.8,5.47263998296109,0
0,0,0,3,5,1,2,4,1,2,1.8,5.23233254022198,0
1,1,0,4,4,1,6,4,1,0,2.2,6.31133068482699,0
1,1,0,1,5,1,7,0,0,1,1.7,6.32438176048071,0
1,1,1,3,7,0,5,2,3,1,2.4,6.65419844911406,0
1,2,0,6,3,0,8,4,2,1,2.7,7.84849881033297,0
1,1,1,0,4,1,8,2,2,3,2.3,6.83113868445646,0
2,2,2,4,3,2,10,5,4,6,4,8.97563842916442,0
1,0,0,0,2,0,11,5,6,5,3,10.216302531229,0
2,1,3,1,2,0,18,1,8,3,3.9,14.5334892360567,0
1,1,4,3,2,1,21,5,11,8,5.7,18.0633731463365,0
1,0,3,0,0,1,18,1,15,5,4.4,17.3419380310678,0
1,2,3,1,4,1,19,3,6,5,4.5,15.0448080958251,0
2,0,6,2,2,2,22,2,11,14,6.3,20.3139619269102,0
2,0,8,1,3,6,22,2,2,10,5.6,18.5419380310678,0
0,1,9,1,2,2,24,5,7,10,6.1,20.247344627173,0
2,0,8,4,3,6,30,4,8,15,8,25.2113347664975,0
2,2,7,4,0,7,20,1,4,13,6,18.187775296036,0
3,0,9,2,0,8,20,5,9,20,7.6,22.0089256288516,0
2,2,7,3,0,8,24,4,8,12,7,20.70443561609,0
4,1,10,1,0,9,25,6,12,21,8.9,25.5939131954667,0
2,3,13,7,0,11,31,1,7,21,9.6,29.0074093525586,0
1,1,10,3,1,8,22,3,10,24,8.3,25.0347733776111,0
2,1,12,4,0,19,26,2,10,35,11.1,34.6463001103971,0
